seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	20501	2017-03-30 01:01:23	40001	1490806883212	1
2	0	30741	2017-03-30 01:01:32	40001	1490806892158	2
3	0	40981	2017-03-30 01:01:42	40001	1490806902158	3
4	0	51221	2017-03-30 01:01:52	40001	1490806912158	4
5	0	61461	2017-03-30 01:02:05	40001	1490806925680	5
6	1	6165	2017-03-30 01:02:12	40001	1490806932158	6
7	1	16405	2017-03-30 01:02:22	40001	1490806942158	7
8	1	26645	2017-03-30 01:02:32	40001	1490806952154	8
9	1	36885	2017-03-30 01:02:42	40001	1490806962159	9
10	1	47125	2017-03-30 01:02:52	40001	1490806972156	10
11	1	57365	2017-03-30 01:03:07	40001	1490806987553	11
12	2	2069	2017-03-30 01:03:12	40001	1490806992155	12
13	2	12309	2017-03-30 01:03:22	40001	1490807002155	13
