nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
7	0	61461	0	5407	2017-03-30 00:42:15	40007	1490805735068	1
11	0	61461	0	5661	2017-03-30 00:42:15	40011	1490805735328	2
22	0	61461	0	5684	2017-03-30 00:42:15	40022	1490805735372	3
20	0	61461	0	5588	2017-03-30 00:42:15	40020	1490805735580	4
3	0	61461	0	5651	2017-03-30 00:42:15	40003	1490805735614	5
12	0	61461	0	5505	2017-03-30 00:42:15	40012	1490805735681	6
1	0	61463	0	5458	2017-03-30 00:42:15	40001	1490805735816	7
14	0	61461	0	5410	2017-03-30 00:42:16	40014	1490805736307	8
4	0	61461	0	5477	2017-03-30 00:42:16	40004	1490805736340	9
13	0	61461	0	4944	2017-03-30 00:42:16	40013	1490805736941	10
36	0	61461	0	4932	2017-03-30 00:42:17	40036	1490805737083	11
52	0	61461	0	6276	2017-03-30 00:42:17	40052	1490805737258	12
15	0	61461	0	5643	2017-03-30 00:42:17	40015	1490805737484	13
47	0	61461	0	5095	2017-03-30 00:42:17	40047	1490805737634	14
123	0	61461	0	6090	2017-03-30 00:42:17	40123	1490805737674	15
122	0	61461	0	5628	2017-03-30 00:42:17	40122	1490805737742	16
21	0	61461	0	4440	2017-03-30 00:42:17	40021	1490805737776	17
120	0	61461	0	6186	2017-03-30 00:42:17	40120	1490805737842	18
80	0	61461	0	5027	2017-03-30 00:42:17	40080	1490805737876	19
70	0	61461	0	5245	2017-03-30 00:42:17	40070	1490805737909	20
18	0	61461	0	4515	2017-03-30 00:42:17	40018	1490805737943	21
65	0	61461	0	5050	2017-03-30 00:42:17	40065	1490805737976	22
68	0	61461	0	5164	2017-03-30 00:42:18	40068	1490805738043	23
37	0	61461	0	5467	2017-03-30 00:42:18	40037	1490805738110	24
39	0	61461	0	6282	2017-03-30 00:42:18	40039	1490805738143	25
83	0	61461	0	5293	2017-03-30 00:42:18	40083	1490805738276	26
135	0	61461	0	6222	2017-03-30 00:42:18	40135	1490805738378	27
132	0	61461	0	5396	2017-03-30 00:42:18	40132	1490805738528	28
129	0	61461	0	5660	2017-03-30 00:42:18	40129	1490805738561	29
10	0	61462	0	5409	2017-03-30 00:42:18	40010	1490805738595	30
136	0	61461	0	6377	2017-03-30 00:42:18	40136	1490805738737	31
2	0	61461	0	5646	2017-03-30 00:42:18	40002	1490805738804	32
118	0	61461	0	6026	2017-03-30 00:42:18	40118	1490805738870	33
130	0	61461	0	4994	2017-03-30 00:42:18	40130	1490805738904	34
46	0	61461	0	5151	2017-03-30 00:42:18	40046	1490805738937	35
32	0	61461	0	5420	2017-03-30 00:42:18	40032	1490805738971	36
66	0	61461	0	4922	2017-03-30 00:42:19	40066	1490805739004	37
73	0	61461	0	5296	2017-03-30 00:42:19	40073	1490805739104	38
41	0	61461	0	5570	2017-03-30 00:42:19	40041	1490805739138	39
35	0	61461	0	4982	2017-03-30 00:42:19	40035	1490805739238	40
81	0	61461	0	5067	2017-03-30 00:42:19	40081	1490805739271	41
116	0	61461	0	5369	2017-03-30 00:42:19	40116	1490805739304	42
131	0	61461	0	6173	2017-03-30 00:42:19	40131	1490805739371	43
72	0	61461	0	6071	2017-03-30 00:42:19	40072	1490805739405	44
134	0	61461	0	5134	2017-03-30 00:42:19	40134	1490805739471	45
119	0	61461	0	5626	2017-03-30 00:42:19	40119	1490805739605	46
19	0	61461	0	6415	2017-03-30 00:42:19	40019	1490805739638	47
48	0	61461	0	4746	2017-03-30 00:42:19	40048	1490805739672	48
51	0	61461	0	6190	2017-03-30 00:42:19	40051	1490805739830	49
34	0	61461	0	5022	2017-03-30 00:42:19	40034	1490805739864	50
38	0	61461	0	5243	2017-03-30 00:42:19	40038	1490805739897	51
71	0	61461	0	5247	2017-03-30 00:42:19	40071	1490805739931	52
42	0	61461	0	6367	2017-03-30 00:42:19	40042	1490805739981	53
44	0	61461	0	5061	2017-03-30 00:42:20	40044	1490805740047	54
30	0	61461	0	5236	2017-03-30 00:42:20	40030	1490805740081	55
139	0	61461	0	6231	2017-03-30 00:42:20	40139	1490805740148	56
138	0	61461	0	6087	2017-03-30 00:42:20	40138	1490805740348	57
74	0	61461	0	5697	2017-03-30 00:42:20	40074	1490805740381	58
27	0	61461	0	5193	2017-03-30 00:42:20	40027	1490805740448	59
126	0	61461	0	6122	2017-03-30 00:42:20	40126	1490805740481	60
124	0	61461	0	6540	2017-03-30 00:42:20	40124	1490805740515	61
121	0	61461	0	6254	2017-03-30 00:42:20	40121	1490805740548	62
76	0	61461	0	5191	2017-03-30 00:42:20	40076	1490805740582	63
137	0	61461	0	5156	2017-03-30 00:42:20	40137	1490805740615	64
77	0	61461	0	4974	2017-03-30 00:42:20	40077	1490805740648	65
84	0	61461	0	5458	2017-03-30 00:42:20	40084	1490805740682	66
67	0	61461	0	5846	2017-03-30 00:42:20	40067	1490805740715	67
75	0	61461	0	5733	2017-03-30 00:42:20	40075	1490805740849	68
57	0	61461	0	4900	2017-03-30 00:42:20	40057	1490805740915	69
69	0	61461	0	6401	2017-03-30 00:42:20	40069	1490805740949	70
25	0	61461	0	5485	2017-03-30 00:42:20	40025	1490805740991	71
133	0	61461	0	5670	2017-03-30 00:42:21	40133	1490805741082	72
8	0	61461	0	5642	2017-03-30 00:42:21	40008	1490805741124	73
24	0	61461	0	5260	2017-03-30 00:42:21	40024	1490805741166	74
6	0	61461	0	5781	2017-03-30 00:42:21	40006	1490805741208	75
28	0	61461	0	6008	2017-03-30 00:42:21	40028	1490805741266	76
127	0	61461	0	5651	2017-03-30 00:42:21	40127	1490805741308	77
33	0	61461	0	5148	2017-03-30 00:42:21	40033	1490805741349	78
50	0	61461	0	4993	2017-03-30 00:42:21	40050	1490805741641	79
128	0	61461	0	4993	2017-03-30 00:42:21	40128	1490805741683	80
31	0	61461	0	6048	2017-03-30 00:42:21	40031	1490805741725	81
64	0	61461	0	5170	2017-03-30 00:42:21	40064	1490805741808	82
78	0	61461	0	5073	2017-03-30 00:42:21	40078	1490805741842	83
117	0	61461	0	5011	2017-03-30 00:42:21	40117	1490805741875	84
79	0	61461	0	6528	2017-03-30 00:42:21	40079	1490805741942	85
115	0	61461	0	6213	2017-03-30 00:42:21	40115	1490805741975	86
17	0	61461	0	5664	2017-03-30 00:42:22	40017	1490805742011	87
43	0	61461	0	5332	2017-03-30 00:42:22	40043	1490805742042	88
85	0	61461	0	5373	2017-03-30 00:42:22	40085	1490805742075	89
