nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
14	1	1	0	20477	0	20519	2017-03-30 10:56:23	40014	1490842583355	1
13	1	14	0	20976	0	20567	2017-03-30 10:56:23	40013	1490842583396	2
18	1	14	0	20980	0	20668	2017-03-30 10:56:23	40018	1490842583445	3
7	1	14	0	20864	0	20847	2017-03-30 10:56:23	40007	1490842583657	4
11	1	13	0	20907	0	21247	2017-03-30 10:56:23	40011	1490842583688	5
10	1	1	0	20837	0	20936	2017-03-30 10:56:23	40010	1490842583722	6
3	1	18	0	21385	0	21213	2017-03-30 10:56:23	40003	1490842583755	7
4	1	11	0	21023	0	21052	2017-03-30 10:56:23	40004	1490842583805	8
21	1	18	0	21049	0	21354	2017-03-30 10:56:23	40021	1490842583838	9
6	1	11	0	21515	0	21370	2017-03-30 10:56:24	40006	1490842584073	10
20	1	6	0	21966	0	22005	2017-03-30 10:56:24	40020	1490842584557	11
14	2	1	0	30986	0	31028	2017-03-30 10:56:33	40014	1490842593513	12
7	2	1	0	31023	0	31054	2017-03-30 10:56:33	40007	1490842593564	13
10	2	1	0	30985	0	31083	2017-03-30 10:56:33	40010	1490842593597	14
3	2	14	0	31599	0	31121	2017-03-30 10:56:33	40003	1490842593660	15
18	2	14	0	31472	0	31160	2017-03-30 10:56:33	40018	1490842593690	16
4	2	10	0	31187	0	31103	2017-03-30 10:56:33	40004	1490842593722	17
8	2	3	0	31679	0	32101	2017-03-30 10:56:34	40008	1490842594149	18
14	3	1	0	40947	0	40985	2017-03-30 10:56:43	40014	1490842603322	19
13	3	14	0	41421	0	41012	2017-03-30 10:56:43	40013	1490842603430	20
18	3	14	0	41438	0	41126	2017-03-30 10:56:43	40018	1490842603539	21
11	3	13	0	41343	0	41683	2017-03-30 10:56:43	40011	1490842603589	22
7	3	14	0	41183	0	41166	2017-03-30 10:56:43	40007	1490842603639	23
4	3	7	0	41360	0	41344	2017-03-30 10:56:43	40004	1490842603681	24
3	3	18	0	41817	0	41645	2017-03-30 10:56:43	40003	1490842603725	25
21	3	18	0	41387	0	41692	2017-03-30 10:56:43	40021	1490842603764	26
20	3	11	0	41564	0	41465	2017-03-30 10:56:43	40020	1490842603806	27
6	3	20	0	41831	0	41779	2017-03-30 10:56:43	40006	1490842603913	28
8	3	3	0	41919	0	42340	2017-03-30 10:56:44	40008	1490842604145	29
37	3	21	0	40229	0	41877	2017-03-30 10:56:44	40037	1490842604197	30
38	3	37	0	40296	0	40343	2017-03-30 10:56:44	40038	1490842604317	31
42	3	38	0	39070	0	40349	2017-03-30 10:56:44	40042	1490842604381	32
25	3	42	0	40669	0	39098	2017-03-30 10:56:44	40025	1490842604423	33
35	3	37	0	40449	0	40520	2017-03-30 10:56:44	40035	1490842604464	34
30	3	38	0	40690	0	40712	2017-03-30 10:56:44	40030	1490842604733	35
36	3	38	0	40783	0	40818	2017-03-30 10:56:44	40036	1490842604841	36
40	3	42	0	39615	0	39603	2017-03-30 10:56:44	40040	1490842604881	37
7	4	1	0	51371	0	51402	2017-03-30 10:56:53	40007	1490842613411	38
10	4	1	0	51351	0	51450	2017-03-30 10:56:53	40010	1490842613457	39
14	4	1	0	51436	0	51478	2017-03-30 10:56:53	40014	1490842613490	40
3	4	14	0	51987	0	51509	2017-03-30 10:56:53	40003	1490842613562	41
4	4	1	0	51551	0	51572	2017-03-30 10:56:53	40004	1490842613606	42
18	4	14	0	51978	0	51666	2017-03-30 10:56:53	40018	1490842613723	43
8	4	3	0	52061	0	52482	2017-03-30 10:56:54	40008	1490842614050	44
4	5	1	0	61694	0	61715	2017-03-30 10:57:03	40004	1490842623542	45
7	5	1	0	61530	0	61561	2017-03-30 10:57:03	40007	1490842623575	46
10	5	1	0	61540	0	61639	2017-03-30 10:57:03	40010	1490842623608	47
11	5	4	0	61961	0	61919	2017-03-30 10:57:03	40011	1490842623725	48
14	5	1	0	61933	0	61975	2017-03-30 10:57:03	40014	1490842623792	49
6	5	11	0	62171	0	62026	2017-03-30 10:57:03	40006	1490842623825	50
13	5	11	0	62385	0	62033	2017-03-30 10:57:03	40013	1490842623859	51
18	5	14	0	62546	0	62233	2017-03-30 10:57:04	40018	1490842624034	52
20	5	6	0	62609	0	62648	2017-03-30 10:57:04	40020	1490842624250	53
3	5	18	0	63226	0	63055	2017-03-30 10:57:04	40003	1490842624538	54
21	5	18	0	62761	0	63067	2017-03-30 10:57:04	40021	1490842624568	55
7	6	1	1	6152	1	6183	2017-03-30 10:57:13	40007	1490842633305	56
10	6	1	1	6142	1	6241	2017-03-30 10:57:13	40010	1490842633339	57
4	6	10	1	6315	1	6231	2017-03-30 10:57:13	40004	1490842633402	58
14	6	1	1	6419	1	6461	2017-03-30 10:57:13	40014	1490842633522	59
11	6	4	1	6652	1	6610	2017-03-30 10:57:13	40011	1490842633694	60
18	6	14	1	6998	1	6685	2017-03-30 10:57:13	40018	1490842633786	61
3	6	14	1	7319	1	6841	2017-03-30 10:57:13	40003	1490842633942	62
21	6	18	1	6861	1	7167	2017-03-30 10:57:13	40021	1490842633989	63
13	6	11	1	7366	1	7014	2017-03-30 10:57:14	40013	1490842634054	64
20	6	11	1	7248	1	7149	2017-03-30 10:57:14	40020	1490842634206	65
6	6	20	1	7306	1	7249	2017-03-30 10:57:14	40006	1490842634289	66
8	6	3	1	7060	1	7481	2017-03-30 10:57:14	40008	1490842634345	67
14	7	1	1	16399	1	16441	2017-03-30 10:57:23	40014	1490842643289	68
18	7	14	1	16960	1	16647	2017-03-30 10:57:23	40018	1490842643514	69
7	7	14	1	16891	1	16874	2017-03-30 10:57:23	40007	1490842643738	70
10	7	7	1	16875	1	16937	2017-03-30 10:57:23	40010	1490842643790	71
3	7	18	1	17500	1	17329	2017-03-30 10:57:23	40003	1490842643882	72
4	7	7	1	17179	1	17163	2017-03-30 10:57:24	40004	1490842644010	73
20	7	3	1	17426	1	17742	2017-03-30 10:57:24	40020	1490842644126	74
11	7	20	1	17396	1	17483	2017-03-30 10:57:24	40011	1490842644186	75
6	7	11	1	18028	1	17883	2017-03-30 10:57:24	40006	1490842644670	76
4	8	1	1	26806	1	26827	2017-03-30 10:57:33	40004	1490842653410	77
14	8	1	1	26890	1	26932	2017-03-30 10:57:33	40014	1490842653514	78
13	8	14	1	27396	1	26988	2017-03-30 10:57:33	40013	1490842653614	79
11	8	4	1	27066	1	27024	2017-03-30 10:57:33	40011	1490842653649	80
10	8	1	1	27036	1	27135	2017-03-30 10:57:33	40010	1490842653710	81
7	8	14	1	27120	1	27103	2017-03-30 10:57:33	40007	1490842653741	82
18	8	14	1	27474	1	27161	2017-03-30 10:57:33	40018	1490842653782	83
3	8	18	1	27674	1	27503	2017-03-30 10:57:33	40003	1490842653818	84
8	8	3	1	27354	1	27774	2017-03-30 10:57:33	40008	1490842653922	85
6	8	11	1	27683	1	27538	2017-03-30 10:57:34	40006	1490842654098	86
20	8	6	1	28155	1	28194	2017-03-30 10:57:34	40020	1490842654604	87
14	9	1	1	36889	1	36931	2017-03-30 10:57:43	40014	1490842663302	88
4	9	1	1	36955	1	36976	2017-03-30 10:57:43	40004	1490842663344	89
13	9	14	1	37456	1	37048	2017-03-30 10:57:43	40013	1490842663438	90
18	9	14	1	37458	1	37145	2017-03-30 10:57:43	40018	1490842663534	91
7	9	4	1	37361	1	37365	2017-03-30 10:57:43	40007	1490842663730	92
3	9	14	1	37853	1	37375	2017-03-30 10:57:43	40003	1490842663769	93
10	9	4	1	37317	1	37389	2017-03-30 10:57:43	40010	1490842663811	94
21	9	18	1	37601	1	37908	2017-03-30 10:57:43	40021	1490842663978	95
4	10	1	1	47190	1	47211	2017-03-30 10:57:53	40004	1490842673314	96
14	10	1	1	47417	1	47459	2017-03-30 10:57:53	40014	1490842673558	97
11	10	4	1	47567	1	47525	2017-03-30 10:57:53	40011	1490842673650	98
10	10	1	1	47478	1	47577	2017-03-30 10:57:53	40010	1490842673678	99
13	10	14	1	47950	1	47542	2017-03-30 10:57:53	40013	1490842673711	100
3	10	14	1	48034	1	47556	2017-03-30 10:57:53	40003	1490842673744	101
7	10	4	1	47603	1	47607	2017-03-30 10:57:53	40007	1490842673778	102
8	10	3	1	47693	1	48113	2017-03-30 10:57:53	40008	1490842673811	103
18	10	3	1	48007	1	48165	2017-03-30 10:57:53	40018	1490842673845	104
21	10	18	1	47705	1	48007	2017-03-30 10:57:53	40021	1490842673878	105
6	10	11	1	47989	1	47845	2017-03-30 10:57:53	40006	1490842673926	106
20	10	11	1	47997	1	47897	2017-03-30 10:57:53	40020	1490842673978	107
65	10	7	1	45365	1	48095	2017-03-30 10:57:54	40065	1490842674222	108
64	10	65	1	45374	1	45457	2017-03-30 10:57:54	40064	1490842674322	109
69	10	64	1	45705	1	45699	2017-03-30 10:57:54	40069	1490842674644	110
81	10	69	1	45878	1	45851	2017-03-30 10:57:54	40081	1490842674792	111
73	10	81	1	46237	1	46136	2017-03-30 10:57:55	40073	1490842675056	112
80	10	69	1	46122	1	46123	2017-03-30 10:57:55	40080	1490842675087	113
63	10	80	1	46331	1	46215	2017-03-30 10:57:55	40063	1490842675154	114
74	10	73	1	46363	1	46347	2017-03-30 10:57:55	40074	1490842675187	115
68	10	73	1	46430	1	46439	2017-03-30 10:57:55	40068	1490842675251	116
76	10	80	1	46561	1	46459	2017-03-30 10:57:55	40076	1490842675397	117
