nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	0	61461	0	5048	2017-03-30 10:57:02	40003	1490842622814	1
13	0	61461	0	2718	2017-03-30 10:57:02	40013	1490842622882	2
18	0	61461	0	3855	2017-03-30 10:57:02	40018	1490842622974	3
2	0	61461	0	2507	2017-03-30 10:57:03	40002	1490842623033	4
6	0	61461	0	4011	2017-03-30 10:57:03	40006	1490842623082	5
20	0	61461	0	4429	2017-03-30 10:57:03	40020	1490842623126	6
17	0	61461	0	2530	2017-03-30 10:57:03	40017	1490842623178	7
15	0	61461	0	2632	2017-03-30 10:57:03	40015	1490842623208	8
4	0	61461	0	5126	2017-03-30 10:57:03	40004	1490842623275	9
7	0	61461	0	4955	2017-03-30 10:57:03	40007	1490842623308	10
21	0	61461	0	3535	2017-03-30 10:57:03	40021	1490842623341	11
11	0	61461	0	4327	2017-03-30 10:57:03	40011	1490842623375	12
14	0	61461	0	3823	2017-03-30 10:57:03	40014	1490842623408	13
19	0	61461	0	2834	2017-03-30 10:57:03	40019	1490842623441	14
22	0	61461	0	2771	2017-03-30 10:57:03	40022	1490842623480	15
10	0	61461	0	4426	2017-03-30 10:57:03	40010	1490842623508	16
8	0	61461	0	4072	2017-03-30 10:57:03	40008	1490842623642	17
1	0	61463	0	4953	2017-03-30 10:57:03	40001	1490842623675	18
12	0	61461	0	2527	2017-03-30 10:57:03	40012	1490842623759	19
25	0	61461	0	2876	2017-03-30 10:57:04	40025	1490842624685	20
28	0	61461	0	2011	2017-03-30 10:57:04	40028	1490842624789	21
24	0	61461	0	1433	2017-03-30 10:57:04	40024	1490842624892	22
37	0	61461	0	2309	2017-03-30 10:57:04	40037	1490842624926	23
27	0	61461	0	1062	2017-03-30 10:57:04	40027	1490842624960	24
33	0	61461	0	1687	2017-03-30 10:57:05	40033	1490842625010	25
36	0	61461	0	2416	2017-03-30 10:57:05	40036	1490842625043	26
31	0	61461	0	1547	2017-03-30 10:57:05	40031	1490842625077	27
35	0	61461	0	2479	2017-03-30 10:57:05	40035	1490842625110	28
39	0	61461	0	3186	2017-03-30 10:57:05	40039	1490842625143	29
32	0	61461	0	2579	2017-03-30 10:57:05	40032	1490842625177	30
34	0	61461	0	1457	2017-03-30 10:57:05	40034	1490842625243	31
38	0	61461	0	3247	2017-03-30 10:57:05	40038	1490842625277	32
26	0	61461	0	2470	2017-03-30 10:57:05	40026	1490842625310	33
30	0	61461	0	2115	2017-03-30 10:57:05	40030	1490842625344	34
57	0	61461	0	1418	2017-03-30 10:57:05	40057	1490842625377	35
137	0	61461	0	1135	2017-03-30 10:57:05	40137	1490842625721	36
134	0	61461	0	1618	2017-03-30 10:57:05	40134	1490842625760	37
78	0	61461	0	1433	2017-03-30 10:57:05	40078	1490842625797	38
119	0	61461	0	1123	2017-03-30 10:57:05	40119	1490842625827	39
48	0	61461	0	1573	2017-03-30 10:57:05	40048	1490842625861	40
77	0	61461	0	1062	2017-03-30 10:57:05	40077	1490842625894	41
70	0	61461	0	1061	2017-03-30 10:57:05	40070	1490842625927	42
135	0	61461	0	2393	2017-03-30 10:57:05	40135	1490842625961	43
72	0	61461	0	2343	2017-03-30 10:57:05	40072	1490842625994	44
131	0	61461	0	2367	2017-03-30 10:57:06	40131	1490842626028	45
59	0	61461	0	2415	2017-03-30 10:57:06	40059	1490842626061	46
123	0	61461	0	2410	2017-03-30 10:57:06	40123	1490842626094	47
44	0	61461	0	2654	2017-03-30 10:57:06	40044	1490842626128	48
129	0	61461	0	1502	2017-03-30 10:57:06	40129	1490842626161	49
66	0	61461	0	1062	2017-03-30 10:57:06	40066	1490842626195	50
124	0	61461	0	2454	2017-03-30 10:57:06	40124	1490842626228	51
52	0	61461	0	2489	2017-03-30 10:57:06	40052	1490842626270	52
83	0	61461	0	1059	2017-03-30 10:57:06	40083	1490842626303	53
118	0	61461	0	2514	2017-03-30 10:57:06	40118	1490842626336	54
84	0	61461	0	1236	2017-03-30 10:57:06	40084	1490842626370	55
136	0	61461	0	2535	2017-03-30 10:57:06	40136	1490842626403	56
55	0	61461	0	1497	2017-03-30 10:57:06	40055	1490842626437	57
74	0	61461	0	1211	2017-03-30 10:57:06	40074	1490842626478	58
42	0	61461	0	2918	2017-03-30 10:57:06	40042	1490842626512	59
71	0	61461	0	1062	2017-03-30 10:57:06	40071	1490842626547	60
67	0	61461	0	2034	2017-03-30 10:57:06	40067	1490842626579	61
63	0	61461	0	1281	2017-03-30 10:57:06	40063	1490842626612	62
80	0	61461	0	1168	2017-03-30 10:57:06	40080	1490842626645	63
46	0	61461	0	1495	2017-03-30 10:57:06	40046	1490842626679	64
43	0	61461	0	1362	2017-03-30 10:57:06	40043	1490842626712	65
47	0	61461	0	1137	2017-03-30 10:57:06	40047	1490842626745	66
73	0	61461	0	1200	2017-03-30 10:57:06	40073	1490842626779	67
64	0	61461	0	1062	2017-03-30 10:57:06	40064	1490842626812	68
138	0	61461	0	2360	2017-03-30 10:57:06	40138	1490842626846	69
132	0	61461	0	2470	2017-03-30 10:57:06	40132	1490842626887	70
69	0	61461	0	2413	2017-03-30 10:57:06	40069	1490842626929	71
116	0	61461	0	1548	2017-03-30 10:57:06	40116	1490842626971	72
130	0	61461	0	1108	2017-03-30 10:57:07	40130	1490842627012	73
41	0	61461	0	1517	2017-03-30 10:57:07	40041	1490842627054	74
126	0	61461	0	2649	2017-03-30 10:57:07	40126	1490842627121	75
65	0	61461	0	1365	2017-03-30 10:57:07	40065	1490842627163	76
139	0	61461	0	2377	2017-03-30 10:57:07	40139	1490842627204	77
51	0	61461	0	1675	2017-03-30 10:57:07	40051	1490842627246	78
133	0	61461	0	1136	2017-03-30 10:57:07	40133	1490842627288	79
85	0	61461	0	1143	2017-03-30 10:57:07	40085	1490842627329	80
121	0	61461	0	1685	2017-03-30 10:57:07	40121	1490842627371	81
68	0	61461	0	1062	2017-03-30 10:57:07	40068	1490842627413	82
128	0	61461	0	1076	2017-03-30 10:57:07	40128	1490842627455	83
120	0	61461	0	2563	2017-03-30 10:57:07	40120	1490842627496	84
40	0	61461	0	2927	2017-03-30 10:57:07	40040	1490842627546	85
127	0	61461	0	1583	2017-03-30 10:57:07	40127	1490842627588	86
76	0	61461	0	1114	2017-03-30 10:57:07	40076	1490842627630	87
75	0	61461	0	1393	2017-03-30 10:57:07	40075	1490842627672	88
122	0	61461	0	1421	2017-03-30 10:57:07	40122	1490842627713	89
81	0	61461	0	1279	2017-03-30 10:57:07	40081	1490842627763	90
115	0	61461	0	2540	2017-03-30 10:57:07	40115	1490842627805	91
79	0	61461	0	2447	2017-03-30 10:57:07	40079	1490842627841	92
117	0	61461	0	1142	2017-03-30 10:57:07	40117	1490842627872	93
50	0	61461	0	1162	2017-03-30 10:57:07	40050	1490842627905	94
3	1	57365	0	10576	2017-03-30 10:58:02	40003	1490842682810	95
13	1	57365	0	6743	2017-03-30 10:58:02	40013	1490842682878	96
18	1	57365	0	8333	2017-03-30 10:58:02	40018	1490842682970	97
2	1	57368	0	5170	2017-03-30 10:58:03	40002	1490842683008	98
6	1	57365	0	9000	2017-03-30 10:58:03	40006	1490842683082	99
20	1	57365	0	9523	2017-03-30 10:58:03	40020	1490842683126	100
17	1	57365	0	5414	2017-03-30 10:58:03	40017	1490842683174	101
15	1	57365	0	5053	2017-03-30 10:58:03	40015	1490842683206	102
11	1	57365	0	9641	2017-03-30 10:58:03	40011	1490842683237	103
22	1	57365	0	6016	2017-03-30 10:58:03	40022	1490842683304	104
8	1	57365	0	8243	2017-03-30 10:58:03	40008	1490842683354	105
19	1	57365	0	5918	2017-03-30 10:58:03	40019	1490842683454	106
21	1	57365	0	7651	2017-03-30 10:58:03	40021	1490842683617	107
7	1	57365	0	10699	2017-03-30 10:58:03	40007	1490842683679	108
12	1	57365	0	5109	2017-03-30 10:58:03	40012	1490842683713	109
10	1	57365	0	10061	2017-03-30 10:58:03	40010	1490842683780	110
4	1	57365	0	10796	2017-03-30 10:58:03	40004	1490842683947	111
1	1	57367	0	10470	2017-03-30 10:58:04	40001	1490842684013	112
