seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	20501	2017-03-30 10:56:23	40001	1490842583266	1
2	0	30741	2017-03-30 10:56:33	40001	1490842593225	2
3	0	40981	2017-03-30 10:56:43	40001	1490842603225	3
4	0	51221	2017-03-30 10:56:53	40001	1490842613226	4
5	0	61461	2017-03-30 10:57:03	40001	1490842623241	5
6	1	6165	2017-03-30 10:57:13	40001	1490842633226	6
7	1	16405	2017-03-30 10:57:23	40001	1490842643226	7
8	1	26645	2017-03-30 10:57:33	40001	1490842653226	8
9	1	36885	2017-03-30 10:57:43	40001	1490842663226	9
10	1	47125	2017-03-30 10:57:53	40001	1490842673226	10
11	1	57365	2017-03-30 10:58:03	40001	1490842683271	11
12	2	2069	2017-03-30 10:58:13	40001	1490842693226	12
13	2	12309	2017-03-30 10:58:23	40001	1490842703222	13
