nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
51	439	53	0	15213	36829	51	2017-03-30 01:07:50	40051	1490807270987	1
51	447	53	0	15762	36829	51	2017-03-30 01:07:51	40051	1490807271491	2
51	455	53	0	16846	36829	51	2017-03-30 01:07:52	40051	1490807272542	3
18	1	1	0	20538	0	20644	2017-03-30 01:07:53	40018	1490807273593	4
51	463	53	0	17948	36829	51	2017-03-30 01:07:53	40051	1490807273626	5
21	1	18	0	20457	0	20591	2017-03-30 01:07:53	40021	1490807273657	6
13	1	18	0	21006	0	20631	2017-03-30 01:07:53	40013	1490807273707	7
35	1	37	0	18825	0	18932	2017-03-30 01:07:53	40035	1490807273740	8
37	1	21	0	18913	0	20458	2017-03-30 01:07:53	40037	1490807273773	9
2	1	21	0	20870	0	20586	2017-03-30 01:07:53	40002	1490807273807	10
7	1	1	0	20857	0	20886	2017-03-30 01:07:53	40007	1490807273840	11
8	1	3	0	20660	0	20982	2017-03-30 01:07:53	40008	1490807273874	12
4	1	1	0	20909	0	20941	2017-03-30 01:07:53	40004	1490807273907	13
72	1	1	0	17753	0	20805	2017-03-30 01:07:53	40072	1490807273940	14
10	1	1	0	20942	0	20992	2017-03-30 01:07:53	40010	1490807273982	15
15	1	8	0	20955	0	20779	2017-03-30 01:07:54	40015	1490807274016	16
36	1	37	0	18955	0	18990	2017-03-30 01:07:54	40036	1490807274049	17
75	1	65	0	18044	0	18166	2017-03-30 01:07:54	40075	1490807274082	18
6	1	8	0	20926	0	20742	2017-03-30 01:07:54	40006	1490807274116	19
26	1	37	0	19288	0	19254	2017-03-30 01:07:54	40026	1490807274149	20
39	1	38	0	19304	0	19269	2017-03-30 01:07:54	40039	1490807274191	21
40	1	42	0	19219	0	18576	2017-03-30 01:07:54	40040	1490807274232	22
11	1	6	0	21023	0	21137	2017-03-30 01:07:54	40011	1490807274274	23
124	1	63	0	18289	0	18498	2017-03-30 01:07:54	40124	1490807274316	24
17	1	22	0	20956	0	21186	2017-03-30 01:07:54	40017	1490807274358	25
41	1	46	0	19393	0	19409	2017-03-30 01:07:54	40041	1490807274399	26
