nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
10	1	1	0	20474	0	20528	2017-03-31 02:47:56	40010	1490899676691	1
4	1	1	0	20497	0	20534	2017-03-31 02:47:56	40004	1490899676761	2
7	1	1	0	20527	0	20653	2017-03-31 02:47:56	40007	1490899676828	3
18	1	1	0	20502	0	20646	2017-03-31 02:47:56	40018	1490899676861	4
71	1	4	0	17431	0	20648	2017-03-31 02:47:56	40071	1490899676902	5
21	1	18	0	20934	0	20595	2017-03-31 02:47:56	40021	1490899676936	6
11	1	4	0	20739	0	20683	2017-03-31 02:47:56	40011	1490899676969	7
14	1	1	0	21061	0	20814	2017-03-31 02:47:57	40014	1490899677009	8
37	1	18	0	19283	0	20670	2017-03-31 02:47:57	40037	1490899677044	9
6	1	8	0	20886	0	20912	2017-03-31 02:47:57	40006	1490899677078	10
8	1	18	0	20895	0	20747	2017-03-31 02:47:57	40008	1490899677111	11
15	1	8	0	20900	0	20912	2017-03-31 02:47:57	40015	1490899677144	12
64	1	7	0	18362	0	20809	2017-03-31 02:47:57	40064	1490899677178	13
70	1	85	0	17845	0	17846	2017-03-31 02:47:57	40070	1490899677211	14
69	1	64	0	17763	0	18453	2017-03-31 02:47:57	40069	1490899677255	15
65	1	7	0	17868	0	21004	2017-03-31 02:47:57	40065	1490899677287	16
84	1	71	0	17899	0	17773	2017-03-31 02:47:57	40084	1490899677320	17
20	1	8	0	21547	0	21173	2017-03-31 02:47:57	40020	1490899677353	18
22	1	2	0	21436	0	21133	2017-03-31 02:47:57	40022	1490899677387	19
28	1	38	0	19470	0	19504	2017-03-31 02:47:57	40028	1490899677420	20
85	1	71	0	17830	0	17706	2017-03-31 02:47:57	40085	1490899677453	21
124	1	81	0	18244	0	17942	2017-03-31 02:47:57	40124	1490899677487	22
75	1	65	0	18099	0	18086	2017-03-31 02:47:57	40075	1490899677520	23
81	1	69	0	17891	0	17962	2017-03-31 02:47:57	40081	1490899677554	24
132	1	124	0	18292	0	18314	2017-03-31 02:47:57	40132	1490899677587	25
17	1	39	0	21447	0	19723	2017-03-31 02:47:57	40017	1490899677620	26
57	1	46	0	18878	0	18408	2017-03-31 02:47:57	40057	1490899677654	27
33	1	35	0	19849	0	19831	2017-03-31 02:47:57	40033	1490899677687	28
76	1	80	0	17867	0	17958	2017-03-31 02:47:57	40076	1490899677721	29
13	1	20	0	21626	0	21901	2017-03-31 02:47:57	40013	1490899677754	30
63	1	69	0	18988	0	18261	2017-03-31 02:47:57	40063	1490899677787	31
121	1	124	0	18315	0	18335	2017-03-31 02:47:57	40121	1490899677821	32
134	1	117	0	18518	0	18611	2017-03-31 02:47:57	40134	1490899677854	33
122	1	121	0	18356	0	18341	2017-03-31 02:47:57	40122	1490899677888	34
27	1	46	0	19961	0	18601	2017-03-31 02:47:57	40027	1490899677921	35
47	1	57	0	19494	0	19143	2017-03-31 02:47:57	40047	1490899677963	36
41	1	46	0	19415	0	18551	2017-03-31 02:47:57	40041	1490899677996	37
129	1	121	0	18354	0	18341	2017-03-31 02:47:58	40129	1490899678029	38
39	1	38	0	19343	0	19341	2017-03-31 02:47:58	40039	1490899678063	39
119	1	138	0	18960	0	18953	2017-03-31 02:47:58	40119	1490899678096	40
126	1	138	0	18849	0	18930	2017-03-31 02:47:58	40126	1490899678130	41
44	1	43	0	19529	0	19152	2017-03-31 02:47:58	40044	1490899678180	42
43	1	68	0	18916	0	18057	2017-03-31 02:47:58	40043	1490899678213	43
40	1	38	0	18810	0	19608	2017-03-31 02:47:58	40040	1490899678246	44
80	1	68	0	17935	0	17905	2017-03-31 02:47:58	40080	1490899678280	45
136	1	120	0	18896	0	18886	2017-03-31 02:47:58	40136	1490899678313	46
2	1	21	0	21099	0	21374	2017-03-31 02:47:58	40002	1490899678349	47
50	1	55	0	18880	0	19248	2017-03-31 02:47:58	40050	1490899678380	48
19	1	17	0	21571	0	21592	2017-03-31 02:47:58	40019	1490899678413	49
72	1	71	0	17853	0	17852	2017-03-31 02:47:58	40072	1490899678447	50
137	1	131	0	18914	0	18987	2017-03-31 02:47:58	40137	1490899678480	51
31	1	27	0	19997	0	19961	2017-03-31 02:47:58	40031	1490899678514	52
135	1	124	0	18454	0	18380	2017-03-31 02:47:58	40135	1490899678547	53
24	1	31	0	20469	0	20483	2017-03-31 02:47:58	40024	1490899678580	54
133	1	119	0	18918	0	18988	2017-03-31 02:47:58	40133	1490899678614	55
48	1	46	0	18664	0	18675	2017-03-31 02:47:58	40048	1490899678647	56
78	1	136	0	18892	0	19008	2017-03-31 02:47:58	40078	1490899678681	57
116	1	115	0	18489	0	18884	2017-03-31 02:47:58	40116	1490899678714	58
51	1	46	0	18389	0	18427	2017-03-31 02:47:58	40051	1490899678747	59
131	1	135	0	18784	0	18500	2017-03-31 02:47:58	40131	1490899678781	60
128	1	121	0	18352	0	18315	2017-03-31 02:47:58	40128	1490899678814	61
74	1	80	0	18413	0	18330	2017-03-31 02:47:58	40074	1490899678847	62
52	1	57	0	18839	0	19335	2017-03-31 02:47:58	40052	1490899678890	63
12	1	22	0	21430	0	21464	2017-03-31 02:47:58	40012	1490899678924	64
34	1	52	0	20451	0	19128	2017-03-31 02:47:58	40034	1490899678957	65
32	1	34	0	20970	0	20906	2017-03-31 02:47:58	40032	1490899678991	66
115	1	132	0	18761	0	18356	2017-03-31 02:47:59	40115	1490899679024	67
83	1	70	0	18876	0	18321	2017-03-31 02:47:59	40083	1490899679057	68
42	1	25	0	18359	0	19724	2017-03-31 02:47:59	40042	1490899679091	69
73	1	74	0	18381	0	18475	2017-03-31 02:47:59	40073	1490899679124	70
3	1	14	0	21517	0	21416	2017-03-31 02:47:59	40003	1490899679158	71
38	1	37	0	19296	0	19474	2017-03-31 02:47:59	40038	1490899679199	72
36	1	35	0	19515	0	19544	2017-03-31 02:47:59	40036	1490899679249	73
25	1	35	0	19474	0	19507	2017-03-31 02:47:59	40025	1490899679291	74
77	1	70	0	18355	0	18321	2017-03-31 02:47:59	40077	1490899679333	75
68	1	69	0	17868	0	17860	2017-03-31 02:47:59	40068	1490899679374	76
127	1	132	0	18788	0	18700	2017-03-31 02:47:59	40127	1490899679416	77
67	1	14	0	19148	0	21336	2017-03-31 02:47:59	40067	1490899679475	78
35	1	37	0	19430	0	19586	2017-03-31 02:47:59	40035	1490899679518	79
66	1	83	0	18447	0	19194	2017-03-31 02:47:59	40066	1490899679558	80
59	1	43	0	18233	0	18916	2017-03-31 02:47:59	40059	1490899679600	81
118	1	134	0	18877	0	18519	2017-03-31 02:47:59	40118	1490899679641	82
139	1	131	0	18747	0	19118	2017-03-31 02:47:59	40139	1490899679683	83
55	1	46	0	18886	0	18551	2017-03-31 02:47:59	40055	1490899679725	84
117	1	128	0	18509	0	18505	2017-03-31 02:47:59	40117	1490899679767	85
46	1	43	0	18367	0	19018	2017-03-31 02:47:59	40046	1490899679808	86
79	1	76	0	18297	0	18094	2017-03-31 02:47:59	40079	1490899679850	87
123	1	127	0	18828	0	18872	2017-03-31 02:47:59	40123	1490899679892	88
30	1	41	0	20017	0	19487	2017-03-31 02:47:59	40030	1490899679933	89
