nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
20	0	61461	0	6149	2017-03-31 02:48:36	40020	1490899716306	1
3	0	61461	0	6055	2017-03-31 02:48:36	40003	1490899716389	2
14	0	61461	0	4949	2017-03-31 02:48:36	40014	1490899716431	3
22	0	61461	0	6092	2017-03-31 02:48:36	40022	1490899716472	4
21	0	61461	0	6250	2017-03-31 02:48:36	40021	1490899716514	5
12	0	61461	0	6120	2017-03-31 02:48:36	40012	1490899716556	6
13	0	61461	0	5054	2017-03-31 02:48:36	40013	1490899716598	7
11	0	61461	0	5546	2017-03-31 02:48:36	40011	1490899716650	8
17	0	61461	0	6188	2017-03-31 02:48:36	40017	1490899716689	9
4	0	61461	0	4997	2017-03-31 02:48:36	40004	1490899716731	10
6	0	61461	0	5959	2017-03-31 02:48:36	40006	1490899716773	11
7	0	61461	0	5055	2017-03-31 02:48:36	40007	1490899716814	12
19	0	61461	0	6410	2017-03-31 02:48:36	40019	1490899716940	13
18	0	61461	0	5001	2017-03-31 02:48:36	40018	1490899716981	14
15	0	61461	0	6221	2017-03-31 02:48:37	40015	1490899717029	15
10	0	61461	0	5025	2017-03-31 02:48:37	40010	1490899717232	16
37	0	61461	0	6492	2017-03-31 02:48:38	40037	1490899718176	17
39	0	61461	0	6772	2017-03-31 02:48:38	40039	1490899718376	18
34	0	61461	0	4539	2017-03-31 02:48:38	40034	1490899718443	19
67	0	61461	0	4856	2017-03-31 02:48:38	40067	1490899718577	20
24	0	61461	0	4974	2017-03-31 02:48:38	40024	1490899718694	21
1	0	61463	0	4874	2017-03-31 02:48:39	40001	1490899719078	22
44	0	61461	0	6134	2017-03-31 02:48:39	40044	1490899719178	23
36	0	61461	0	5539	2017-03-31 02:48:39	40036	1490899719211	24
115	0	61461	0	6807	2017-03-31 02:48:39	40115	1490899719311	25
119	0	61461	0	5470	2017-03-31 02:48:39	40119	1490899719578	26
127	0	61461	0	6626	2017-03-31 02:48:39	40127	1490899719612	27
122	0	61461	0	5628	2017-03-31 02:48:39	40122	1490899719679	28
48	0	61461	0	5738	2017-03-31 02:48:39	40048	1490899719712	29
85	0	61461	0	5390	2017-03-31 02:48:39	40085	1490899719745	30
74	0	61461	0	5640	2017-03-31 02:48:39	40074	1490899719779	31
