seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	20501	2017-03-31 02:47:56	40001	1490899676794	1
2	0	30741	2017-03-31 02:48:06	40001	1490899686658	2
3	0	40981	2017-03-31 02:48:16	40001	1490899696658	3
4	0	51221	2017-03-31 02:48:26	40001	1490899706654	4
5	0	61461	2017-03-31 02:48:37	40001	1490899717332	5
6	1	6165	2017-03-31 02:48:46	40001	1490899726654	6
7	1	16405	2017-03-31 02:48:56	40001	1490899736654	7
8	1	26645	2017-03-31 02:49:06	40001	1490899746654	8
9	1	36885	2017-03-31 02:49:16	40001	1490899756654	9
10	1	47125	2017-03-31 02:49:26	40001	1490899766654	10
11	1	57365	2017-03-31 02:49:37	40001	1490899777008	11
12	2	2069	2017-03-31 02:49:46	40001	1490899786654	12
13	2	12309	2017-03-31 02:49:56	40001	1490899796654	13
