nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
4	0	61459	0	4097	2017-03-31 08:19:33	40004	1490919573017	1
19	0	61459	0	3551	2017-03-31 08:19:33	40019	1490919573092	2
6	0	61459	0	3393	2017-03-31 08:19:33	40006	1490919573125	3
21	0	61459	0	3854	2017-03-31 08:19:33	40021	1490919573292	4
10	0	61459	0	2949	2017-03-31 08:19:33	40010	1490919573325	5
3	0	61459	0	3724	2017-03-31 08:19:33	40003	1490919573359	6
20	0	61459	0	4104	2017-03-31 08:19:33	40020	1490919573392	7
8	0	61459	0	3657	2017-03-31 08:19:33	40008	1490919573425	8
11	0	61459	0	3314	2017-03-31 08:19:33	40011	1490919573526	9
15	0	61459	0	3661	2017-03-31 08:19:33	40015	1490919573559	10
7	0	61460	0	3446	2017-03-31 08:19:33	40007	1490919573626	11
12	0	61459	0	3695	2017-03-31 08:19:33	40012	1490919573659	12
18	0	61459	0	4082	2017-03-31 08:19:33	40018	1490919573743	13
2	0	61459	0	3575	2017-03-31 08:19:33	40002	1490919573843	14
22	0	61459	0	3867	2017-03-31 08:19:33	40022	1490919573884	15
14	0	61460	0	564	2017-03-31 08:19:34	40014	1490919574043	16
17	0	61459	0	3820	2017-03-31 08:19:34	40017	1490919574168	17
39	0	61459	0	3574	2017-03-31 08:19:35	40039	1490919575129	18
40	0	61459	0	3486	2017-03-31 08:19:35	40040	1490919575179	19
31	0	61459	0	2784	2017-03-31 08:19:35	40031	1490919575446	20
30	0	61459	0	3335	2017-03-31 08:19:35	40030	1490919575680	21
38	0	61459	0	2759	2017-03-31 08:19:35	40038	1490919575947	22
48	0	61461	0	3004	2017-03-31 08:19:35	40048	1490919575980	23
78	0	61460	0	2887	2017-03-31 08:19:36	40078	1490919576047	24
74	0	61459	0	2663	2017-03-31 08:19:36	40074	1490919576081	25
1	0	61461	0	3965	2017-03-31 08:19:36	40001	1490919576114	26
130	0	61459	0	2468	2017-03-31 08:19:36	40130	1490919576148	27
44	0	61459	0	699	2017-03-31 08:19:36	40044	1490919576181	28
75	0	61460	0	3037	2017-03-31 08:19:36	40075	1490919576265	29
136	0	61460	0	3744	2017-03-31 08:19:36	40136	1490919576331	30
122	0	61459	0	4448	2017-03-31 08:19:36	40122	1490919576365	31
124	0	61461	0	1339	2017-03-31 08:19:36	40124	1490919576581	32
36	0	61459	0	2414	2017-03-31 08:19:36	40036	1490919576615	33
67	0	61460	0	768	2017-03-31 08:19:36	40067	1490919576650	34
116	0	61459	0	4633	2017-03-31 08:19:36	40116	1490919576682	35
117	0	61461	0	3149	2017-03-31 08:19:36	40117	1490919576748	36
27	0	61459	0	2679	2017-03-31 08:19:36	40027	1490919576882	37
139	0	61460	0	4383	2017-03-31 08:19:36	40139	1490919576915	38
138	0	61459	0	3761	2017-03-31 08:19:36	40138	1490919576951	39
57	0	61459	0	3185	2017-03-31 08:19:36	40057	1490919576982	40
68	0	61459	0	4649	2017-03-31 08:19:37	40068	1490919577041	41
32	0	61459	0	3325	2017-03-31 08:19:37	40032	1490919577074	42
34	0	61459	0	2475	2017-03-31 08:19:37	40034	1490919577111	43
132	0	61461	0	4388	2017-03-31 08:19:37	40132	1490919577174	44
72	0	61459	0	4171	2017-03-31 08:19:37	40072	1490919577208	45
137	0	61461	0	2641	2017-03-31 08:19:37	40137	1490919577241	46
24	0	61459	0	2381	2017-03-31 08:19:37	40024	1490919577375	47
133	0	61459	0	2388	2017-03-31 08:19:37	40133	1490919577408	48
59	0	61461	0	3332	2017-03-31 08:19:37	40059	1490919577441	49
50	0	61459	0	2437	2017-03-31 08:19:37	40050	1490919577592	50
115	0	61459	0	4958	2017-03-31 08:19:37	40115	1490919577625	51
135	0	61459	0	3387	2017-03-31 08:19:37	40135	1490919577658	52
65	0	61459	0	2861	2017-03-31 08:19:37	40065	1490919577733	53
84	0	61459	0	2539	2017-03-31 08:19:37	40084	1490919577800	54
131	0	61460	0	3629	2017-03-31 08:19:37	40131	1490919577834	55
129	0	61460	0	4206	2017-03-31 08:19:37	40129	1490919577867	56
42	0	61459	0	1162	2017-03-31 08:19:37	40042	1490919577967	57
127	0	61462	0	3707	2017-03-31 08:19:38	40127	1490919578000	58
120	0	61460	0	3399	2017-03-31 08:19:38	40120	1490919578067	59
43	0	61460	0	3329	2017-03-31 08:19:38	40043	1490919578134	60
79	0	61459	0	3758	2017-03-31 08:19:38	40079	1490919578167	61
37	0	61460	0	3589	2017-03-31 08:19:38	40037	1490919578234	62
119	0	61461	0	3087	2017-03-31 08:19:38	40119	1490919578268	63
71	0	61459	0	4810	2017-03-31 08:19:38	40071	1490919578334	64
25	0	61461	0	3324	2017-03-31 08:19:38	40025	1490919578368	65
