nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
71	1	1	0	17758	0	20523	2017-03-30 11:49:17	40071	1490845757854	1
11	1	1	0	20363	0	20509	2017-03-30 11:49:17	40011	1490845757986	2
12	1	1	0	20781	0	20769	2017-03-30 11:49:18	40012	1490845758092	3
65	1	1	0	18278	0	20784	2017-03-30 11:49:18	40065	1490845758120	4
8	1	1	0	20717	0	20781	2017-03-30 11:49:18	40008	1490845758153	5
15	1	1	0	20758	0	20874	2017-03-30 11:49:18	40015	1490845758200	6
18	1	1	0	20935	0	20882	2017-03-30 11:49:18	40018	1490845758228	7
4	1	1	0	20967	0	20889	2017-03-30 11:49:18	40004	1490845758261	8
13	1	1	0	20883	0	20901	2017-03-30 11:49:18	40013	1490845758295	9
72	1	1	0	18294	0	20954	2017-03-30 11:49:18	40072	1490845758328	10
35	1	1	0	19382	0	20972	2017-03-30 11:49:18	40035	1490845758362	11
3	1	1	0	21201	0	20914	2017-03-30 11:49:18	40003	1490845758395	12
64	1	1	0	18275	0	20931	2017-03-30 11:49:18	40064	1490845758429	13
10	1	1	0	20935	0	20949	2017-03-30 11:49:18	40010	1490845758462	14
67	1	1	0	18345	0	20951	2017-03-30 11:49:18	40067	1490845758512	15
14	1	1	0	20880	0	20969	2017-03-30 11:49:18	40014	1490845758546	16
7	1	1	0	20934	0	20929	2017-03-30 11:49:18	40007	1490845758579	17
20	1	11	0	21196	0	21064	2017-03-30 11:49:18	40020	1490845758612	18
63	1	12	0	18793	0	21311	2017-03-30 11:49:18	40063	1490845758645	19
6	1	11	0	21194	0	21217	2017-03-30 11:49:18	40006	1490845758717	20
21	1	18	0	21458	0	21471	2017-03-30 11:49:18	40021	1490845758746	21
19	1	18	0	21365	0	21441	2017-03-30 11:49:18	40019	1490845758779	22
24	1	35	0	19852	0	19938	2017-03-30 11:49:18	40024	1490845758877	23
2	1	12	0	21862	0	21573	2017-03-30 11:49:18	40002	1490845758912	24
36	1	35	0	19951	0	20103	2017-03-30 11:49:19	40036	1490845759163	25
25	1	35	0	20274	0	20246	2017-03-30 11:49:19	40025	1490845759213	26
33	1	35	0	19960	0	20128	2017-03-30 11:49:19	40033	1490845759263	27
22	1	12	0	21850	0	21661	2017-03-30 11:49:19	40022	1490845759304	28
38	1	35	0	19923	0	20083	2017-03-30 11:49:19	40038	1490845759354	29
37	1	35	0	19998	0	20081	2017-03-30 11:49:19	40037	1490845759396	30
39	1	36	0	20307	0	20310	2017-03-30 11:49:19	40039	1490845759438	31
41	1	38	0	19955	0	20346	2017-03-30 11:49:19	40041	1490845759480	32
17	1	21	0	21864	0	22032	2017-03-30 11:49:19	40017	1490845759521	33
30	1	38	0	20488	0	20393	2017-03-30 11:49:19	40030	1490845759563	34
31	1	24	0	20677	0	20611	2017-03-30 11:49:19	40031	1490845759605	35
59	1	38	0	19200	0	20388	2017-03-30 11:49:19	40059	1490845759646	36
42	1	38	0	20262	0	20464	2017-03-30 11:49:19	40042	1490845759722	37
26	1	19	0	20273	0	21788	2017-03-30 11:49:19	40026	1490845759763	38
51	1	38	0	19496	0	20551	2017-03-30 11:49:19	40051	1490845759805	39
52	1	33	0	20229	0	20693	2017-03-30 11:49:19	40052	1490845759847	40
28	1	38	0	20816	0	20761	2017-03-30 11:49:19	40028	1490845759888	41
27	1	41	0	20877	0	20457	2017-03-30 11:49:19	40027	1490845759930	42
73	1	41	0	19868	0	20472	2017-03-30 11:49:19	40073	1490845759972	43
47	1	41	0	20911	0	20516	2017-03-30 11:49:20	40047	1490845760005	44
50	1	41	0	20964	0	20534	2017-03-30 11:49:20	40050	1490845760039	45
40	1	38	0	19258	0	20416	2017-03-30 11:49:20	40040	1490845760072	46
46	1	41	0	19862	0	20646	2017-03-30 11:49:20	40046	1490845760105	47
34	1	33	0	20902	0	20701	2017-03-30 11:49:20	40034	1490845760139	48
69	1	41	0	20332	0	20661	2017-03-30 11:49:20	40069	1490845760172	49
76	1	41	0	19998	0	20605	2017-03-30 11:49:20	40076	1490845760206	50
