nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
2	0	61459	0	4287	2017-03-30 11:49:57	40002	1490845797536	1
3	0	61459	0	4279	2017-03-30 11:49:57	40003	1490845797576	2
22	0	61459	0	4427	2017-03-30 11:49:57	40022	1490845797636	3
4	0	61459	0	1982	2017-03-30 11:49:57	40004	1490845797752	4
18	0	61459	0	4453	2017-03-30 11:49:57	40018	1490845797784	5
12	0	61459	0	4270	2017-03-30 11:49:57	40012	1490845797818	6
17	0	61459	0	4355	2017-03-30 11:49:57	40017	1490845797985	7
10	0	61459	0	3276	2017-03-30 11:49:58	40010	1490845798228	8
6	0	61459	0	3877	2017-03-30 11:49:58	40006	1490845798270	9
19	0	61459	0	4335	2017-03-30 11:49:58	40019	1490845798311	10
13	0	61459	0	3276	2017-03-30 11:49:58	40013	1490845798353	11
21	0	61459	0	3828	2017-03-30 11:49:58	40021	1490845798403	12
15	0	61459	0	4610	2017-03-30 11:49:58	40015	1490845798486	13
20	0	61459	0	3923	2017-03-30 11:49:58	40020	1490845798720	14
7	0	61459	0	3519	2017-03-30 11:49:58	40007	1490845798900	15
11	0	61459	0	3774	2017-03-30 11:49:59	40011	1490845799263	16
34	0	61459	0	3465	2017-03-30 11:49:59	40034	1490845799363	17
30	0	61459	0	1885	2017-03-30 11:49:59	40030	1490845799463	18
1	0	61461	0	4006	2017-03-30 11:49:59	40001	1490845799530	19
38	0	61459	0	3756	2017-03-30 11:49:59	40038	1490845799563	20
32	0	61459	0	4199	2017-03-30 11:49:59	40032	1490845799780	21
8	0	61461	0	3317	2017-03-30 11:49:59	40008	1490845799897	22
14	0	61459	0	3580	2017-03-30 11:49:59	40014	1490845799930	23
47	0	61459	0	3433	2017-03-30 11:49:59	40047	1490845799964	24
31	0	61460	0	2990	2017-03-30 11:50:00	40031	1490845800064	25
36	0	61459	0	4391	2017-03-30 11:50:00	40036	1490845800131	26
55	0	61459	0	4720	2017-03-30 11:50:00	40055	1490845800164	27
35	0	61459	0	4060	2017-03-30 11:50:00	40035	1490845800264	28
68	0	61459	0	3447	2017-03-30 11:50:00	40068	1490845800298	29
75	0	61459	0	3497	2017-03-30 11:50:00	40075	1490845800398	30
72	0	61459	0	3820	2017-03-30 11:50:00	40072	1490845800431	31
26	0	61459	0	4883	2017-03-30 11:50:00	40026	1490845800465	32
77	0	61459	0	764	2017-03-30 11:50:00	40077	1490845800498	33
66	0	61459	0	702	2017-03-30 11:50:00	40066	1490845800598	34
27	0	61459	0	4002	2017-03-30 11:50:00	40027	1490845800632	35
81	0	61460	0	3339	2017-03-30 11:50:00	40081	1490845800665	36
40	0	61459	0	3507	2017-03-30 11:50:00	40040	1490845800698	37
119	0	61459	0	1106	2017-03-30 11:50:00	40119	1490845800732	38
83	0	61459	0	720	2017-03-30 11:50:00	40083	1490845800765	39
37	0	61459	0	3972	2017-03-30 11:50:00	40037	1490845800799	40
28	0	61463	0	3609	2017-03-30 11:50:00	40028	1490845800865	41
130	0	61459	0	823	2017-03-30 11:50:00	40130	1490845800982	42
63	0	61459	0	2226	2017-03-30 11:50:01	40063	1490845801016	43
137	0	61459	0	1189	2017-03-30 11:50:01	40137	1490845801049	44
139	0	61459	0	1992	2017-03-30 11:50:01	40139	1490845801082	45
44	0	61460	0	3492	2017-03-30 11:50:01	40044	1490845801133	46
67	0	61459	0	4363	2017-03-30 11:50:01	40067	1490845801199	47
120	0	61459	0	1908	2017-03-30 11:50:01	40120	1490845801233	48
134	0	61459	0	1114	2017-03-30 11:50:01	40134	1490845801266	49
132	0	61459	0	1667	2017-03-30 11:50:01	40132	1490845801299	50
136	0	61459	0	1974	2017-03-30 11:50:01	40136	1490845801366	51
71	0	61459	0	3988	2017-03-30 11:50:01	40071	1490845801400	52
127	0	61459	0	1316	2017-03-30 11:50:01	40127	1490845801433	53
118	0	61459	0	2035	2017-03-30 11:50:01	40118	1490845801470	54
65	0	61459	0	257	2017-03-30 11:50:01	40065	1490845801500	55
115	0	61459	0	1976	2017-03-30 11:50:01	40115	1490845801600	56
