nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
10	1	1	0	40723	0	41004	2017-03-30 17:03:43	40010	1490864623997	1
7	1	1	0	40724	0	40992	2017-03-30 17:03:44	40007	1490864624031	2
4	1	1	0	40724	0	41002	2017-03-30 17:03:44	40004	1490864624064	3
14	1	1	0	41243	0	41275	2017-03-30 17:03:44	40014	1490864624257	4
18	1	1	0	41260	0	41446	2017-03-30 17:03:44	40018	1490864624395	5
64	1	7	0	38053	0	41227	2017-03-30 17:03:44	40064	1490864624447	6
13	1	10	0	41431	0	41232	2017-03-30 17:03:44	40013	1490864624497	7
71	1	7	0	38051	0	41325	2017-03-30 17:03:44	40071	1490864624536	8
65	1	7	0	38066	0	41328	2017-03-30 17:03:44	40065	1490864624581	9
35	1	14	0	39850	0	41810	2017-03-30 17:03:44	40035	1490864624825	10
21	1	14	0	41979	0	41888	2017-03-30 17:03:44	40021	1490864624890	11
3	1	14	0	41910	0	41867	2017-03-30 17:03:44	40003	1490864624923	12
72	1	10	0	38581	0	41721	2017-03-30 17:03:44	40072	1490864624956	13
67	1	14	0	38719	0	42104	2017-03-30 17:03:45	40067	1490864625109	14
15	1	14	0	41969	0	42212	2017-03-30 17:03:45	40015	1490864625184	15
33	1	35	0	40303	0	40294	2017-03-30 17:03:45	40033	1490864625224	16
37	1	14	0	40314	0	42222	2017-03-30 17:03:45	40037	1490864625256	17
2	1	21	0	42034	0	42335	2017-03-30 17:03:45	40002	1490864625290	18
36	1	35	0	40354	0	40384	2017-03-30 17:03:45	40036	1490864625323	19
38	1	35	0	40351	0	40302	2017-03-30 17:03:45	40038	1490864625356	20
11	1	13	0	42350	0	42455	2017-03-30 17:03:45	40011	1490864625465	21
22	1	21	0	42400	0	42640	2017-03-30 17:03:45	40022	1490864625545	22
28	1	35	0	40866	0	40673	2017-03-30 17:03:45	40028	1490864625633	23
19	1	21	0	42549	0	42805	2017-03-30 17:03:45	40019	1490864625673	24
8	1	3	0	42445	0	42811	2017-03-30 17:03:45	40008	1490864625757	25
42	1	38	0	39961	0	40902	2017-03-30 17:03:45	40042	1490864625790	26
6	1	3	0	42496	0	42816	2017-03-30 17:03:45	40006	1490864625840	27
30	1	38	0	40871	0	40924	2017-03-30 17:03:45	40030	1490864625874	28
39	1	38	0	40954	0	40986	2017-03-30 17:03:45	40039	1490864625907	29
40	1	28	0	41562	0	41367	2017-03-30 17:03:46	40040	1490864626097	30
20	1	11	0	42996	0	43010	2017-03-30 17:03:46	40020	1490864626132	31
17	1	39	0	43068	0	41324	2017-03-30 17:03:46	40017	1490864626257	32
26	1	19	0	41413	0	43204	2017-03-30 17:03:46	40026	1490864626321	33
41	1	30	0	40065	0	41518	2017-03-30 17:03:46	40041	1490864626439	34
43	1	30	0	40892	0	41490	2017-03-30 17:03:46	40043	1490864626474	35
12	1	22	0	43507	0	43427	2017-03-30 17:03:46	40012	1490864626513	36
25	1	28	0	41699	0	41879	2017-03-30 17:03:46	40025	1490864626591	37
44	1	30	0	39592	0	41818	2017-03-30 17:03:46	40044	1490864626721	38
52	1	33	0	39479	0	41849	2017-03-30 17:03:46	40052	1490864626749	39
78	1	17	0	40184	0	43554	2017-03-30 17:03:46	40078	1490864626783	40
76	1	43	0	40410	0	41425	2017-03-30 17:03:46	40076	1490864626965	41
57	1	43	0	39196	0	41423	2017-03-30 17:03:47	40057	1490864627016	42
75	1	2	0	40405	0	43786	2017-03-30 17:03:47	40075	1490864627050	43
48	1	43	0	40011	0	41541	2017-03-30 17:03:47	40048	1490864627083	44
51	1	43	0	39541	0	41478	2017-03-30 17:03:47	40051	1490864627133	45
80	1	41	0	40788	0	40779	2017-03-30 17:03:47	40080	1490864627166	46
59	1	43	0	42426	0	41633	2017-03-30 17:03:47	40059	1490864627200	47
46	1	41	0	40246	0	40854	2017-03-30 17:03:47	40046	1490864627233	48
68	1	43	0	40732	0	41711	2017-03-30 17:03:47	40068	1490864627266	49
79	1	44	0	41086	0	40473	2017-03-30 17:03:47	40079	1490864627625	50
47	1	48	0	42846	0	41775	2017-03-30 17:03:48	40047	1490864628777	51
50	1	46	0	41781	0	42237	2017-03-30 17:03:49	40050	1490864629197	52
27	1	47	0	44587	0	43503	2017-03-30 17:03:49	40027	1490864629420	53
55	1	46	0	43744	0	43123	2017-03-30 17:03:50	40055	1490864630026	54
31	1	27	0	45416	0	45399	2017-03-30 17:03:50	40031	1490864630213	55
24	1	27	0	46049	0	45826	2017-03-30 17:03:50	40024	1490864630681	56
7	2	1	0	61533	0	61800	2017-03-30 17:04:04	40007	1490864644485	57
18	2	1	0	61476	0	61662	2017-03-30 17:04:04	40018	1490864644610	58
10	2	1	0	61502	0	61783	2017-03-30 17:04:04	40010	1490864644652	59
14	2	1	0	61813	0	61846	2017-03-30 17:04:04	40014	1490864644794	60
19	2	18	0	62122	0	62138	2017-03-30 17:04:04	40019	1490864644836	61
21	2	18	0	62235	0	61991	2017-03-30 17:04:04	40021	1490864644919	62
65	2	1	0	58814	0	62349	2017-03-30 17:04:04	40065	1490864644952	63
13	2	18	0	62264	0	62161	2017-03-30 17:04:04	40013	1490864644986	64
4	2	1	0	61563	0	61841	2017-03-30 17:04:05	40004	1490864645019	65
71	2	4	0	58663	0	61927	2017-03-30 17:04:05	40071	1490864645053	66
3	2	18	0	62630	0	62433	2017-03-30 17:04:05	40003	1490864645086	67
37	2	18	0	60705	0	62459	2017-03-30 17:04:05	40037	1490864645119	68
33	2	18	0	60602	0	62406	2017-03-30 17:04:05	40033	1490864645153	69
8	2	18	0	62317	0	62491	2017-03-30 17:04:05	40008	1490864645186	70
17	2	19	0	62411	0	62452	2017-03-30 17:04:05	40017	1490864645219	71
72	2	10	0	59410	0	62550	2017-03-30 17:04:05	40072	1490864645289	72
67	2	14	0	59501	0	62885	2017-03-30 17:04:05	40067	1490864645360	73
35	2	14	0	60933	0	62893	2017-03-30 17:04:05	40035	1490864645395	74
11	2	13	0	62771	0	62876	2017-03-30 17:04:05	40011	1490864645428	75
26	2	19	0	60946	0	62737	2017-03-30 17:04:05	40026	1490864645461	76
20	2	13	0	62721	0	62845	2017-03-30 17:04:05	40020	1490864645495	77
36	2	37	0	61044	0	61126	2017-03-30 17:04:05	40036	1490864645562	78
15	2	8	0	63202	0	63112	2017-03-30 17:04:06	40015	1490864646112	79
6	2	11	0	63195	0	63312	2017-03-30 17:04:06	40006	1490864646229	80
28	2	35	0	61726	0	61533	2017-03-30 17:04:06	40028	1490864646329	81
42	2	28	0	60988	0	62073	2017-03-30 17:04:06	40042	1490864646363	82
38	2	37	0	62010	0	62014	2017-03-30 17:04:06	40038	1490864646396	83
25	2	28	0	62075	0	62256	2017-03-30 17:04:06	40025	1490864646482	84
30	2	37	0	62146	0	62207	2017-03-30 17:04:06	40030	1490864646566	85
32	2	33	0	62238	0	62241	2017-03-30 17:04:06	40032	1490864646645	86
40	2	38	0	62903	0	62564	2017-03-30 17:04:06	40040	1490864646930	87
