nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
21	0	61459	0	783	2017-03-30 17:04:03	40021	1490864643877	1
3	0	61459	0	3454	2017-03-30 17:04:03	40003	1490864643942	2
14	0	61459	0	2641	2017-03-30 17:04:03	40014	1490864643975	3
12	0	61459	0	3474	2017-03-30 17:04:04	40012	1490864644042	4
1	0	61461	0	3998	2017-03-30 17:04:04	40001	1490864644075	5
13	0	61459	0	2736	2017-03-30 17:04:04	40013	1490864644110	6
11	0	61459	0	2534	2017-03-30 17:04:04	40011	1490864644151	7
17	0	61459	0	1357	2017-03-30 17:04:04	40017	1490864644193	8
7	0	61459	0	3021	2017-03-30 17:04:04	40007	1490864644235	9
2	0	61459	0	3565	2017-03-30 17:04:04	40002	1490864644277	10
8	0	61459	0	3618	2017-03-30 17:04:04	40008	1490864644318	11
20	0	61459	0	3542	2017-03-30 17:04:04	40020	1490864644360	12
18	0	61459	0	2909	2017-03-30 17:04:04	40018	1490864644402	13
6	0	61459	0	3509	2017-03-30 17:04:04	40006	1490864644443	14
19	0	61459	0	3628	2017-03-30 17:04:04	40019	1490864644531	15
10	0	61459	0	2488	2017-03-30 17:04:04	40010	1490864644569	16
15	0	61459	0	3534	2017-03-30 17:04:04	40015	1490864644710	17
22	0	61459	0	3455	2017-03-30 17:04:04	40022	1490864644752	18
4	0	61459	0	3557	2017-03-30 17:04:04	40004	1490864644886	19
40	0	61459	0	3697	2017-03-30 17:04:05	40040	1490864645528	20
24	0	61459	0	2619	2017-03-30 17:04:05	40024	1490864645677	21
28	0	61459	0	3544	2017-03-30 17:04:05	40028	1490864645712	22
59	0	61459	0	3323	2017-03-30 17:04:05	40059	1490864645745	23
37	0	61459	0	3123	2017-03-30 17:04:05	40037	1490864645840	24
38	0	61460	0	3407	2017-03-30 17:04:05	40038	1490864645870	25
26	0	61461	0	3392	2017-03-30 17:04:05	40026	1490864645904	26
36	0	61460	0	704	2017-03-30 17:04:05	40036	1490864645945	27
25	0	61459	0	3866	2017-03-30 17:04:05	40025	1490864645979	28
30	0	61459	0	2593	2017-03-30 17:04:06	40030	1490864646012	29
32	0	61459	0	1918	2017-03-30 17:04:06	40032	1490864646046	30
39	0	61459	0	3490	2017-03-30 17:04:06	40039	1490864646079	31
34	0	61459	0	1027	2017-03-30 17:04:06	40034	1490864646162	32
33	0	61459	0	2642	2017-03-30 17:04:06	40033	1490864646196	33
31	0	61459	0	3370	2017-03-30 17:04:06	40031	1490864646263	34
35	0	61459	0	2899	2017-03-30 17:04:06	40035	1490864646296	35
27	0	61459	0	2827	2017-03-30 17:04:06	40027	1490864646430	36
43	0	61459	0	2864	2017-03-30 17:04:06	40043	1490864646513	37
77	0	61459	0	716	2017-03-30 17:04:06	40077	1490864646596	38
74	0	61459	0	877	2017-03-30 17:04:06	40074	1490864646680	39
42	0	61460	0	1339	2017-03-30 17:04:06	40042	1490864646772	40
123	0	61459	0	1981	2017-03-30 17:04:06	40123	1490864646829	41
122	0	61459	0	974	2017-03-30 17:04:06	40122	1490864646897	42
47	0	61459	0	2632	2017-03-30 17:04:06	40047	1490864646964	43
132	0	61459	0	2100	2017-03-30 17:04:06	40132	1490864646997	44
135	0	61459	0	1932	2017-03-30 17:04:07	40135	1490864647030	45
130	0	61459	0	765	2017-03-30 17:04:07	40130	1490864647097	46
121	0	61459	0	1891	2017-03-30 17:04:07	40121	1490864647130	47
120	0	61459	0	2054	2017-03-30 17:04:07	40120	1490864647164	48
128	0	61459	0	719	2017-03-30 17:04:07	40128	1490864647206	49
115	0	61459	0	1851	2017-03-30 17:04:07	40115	1490864647272	50
134	0	61459	0	877	2017-03-30 17:04:07	40134	1490864647339	51
129	0	61459	0	1624	2017-03-30 17:04:07	40129	1490864647373	52
72	0	61459	0	2367	2017-03-30 17:04:07	40072	1490864647423	53
117	0	61459	0	854	2017-03-30 17:04:07	40117	1490864647456	54
124	0	61459	0	2276	2017-03-30 17:04:07	40124	1490864647489	55
64	0	61459	0	2437	2017-03-30 17:04:07	40064	1490864647523	56
83	0	61459	0	734	2017-03-30 17:04:07	40083	1490864647556	57
55	0	61459	0	3181	2017-03-30 17:04:07	40055	1490864647590	58
63	0	61459	0	790	2017-03-30 17:04:07	40063	1490864647623	59
65	0	61459	0	4569	2017-03-30 17:04:07	40065	1490864647656	60
80	0	61459	0	2934	2017-03-30 17:04:07	40080	1490864647690	61
75	0	61459	0	2754	2017-03-30 17:04:07	40075	1490864647723	62
67	0	61459	0	4142	2017-03-30 17:04:07	40067	1490864647757	63
84	0	61459	0	836	2017-03-30 17:04:07	40084	1490864647790	64
41	0	61460	0	929	2017-03-30 17:04:07	40041	1490864647823	65
119	0	61459	0	846	2017-03-30 17:04:07	40119	1490864647857	66
73	0	61459	0	809	2017-03-30 17:04:07	40073	1490864647890	67
139	0	61459	0	1884	2017-03-30 17:04:07	40139	1490864647957	68
48	0	61459	0	3032	2017-03-30 17:04:07	40048	1490864647990	69
133	0	61459	0	1543	2017-03-30 17:04:08	40133	1490864648057	70
70	0	61459	0	721	2017-03-30 17:04:08	40070	1490864648090	71
71	0	61459	0	460	2017-03-30 17:04:08	40071	1490864648124	72
79	0	61459	0	3620	2017-03-30 17:04:08	40079	1490864648157	73
136	0	61459	0	2140	2017-03-30 17:04:08	40136	1490864648191	74
118	0	61459	0	2223	2017-03-30 17:04:08	40118	1490864648258	75
137	0	61459	0	941	2017-03-30 17:04:08	40137	1490864648316	76
78	0	61459	0	3084	2017-03-30 17:04:08	40078	1490864648383	77
66	0	61459	0	702	2017-03-30 17:04:08	40066	1490864648449	78
69	0	61459	0	1836	2017-03-30 17:04:08	40069	1490864648499	79
116	0	61459	0	1094	2017-03-30 17:04:08	40116	1490864648566	80
126	0	61459	0	2071	2017-03-30 17:04:08	40126	1490864648600	81
138	0	61459	0	1625	2017-03-30 17:04:08	40138	1490864648633	82
68	0	61459	0	2434	2017-03-30 17:04:08	40068	1490864648675	83
81	0	61459	0	1154	2017-03-30 17:04:08	40081	1490864648708	84
50	0	61459	0	2476	2017-03-30 17:04:08	40050	1490864648741	85
46	0	61459	0	3699	2017-03-30 17:04:08	40046	1490864648808	86
85	0	61459	0	761	2017-03-30 17:04:08	40085	1490864648842	87
51	0	61459	0	3309	2017-03-30 17:04:08	40051	1490864648875	88
76	0	61459	0	2966	2017-03-30 17:04:08	40076	1490864648908	89
127	0	61459	0	1803	2017-03-30 17:04:08	40127	1490864648942	90
57	0	61461	0	2887	2017-03-30 17:04:09	40057	1490864649209	91
131	0	61459	0	1972	2017-03-30 17:04:09	40131	1490864649242	92
44	0	61459	0	3093	2017-03-30 17:04:09	40044	1490864649342	93
52	0	61461	0	3680	2017-03-30 17:04:09	40052	1490864649376	94
21	1	57363	0	783	2017-03-30 17:05:03	40021	1490864703877	95
14	1	57363	0	8850	2017-03-30 17:05:03	40014	1490864703973	96
12	1	57363	0	5382	2017-03-30 17:05:04	40012	1490864704056	97
3	1	57363	0	3533	2017-03-30 17:05:04	40003	1490864704098	98
20	1	57363	0	10747	2017-03-30 17:05:04	40020	1490864704140	99
11	1	57363	0	8581	2017-03-30 17:05:04	40011	1490864704181	100
22	1	57363	0	5280	2017-03-30 17:05:04	40022	1490864704223	101
2	1	57363	0	5418	2017-03-30 17:05:04	40002	1490864704282	102
6	1	57363	0	10742	2017-03-30 17:05:04	40006	1490864704323	103
8	1	57363	0	10560	2017-03-30 17:05:04	40008	1490864704365	104
19	1	57363	0	10411	2017-03-30 17:05:04	40019	1490864704457	105
15	1	57363	0	10609	2017-03-30 17:05:04	40015	1490864704499	106
1	1	57365	0	10758	2017-03-30 17:05:04	40001	1490864704540	107
17	1	57363	0	1357	2017-03-30 17:05:04	40017	1490864704617	108
4	1	57363	0	9406	2017-03-30 17:05:04	40004	1490864704717	109
10	1	57363	0	4414	2017-03-30 17:05:04	40010	1490864704784	110
7	1	57364	0	3051	2017-03-30 17:05:04	40007	1490864704984	111
13	1	57363	0	9297	2017-03-30 17:05:05	40013	1490864705084	112
18	1	57364	0	9574	2017-03-30 17:05:05	40018	1490864705117	113
40	1	57363	0	10474	2017-03-30 17:05:05	40040	1490864705518	114
24	1	57363	0	9221	2017-03-30 17:05:05	40024	1490864705685	115
28	1	57363	0	3576	2017-03-30 17:05:05	40028	1490864705735	116
59	1	57363	0	9858	2017-03-30 17:05:05	40059	1490864705768	117
37	1	57363	0	9135	2017-03-30 17:05:05	40037	1490864705825	118
38	1	57363	0	10033	2017-03-30 17:05:05	40038	1490864705860	119
35	1	57363	0	2899	2017-03-30 17:05:05	40035	1490864705894	120
39	1	57363	0	8359	2017-03-30 17:05:05	40039	1490864705927	121
32	1	57363	0	5633	2017-03-30 17:05:05	40032	1490864705960	122
31	1	57363	0	9960	2017-03-30 17:05:05	40031	1490864705994	123
36	1	57364	0	704	2017-03-30 17:05:06	40036	1490864706027	124
27	1	57363	0	9066	2017-03-30 17:05:06	40027	1490864706094	125
25	1	57363	0	9213	2017-03-30 17:05:06	40025	1490864706127	126
33	1	57363	0	9008	2017-03-30 17:05:06	40033	1490864706394	127
30	1	57364	0	8613	2017-03-30 17:05:06	40030	1490864706428	128
34	1	57363	0	4298	2017-03-30 17:05:06	40034	1490864706461	129
77	1	57363	0	1443	2017-03-30 17:05:06	40077	1490864706561	130
43	1	57363	0	8899	2017-03-30 17:05:06	40043	1490864706595	131
74	1	57363	0	1869	2017-03-30 17:05:06	40074	1490864706628	132
26	1	57363	0	9927	2017-03-30 17:05:06	40026	1490864706661	133
42	1	57364	0	1339	2017-03-30 17:05:06	40042	1490864706773	134
122	1	57363	0	2133	2017-03-30 17:05:06	40122	1490864706862	135
118	1	57363	0	4543	2017-03-30 17:05:06	40118	1490864706895	136
128	1	57363	0	1427	2017-03-30 17:05:06	40128	1490864706928	137
137	1	57363	0	1813	2017-03-30 17:05:06	40137	1490864706962	138
121	1	57363	0	4002	2017-03-30 17:05:07	40121	1490864707037	139
47	1	57363	0	2680	2017-03-30 17:05:07	40047	1490864707070	140
134	1	57363	0	1632	2017-03-30 17:05:07	40134	1490864707104	141
120	1	57363	0	4228	2017-03-30 17:05:07	40120	1490864707137	142
131	1	57363	0	3997	2017-03-30 17:05:07	40131	1490864707171	143
85	1	57363	0	1486	2017-03-30 17:05:07	40085	1490864707204	144
126	1	57363	0	3958	2017-03-30 17:05:07	40126	1490864707271	145
81	1	57363	0	2055	2017-03-30 17:05:07	40081	1490864707304	146
41	1	57364	0	929	2017-03-30 17:05:07	40041	1490864707338	147
84	1	57363	0	1759	2017-03-30 17:05:07	40084	1490864707371	148
124	1	57363	0	4583	2017-03-30 17:05:07	40124	1490864707404	149
132	1	57363	0	4290	2017-03-30 17:05:07	40132	1490864707438	150
130	1	57363	0	1528	2017-03-30 17:05:07	40130	1490864707505	151
69	1	57363	0	4014	2017-03-30 17:05:07	40069	1490864707571	152
65	1	57363	0	5313	2017-03-30 17:05:07	40065	1490864707605	153
123	1	57363	0	3891	2017-03-30 17:05:07	40123	1490864707638	154
115	1	57363	0	3934	2017-03-30 17:05:07	40115	1490864707705	155
139	1	57363	0	3767	2017-03-30 17:05:07	40139	1490864707738	156
129	1	57363	0	2544	2017-03-30 17:05:07	40129	1490864707772	157
133	1	57363	0	2381	2017-03-30 17:05:07	40133	1490864707805	158
83	1	57363	0	1477	2017-03-30 17:05:07	40083	1490864707838	159
117	1	57363	0	1683	2017-03-30 17:05:07	40117	1490864707872	160
116	1	57363	0	2046	2017-03-30 17:05:07	40116	1490864707905	161
135	1	57363	0	3906	2017-03-30 17:05:07	40135	1490864707972	162
80	1	57363	0	3971	2017-03-30 17:05:08	40080	1490864708006	163
70	1	57363	0	1477	2017-03-30 17:05:08	40070	1490864708039	164
64	1	57363	0	3145	2017-03-30 17:05:08	40064	1490864708089	165
127	1	57363	0	3895	2017-03-30 17:05:08	40127	1490864708122	166
44	1	57364	0	5181	2017-03-30 17:05:08	40044	1490864708155	167
78	1	57363	0	4315	2017-03-30 17:05:08	40078	1490864708189	168
119	1	57363	0	1708	2017-03-30 17:05:08	40119	1490864708222	169
76	1	57363	0	8841	2017-03-30 17:05:08	40076	1490864708297	170
138	1	57363	0	3509	2017-03-30 17:05:08	40138	1490864708331	171
55	1	57363	0	8759	2017-03-30 17:05:08	40055	1490864708364	172
68	1	57363	0	6500	2017-03-30 17:05:08	40068	1490864708398	173
136	1	57363	0	4403	2017-03-30 17:05:08	40136	1490864708439	174
75	1	57363	0	3696	2017-03-30 17:05:08	40075	1490864708481	175
73	1	57363	0	1816	2017-03-30 17:05:08	40073	1490864708565	176
52	1	57364	0	3680	2017-03-30 17:05:08	40052	1490864708606	177
63	1	57363	0	1776	2017-03-30 17:05:08	40063	1490864708648	178
57	1	57363	0	10893	2017-03-30 17:05:08	40057	1490864708690	179
72	1	57363	0	9553	2017-03-30 17:05:08	40072	1490864708731	180
67	1	57363	0	8253	2017-03-30 17:05:08	40067	1490864708773	181
46	1	57364	0	10473	2017-03-30 17:05:08	40046	1490864708815	182
48	1	57365	0	3032	2017-03-30 17:05:08	40048	1490864708856	183
51	1	57365	0	10199	2017-03-30 17:05:08	40051	1490864708898	184
50	1	57365	0	8185	2017-03-30 17:05:08	40050	1490864708940	185
79	1	57363	0	7310	2017-03-30 17:05:08	40079	1490864708982	186
66	1	57363	0	1454	2017-03-30 17:05:09	40066	1490864709023	187
71	1	57365	0	460	2017-03-30 17:05:09	40071	1490864709065	188
21	2	53267	0	783	2017-03-30 17:06:03	40021	1490864763874	189
14	2	53267	0	16253	2017-03-30 17:06:03	40014	1490864763988	190
3	2	53267	0	3533	2017-03-30 17:06:04	40003	1490864764071	191
13	2	53267	0	11261	2017-03-30 17:06:04	40013	1490864764104	192
11	2	53267	0	14977	2017-03-30 17:06:04	40011	1490864764138	193
20	2	53267	0	18271	2017-03-30 17:06:04	40020	1490864764171	194
4	2	53267	0	16403	2017-03-30 17:06:04	40004	1490864764204	195
6	2	53267	0	17744	2017-03-30 17:06:04	40006	1490864764238	196
17	2	53267	0	1357	2017-03-30 17:06:04	40017	1490864764271	197
10	2	53268	0	4414	2017-03-30 17:06:04	40010	1490864764305	198
22	2	53267	0	7093	2017-03-30 17:06:04	40022	1490864764338	199
8	2	53267	0	17403	2017-03-30 17:06:04	40008	1490864764371	200
18	2	53267	0	15319	2017-03-30 17:06:04	40018	1490864764405	201
2	2	53267	0	7255	2017-03-30 17:06:04	40002	1490864764590	202
15	2	53267	0	13060	2017-03-30 17:06:04	40015	1490864764621	203
19	2	53267	0	17403	2017-03-30 17:06:04	40019	1490864764655	204
12	2	53267	0	7176	2017-03-30 17:06:04	40012	1490864764688	205
7	2	53268	0	3051	2017-03-30 17:06:04	40007	1490864764922	206
1	2	53269	0	16426	2017-03-30 17:06:05	40001	1490864765022	207
40	2	53267	0	15734	2017-03-30 17:06:05	40040	1490864765532	208
24	2	53267	0	15626	2017-03-30 17:06:05	40024	1490864765683	209
28	2	53267	0	3576	2017-03-30 17:06:05	40028	1490864765716	210
59	2	53267	0	16434	2017-03-30 17:06:05	40059	1490864765749	211
37	2	53267	0	15360	2017-03-30 17:06:05	40037	1490864765826	212
38	2	53267	0	16738	2017-03-30 17:06:05	40038	1490864765858	213
34	2	53267	0	5489	2017-03-30 17:06:05	40034	1490864765891	214
36	2	53267	0	704	2017-03-30 17:06:05	40036	1490864765925	215
31	2	53267	0	16666	2017-03-30 17:06:05	40031	1490864765958	216
25	2	53267	0	12657	2017-03-30 17:06:05	40025	1490864765991	217
35	2	53268	0	2899	2017-03-30 17:06:06	40035	1490864766058	218
30	2	53267	0	14392	2017-03-30 17:06:06	40030	1490864766092	219
33	2	53267	0	14890	2017-03-30 17:06:06	40033	1490864766125	220
39	2	53267	0	14992	2017-03-30 17:06:06	40039	1490864766325	221
27	2	53267	0	11073	2017-03-30 17:06:06	40027	1490864766375	222
32	2	53267	0	7556	2017-03-30 17:06:06	40032	1490864766409	223
26	2	53267	0	16440	2017-03-30 17:06:06	40026	1490864766442	224
43	2	53267	0	14991	2017-03-30 17:06:06	40043	1490864766509	225
77	2	53267	0	2151	2017-03-30 17:06:06	40077	1490864766617	226
123	2	53267	0	5736	2017-03-30 17:06:06	40123	1490864766851	227
118	2	53267	0	6800	2017-03-30 17:06:06	40118	1490864766884	228
42	2	53268	0	1339	2017-03-30 17:06:06	40042	1490864766918	229
132	2	53267	0	6457	2017-03-30 17:06:06	40132	1490864766951	230
116	2	53267	0	3286	2017-03-30 17:06:06	40116	1490864766985	231
139	2	53267	0	5652	2017-03-30 17:06:07	40139	1490864767018	232
133	2	53267	0	3905	2017-03-30 17:06:07	40133	1490864767052	233
126	2	53267	0	5951	2017-03-30 17:06:07	40126	1490864767085	234
74	2	53267	0	2845	2017-03-30 17:06:07	40074	1490864767118	235
128	2	53267	0	2440	2017-03-30 17:06:07	40128	1490864767152	236
121	2	53267	0	5956	2017-03-30 17:06:07	40121	1490864767185	237
129	2	53267	0	4273	2017-03-30 17:06:07	40129	1490864767252	238
134	2	53267	0	2443	2017-03-30 17:06:07	40134	1490864767285	239
124	2	53267	0	6813	2017-03-30 17:06:07	40124	1490864767319	240
122	2	53267	0	3221	2017-03-30 17:06:07	40122	1490864767352	241
71	2	53268	0	460	2017-03-30 17:06:07	40071	1490864767410	242
72	2	53267	0	11900	2017-03-30 17:06:07	40072	1490864767444	243
79	2	53267	0	10764	2017-03-30 17:06:07	40079	1490864767477	244
83	2	53267	0	2200	2017-03-30 17:06:07	40083	1490864767511	245
84	2	53267	0	2640	2017-03-30 17:06:07	40084	1490864767544	246
75	2	53267	0	4746	2017-03-30 17:06:07	40075	1490864767577	247
73	2	53267	0	2877	2017-03-30 17:06:07	40073	1490864767611	248
70	2	53267	0	2204	2017-03-30 17:06:07	40070	1490864767669	249
135	2	53267	0	5828	2017-03-30 17:06:07	40135	1490864767711	250
78	2	53267	0	6009	2017-03-30 17:06:07	40078	1490864767753	251
127	2	53267	0	5855	2017-03-30 17:06:07	40127	1490864767794	252
68	2	53267	0	12599	2017-03-30 17:06:07	40068	1490864767928	253
119	2	53267	0	3036	2017-03-30 17:06:07	40119	1490864767970	254
85	2	53267	0	2212	2017-03-30 17:06:08	40085	1490864768011	255
130	2	53267	0	2346	2017-03-30 17:06:08	40130	1490864768053	256
44	2	53268	0	5181	2017-03-30 17:06:08	40044	1490864768095	257
136	2	53267	0	6464	2017-03-30 17:06:08	40136	1490864768138	258
67	2	53267	0	14147	2017-03-30 17:06:08	40067	1490864768178	259
48	2	53268	0	3032	2017-03-30 17:06:08	40048	1490864768262	260
55	2	53267	0	15923	2017-03-30 17:06:08	40055	1490864768303	261
46	2	53267	0	17462	2017-03-30 17:06:08	40046	1490864768345	262
69	2	53267	0	6188	2017-03-30 17:06:08	40069	1490864768387	263
138	2	53267	0	5194	2017-03-30 17:06:08	40138	1490864768429	264
52	2	53268	0	3680	2017-03-30 17:06:08	40052	1490864768470	265
137	2	53267	0	2629	2017-03-30 17:06:08	40137	1490864768512	266
63	2	53267	0	2658	2017-03-30 17:06:08	40063	1490864768554	267
81	2	53267	0	3052	2017-03-30 17:06:08	40081	1490864768595	268
64	2	53267	0	3921	2017-03-30 17:06:08	40064	1490864768662	269
57	2	53268	0	11301	2017-03-30 17:06:08	40057	1490864768696	270
41	2	53268	0	929	2017-03-30 17:06:08	40041	1490864768796	271
80	2	53267	0	6435	2017-03-30 17:06:08	40080	1490864768829	272
66	2	53267	0	2162	2017-03-30 17:06:08	40066	1490864768862	273
120	2	53267	0	6207	2017-03-30 17:06:08	40120	1490864768904	274
131	2	53267	0	5926	2017-03-30 17:06:08	40131	1490864768938	275
76	2	53268	0	8841	2017-03-30 17:06:09	40076	1490864769005	276
47	2	53268	0	2680	2017-03-30 17:06:09	40047	1490864769038	277
117	2	53268	0	2521	2017-03-30 17:06:09	40117	1490864769071	278
65	2	53267	0	6050	2017-03-30 17:06:09	40065	1490864769121	279
115	2	53267	0	5830	2017-03-30 17:06:09	40115	1490864769155	280
50	2	53267	0	14261	2017-03-30 17:06:09	40050	1490864769188	281
51	2	53267	0	16219	2017-03-30 17:06:09	40051	1490864769221	282
21	3	49171	0	783	2017-03-30 17:07:03	40021	1490864823874	283
14	3	49171	0	23036	2017-03-30 17:07:04	40014	1490864824103	284
7	3	49172	0	3051	2017-03-30 17:07:04	40007	1490864824203	285
1	3	49173	0	22482	2017-03-30 17:07:04	40001	1490864824236	286
10	3	49172	0	4414	2017-03-30 17:07:04	40010	1490864824270	287
15	3	49171	0	13060	2017-03-30 17:07:04	40015	1490864824303	288
20	3	49171	0	25429	2017-03-30 17:07:04	40020	1490864824336	289
22	3	49171	0	12195	2017-03-30 17:07:04	40022	1490864824370	290
17	3	49171	0	1357	2017-03-30 17:07:04	40017	1490864824403	291
11	3	49171	0	17253	2017-03-30 17:07:04	40011	1490864824436	292
8	3	49171	0	24352	2017-03-30 17:07:04	40008	1490864824470	293
12	3	49171	0	12988	2017-03-30 17:07:04	40012	1490864824503	294
18	3	49172	0	21770	2017-03-30 17:07:04	40018	1490864824637	295
19	3	49171	0	24410	2017-03-30 17:07:04	40019	1490864824679	296
2	3	49171	0	13194	2017-03-30 17:07:04	40002	1490864824712	297
13	3	49171	0	11261	2017-03-30 17:07:04	40013	1490864824812	298
3	3	49171	0	3533	2017-03-30 17:07:04	40003	1490864824896	299
6	3	49171	0	24826	2017-03-30 17:07:05	40006	1490864825029	300
4	3	49171	0	22347	2017-03-30 17:07:05	40004	1490864825063	301
40	3	49171	0	22513	2017-03-30 17:07:05	40040	1490864825514	302
24	3	49171	0	21974	2017-03-30 17:07:05	40024	1490864825698	303
59	3	49171	0	21403	2017-03-30 17:07:05	40059	1490864825731	304
28	3	49171	0	3576	2017-03-30 17:07:05	40028	1490864825764	305
37	3	49173	0	21686	2017-03-30 17:07:05	40037	1490864825831	306
27	3	49171	0	11073	2017-03-30 17:07:05	40027	1490864825898	307
25	3	49171	0	19342	2017-03-30 17:07:05	40025	1490864825981	308
38	3	49171	0	23362	2017-03-30 17:07:06	40038	1490864826015	309
36	3	49173	0	704	2017-03-30 17:07:06	40036	1490864826048	310
34	3	49171	0	6405	2017-03-30 17:07:06	40034	1490864826115	311
35	3	49172	0	2899	2017-03-30 17:07:06	40035	1490864826157	312
31	3	49171	0	23233	2017-03-30 17:07:06	40031	1490864826190	313
32	3	49171	0	9483	2017-03-30 17:07:06	40032	1490864826224	314
33	3	49171	0	20829	2017-03-30 17:07:06	40033	1490864826257	315
39	3	49171	0	20037	2017-03-30 17:07:06	40039	1490864826324	316
26	3	49171	0	22943	2017-03-30 17:07:06	40026	1490864826390	317
43	3	49171	0	20650	2017-03-30 17:07:06	40043	1490864826524	318
77	3	49171	0	2859	2017-03-30 17:07:06	40077	1490864826566	319
30	3	49171	0	20299	2017-03-30 17:07:06	40030	1490864826691	320
74	3	49171	0	3663	2017-03-30 17:07:06	40074	1490864826733	321
42	3	49172	0	1339	2017-03-30 17:07:06	40042	1490864826774	322
123	3	49171	0	7664	2017-03-30 17:07:06	40123	1490864826816	323
116	3	49171	0	4267	2017-03-30 17:07:06	40116	1490864826941	324
