seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	0	20499	2017-03-30 17:03:23	40001	1490864603962	1
1	0	40979	2017-03-30 17:03:43	40001	1490864623925	2
2	0	61459	2017-03-30 17:04:04	40001	1490864644008	3
3	1	16403	2017-03-30 17:04:23	40001	1490864663925	4
4	1	36883	2017-03-30 17:04:43	40001	1490864683925	5
5	1	57363	2017-03-30 17:05:04	40001	1490864704407	6
6	2	12307	2017-03-30 17:05:23	40001	1490864723921	7
7	2	32787	2017-03-30 17:05:43	40001	1490864743922	8
8	2	53267	2017-03-30 17:06:04	40001	1490864764855	9
9	3	8211	2017-03-30 17:06:23	40001	1490864783922	10
10	3	28691	2017-03-30 17:06:43	40001	1490864803922	11
11	3	49171	2017-03-30 17:07:04	40001	1490864824069	12
12	4	4115	2017-03-30 17:07:23	40001	1490864843918	13
13	4	24595	2017-03-30 17:07:43	40001	1490864863919	14
14	4	45075	2017-03-30 17:08:04	40001	1490864884179	15
15	5	19	2017-03-30 17:08:23	40001	1490864903919	16
16	5	20499	2017-03-30 17:08:43	40001	1490864923919	17
17	5	40979	2017-03-30 17:09:03	40001	1490864943966	18
18	5	61459	2017-03-30 17:09:23	40001	1490864963919	19
19	6	16403	2017-03-30 17:09:43	40001	1490864983915	20
20	6	36883	2017-03-30 17:10:04	40001	1490865004751	21
21	6	57363	2017-03-30 17:10:23	40001	1490865023916	22
22	7	12307	2017-03-30 17:10:43	40001	1490865043916	23
23	7	32787	2017-03-30 17:11:04	40001	1490865064182	24
24	7	53267	2017-03-30 17:11:23	40001	1490865083916	25
25	8	8211	2017-03-30 17:11:43	40001	1490865103912	26
26	8	28691	2017-03-30 17:12:04	40001	1490865124774	27
27	8	49171	2017-03-30 17:12:23	40001	1490865143913	28
28	9	4115	2017-03-30 17:12:43	40001	1490865163913	29
29	9	24595	2017-03-30 17:13:04	40001	1490865184448	30
30	9	45075	2017-03-30 17:13:23	40001	1490865203913	31
31	10	23	2017-03-30 17:13:43	40001	1490865223917	32
32	10	20499	2017-03-30 17:14:04	40001	1490865244055	33
33	10	40979	2017-03-30 17:14:23	40001	1490865263909	34
34	10	61459	2017-03-30 17:14:43	40001	1490865283910	35
35	11	16403	2017-03-30 17:15:04	40001	1490865304448	36
36	11	36883	2017-03-30 17:15:23	40001	1490865323910	37
