nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
10	1	1	0	40723	0	41042	2017-03-31 08:35:41	40010	1490920541373	1
4	1	1	0	40722	0	41034	2017-03-31 08:35:41	40004	1490920541407	2
71	1	1	0	37603	0	41004	2017-03-31 08:35:41	40071	1490920541440	3
18	1	1	0	41243	0	41288	2017-03-31 08:35:41	40018	1490920541621	4
14	1	1	0	41244	0	41444	2017-03-31 08:35:41	40014	1490920541737	5
7	1	1	0	41246	0	41449	2017-03-31 08:35:41	40007	1490920541782	6
11	1	71	0	41177	0	38135	2017-03-31 08:35:41	40011	1490920541833	7
67	1	71	0	38623	0	38326	2017-03-31 08:35:42	40067	1490920542022	8
19	1	18	0	41454	0	41711	2017-03-31 08:35:42	40019	1490920542085	9
3	1	18	0	41940	0	41761	2017-03-31 08:35:42	40003	1490920542115	10
64	1	7	0	38574	0	41582	2017-03-31 08:35:42	40064	1490920542149	11
72	1	71	0	38572	0	38413	2017-03-31 08:35:42	40072	1490920542183	12
15	1	18	0	41922	0	41819	2017-03-31 08:35:42	40015	1490920542217	13
130	1	71	0	38591	0	38421	2017-03-31 08:35:42	40130	1490920542250	14
85	1	71	0	38573	0	38582	2017-03-31 08:35:42	40085	1490920542291	15
13	1	18	0	41361	0	41726	2017-03-31 08:35:42	40013	1490920542326	16
21	1	18	0	42219	0	41997	2017-03-31 08:35:42	40021	1490920542359	17
65	1	7	0	38655	0	41853	2017-03-31 08:35:42	40065	1490920542392	18
20	1	11	0	41865	0	41731	2017-03-31 08:35:42	40020	1490920542425	19
84	1	71	0	38591	0	38594	2017-03-31 08:35:42	40084	1490920542459	20
35	1	18	0	40153	0	42093	2017-03-31 08:35:42	40035	1490920542492	21
37	1	14	0	40170	0	41996	2017-03-31 08:35:42	40037	1490920542526	22
17	1	19	0	41852	0	41896	2017-03-31 08:35:42	40017	1490920542559	23
26	1	19	0	40313	0	41944	2017-03-31 08:35:42	40026	1490920542592	24
80	1	64	0	39093	0	38983	2017-03-31 08:35:42	40080	1490920542626	25
8	1	18	0	41866	0	42194	2017-03-31 08:35:42	40008	1490920542659	26
129	1	130	0	39095	0	39078	2017-03-31 08:35:42	40129	1490920542692	27
128	1	130	0	39093	0	39088	2017-03-31 08:35:42	40128	1490920542726	28
117	1	130	0	39096	0	38990	2017-03-31 08:35:42	40117	1490920542759	29
81	1	64	0	39094	0	39294	2017-03-31 08:35:42	40081	1490920542793	30
121	1	130	0	39256	0	39246	2017-03-31 08:35:42	40121	1490920542843	31
69	1	64	0	39244	0	39359	2017-03-31 08:35:42	40069	1490920542876	32
22	1	21	0	42417	0	42741	2017-03-31 08:35:42	40022	1490920542910	33
75	1	65	0	39237	0	39250	2017-03-31 08:35:42	40075	1490920542973	34
28	1	35	0	40744	0	40728	2017-03-31 08:35:43	40028	1490920543018	35
70	1	85	0	39614	0	39339	2017-03-31 08:35:43	40070	1490920543060	36
2	1	21	0	43023	0	42935	2017-03-31 08:35:43	40002	1490920543093	37
63	1	80	0	39614	0	39639	2017-03-31 08:35:43	40063	1490920543127	38
39	1	17	0	40804	0	42398	2017-03-31 08:35:43	40039	1490920543160	39
122	1	129	0	39614	0	39635	2017-03-31 08:35:43	40122	1490920543193	40
36	1	26	0	40735	0	40805	2017-03-31 08:35:43	40036	1490920543227	41
127	1	129	0	39743	0	39658	2017-03-31 08:35:43	40127	1490920543260	42
120	1	129	0	39797	0	39786	2017-03-31 08:35:43	40120	1490920543293	43
115	1	129	0	39758	0	39786	2017-03-31 08:35:43	40115	1490920543327	44
68	1	81	0	39616	0	39624	2017-03-31 08:35:43	40068	1490920543360	45
124	1	81	0	40047	0	39700	2017-03-31 08:35:43	40124	1490920543394	46
42	1	36	0	39759	0	41047	2017-03-31 08:35:43	40042	1490920543427	47
44	1	80	0	39634	0	39822	2017-03-31 08:35:43	40044	1490920543460	48
6	1	20	0	42390	0	42481	2017-03-31 08:35:43	40006	1490920543494	49
38	1	35	0	41008	0	41050	2017-03-31 08:35:43	40038	1490920543527	50
118	1	134	0	40368	0	40620	2017-03-31 08:35:43	40118	1490920543569	51
12	1	22	0	42894	0	42990	2017-03-31 08:35:43	40012	1490920543611	52
116	1	129	0	39771	0	39786	2017-03-31 08:35:43	40116	1490920543652	53
57	1	44	0	40136	0	40124	2017-03-31 08:35:43	40057	1490920543694	54
134	1	128	0	40152	0	39595	2017-03-31 08:35:43	40134	1490920543736	55
79	1	44	0	40016	0	40054	2017-03-31 08:35:43	40079	1490920543778	56
83	1	70	0	40136	0	40410	2017-03-31 08:35:43	40083	1490920543819	57
136	1	78	0	40312	0	40344	2017-03-31 08:35:43	40136	1490920543861	58
43	1	44	0	41171	0	40300	2017-03-31 08:35:43	40043	1490920543903	59
41	1	44	0	40286	0	40283	2017-03-31 08:35:43	40041	1490920543944	60
135	1	124	0	40497	0	40635	2017-03-31 08:35:43	40135	1490920543986	61
131	1	127	0	40338	0	40346	2017-03-31 08:35:44	40131	1490920544028	62
138	1	74	0	40430	0	40268	2017-03-31 08:35:44	40138	1490920544070	63
47	1	44	0	40660	0	40368	2017-03-31 08:35:44	40047	1490920544128	64
123	1	127	0	40346	0	40338	2017-03-31 08:35:44	40123	1490920544170	65
78	1	17	0	39869	0	42716	2017-03-31 08:35:44	40078	1490920544211	66
27	1	57	0	42222	0	40682	2017-03-31 08:35:44	40027	1490920544253	67
25	1	35	0	41041	0	41042	2017-03-31 08:35:44	40025	1490920544295	68
46	1	57	0	40658	0	40659	2017-03-31 08:35:44	40046	1490920544345	69
55	1	57	0	40687	0	40687	2017-03-31 08:35:44	40055	1490920544387	70
66	1	70	0	40662	0	40625	2017-03-31 08:35:44	40066	1490920544451	71
137	1	131	0	40657	0	40730	2017-03-31 08:35:44	40137	1490920544495	72
52	1	57	0	40949	0	40943	2017-03-31 08:35:44	40052	1490920544529	73
74	1	81	0	39630	0	39611	2017-03-31 08:35:44	40074	1490920544562	74
59	1	44	0	40319	0	40290	2017-03-31 08:35:44	40059	1490920544595	75
76	1	80	0	40126	0	40434	2017-03-31 08:35:44	40076	1490920544629	76
132	1	129	0	39771	0	39771	2017-03-31 08:35:44	40132	1490920544662	77
73	1	81	0	39633	0	39611	2017-03-31 08:35:44	40073	1490920544696	78
77	1	70	0	40141	0	40407	2017-03-31 08:35:44	40077	1490920544729	79
133	1	119	0	41177	0	41330	2017-03-31 08:35:44	40133	1490920544762	80
51	1	57	0	40871	0	40855	2017-03-31 08:35:44	40051	1490920544796	81
50	1	57	0	41197	0	41099	2017-03-31 08:35:44	40050	1490920544829	82
126	1	136	0	40904	0	40886	2017-03-31 08:35:44	40126	1490920544862	83
30	1	38	0	41904	0	41665	2017-03-31 08:35:44	40030	1490920544896	84
48	1	57	0	40878	0	40827	2017-03-31 08:35:44	40048	1490920544929	85
139	1	131	0	40835	0	40920	2017-03-31 08:35:44	40139	1490920544963	86
31	1	27	0	42759	0	42980	2017-03-31 08:35:44	40031	1490920544996	87
24	1	27	0	42741	0	42900	2017-03-31 08:35:45	40024	1490920545029	88
119	1	131	0	40657	0	40658	2017-03-31 08:35:45	40119	1490920545063	89
34	1	52	0	42955	0	41572	2017-03-31 08:35:45	40034	1490920545096	90
32	1	52	0	43075	0	41774	2017-03-31 08:35:45	40032	1490920545321	91
40	1	41	0	41996	0	41978	2017-03-31 08:35:45	40040	1490920545541	92
18	2	1	0	61426	0	61471	2017-03-31 08:36:01	40018	1490920561338	93
10	2	1	0	61240	0	61559	2017-03-31 08:36:01	40010	1490920561405	94
7	2	1	0	61364	0	61566	2017-03-31 08:36:01	40007	1490920561438	95
71	2	1	0	58183	0	61584	2017-03-31 08:36:01	40071	1490920561472	96
4	2	1	0	61249	0	61561	2017-03-31 08:36:01	40004	1490920561505	97
14	2	1	0	61711	0	61910	2017-03-31 08:36:01	40014	1490920561989	98
85	2	71	0	58762	0	58771	2017-03-31 08:36:02	40085	1490920562056	99
64	2	7	0	58896	0	61904	2017-03-31 08:36:02	40064	1490920562106	100
84	2	71	0	58906	0	58909	2017-03-31 08:36:02	40084	1490920562139	101
11	2	71	0	62057	0	59015	2017-03-31 08:36:02	40011	1490920562225	102
67	2	71	0	59400	0	59103	2017-03-31 08:36:02	40067	1490920562310	103
130	2	71	0	59273	0	59103	2017-03-31 08:36:02	40130	1490920562339	104
15	2	14	0	62595	0	62336	2017-03-31 08:36:02	40015	1490920562373	105
72	2	71	0	59369	0	59211	2017-03-31 08:36:02	40072	1490920562420	106
65	2	64	0	59334	0	59519	2017-03-31 08:36:02	40065	1490920562547	107
80	2	64	0	59700	0	59589	2017-03-31 08:36:02	40080	1490920562615	108
81	2	64	0	59374	0	59574	2017-03-31 08:36:02	40081	1490920562648	109
3	2	14	0	63031	0	62697	2017-03-31 08:36:02	40003	1490920562693	110
35	2	14	0	60942	0	62727	2017-03-31 08:36:02	40035	1490920562730	111
13	2	14	0	62542	0	62752	2017-03-31 08:36:02	40013	1490920562765	112
69	2	64	0	59665	0	59780	2017-03-31 08:36:02	40069	1490920562802	113
37	2	14	0	60984	0	62810	2017-03-31 08:36:02	40037	1490920562832	114
128	2	130	0	59812	0	59807	2017-03-31 08:36:02	40128	1490920562865	115
8	2	15	0	62700	0	63126	2017-03-31 08:36:02	40008	1490920562898	116
74	2	80	0	59726	0	60018	2017-03-31 08:36:02	40074	1490920562932	117
44	2	80	0	59879	0	60068	2017-03-31 08:36:02	40044	1490920562970	118
68	2	80	0	59808	0	60126	2017-03-31 08:36:03	40068	1490920563042	119
73	2	80	0	59899	0	60188	2017-03-31 08:36:03	40073	1490920563108	120
38	2	35	0	61326	0	61368	2017-03-31 08:36:03	40038	1490920563158	121
121	2	130	0	60194	0	60184	2017-03-31 08:36:03	40121	1490920563225	122
122	2	128	0	60335	0	60345	2017-03-31 08:36:03	40122	1490920563367	123
57	2	44	0	60323	0	60311	2017-03-31 08:36:03	40057	1490920563401	124
21	2	35	0	63514	0	61348	2017-03-31 08:36:03	40021	1490920563434	125
48	2	44	0	60429	0	60371	2017-03-31 08:36:03	40048	1490920563467	126
116	2	128	0	60483	0	60486	2017-03-31 08:36:03	40116	1490920563534	127
124	2	81	0	60394	0	60046	2017-03-31 08:36:03	40124	1490920563568	128
63	2	80	0	60271	0	60296	2017-03-31 08:36:03	40063	1490920563668	129
30	2	44	0	62101	0	60595	2017-03-31 08:36:03	40030	1490920563701	130
52	2	57	0	60660	0	60655	2017-03-31 08:36:03	40052	1490920563735	131
79	2	44	0	60627	0	60665	2017-03-31 08:36:03	40079	1490920563768	132
47	2	44	0	60910	0	60617	2017-03-31 08:36:03	40047	1490920563810	133
127	2	124	0	60933	0	60995	2017-03-31 08:36:03	40127	1490920563851	134
129	2	130	0	60095	0	60079	2017-03-31 08:36:03	40129	1490920563935	135
136	2	124	0	60949	0	61110	2017-03-31 08:36:03	40136	1490920563977	136
26	2	36	0	62182	0	62103	2017-03-31 08:36:04	40026	1490920564018	137
36	2	37	0	61472	0	61453	2017-03-31 08:36:04	40036	1490920564060	138
115	2	129	0	60962	0	60989	2017-03-31 08:36:04	40115	1490920564102	139
40	2	38	0	60503	0	61753	2017-03-31 08:36:04	40040	1490920564143	140
51	2	57	0	60913	0	60898	2017-03-31 08:36:04	40051	1490920564185	141
117	2	130	0	60286	0	60182	2017-03-31 08:36:04	40117	1490920564227	142
50	2	57	0	60893	0	60796	2017-03-31 08:36:04	40050	1490920564269	143
20	2	6	0	64346	0	64244	2017-03-31 08:36:04	40020	1490920564352	144
120	2	132	0	61355	0	61340	2017-03-31 08:36:04	40120	1490920564394	145
46	2	57	0	60649	0	60650	2017-03-31 08:36:04	40046	1490920564452	146
12	2	2	0	64473	0	64981	2017-03-31 08:36:04	40012	1490920564494	147
55	2	57	0	60808	0	60808	2017-03-31 08:36:04	40055	1490920564719	148
41	2	80	0	60104	0	60294	2017-03-31 08:36:04	40041	1490920564753	149
19	2	21	0	63666	0	64140	2017-03-31 08:36:04	40019	1490920564786	150
17	2	39	0	64206	0	62603	2017-03-31 08:36:05	40017	1490920565011	151
75	2	63	0	61710	0	61989	2017-03-31 08:36:05	40075	1490920565078	152
2	2	21	0	64241	0	64153	2017-03-31 08:36:05	40002	1490920565145	153
119	2	139	0	62522	0	62433	2017-03-31 08:36:05	40119	1490920565412	154
59	2	44	0	60290	0	60261	2017-03-31 08:36:05	40059	1490920565613	155
83	2	70	0	61304	0	61578	2017-03-31 08:36:05	40083	1490920565729	156
118	2	134	0	61558	0	61810	2017-03-31 08:36:05	40118	1490920565763	157
24	2	27	0	63054	0	63213	2017-03-31 08:36:06	40024	1490920566080	158
25	2	28	0	62326	0	62338	2017-03-31 08:36:06	40025	1490920566314	159
22	2	2	0	64511	0	64918	2017-03-31 08:36:06	40022	1490920566347	160
76	2	80	0	59935	0	60244	2017-03-31 08:36:06	40076	1490920566380	161
43	2	80	0	60855	0	60178	2017-03-31 08:36:06	40043	1490920566447	162
39	2	38	0	61790	0	61703	2017-03-31 08:36:06	40039	1490920566548	163
135	2	132	0	61352	0	61340	2017-03-31 08:36:06	40135	1490920566714	164
131	2	135	0	62246	0	62177	2017-03-31 08:36:06	40131	1490920566748	165
27	2	57	0	62343	0	60803	2017-03-31 08:36:06	40027	1490920566781	166
78	2	136	0	61574	0	61533	2017-03-31 08:36:06	40078	1490920566814	167
70	2	85	0	60901	0	60626	2017-03-31 08:36:06	40070	1490920566998	168
137	2	139	0	62440	0	62423	2017-03-31 08:36:07	40137	1490920567031	169
133	2	139	0	62437	0	62506	2017-03-31 08:36:07	40133	1490920567131	170
132	2	124	0	60742	0	60888	2017-03-31 08:36:07	40132	1490920567173	171
28	2	35	0	61635	0	61619	2017-03-31 08:36:07	40028	1490920567273	172
31	2	27	0	62787	0	63007	2017-03-31 08:36:07	40031	1490920567307	173
134	2	128	0	61250	0	60692	2017-03-31 08:36:07	40134	1490920567407	174
33	2	37	0	63681	0	63684	2017-03-31 08:36:07	40033	1490920567474	175
6	2	15	0	63106	0	63486	2017-03-31 08:36:07	40006	1490920567607	176
77	2	70	0	61754	0	62019	2017-03-31 08:36:07	40077	1490920567707	177
42	2	44	0	60243	0	60243	2017-03-31 08:36:07	40042	1490920567741	178
139	2	135	0	62123	0	62142	2017-03-31 08:36:07	40139	1490920567774	179
66	2	83	0	63079	0	62763	2017-03-31 08:36:07	40066	1490920567866	180
126	2	135	0	62167	0	62172	2017-03-31 08:36:07	40126	1490920567899	181
123	2	135	0	62254	0	62169	2017-03-31 08:36:07	40123	1490920567934	182
138	2	135	0	62146	0	62169	2017-03-31 08:36:08	40138	1490920568043	183
71	3	1	1	13029	1	16430	2017-03-31 08:36:21	40071	1490920581343	184
10	3	1	1	16124	1	16443	2017-03-31 08:36:21	40010	1490920581384	185
7	3	1	1	16260	1	16463	2017-03-31 08:36:21	40007	1490920581426	186
4	3	1	1	16168	1	16480	2017-03-31 08:36:21	40004	1490920581468	187
14	3	1	1	16394	1	16593	2017-03-31 08:36:21	40014	1490920581534	188
18	3	1	1	16371	1	16415	2017-03-31 08:36:21	40018	1490920581576	189
11	3	71	1	16528	1	13485	2017-03-31 08:36:21	40011	1490920581761	190
85	3	71	1	13517	1	13525	2017-03-31 08:36:21	40085	1490920581809	191
84	3	71	1	13572	1	13575	2017-03-31 08:36:21	40084	1490920581851	192
72	3	71	1	13704	1	13545	2017-03-31 08:36:21	40072	1490920581885	193
13	3	14	1	16677	1	16888	2017-03-31 08:36:21	40013	1490920581957	194
21	3	14	1	17285	1	16908	2017-03-31 08:36:21	40021	1490920581985	195
35	3	14	1	15226	1	17011	2017-03-31 08:36:22	40035	1490920582083	196
130	3	71	1	14013	1	13842	2017-03-31 08:36:22	40130	1490920582118	197
37	3	14	1	15193	1	17019	2017-03-31 08:36:22	40037	1490920582152	198
15	3	14	1	17279	1	17021	2017-03-31 08:36:22	40015	1490920582185	199
67	3	14	1	14258	1	17162	2017-03-31 08:36:22	40067	1490920582245	200
69	3	84	1	14052	1	13973	2017-03-31 08:36:22	40069	1490920582277	201
3	3	14	1	17526	1	17192	2017-03-31 08:36:22	40003	1490920582310	202
19	3	21	1	17257	1	17731	2017-03-31 08:36:22	40019	1490920582417	203
2	3	21	1	17841	1	17753	2017-03-31 08:36:22	40002	1490920582494	204
8	3	15	1	17292	1	17718	2017-03-31 08:36:22	40008	1490920582527	205
22	3	21	1	17520	1	17844	2017-03-31 08:36:22	40022	1490920582560	206
33	3	37	1	15699	1	15704	2017-03-31 08:36:22	40033	1490920582594	207
28	3	37	1	15800	1	15741	2017-03-31 08:36:22	40028	1490920582627	208
128	3	130	1	14548	1	14544	2017-03-31 08:36:22	40128	1490920582661	209
121	3	130	1	14567	1	14557	2017-03-31 08:36:22	40121	1490920582694	210
38	3	37	1	15842	1	15842	2017-03-31 08:36:22	40038	1490920582727	211
129	3	130	1	14686	1	14670	2017-03-31 08:36:22	40129	1490920582761	212
39	3	37	1	15907	1	15824	2017-03-31 08:36:22	40039	1490920582794	213
70	3	85	1	14621	1	14347	2017-03-31 08:36:22	40070	1490920582828	214
117	3	130	1	14636	1	14531	2017-03-31 08:36:22	40117	1490920582861	215
26	3	19	1	16040	1	17671	2017-03-31 08:36:22	40026	1490920582894	216
30	3	37	1	16236	1	16003	2017-03-31 08:36:22	40030	1490920582928	217
12	3	2	1	17816	1	18325	2017-03-31 08:36:22	40012	1490920582961	218
20	3	3	1	17861	1	18219	2017-03-31 08:36:22	40020	1490920582995	219
6	3	15	1	17835	1	18214	2017-03-31 08:36:23	40006	1490920583028	220
42	3	28	1	14836	1	16162	2017-03-31 08:36:23	40042	1490920583061	221
36	3	37	1	15861	1	15842	2017-03-31 08:36:23	40036	1490920583095	222
124	3	121	1	15218	1	15060	2017-03-31 08:36:23	40124	1490920583132	223
25	3	28	1	16317	1	16330	2017-03-31 08:36:23	40025	1490920583162	224
135	3	121	1	15110	1	15095	2017-03-31 08:36:23	40135	1490920583195	225
41	3	30	1	15059	1	16557	2017-03-31 08:36:23	40041	1490920583228	226
115	3	121	1	15086	1	15107	2017-03-31 08:36:23	40115	1490920583262	227
44	3	30	1	15113	1	16609	2017-03-31 08:36:23	40044	1490920583295	228
17	3	19	1	18114	1	18157	2017-03-31 08:36:23	40017	1490920583328	229
116	3	121	1	15280	1	15287	2017-03-31 08:36:23	40116	1490920583362	230
123	3	121	1	15332	1	15237	2017-03-31 08:36:23	40123	1490920583395	231
127	3	129	1	15413	1	15328	2017-03-31 08:36:23	40127	1490920583429	232
118	3	129	1	15658	1	15369	2017-03-31 08:36:23	40118	1490920583479	233
122	3	129	1	15321	1	15343	2017-03-31 08:36:23	40122	1490920583512	234
134	3	117	1	16026	1	15568	2017-03-31 08:36:23	40134	1490920583546	235
65	3	7	1	15276	1	18473	2017-03-31 08:36:23	40065	1490920583579	236
132	3	115	1	15443	1	15410	2017-03-31 08:36:23	40132	1490920583612	237
48	3	30	1	15385	1	16829	2017-03-31 08:36:23	40048	1490920583646	238
126	3	135	1	15548	1	15553	2017-03-31 08:36:23	40126	1490920583704	239
47	3	44	1	15882	1	15590	2017-03-31 08:36:23	40047	1490920583738	240
139	3	135	1	15446	1	15466	2017-03-31 08:36:23	40139	1490920583771	241
77	3	70	1	15437	1	15702	2017-03-31 08:36:23	40077	1490920583804	242
79	3	44	1	15552	1	15590	2017-03-31 08:36:23	40079	1490920583838	243
138	3	135	1	15677	1	15700	2017-03-31 08:36:23	40138	1490920583871	244
43	3	30	1	16254	1	16884	2017-03-31 08:36:23	40043	1490920583904	245
57	3	48	1	15749	1	15790	2017-03-31 08:36:23	40057	1490920583938	246
136	3	121	1	15574	1	15582	2017-03-31 08:36:23	40136	1490920583971	247
137	3	139	1	15902	1	15885	2017-03-31 08:36:24	40137	1490920584005	248
46	3	48	1	15646	1	15692	2017-03-31 08:36:24	40046	1490920584038	249
131	3	135	1	15923	1	15853	2017-03-31 08:36:24	40131	1490920584071	250
