seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	0	20499	2017-03-31 09:17:55	40001	1490923075058	1
1	0	40979	2017-03-31 09:18:15	40001	1490923095015	2
2	0	61459	2017-03-31 09:18:35	40001	1490923115021	3
3	1	16403	2017-03-31 09:18:55	40001	1490923135011	4
4	1	36883	2017-03-31 09:19:15	40001	1490923155011	5
5	1	57363	2017-03-31 09:19:35	40001	1490923175029	6
6	2	12307	2017-03-31 09:19:55	40001	1490923195012	7
7	2	32787	2017-03-31 09:20:15	40001	1490923215012	8
8	2	53267	2017-03-31 09:20:35	40001	1490923235055	9
9	3	8211	2017-03-31 09:20:55	40001	1490923255008	10
10	3	28691	2017-03-31 09:21:15	40001	1490923275008	11
11	3	49171	2017-03-31 09:21:35	40001	1490923295010	12
12	4	4115	2017-03-31 09:21:55	40001	1490923315008	13
13	4	24595	2017-03-31 09:22:15	40001	1490923335009	14
14	4	45075	2017-03-31 09:22:37	40001	1490923357097	15
15	5	19	2017-03-31 09:22:55	40001	1490923375009	16
16	5	20499	2017-03-31 09:23:15	40001	1490923395009	17
17	5	40979	2017-03-31 09:23:35	40001	1490923415060	18
18	5	61459	2017-03-31 09:23:55	40001	1490923435005	19
19	6	16403	2017-03-31 09:24:15	40001	1490923455006	20
20	6	36883	2017-03-31 09:24:35	40001	1490923475062	21
21	6	57363	2017-03-31 09:24:55	40001	1490923495006	22
22	7	12307	2017-03-31 09:25:15	40001	1490923515006	23
23	7	32787	2017-03-31 09:25:35	40001	1490923535206	24
24	7	53267	2017-03-31 09:25:55	40001	1490923555002	25
25	8	8211	2017-03-31 09:26:15	40001	1490923575002	26
26	8	28691	2017-03-31 09:26:35	40001	1490923595031	27
27	8	49171	2017-03-31 09:26:55	40001	1490923615003	28
28	9	4115	2017-03-31 09:27:15	40001	1490923635003	29
29	9	24595	2017-03-31 09:27:35	40001	1490923655103	30
30	9	45075	2017-03-31 09:27:55	40001	1490923675003	31
31	10	19	2017-03-31 09:28:14	40001	1490923694999	32
32	10	20499	2017-03-31 09:28:35	40001	1490923715265	33
33	10	40979	2017-03-31 09:28:54	40001	1490923734999	34
34	10	61459	2017-03-31 09:29:15	40001	1490923755000	35
35	11	16403	2017-03-31 09:29:35	40001	1490923775791	36
36	11	36883	2017-03-31 09:29:55	40001	1490923795000	37
