nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
12	0	0	20416	2018-06-11 23:03:01	40012	1528729381956	1
21	0	0	20882	2018-06-11 23:03:02	40021	1528729382148	2
17	0	0	20939	2018-06-11 23:03:02	40017	1528729382182	3
16	0	0	20515	2018-06-11 23:03:02	40016	1528729382248	4
117	0	0	19256	2018-06-11 23:03:02	40117	1528729382415	5
8	0	0	20328	2018-06-11 23:03:02	40008	1528729382449	6
64	0	0	18765	2018-06-11 23:03:02	40064	1528729382650	7
11	0	0	20939	2018-06-11 23:03:02	40011	1528729382742	8
131	0	0	19337	2018-06-11 23:03:02	40131	1528729382809	9
135	0	0	19259	2018-06-11 23:03:02	40135	1528729382976	10
121	0	0	19907	2018-06-11 23:03:03	40121	1528729383059	11
38	0	0	19912	2018-06-11 23:03:03	40038	1528729383101	12
66	0	0	18909	2018-06-11 23:03:03	40066	1528729383435	13
10	0	0	20939	2018-06-11 23:03:03	40010	1528729383560	14
20	0	0	20952	2018-06-11 23:03:03	40020	1528729383691	15
41	0	0	19416	2018-06-11 23:03:03	40041	1528729383735	16
47	0	0	19935	2018-06-11 23:03:03	40047	1528729383777	17
139	0	0	19893	2018-06-11 23:03:03	40139	1528729383844	18
33	0	0	20211	2018-06-11 23:03:03	40033	1528729383877	19
122	0	0	20429	2018-06-11 23:03:03	40122	1528729383910	20
119	0	0	20433	2018-06-11 23:03:03	40119	1528729383977	21
123	0	0	19329	2018-06-11 23:03:04	40123	1528729384069	22
71	0	0	19911	2018-06-11 23:03:04	40071	1528729384102	23
39	0	0	19893	2018-06-11 23:03:04	40039	1528729384136	24
67	0	0	19103	2018-06-11 23:03:04	40067	1528729384236	25
69	0	0	19370	2018-06-11 23:03:04	40069	1528729384436	26
13	0	0	21000	2018-06-11 23:03:04	40013	1528729384503	27
77	0	0	19370	2018-06-11 23:03:04	40077	1528729384570	28
52	0	0	19711	2018-06-11 23:03:04	40052	1528729384603	29
26	0	0	20682	2018-06-11 23:03:04	40026	1528729384636	30
129	0	0	20468	2018-06-11 23:03:04	40129	1528729384737	31
24	0	0	20939	2018-06-11 23:03:04	40024	1528729384804	32
50	0	0	19161	2018-06-11 23:03:04	40050	1528729384870	33
72	0	0	19435	2018-06-11 23:03:04	40072	1528729384904	34
37	0	0	19842	2018-06-11 23:03:04	40037	1528729384937	35
115	0	0	20416	2018-06-11 23:03:05	40115	1528729385037	36
127	0	0	20749	2018-06-11 23:03:05	40127	1528729385095	37
44	0	0	19893	2018-06-11 23:03:05	40044	1528729385129	38
9	0	0	21392	2018-06-11 23:03:05	40009	1528729385196	39
118	0	0	20595	2018-06-11 23:03:05	40118	1528729385229	40
43	0	0	19835	2018-06-11 23:03:05	40043	1528729385321	41
40	0	0	18985	2018-06-11 23:03:05	40040	1528729385388	42
53	0	0	19294	2018-06-11 23:03:05	40053	1528729385421	43
120	0	0	19918	2018-06-11 23:03:05	40120	1528729385454	44
70	0	0	19252	2018-06-11 23:03:05	40070	1528729385488	45
124	0	0	20977	2018-06-11 23:03:05	40124	1528729385521	46
56	0	0	20195	2018-06-11 23:03:05	40056	1528729385555	47
80	0	0	19406	2018-06-11 23:03:05	40080	1528729385588	48
63	0	0	19296	2018-06-11 23:03:05	40063	1528729385621	49
132	0	0	20939	2018-06-11 23:03:05	40132	1528729385655	50
32	0	0	20461	2018-06-11 23:03:05	40032	1528729385688	51
48	0	0	20048	2018-06-11 23:03:05	40048	1528729385721	52
21	1	0	41187	2018-06-11 23:03:21	40021	1528729401913	53
16	1	0	40998	2018-06-11 23:03:22	40016	1528729402113	54
17	1	0	41370	2018-06-11 23:03:22	40017	1528729402146	55
9	1	0	41775	2018-06-11 23:03:22	40009	1528729402338	56
26	1	0	40465	2018-06-11 23:03:22	40026	1528729402706	57
11	1	0	41267	2018-06-11 23:03:22	40011	1528729402806	58
124	1	0	40407	2018-06-11 23:03:22	40124	1528729402965	59
63	1	0	39591	2018-06-11 23:03:23	40063	1528729403090	60
37	1	0	40163	2018-06-11 23:03:23	40037	1528729403123	61
80	1	0	39858	2018-06-11 23:03:23	40080	1528729403157	62
12	1	0	41357	2018-06-11 23:03:23	40012	1528729403223	63
24	1	0	41346	2018-06-11 23:03:23	40024	1528729403323	64
53	1	0	40251	2018-06-11 23:03:23	40053	1528729403357	65
69	1	0	39806	2018-06-11 23:03:23	40069	1528729403424	66
66	1	0	39995	2018-06-11 23:03:23	40066	1528729403457	67
44	1	0	40356	2018-06-11 23:03:23	40044	1528729403500	68
10	1	0	41380	2018-06-11 23:03:23	40010	1528729403542	69
50	1	0	40030	2018-06-11 23:03:23	40050	1528729403625	70
8	1	0	41245	2018-06-11 23:03:23	40008	1528729403667	71
121	1	0	40316	2018-06-11 23:03:23	40121	1528729403750	72
38	1	0	40518	2018-06-11 23:03:23	40038	1528729403792	73
33	1	0	40502	2018-06-11 23:03:23	40033	1528729403875	74
39	1	0	40461	2018-06-11 23:03:23	40039	1528729403917	75
75	1	0	39887	2018-06-11 23:03:24	40075	1528729404034	76
70	1	0	39580	2018-06-11 23:03:24	40070	1528729404067	77
64	1	0	39723	2018-06-11 23:03:24	40064	1528729404101	78
131	1	0	40247	2018-06-11 23:03:24	40131	1528729404167	79
72	1	0	39973	2018-06-11 23:03:24	40072	1528729404203	80
13	1	0	41035	2018-06-11 23:03:24	40013	1528729404301	81
77	1	0	40321	2018-06-11 23:03:24	40077	1528729404359	82
56	1	0	40530	2018-06-11 23:03:24	40056	1528729404460	83
41	1	0	39883	2018-06-11 23:03:24	40041	1528729404526	84
71	1	0	40849	2018-06-11 23:03:24	40071	1528729404593	85
67	1	0	40058	2018-06-11 23:03:24	40067	1528729404626	86
40	1	0	39842	2018-06-11 23:03:24	40040	1528729404727	87
43	1	0	40159	2018-06-11 23:03:24	40043	1528729404760	88
20	1	0	41404	2018-06-11 23:03:24	40020	1528729404793	89
139	1	0	40859	2018-06-11 23:03:24	40139	1528729404827	90
47	1	0	40515	2018-06-11 23:03:24	40047	1528729404927	91
52	1	0	40538	2018-06-11 23:03:24	40052	1528729404960	92
117	1	0	40120	2018-06-11 23:03:24	40117	1528729404994	93
48	1	0	40515	2018-06-11 23:03:25	40048	1528729405027	94
123	1	0	40346	2018-06-11 23:03:25	40123	1528729405061	95
135	1	0	40430	2018-06-11 23:03:25	40135	1528729405094	96
17	2	0	61786	2018-06-11 23:03:42	40017	1528729422053	97
11	2	0	61566	2018-06-11 23:03:42	40011	1528729422720	98
13	2	0	61811	2018-06-11 23:03:42	40013	1528729422820	99
123	2	0	60674	2018-06-11 23:03:42	40123	1528729422854	100
12	2	0	61798	2018-06-11 23:03:42	40012	1528729422954	101
37	2	0	60555	2018-06-11 23:03:42	40037	1528729422987	102
131	2	0	60635	2018-06-11 23:03:43	40131	1528729423121	103
80	2	0	60305	2018-06-11 23:03:43	40080	1528729423154	104
16	2	0	61473	2018-06-11 23:03:43	40016	1528729423246	105
21	2	0	62252	2018-06-11 23:03:43	40021	1528729423279	106
56	2	0	60798	2018-06-11 23:03:43	40056	1528729423346	107
20	2	0	61889	2018-06-11 23:03:43	40020	1528729423738	108
135	2	0	60846	2018-06-11 23:03:43	40135	1528729423772	109
47	2	0	60950	2018-06-11 23:03:43	40047	1528729423805	110
77	2	0	60758	2018-06-11 23:03:43	40077	1528729423839	111
48	2	0	61038	2018-06-11 23:03:43	40048	1528729423939	112
78	2	0	60794	2018-06-11 23:03:44	40078	1528729424072	113
10	2	0	61827	2018-06-11 23:03:44	40010	1528729424139	114
52	2	0	60841	2018-06-11 23:03:44	40052	1528729424208	115
66	2	0	60549	2018-06-11 23:03:44	40066	1528729424640	116
72	2	0	60407	2018-06-11 23:03:44	40072	1528729424740	117
67	2	0	60120	2018-06-11 23:03:44	40067	1528729424782	118
64	2	0	60068	2018-06-11 23:03:44	40064	1528729424823	119
63	2	0	60225	2018-06-11 23:03:45	40063	1528729425075	120
115	2	0	60782	2018-06-11 23:03:45	40115	1528729425275	121
33	2	0	60823	2018-06-11 23:03:45	40033	1528729425309	122
32	2	0	61013	2018-06-11 23:03:45	40032	1528729425342	123
26	2	0	61259	2018-06-11 23:03:45	40026	1528729425542	124
8	2	0	61588	2018-06-11 23:03:45	40008	1528729425611	125
117	2	0	60602	2018-06-11 23:03:45	40117	1528729425643	126
40	2	0	60394	2018-06-11 23:03:45	40040	1528729425735	127
38	2	0	60932	2018-06-11 23:03:45	40038	1528729425801	128
44	2	0	61295	2018-06-11 23:03:45	40044	1528729425834	129
41	2	0	60396	2018-06-11 23:03:45	40041	1528729425901	130
139	2	0	61263	2018-06-11 23:03:46	40139	1528729426093	131
9	2	0	62620	2018-06-11 23:03:46	40009	1528729426160	132
53	2	0	60613	2018-06-11 23:03:46	40053	1528729426193	133
50	2	0	60363	2018-06-11 23:03:46	40050	1528729426294	134
24	2	0	61816	2018-06-11 23:03:46	40024	1528729426327	135
43	2	0	60588	2018-06-11 23:03:46	40043	1528729426427	136
70	2	0	60333	2018-06-11 23:03:46	40070	1528729426494	137
17	3	1	16664	2018-06-11 23:04:01	40017	1528729441952	138
16	3	1	16451	2018-06-11 23:04:02	40016	1528729442094	139
12	3	1	16753	2018-06-11 23:04:02	40012	1528729442328	140
11	3	1	16535	2018-06-11 23:04:02	40011	1528729442461	141
78	3	1	15173	2018-06-11 23:04:02	40078	1528729442561	142
21	3	1	17149	2018-06-11 23:04:02	40021	1528729442595	143
10	3	1	16766	2018-06-11 23:04:02	40010	1528729442728	144
72	3	1	15289	2018-06-11 23:04:02	40072	1528729442795	145
139	3	1	15609	2018-06-11 23:04:02	40139	1528729442862	146
66	3	1	15041	2018-06-11 23:04:03	40066	1528729443029	147
63	3	1	15098	2018-06-11 23:04:03	40063	1528729443196	148
80	3	1	15222	2018-06-11 23:04:03	40080	1528729443262	149
47	3	1	15876	2018-06-11 23:04:03	40047	1528729443329	150
53	3	1	15466	2018-06-11 23:04:03	40053	1528729443396	151
52	3	1	15740	2018-06-11 23:04:03	40052	1528729443463	152
64	3	1	15430	2018-06-11 23:04:03	40064	1528729443521	153
24	3	1	16700	2018-06-11 23:04:03	40024	1528729443554	154
41	3	1	15354	2018-06-11 23:04:03	40041	1528729443688	155
131	3	1	15997	2018-06-11 23:04:03	40131	1528729443747	156
77	3	1	15722	2018-06-11 23:04:03	40077	1528729443780	157
43	3	1	16034	2018-06-11 23:04:03	40043	1528729443813	158
48	3	1	16071	2018-06-11 23:04:03	40048	1528729443880	159
8	3	1	17604	2018-06-11 23:04:03	40008	1528729443913	160
70	3	1	15113	2018-06-11 23:04:03	40070	1528729443980	161
