nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
20	0	3	0	20475	0	20548	2018-06-11 23:20:22	40020	1528730422665	1
17	0	3	0	20433	0	20650	2018-06-11 23:20:22	40017	1528730422727	2
13	0	3	0	20459	0	20804	2018-06-11 23:20:22	40013	1528730422917	3
11	0	20	0	20882	0	20807	2018-06-11 23:20:23	40011	1528730423001	4
16	0	20	0	20576	0	20822	2018-06-11 23:20:23	40016	1528730423030	5
12	0	3	0	20959	0	20999	2018-06-11 23:20:23	40012	1528730423105	6
9	0	13	0	21030	0	20707	2018-06-11 23:20:23	40009	1528730423138	7
21	0	20	0	20957	0	20960	2018-06-11 23:20:23	40021	1528730423172	8
80	0	10	0	18901	0	21103	2018-06-11 23:20:23	40080	1528730423272	9
37	0	13	0	19863	0	20879	2018-06-11 23:20:23	40037	1528730423338	10
8	0	13	0	21136	0	20879	2018-06-11 23:20:23	40008	1528730423372	11
33	0	37	0	19922	0	19902	2018-06-11 23:20:23	40033	1528730423405	12
38	0	37	0	19909	0	19902	2018-06-11 23:20:23	40038	1528730423439	13
26	0	13	0	19941	0	20879	2018-06-11 23:20:23	40026	1528730423472	14
39	0	37	0	19908	0	19880	2018-06-11 23:20:23	40039	1528730423550	15
72	0	80	0	19387	0	19353	2018-06-11 23:20:23	40072	1528730423773	16
10	0	3	0	21103	0	21146	2018-06-11 23:20:23	40010	1528730423806	17
56	0	37	0	19434	0	20303	2018-06-11 23:20:23	40056	1528730423839	18
24	0	56	0	20429	0	19506	2018-06-11 23:20:23	40024	1528730423906	19
63	0	64	0	19984	0	19459	2018-06-11 23:20:23	40063	1528730423940	20
64	0	8	0	19359	0	21513	2018-06-11 23:20:23	40064	1528730423973	21
67	0	8	0	19399	0	21539	2018-06-11 23:20:24	40067	1528730424040	22
66	0	64	0	19511	0	19511	2018-06-11 23:20:24	40066	1528730424106	23
135	0	64	0	19943	0	19723	2018-06-11 23:20:24	40135	1528730424140	24
32	0	56	0	20684	0	19797	2018-06-11 23:20:24	40032	1528730424173	25
53	0	50	0	19847	0	19844	2018-06-11 23:20:24	40053	1528730424207	26
115	0	70	0	19965	0	19868	2018-06-11 23:20:24	40115	1528730424240	27
44	0	40	0	19972	0	19983	2018-06-11 23:20:24	40044	1528730424307	28
47	0	41	0	20012	0	20621	2018-06-11 23:20:24	40047	1528730424374	29
50	0	43	0	19844	0	20453	2018-06-11 23:20:24	40050	1528730424474	30
139	0	66	0	20443	0	19937	2018-06-11 23:20:24	40139	1528730424607	31
52	0	56	0	20348	0	19708	2018-06-11 23:20:24	40052	1528730424641	32
71	0	70	0	19912	0	19930	2018-06-11 23:20:24	40071	1528730424674	33
118	0	120	0	20496	0	20459	2018-06-11 23:20:24	40118	1528730424707	34
41	0	40	0	20602	0	19983	2018-06-11 23:20:24	40041	1528730424866	35
48	0	41	0	20091	0	20722	2018-06-11 23:20:24	40048	1528730424900	36
69	0	70	0	20436	0	20434	2018-06-11 23:20:24	40069	1528730424933	37
77	0	40	0	20015	0	19896	2018-06-11 23:20:25	40077	1528730425058	38
78	0	70	0	20468	0	20178	2018-06-11 23:20:25	40078	1528730425125	39
123	0	64	0	19855	0	19723	2018-06-11 23:20:25	40123	1528730425292	40
132	0	122	0	21015	0	21007	2018-06-11 23:20:25	40132	1528730425325	41
121	0	119	0	20715	0	21103	2018-06-11 23:20:25	40121	1528730425392	42
122	0	120	0	20975	0	20850	2018-06-11 23:20:25	40122	1528730425426	43
75	0	69	0	20894	0	20810	2018-06-11 23:20:25	40075	1528730425459	44
131	0	64	0	19879	0	19565	2018-06-11 23:20:25	40131	1528730425492	45
40	0	63	0	19580	0	20069	2018-06-11 23:20:25	40040	1528730425526	46
129	0	119	0	21142	0	21522	2018-06-11 23:20:25	40129	1528730425692	47
124	0	122	0	21022	0	21098	2018-06-11 23:20:25	40124	1528730425776	48
119	0	120	0	20959	0	20537	2018-06-11 23:20:25	40119	1528730425985	49
70	0	10	0	19726	0	21911	2018-06-11 23:20:26	40070	1528730426218	50
43	0	40	0	20340	0	19717	2018-06-11 23:20:26	40043	1528730426260	51
127	0	119	0	21092	0	21179	2018-06-11 23:20:26	40127	1528730426495	52
117	0	64	0	19848	0	19723	2018-06-11 23:20:26	40117	1528730426528	53
120	0	70	0	20459	0	20389	2018-06-11 23:20:26	40120	1528730426561	54
20	1	3	0	40955	0	41028	2018-06-11 23:20:42	40020	1528730442653	55
17	1	3	0	40866	0	41083	2018-06-11 23:20:42	40017	1528730442686	56
67	1	8	0	38826	0	40967	2018-06-11 23:20:42	40067	1528730442720	57
10	1	3	0	41100	0	41143	2018-06-11 23:20:42	40010	1528730442753	58
8	1	3	0	40930	0	41028	2018-06-11 23:20:42	40008	1528730442853	59
13	1	8	0	40933	0	41169	2018-06-11 23:20:42	40013	1528730442920	60
33	1	13	0	39981	0	40988	2018-06-11 23:20:42	40033	1528730442954	61
21	1	20	0	41246	0	41250	2018-06-11 23:20:42	40021	1528730442987	62
64	1	8	0	39132	0	41286	2018-06-11 23:20:43	40064	1528730443020	63
16	1	20	0	40743	0	40989	2018-06-11 23:20:43	40016	1528730443054	64
11	1	20	0	41278	0	41203	2018-06-11 23:20:43	40011	1528730443087	65
9	1	8	0	41346	0	41269	2018-06-11 23:20:43	40009	1528730443187	66
118	1	129	0	39399	0	39390	2018-06-11 23:20:43	40118	1528730443221	67
117	1	64	0	39317	0	39192	2018-06-11 23:20:43	40117	1528730443254	68
37	1	13	0	40206	0	41221	2018-06-11 23:20:43	40037	1528730443287	69
47	1	41	0	39473	0	40082	2018-06-11 23:20:43	40047	1528730443354	70
43	1	41	0	40138	0	40124	2018-06-11 23:20:43	40043	1528730443388	71
39	1	37	0	40327	0	40300	2018-06-11 23:20:43	40039	1528730443421	72
70	1	64	0	39656	0	39620	2018-06-11 23:20:43	40070	1528730443488	73
40	1	43	0	39677	0	40279	2018-06-11 23:20:43	40040	1528730443521	74
12	1	3	0	41017	0	41057	2018-06-11 23:20:43	40012	1528730443588	75
48	1	41	0	39663	0	40295	2018-06-11 23:20:43	40048	1528730443621	76
77	1	50	0	39917	0	39791	2018-06-11 23:20:43	40077	1528730443655	77
132	1	122	0	39884	0	39876	2018-06-11 23:20:43	40132	1528730443722	78
131	1	129	0	39823	0	39613	2018-06-11 23:20:43	40131	1528730443755	79
129	1	64	0	39359	0	39243	2018-06-11 23:20:43	40129	1528730443789	80
127	1	119	0	39997	0	40084	2018-06-11 23:20:43	40127	1528730443822	81
115	1	129	0	39876	0	39858	2018-06-11 23:20:43	40115	1528730443855	82
80	1	10	0	39350	0	41560	2018-06-11 23:20:43	40080	1528730443947	83
120	1	119	0	39857	0	40258	2018-06-11 23:20:43	40120	1528730443980	84
78	1	70	0	40397	0	40107	2018-06-11 23:20:44	40078	1528730444106	85
69	1	70	0	40348	0	40346	2018-06-11 23:20:44	40069	1528730444172	86
135	1	64	0	40064	0	39844	2018-06-11 23:20:44	40135	1528730444206	87
71	1	70	0	39843	0	39861	2018-06-11 23:20:44	40071	1528730444239	88
26	1	37	0	40461	0	40373	2018-06-11 23:20:44	40026	1528730444306	89
50	1	63	0	39631	0	40128	2018-06-11 23:20:44	40050	1528730444439	90
66	1	63	0	39479	0	39993	2018-06-11 23:20:44	40066	1528730444473	91
24	1	41	0	40364	0	40052	2018-06-11 23:20:44	40024	1528730444606	92
123	1	129	0	39464	0	39436	2018-06-11 23:20:44	40123	1528730444740	93
38	1	37	0	40742	0	40735	2018-06-11 23:20:44	40038	1528730444807	94
32	1	41	0	40748	0	40473	2018-06-11 23:20:44	40032	1528730444874	95
53	1	50	0	39823	0	39828	2018-06-11 23:20:44	40053	1528730444940	96
75	1	69	0	40789	0	40705	2018-06-11 23:20:45	40075	1528730445007	97
119	1	129	0	39816	0	39414	2018-06-11 23:20:45	40119	1528730445108	98
124	1	122	0	39862	0	39938	2018-06-11 23:20:45	40124	1528730445166	99
63	1	64	0	39801	0	39276	2018-06-11 23:20:45	40063	1528730445199	100
122	1	129	0	39847	0	39742	2018-06-11 23:20:45	40122	1528730445335	101
41	1	63	0	40010	0	39890	2018-06-11 23:20:45	40041	1528730445466	102
44	1	43	0	39861	0	40484	2018-06-11 23:20:45	40044	1528730445508	103
52	1	41	0	40465	0	40437	2018-06-11 23:20:45	40052	1528730445550	104
56	1	37	0	39893	0	40763	2018-06-11 23:20:45	40056	1528730445967	105
72	1	70	0	39946	0	39937	2018-06-11 23:20:46	40072	1528730446092	106
121	1	119	0	39615	0	40003	2018-06-11 23:20:46	40121	1528730446367	107
139	1	129	0	39932	0	39541	2018-06-11 23:20:46	40139	1528730446467	108
16	2	20	0	61219	0	61465	2018-06-11 23:21:02	40016	1528730462677	109
17	2	3	0	61295	0	61512	2018-06-11 23:21:02	40017	1528730462744	110
70	2	10	0	59444	0	61628	2018-06-11 23:21:02	40070	1528730462810	111
10	2	3	0	61523	0	61566	2018-06-11 23:21:02	40010	1528730462911	112
117	2	64	0	59740	0	59615	2018-06-11 23:21:03	40117	1528730463011	113
69	2	70	0	59723	0	59721	2018-06-11 23:21:03	40069	1528730463078	114
8	2	64	0	61892	0	59716	2018-06-11 23:21:03	40008	1528730463111	115
119	2	120	0	60253	0	59824	2018-06-11 23:21:03	40119	1528730463169	116
77	2	66	0	59815	0	59671	2018-06-11 23:21:03	40077	1528730463203	117
71	2	69	0	59843	0	59853	2018-06-11 23:21:03	40071	1528730463236	118
78	2	70	0	59796	0	59506	2018-06-11 23:21:03	40078	1528730463270	119
72	2	70	0	59837	0	59829	2018-06-11 23:21:03	40072	1528730463303	120
64	2	70	0	59505	0	59520	2018-06-11 23:21:03	40064	1528730463336	121
67	2	8	0	59997	0	62137	2018-06-11 23:21:03	40067	1528730463370	122
121	2	119	0	60095	0	60482	2018-06-11 23:21:03	40121	1528730463403	123
47	2	43	0	60022	0	60634	2018-06-11 23:21:03	40047	1528730463470	124
118	2	120	0	60041	0	60011	2018-06-11 23:21:03	40118	1528730463537	125
132	2	122	0	60367	0	60358	2018-06-11 23:21:03	40132	1528730463570	126
63	2	64	0	60305	0	59779	2018-06-11 23:21:03	40063	1528730463603	127
80	2	10	0	59835	0	62045	2018-06-11 23:21:03	40080	1528730463637	128
124	2	122	0	60283	0	60358	2018-06-11 23:21:03	40124	1528730463704	129
9	2	8	0	62225	0	62148	2018-06-11 23:21:03	40009	1528730463770	130
56	2	37	0	60427	0	61297	2018-06-11 23:21:03	40056	1528730463804	131
20	2	3	0	61439	0	61512	2018-06-11 23:21:03	40020	1528730463837	132
38	2	37	0	61364	0	61358	2018-06-11 23:21:03	40038	1528730463871	133
43	2	77	0	60465	0	59950	2018-06-11 23:21:03	40043	1528730463904	134
66	2	70	0	59554	0	59580	2018-06-11 23:21:03	40066	1528730463973	135
41	2	43	0	60504	0	60496	2018-06-11 23:21:04	40041	1528730464037	136
75	2	69	0	60118	0	60034	2018-06-11 23:21:04	40075	1528730464071	137
131	2	120	0	60089	0	59859	2018-06-11 23:21:04	40131	1528730464171	138
11	2	20	0	61628	0	61553	2018-06-11 23:21:04	40011	1528730464263	139
135	2	120	0	60427	0	60292	2018-06-11 23:21:04	40135	1528730464297	140
32	2	41	0	60863	0	60588	2018-06-11 23:21:04	40032	1528730464363	141
26	2	37	0	61375	0	61288	2018-06-11 23:21:04	40026	1528730464522	142
24	2	41	0	61328	0	61017	2018-06-11 23:21:04	40024	1528730464555	143
52	2	41	0	60860	0	60832	2018-06-11 23:21:04	40052	1528730464655	144
44	2	43	0	59873	0	60496	2018-06-11 23:21:04	40044	1528730464856	145
50	2	43	0	59943	0	60552	2018-06-11 23:21:04	40050	1528730464889	146
139	2	129	0	60360	0	59969	2018-06-11 23:21:04	40139	1528730464922	147
13	2	11	0	62173	0	62498	2018-06-11 23:21:04	40013	1528730464956	148
123	2	64	0	60160	0	60027	2018-06-11 23:21:04	40123	1528730464989	149
115	2	70	0	59806	0	59710	2018-06-11 23:21:05	40115	1528730465089	150
120	2	70	0	59823	0	59754	2018-06-11 23:21:05	40120	1528730465156	151
48	2	41	0	60209	0	60841	2018-06-11 23:21:05	40048	1528730465398	152
37	2	13	0	61241	0	62256	2018-06-11 23:21:05	40037	1528730465465	153
39	2	37	0	61315	0	61288	2018-06-11 23:21:06	40039	1528730466049	154
21	2	20	0	61836	0	61840	2018-06-11 23:21:06	40021	1528730466091	155
129	2	120	0	59945	0	59914	2018-06-11 23:21:06	40129	1528730466341	156
122	2	120	0	60297	0	60172	2018-06-11 23:21:06	40122	1528730466683	157
53	2	50	0	60353	0	60358	2018-06-11 23:21:06	40053	1528730466784	158
127	2	119	0	60588	0	60674	2018-06-11 23:21:06	40127	1528730466850	159
12	2	3	0	61472	0	61512	2018-06-11 23:21:06	40012	1528730466884	160
40	2	41	0	60233	0	60832	2018-06-11 23:21:07	40040	1528730467084	161
33	2	37	0	61587	0	61568	2018-06-11 23:21:07	40033	1528730467719	162
12	3	3	1	16388	1	16428	2018-06-11 23:21:22	40012	1528730482637	163
11	3	3	1	16581	1	16590	2018-06-11 23:21:22	40011	1528730482759	164
20	3	3	1	16517	1	16590	2018-06-11 23:21:22	40020	1528730482787	165
10	3	3	1	16683	1	16726	2018-06-11 23:21:22	40010	1528730482895	166
16	3	20	1	16465	1	16711	2018-06-11 23:21:22	40016	1528730482959	167
8	3	3	1	16749	1	16848	2018-06-11 23:21:23	40008	1528730483021	168
17	3	10	1	16705	1	16868	2018-06-11 23:21:23	40017	1528730483083	169
21	3	20	1	16843	1	16847	2018-06-11 23:21:23	40021	1528730483146	170
80	3	10	1	14738	1	16948	2018-06-11 23:21:23	40080	1528730483213	171
64	3	8	1	14842	1	16996	2018-06-11 23:21:23	40064	1528730483268	172
9	3	64	1	17104	1	14861	2018-06-11 23:21:23	40009	1528730483321	173
123	3	64	1	15070	1	14937	2018-06-11 23:21:23	40123	1528730483388	174
67	3	64	1	14946	1	14921	2018-06-11 23:21:23	40067	1528730483422	175
117	3	64	1	15169	1	15043	2018-06-11 23:21:23	40117	1528730483513	176
66	3	64	1	15154	1	15154	2018-06-11 23:21:23	40066	1528730483613	177
131	3	64	1	15522	1	15207	2018-06-11 23:21:23	40131	1528730483647	178
72	3	80	1	15260	1	15226	2018-06-11 23:21:23	40072	1528730483680	179
139	3	66	1	15782	1	15275	2018-06-11 23:21:23	40139	1528730483714	180
70	3	64	1	15296	1	15259	2018-06-11 23:21:23	40070	1528730483747	181
50	3	63	1	15351	1	15848	2018-06-11 23:21:23	40050	1528730483780	182
63	3	64	1	15832	1	15306	2018-06-11 23:21:23	40063	1528730483847	183
41	3	50	1	16118	1	15490	2018-06-11 23:21:23	40041	1528730483931	184
52	3	41	1	16205	1	16176	2018-06-11 23:21:23	40052	1528730483972	185
78	3	70	1	15753	1	15464	2018-06-11 23:21:24	40078	1528730484122	186
38	3	37	1	16648	1	16642	2018-06-11 23:21:24	40038	1528730484164	187
32	3	41	1	16685	1	16411	2018-06-11 23:21:24	40032	1528730484206	188
121	3	80	1	15572	1	15463	2018-06-11 23:21:24	40121	1528730484248	189
37	3	13	1	16602	1	17617	2018-06-11 23:21:24	40037	1528730484289	190
129	3	120	1	16029	1	15998	2018-06-11 23:21:24	40129	1528730484331	191
40	3	41	1	15812	1	16411	2018-06-11 23:21:24	40040	1528730484415	192
47	3	41	1	15536	1	16146	2018-06-11 23:21:24	40047	1528730484457	193
75	3	69	1	16104	1	16021	2018-06-11 23:21:24	40075	1528730484498	194
115	3	120	1	16291	1	16254	2018-06-11 23:21:24	40115	1528730484607	195
26	3	37	1	16745	1	16658	2018-06-11 23:21:24	40026	1528730484649	196
24	3	56	1	17305	1	16382	2018-06-11 23:21:24	40024	1528730484799	197
56	3	37	1	15931	1	16801	2018-06-11 23:21:24	40056	1528730484865	198
118	3	120	1	16226	1	16196	2018-06-11 23:21:24	40118	1528730484932	199
71	3	69	1	15776	1	15787	2018-06-11 23:21:24	40071	1528730484999	200
122	3	120	1	16256	1	16131	2018-06-11 23:21:25	40122	1528730485032	201
44	3	40	1	15889	1	15900	2018-06-11 23:21:25	40044	1528730485099	202
119	3	120	1	16727	1	16305	2018-06-11 23:21:25	40119	1528730485233	203
127	3	120	1	16631	1	16305	2018-06-11 23:21:25	40127	1528730485299	204
120	3	70	1	15802	1	15733	2018-06-11 23:21:25	40120	1528730485433	205
135	3	64	1	15492	1	15272	2018-06-11 23:21:25	40135	1528730485466	206
48	3	41	1	15718	1	16351	2018-06-11 23:21:25	40048	1528730485533	207
132	3	122	1	16451	1	16442	2018-06-11 23:21:25	40132	1528730485600	208
77	3	50	1	15750	1	15624	2018-06-11 23:21:25	40077	1528730485667	209
39	3	37	1	16815	1	16788	2018-06-11 23:21:25	40039	1528730485734	210
69	3	70	1	15685	1	15683	2018-06-11 23:21:25	40069	1528730485867	211
33	3	13	1	16517	1	17523	2018-06-11 23:21:25	40033	1528730485967	212
124	3	122	1	16197	1	16272	2018-06-11 23:21:26	40124	1528730486134	213
53	3	50	1	15846	1	15851	2018-06-11 23:21:26	40053	1528730486334	214
43	3	41	1	16706	1	16693	2018-06-11 23:21:26	40043	1528730486535	215
13	3	8	1	17386	1	17622	2018-06-11 23:21:26	40013	1528730486568	216
12	4	3	1	36928	1	36968	2018-06-11 23:21:42	40012	1528730502659	217
20	4	3	1	37011	1	37084	2018-06-11 23:21:42	40020	1528730502775	218
21	4	20	1	37027	1	37031	2018-06-11 23:21:42	40021	1528730502811	219
11	4	20	1	37143	1	37068	2018-06-11 23:21:42	40011	1528730502844	220
8	4	3	1	37090	1	37189	2018-06-11 23:21:42	40008	1528730502878	221
10	4	3	1	37131	1	37174	2018-06-11 23:21:42	40010	1528730502911	222
13	4	3	1	37004	1	37349	2018-06-11 23:21:43	40013	1528730503031	223
17	4	3	1	37155	1	37372	2018-06-11 23:21:43	40017	1528730503062	224
16	4	20	1	37133	1	37379	2018-06-11 23:21:43	40016	1528730503143	225
64	4	8	1	35273	1	37427	2018-06-11 23:21:43	40064	1528730503219	226
9	4	13	1	37524	1	37200	2018-06-11 23:21:43	40009	1528730503253	227
67	4	64	1	35388	1	35363	2018-06-11 23:21:43	40067	1528730503326	228
123	4	64	1	35551	1	35417	2018-06-11 23:21:43	40123	1528730503387	229
117	4	64	1	35577	1	35451	2018-06-11 23:21:43	40117	1528730503454	230
37	4	13	1	36497	1	37511	2018-06-11 23:21:43	40037	1528730503537	231
70	4	64	1	35695	1	35657	2018-06-11 23:21:43	40070	1528730503629	232
63	4	64	1	36183	1	35657	2018-06-11 23:21:43	40063	1528730503662	233
33	4	13	1	36641	1	37648	2018-06-11 23:21:43	40033	1528730503696	234
72	4	80	1	35813	1	35779	2018-06-11 23:21:43	40072	1528730503729	235
50	4	63	1	35756	1	36253	2018-06-11 23:21:43	40050	1528730503821	236
131	4	64	1	35898	1	35583	2018-06-11 23:21:43	40131	1528730503888	237
80	4	3	1	35681	1	37891	2018-06-11 23:21:43	40080	1528730503921	238
40	4	50	1	35782	1	35757	2018-06-11 23:21:43	40040	1528730503954	239
47	4	40	1	36033	1	36033	2018-06-11 23:21:43	40047	1528730503996	240
