nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
10	0	61461	0	3399	2018-06-11 23:21:02	40010	1528730462644	1
12	0	61461	0	1238	2018-06-11 23:21:02	40012	1528730462710	2
3	0	61463	0	3941	2018-06-11 23:21:02	40003	1528730462777	3
9	0	61461	0	2440	2018-06-11 23:21:02	40009	1528730462844	4
8	0	61461	0	4581	2018-06-11 23:21:02	40008	1528730462877	5
11	0	61461	0	4542	2018-06-11 23:21:02	40011	1528730462977	6
13	0	61461	0	4673	2018-06-11 23:21:04	40013	1528730464330	7
43	0	61461	0	4402	2018-06-11 23:21:04	40043	1528730464397	8
117	0	61461	0	2686	2018-06-11 23:21:04	40117	1528730464689	9
121	0	61461	0	1384	2018-06-11 23:21:04	40121	1528730464722	10
72	0	61461	0	1185	2018-06-11 23:21:04	40072	1528730464789	11
38	0	61461	0	1574	2018-06-11 23:21:04	40038	1528730464822	12
21	0	61461	0	2120	2018-06-11 23:21:05	40021	1528730465058	13
76	0	61461	0	2919	2018-06-11 23:21:05	40076	1528730465123	14
26	0	61461	0	1723	2018-06-11 23:21:05	40026	1528730465196	15
56	0	61461	0	4728	2018-06-11 23:21:05	40056	1528730465231	16
66	0	61461	0	4590	2018-06-11 23:21:05	40066	1528730465265	17
78	0	61461	0	1220	2018-06-11 23:21:05	40078	1528730465523	18
63	0	61461	0	4731	2018-06-11 23:21:05	40063	1528730465882	19
32	0	61461	0	1734	2018-06-11 23:21:05	40032	1528730465924	20
115	0	61461	0	1217	2018-06-11 23:21:05	40115	1528730465966	21
135	0	61461	0	3001	2018-06-11 23:21:06	40135	1528730466007	22
44	0	61461	0	1255	2018-06-11 23:21:06	40044	1528730466132	23
119	0	61461	0	4229	2018-06-11 23:21:06	40119	1528730466383	24
77	0	61461	0	4256	2018-06-11 23:21:06	40077	1528730466416	25
52	0	61461	0	2442	2018-06-11 23:21:06	40052	1528730466483	26
67	0	61461	0	1437	2018-06-11 23:21:06	40067	1528730466516	27
39	0	61461	0	1157	2018-06-11 23:21:06	40039	1528730466550	28
47	0	61461	0	1499	2018-06-11 23:21:06	40047	1528730466616	29
16	0	61461	0	1573	2018-06-11 23:21:06	40016	1528730466650	30
41	0	61461	0	3301	2018-06-11 23:21:07	40041	1528730467051	31
50	0	61461	0	5439	2018-06-11 23:21:07	40050	1528730467151	32
118	0	61461	0	1480	2018-06-11 23:21:07	40118	1528730467217	33
33	0	61461	0	1811	2018-06-11 23:21:07	40033	1528730467284	34
64	0	61461	0	5523	2018-06-11 23:21:07	40064	1528730467318	35
20	0	61461	0	3318	2018-06-11 23:21:07	40020	1528730467351	36
24	0	61461	0	1171	2018-06-11 23:21:07	40024	1528730467384	37
139	0	61461	0	1222	2018-06-11 23:21:07	40139	1528730467418	38
129	0	61461	0	5854	2018-06-11 23:21:07	40129	1528730467518	39
132	0	61461	0	1271	2018-06-11 23:21:07	40132	1528730467551	40
69	0	61461	0	4246	2018-06-11 23:21:07	40069	1528730467585	41
75	0	61461	0	2631	2018-06-11 23:21:07	40075	1528730467619	42
48	0	61461	0	1573	2018-06-11 23:21:07	40048	1528730467753	43
80	0	61461	0	4353	2018-06-11 23:21:07	40080	1528730467786	44
40	0	63325	0	3514	2018-06-11 23:21:07	40040	1528730467820	45
123	0	61461	0	2896	2018-06-11 23:21:07	40123	1528730467886	46
131	0	61461	0	3035	2018-06-11 23:21:07	40131	1528730467953	47
120	0	61461	0	4327	2018-06-11 23:21:08	40120	1528730468053	48
17	0	61461	0	1139	2018-06-11 23:21:08	40017	1528730468087	49
70	0	61461	0	8858	2018-06-11 23:21:08	40070	1528730468122	50
124	0	61461	0	1173	2018-06-11 23:21:08	40124	1528730468153	51
122	0	61461	0	4299	2018-06-11 23:21:08	40122	1528730468187	52
53	0	61461	0	2802	2018-06-11 23:21:08	40053	1528730468312	53
37	0	61461	0	4571	2018-06-11 23:21:08	40037	1528730468345	54
71	0	61461	0	1261	2018-06-11 23:21:08	40071	1528730468512	55
127	0	61461	0	1428	2018-06-11 23:21:08	40127	1528730468546	56
9	1	57365	0	4955	2018-06-11 23:22:02	40009	1528730522641	57
8	1	57365	0	10166	2018-06-11 23:22:02	40008	1528730522707	58
21	1	57365	0	4581	2018-06-11 23:22:02	40021	1528730522741	59
11	1	57365	0	9136	2018-06-11 23:22:02	40011	1528730522774	60
12	1	57365	0	2552	2018-06-11 23:22:02	40012	1528730522808	61
10	1	57365	0	8130	2018-06-11 23:22:02	40010	1528730522841	62
3	1	57367	0	9190	2018-06-11 23:22:03	40003	1528730522999	63
17	1	57365	0	2314	2018-06-11 23:22:03	40017	1528730523166	64
13	1	57365	0	10436	2018-06-11 23:22:03	40013	1528730523300	65
16	1	57365	0	3467	2018-06-11 23:22:04	40016	1528730524428	66
32	1	57365	0	3254	2018-06-11 23:22:04	40032	1528730524795	67
66	1	57365	0	9174	2018-06-11 23:22:04	40066	1528730524837	68
64	1	57365	0	11116	2018-06-11 23:22:04	40064	1528730524879	69
53	1	57365	0	5568	2018-06-11 23:22:05	40053	1528730525087	70
63	1	57365	0	10421	2018-06-11 23:22:05	40063	1528730525429	71
127	1	57365	0	2805	2018-06-11 23:22:05	40127	1528730525471	72
33	1	57365	0	3955	2018-06-11 23:22:05	40033	1528730525555	73
78	1	57365	0	2415	2018-06-11 23:22:05	40078	1528730525588	74
69	1	57365	0	7407	2018-06-11 23:22:05	40069	1528730525696	75
20	1	57365	0	7868	2018-06-11 23:22:05	40020	1528730525730	76
121	1	57365	0	3009	2018-06-11 23:22:05	40121	1528730525897	77
41	1	57365	0	7776	2018-06-11 23:22:06	40041	1528730526097	78
123	1	57365	0	5542	2018-06-11 23:22:06	40123	1528730526164	79
76	1	57365	0	6362	2018-06-11 23:22:06	40076	1528730526197	80
71	1	57365	0	2428	2018-06-11 23:22:06	40071	1528730526297	81
135	1	57365	0	5569	2018-06-11 23:22:06	40135	1528730526331	82
117	1	57365	0	5174	2018-06-11 23:22:06	40117	1528730526364	83
52	1	57365	0	4959	2018-06-11 23:22:06	40052	1528730526531	84
120	1	57365	0	7678	2018-06-11 23:22:06	40120	1528730526731	85
119	1	57365	0	6356	2018-06-11 23:22:06	40119	1528730526798	86
43	1	57365	0	10062	2018-06-11 23:22:06	40043	1528730526932	87
131	1	57365	0	5547	2018-06-11 23:22:06	40131	1528730526965	88
44	1	57365	0	2661	2018-06-11 23:22:06	40044	1528730526999	89
48	1	57365	0	2985	2018-06-11 23:22:07	40048	1528730527065	90
75	1	57365	0	5150	2018-06-11 23:22:07	40075	1528730527132	91
56	1	57365	0	11419	2018-06-11 23:22:07	40056	1528730527166	92
129	1	57365	0	10697	2018-06-11 23:22:07	40129	1528730527366	93
80	1	57365	0	8597	2018-06-11 23:22:07	40080	1528730527433	94
132	1	57365	0	2575	2018-06-11 23:22:07	40132	1528730527466	95
72	1	57365	0	2500	2018-06-11 23:22:07	40072	1528730527499	96
67	1	57365	0	2645	2018-06-11 23:22:07	40067	1528730527533	97
39	1	57365	0	2466	2018-06-11 23:22:07	40039	1528730527766	98
77	1	57365	0	8547	2018-06-11 23:22:07	40077	1528730527800	99
115	1	57365	0	2456	2018-06-11 23:22:07	40115	1528730527833	100
26	1	57365	0	3602	2018-06-11 23:22:07	40026	1528730527867	101
40	1	57365	0	10208	2018-06-11 23:22:07	40040	1528730527958	102
122	1	57365	0	7548	2018-06-11 23:22:07	40122	1528730527992	103
70	1	57365	0	15951	2018-06-11 23:22:08	40070	1528730528025	104
118	1	57365	0	2988	2018-06-11 23:22:08	40118	1528730528092	105
50	1	57365	0	11082	2018-06-11 23:22:08	40050	1528730528159	106
37	1	57365	0	10198	2018-06-11 23:22:08	40037	1528730528225	107
24	1	57365	0	2346	2018-06-11 23:22:08	40024	1528730528359	108
38	1	57365	0	3150	2018-06-11 23:22:08	40038	1528730528392	109
124	1	57365	0	2499	2018-06-11 23:22:08	40124	1528730528426	110
139	1	57365	0	2492	2018-06-11 23:22:08	40139	1528730528459	111
47	1	57365	0	2878	2018-06-11 23:22:08	40047	1528730528559	112
10	2	53269	0	11768	2018-06-11 23:23:02	40010	1528730582644	113
21	2	53269	0	7275	2018-06-11 23:23:02	40021	1528730582677	114
11	2	53269	0	16762	2018-06-11 23:23:02	40011	1528730582711	115
20	2	53269	0	12242	2018-06-11 23:23:02	40020	1528730582811	116
9	2	53269	0	7418	2018-06-11 23:23:02	40009	1528730582844	117
3	2	53271	0	14237	2018-06-11 23:23:02	40003	1528730582945	118
13	2	53269	0	16271	2018-06-11 23:23:03	40013	1528730583011	119
8	2	53269	0	15740	2018-06-11 23:23:03	40008	1528730583412	120
12	2	53269	0	3717	2018-06-11 23:23:03	40012	1528730583613	121
26	2	53269	0	5768	2018-06-11 23:23:04	40026	1528730584238	122
24	2	53269	0	3432	2018-06-11 23:23:04	40024	1528730584272	123
63	2	53269	0	15282	2018-06-11 23:23:04	40063	1528730584305	124
124	2	53269	0	3661	2018-06-11 23:23:04	40124	1528730584706	125
127	2	53269	0	4307	2018-06-11 23:23:04	40127	1528730584773	126
135	2	53269	0	8514	2018-06-11 23:23:04	40135	1528730584806	127
78	2	53269	0	3629	2018-06-11 23:23:04	40078	1528730584840	128
80	2	53269	0	11853	2018-06-11 23:23:04	40080	1528730584965	129
17	2	53269	0	3412	2018-06-11 23:23:04	40017	1528730584998	130
119	2	53269	0	9547	2018-06-11 23:23:05	40119	1528730585065	131
47	2	53269	0	4288	2018-06-11 23:23:05	40047	1528730585157	132
48	2	53269	0	4441	2018-06-11 23:23:05	40048	1528730585190	133
43	2	53269	0	16505	2018-06-11 23:23:05	40043	1528730585224	134
117	2	53269	0	7760	2018-06-11 23:23:05	40117	1528730585257	135
121	2	53269	0	4568	2018-06-11 23:23:05	40121	1528730585290	136
52	2	53269	0	7312	2018-06-11 23:23:05	40052	1528730585357	137
115	2	53269	0	3703	2018-06-11 23:23:05	40115	1528730585424	138
122	2	53269	0	9754	2018-06-11 23:23:05	40122	1528730585457	139
76	2	53269	0	9605	2018-06-11 23:23:05	40076	1528730585524	140
