seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	0	20501	2018-06-11 23:20:22	40003	1528730422575	1
1	0	40981	2018-06-11 23:20:42	40003	1528730442571	2
2	0	61461	2018-06-11 23:21:02	40003	1528730462571	3
3	1	16405	2018-06-11 23:21:22	40003	1528730482567	4
4	1	36885	2018-06-11 23:21:42	40003	1528730502568	5
5	1	57365	2018-06-11 23:22:02	40003	1528730522568	6
6	2	12309	2018-06-11 23:22:22	40003	1528730542568	7
7	2	32789	2018-06-11 23:22:42	40003	1528730562568	8
8	2	53269	2018-06-11 23:23:02	40003	1528730582568	9
9	3	8214	2018-06-11 23:23:22	40003	1528730602568	10
10	3	28693	2018-06-11 23:23:42	40003	1528730622565	11
11	3	49173	2018-06-11 23:24:02	40003	1528730642565	12
12	4	4117	2018-06-11 23:24:22	40003	1528730662565	13
13	4	24597	2018-06-11 23:24:42	40003	1528730682565	14
14	4	45077	2018-06-11 23:25:02	40003	1528730702567	15
15	5	21	2018-06-11 23:25:22	40003	1528730722565	16
16	5	20507	2018-06-11 23:25:42	40003	1528730742570	17
17	5	40981	2018-06-11 23:26:02	40003	1528730762562	18
18	5	61461	2018-06-11 23:26:22	40003	1528730782562	19
19	6	16405	2018-06-11 23:26:42	40003	1528730802562	20
20	6	36885	2018-06-11 23:27:02	40003	1528730822562	21
21	6	57365	2018-06-11 23:27:22	40003	1528730842562	22
22	7	12309	2018-06-11 23:27:42	40003	1528730862562	23
23	7	32789	2018-06-11 23:28:02	40003	1528730882559	24
24	7	53269	2018-06-11 23:28:22	40003	1528730902559	25
25	8	8213	2018-06-11 23:28:42	40003	1528730922559	26
26	8	28693	2018-06-11 23:29:02	40003	1528730942559	27
27	8	49173	2018-06-11 23:29:22	40003	1528730962559	28
28	9	4117	2018-06-11 23:29:42	40003	1528730982559	29
29	9	24597	2018-06-11 23:30:02	40003	1528731002560	30
30	9	45077	2018-06-11 23:30:22	40003	1528731022556	31
31	10	21	2018-06-11 23:30:42	40003	1528731042556	32
32	10	20501	2018-06-11 23:31:02	40003	1528731062556	33
33	10	40981	2018-06-11 23:31:22	40003	1528731082556	34
34	10	61461	2018-06-11 23:31:42	40003	1528731102556	35
35	11	16405	2018-06-11 23:32:02	40003	1528731122557	36
36	11	36885	2018-06-11 23:32:22	40003	1528731142553	37
37	11	57365	2018-06-11 23:32:42	40003	1528731162553	38
38	12	12309	2018-06-11 23:33:02	40003	1528731182553	39
39	12	32789	2018-06-11 23:33:22	40003	1528731202553	40
