nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
17	0	0	20416	2018-06-11 23:20:22	40017	1528730422755	1
16	0	0	20523	2018-06-11 23:20:23	40016	1528730423063	2
12	0	0	20939	2018-06-11 23:20:23	40012	1528730423205	3
21	0	0	20885	2018-06-11 23:20:23	40021	1528730423238	4
9	0	0	20908	2018-06-11 23:20:23	40009	1528730423305	5
38	0	0	19893	2018-06-11 23:20:23	40038	1528730423505	6
26	0	0	19893	2018-06-11 23:20:23	40026	1528730423614	7
39	0	0	19893	2018-06-11 23:20:23	40039	1528730423647	8
33	0	0	19905	2018-06-11 23:20:23	40033	1528730423681	9
20	0	0	20432	2018-06-11 23:20:23	40020	1528730423714	10
72	0	0	19370	2018-06-11 23:20:23	40072	1528730423873	11
13	0	0	20382	2018-06-11 23:20:24	40013	1528730424006	12
67	0	0	19382	2018-06-11 23:20:24	40067	1528730424073	13
115	0	0	19941	2018-06-11 23:20:24	40115	1528730424273	14
8	0	0	20883	2018-06-11 23:20:24	40008	1528730424344	15
24	0	0	20416	2018-06-11 23:20:24	40024	1528730424407	16
37	0	0	19847	2018-06-11 23:20:24	40037	1528730424440	17
10	0	0	21087	2018-06-11 23:20:24	40010	1528730424507	18
47	0	0	19998	2018-06-11 23:20:24	40047	1528730424540	19
32	0	0	20433	2018-06-11 23:20:24	40032	1528730424574	20
135	0	0	19885	2018-06-11 23:20:24	40135	1528730424741	21
44	0	0	19912	2018-06-11 23:20:24	40044	1528730424774	22
64	0	0	19285	2018-06-11 23:20:24	40064	1528730424808	23
63	0	0	19958	2018-06-11 23:20:24	40063	1528730424966	24
56	0	0	19335	2018-06-11 23:20:25	40056	1528730425000	25
11	0	0	20865	2018-06-11 23:20:25	40011	1528730425091	26
48	0	0	20077	2018-06-11 23:20:25	40048	1528730425158	27
139	0	0	20429	2018-06-11 23:20:25	40139	1528730425192	28
50	0	0	19831	2018-06-11 23:20:25	40050	1528730425225	29
66	0	0	19466	2018-06-11 23:20:25	40066	1528730425258	30
78	0	0	20449	2018-06-11 23:20:25	40078	1528730425359	31
123	0	0	19837	2018-06-11 23:20:25	40123	1528730425567	32
77	0	0	19893	2018-06-11 23:20:25	40077	1528730425609	33
53	0	0	19798	2018-06-11 23:20:25	40053	1528730425651	34
121	0	0	20548	2018-06-11 23:20:25	40121	1528730425734	35
52	0	0	20286	2018-06-11 23:20:25	40052	1528730425818	36
75	0	0	20875	2018-06-11 23:20:25	40075	1528730425859	37
69	0	0	20416	2018-06-11 23:20:25	40069	1528730425901	38
132	0	0	20939	2018-06-11 23:20:25	40132	1528730425943	39
80	0	0	18883	2018-06-11 23:20:26	40080	1528730426026	40
119	0	0	20939	2018-06-11 23:20:26	40119	1528730426068	41
40	0	0	19562	2018-06-11 23:20:26	40040	1528730426135	42
124	0	0	20950	2018-06-11 23:20:26	40124	1528730426176	43
71	0	0	19893	2018-06-11 23:20:26	40071	1528730426328	44
122	0	0	20951	2018-06-11 23:20:26	40122	1528730426361	45
129	0	0	20991	2018-06-11 23:20:26	40129	1528730426395	46
41	0	0	20503	2018-06-11 23:20:26	40041	1528730426428	47
131	0	0	19819	2018-06-11 23:20:26	40131	1528730426461	48
117	0	0	19830	2018-06-11 23:20:26	40117	1528730426595	49
120	0	0	20440	2018-06-11 23:20:26	40120	1528730426628	50
118	0	0	20435	2018-06-11 23:20:26	40118	1528730426662	51
43	0	0	20325	2018-06-11 23:20:26	40043	1528730426695	52
127	0	0	21045	2018-06-11 23:20:26	40127	1528730426728	53
