nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
20	1	3	0	40502	0	40986	2018-06-11 23:41:05	40020	1528731665597	1
11	1	20	0	40709	0	40502	2018-06-11 23:41:05	40011	1528731665631	2
16	1	11	0	41010	0	40885	2018-06-11 23:41:05	40016	1528731665797	3
8	1	3	0	40832	0	41237	2018-06-11 23:41:05	40008	1528731665864	4
67	1	8	0	39373	0	40861	2018-06-11 23:41:05	40067	1528731665956	5
10	1	3	0	40862	0	41381	2018-06-11 23:41:05	40010	1528731665989	6
21	1	20	0	41261	0	40918	2018-06-11 23:41:06	40021	1528731666022	7
17	1	10	0	40925	0	40862	2018-06-11 23:41:06	40017	1528731666056	8
72	1	70	0	39467	0	39589	2018-06-11 23:41:06	40072	1528731666123	9
70	1	10	0	39529	0	40908	2018-06-11 23:41:06	40070	1528731666156	10
121	1	129	0	39933	0	39336	2018-06-11 23:41:06	40121	1528731666189	11
78	1	70	0	39301	0	39589	2018-06-11 23:41:06	40078	1528731666223	12
52	1	43	0	40105	0	39756	2018-06-11 23:41:06	40052	1528731666256	13
44	1	43	0	39831	0	39795	2018-06-11 23:41:06	40044	1528731666290	14
64	1	70	0	39525	0	39798	2018-06-11 23:41:06	40064	1528731666332	15
43	1	50	0	39665	0	40034	2018-06-11 23:41:06	40043	1528731666365	16
39	1	50	0	40334	0	40318	2018-06-11 23:41:06	40039	1528731666398	17
115	1	129	0	40449	0	39583	2018-06-11 23:41:06	40115	1528731666432	18
37	1	13	0	40435	0	41587	2018-06-11 23:41:06	40037	1528731666465	19
120	1	70	0	39863	0	39810	2018-06-11 23:41:06	40120	1528731666498	20
47	1	40	0	40069	0	40229	2018-06-11 23:41:06	40047	1528731666532	21
131	1	129	0	39419	0	39828	2018-06-11 23:41:06	40131	1528731666632	22
127	1	119	0	39478	0	39442	2018-06-11 23:41:06	40127	1528731666699	23
80	1	10	0	39331	0	40997	2018-06-11 23:41:06	40080	1528731666832	24
132	1	122	0	39518	0	40579	2018-06-11 23:41:06	40132	1528731666866	25
50	1	70	0	39979	0	39554	2018-06-11 23:41:06	40050	1528731666932	26
123	1	64	0	39510	0	39574	2018-06-11 23:41:06	40123	1528731666966	27
139	1	129	0	39307	0	39657	2018-06-11 23:41:07	40139	1528731667058	28
33	1	13	0	40446	0	41642	2018-06-11 23:41:07	40033	1528731667125	29
13	1	8	0	41468	0	41338	2018-06-11 23:41:07	40013	1528731667158	30
26	1	13	0	40367	0	41548	2018-06-11 23:41:07	40026	1528731667191	31
24	1	41	0	40875	0	40166	2018-06-11 23:41:07	40024	1528731667316	32
135	1	129	0	39481	0	39767	2018-06-11 23:41:07	40135	1528731667383	33
117	1	120	0	39282	0	40011	2018-06-11 23:41:07	40117	1528731667559	34
48	1	41	0	40225	0	40255	2018-06-11 23:41:07	40048	1528731667592	35
32	1	41	0	40345	0	40038	2018-06-11 23:41:07	40032	1528731667625	36
63	1	64	0	39819	0	39801	2018-06-11 23:41:07	40063	1528731667725	37
56	1	37	0	40105	0	40749	2018-06-11 23:41:07	40056	1528731667792	38
69	1	70	0	39296	0	39589	2018-06-11 23:41:07	40069	1528731667826	39
9	1	8	0	40879	0	41072	2018-06-11 23:41:08	40009	1528731668026	40
53	1	50	0	39619	0	40492	2018-06-11 23:41:08	40053	1528731668059	41
12	1	3	0	40934	0	41327	2018-06-11 23:41:08	40012	1528731668093	42
40	1	43	0	40097	0	39941	2018-06-11 23:41:08	40040	1528731668193	43
122	1	129	0	40340	0	39645	2018-06-11 23:41:08	40122	1528731668226	44
38	1	37	0	40879	0	40918	2018-06-11 23:41:08	40038	1528731668318	45
129	1	70	0	39336	0	39655	2018-06-11 23:41:08	40129	1528731668385	46
75	1	69	0	39636	0	39622	2018-06-11 23:41:08	40075	1528731668418	47
