nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	0	61463	0	4473	2018-06-11 23:41:25	40003	1528731685620	1
21	0	61461	0	1876	2018-06-11 23:41:25	40021	1528731685703	2
16	0	61461	0	1446	2018-06-11 23:41:25	40016	1528731685745	3
13	0	61461	0	3626	2018-06-11 23:41:25	40013	1528731685861	4
11	0	61461	0	4471	2018-06-11 23:41:25	40011	1528731685987	5
20	0	61461	0	3347	2018-06-11 23:41:26	40020	1528731686028	6
12	0	61461	0	1189	2018-06-11 23:41:26	40012	1528731686681	7
8	0	61461	0	4490	2018-06-11 23:41:26	40008	1528731686714	8
10	0	61461	0	3167	2018-06-11 23:41:26	40010	1528731686747	9
26	0	61461	0	1193	2018-06-11 23:41:27	40026	1528731687015	10
32	0	61461	0	1253	2018-06-11 23:41:27	40032	1528731687048	11
52	0	61461	0	2359	2018-06-11 23:41:27	40052	1528731687081	12
37	0	61461	0	3754	2018-06-11 23:41:27	40037	1528731687115	13
41	0	61461	0	3277	2018-06-11 23:41:27	40041	1528731687348	14
38	0	61462	0	1217	2018-06-11 23:41:27	40038	1528731687479	15
66	0	61461	0	3483	2018-06-11 23:41:27	40066	1528731687733	16
9	0	61461	0	2568	2018-06-11 23:41:27	40009	1528731687833	17
77	0	61461	0	3166	2018-06-11 23:41:27	40077	1528731687966	18
43	0	61461	0	4466	2018-06-11 23:41:28	40043	1528731688100	19
56	0	61461	0	3383	2018-06-11 23:41:28	40056	1528731688133	20
122	0	61461	0	3172	2018-06-11 23:41:28	40122	1528731688167	21
117	0	61461	0	2635	2018-06-11 23:41:28	40117	1528731688267	22
70	0	61461	0	6426	2018-06-11 23:41:28	40070	1528731688300	23
39	0	61461	0	1143	2018-06-11 23:41:28	40039	1528731688400	24
76	0	61461	0	2928	2018-06-11 23:41:28	40076	1528731688434	25
119	0	61461	0	4232	2018-06-11 23:41:28	40119	1528731688567	26
24	0	61461	0	1185	2018-06-11 23:41:28	40024	1528731688792	27
67	0	61461	0	1258	2018-06-11 23:41:28	40067	1528731688884	28
72	0	61461	0	1400	2018-06-11 23:41:28	40072	1528731688951	29
50	0	61461	0	4095	2018-06-11 23:41:29	40050	1528731689018	30
118	0	61461	0	1457	2018-06-11 23:41:29	40118	1528731689085	31
17	0	61461	0	1107	2018-06-11 23:41:29	40017	1528731689118	32
127	0	61461	0	1345	2018-06-11 23:41:29	40127	1528731689151	33
121	0	61461	0	1333	2018-06-11 23:41:29	40121	1528731689252	34
123	0	61461	0	2701	2018-06-11 23:41:29	40123	1528731689352	35
64	0	61461	0	5792	2018-06-11 23:41:29	40064	1528731689418	36
75	0	61461	0	2410	2018-06-11 23:41:29	40075	1528731689519	37
71	0	61461	0	1165	2018-06-11 23:41:29	40071	1528731689686	38
78	0	61461	0	1171	2018-06-11 23:41:29	40078	1528731689752	39
139	0	61461	0	1293	2018-06-11 23:41:29	40139	1528731689886	40
48	0	61461	0	1734	2018-06-11 23:41:30	40048	1528731690036	41
69	0	61461	0	4239	2018-06-11 23:41:30	40069	1528731690186	42
44	0	61461	0	1162	2018-06-11 23:41:30	40044	1528731690228	43
53	0	61461	0	2386	2018-06-11 23:41:30	40053	1528731690437	44
124	0	61461	0	1096	2018-06-11 23:41:30	40124	1528731690480	45
63	0	61461	0	5734	2018-06-11 23:41:30	40063	1528731690520	46
132	0	61461	0	1312	2018-06-11 23:41:30	40132	1528731690687	47
129	0	61461	0	4727	2018-06-11 23:41:30	40129	1528731690770	48
131	0	61461	0	2812	2018-06-11 23:41:30	40131	1528731690812	49
115	0	61461	0	1343	2018-06-11 23:41:30	40115	1528731690879	50
80	0	61461	0	4275	2018-06-11 23:41:30	40080	1528731690912	51
47	0	61461	0	1548	2018-06-11 23:41:30	40047	1528731690946	52
33	0	61461	0	1362	2018-06-11 23:41:30	40033	1528731690979	53
40	0	61461	0	3639	2018-06-11 23:41:31	40040	1528731691079	54
120	0	61461	0	3226	2018-06-11 23:41:31	40120	1528731691113	55
135	0	61461	0	2682	2018-06-11 23:41:31	40135	1528731691146	56
3	1	57367	0	10003	2018-06-11 23:42:25	40003	1528731745635	57
16	1	57365	0	2897	2018-06-11 23:42:25	40016	1528731745735	58
21	1	57365	0	3746	2018-06-11 23:42:25	40021	1528731745935	59
13	1	57365	0	6526	2018-06-11 23:42:26	40013	1528731746035	60
10	1	57365	0	7382	2018-06-11 23:42:26	40010	1528731746069	61
11	1	57365	0	9936	2018-06-11 23:42:26	40011	1528731746161	62
20	1	57367	0	7734	2018-06-11 23:42:26	40020	1528731746194	63
9	1	57365	0	5113	2018-06-11 23:42:26	40009	1528731746762	64
24	1	57365	0	2300	2018-06-11 23:42:26	40024	1528731746862	65
122	1	57365	0	7562	2018-06-11 23:42:27	40122	1528731747221	66
41	1	57365	0	7661	2018-06-11 23:42:27	40041	1528731747354	67
67	1	57365	0	2624	2018-06-11 23:42:27	40067	1528731747513	68
76	1	57365	0	6211	2018-06-11 23:42:27	40076	1528731747646	69
64	1	57365	0	11574	2018-06-11 23:42:27	40064	1528731747713	70
