seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	40981	2018-06-11 23:41:05	40003	1528731665538	1
2	0	61461	2018-06-11 23:41:25	40003	1528731685538	2
3	1	16405	2018-06-11 23:41:45	40003	1528731705538	3
4	1	36885	2018-06-11 23:42:05	40003	1528731725538	4
5	1	57365	2018-06-11 23:42:25	40003	1528731745534	5
6	2	12309	2018-06-11 23:42:45	40003	1528731765534	6
7	2	32789	2018-06-11 23:43:05	40003	1528731785534	7
8	2	53269	2018-06-11 23:43:25	40003	1528731805535	8
9	3	8213	2018-06-11 23:43:45	40003	1528731825535	9
10	3	28693	2018-06-11 23:44:05	40003	1528731845535	10
11	3	49173	2018-06-11 23:44:25	40003	1528731865531	11
12	4	4117	2018-06-11 23:44:45	40003	1528731885531	12
13	4	24597	2018-06-11 23:45:05	40003	1528731905531	13
14	4	45077	2018-06-11 23:45:25	40003	1528731925532	14
15	5	21	2018-06-11 23:45:45	40003	1528731945537	15
16	5	20501	2018-06-11 23:46:05	40003	1528731965532	16
17	5	40981	2018-06-11 23:46:25	40003	1528731985532	17
18	5	61461	2018-06-11 23:46:45	40003	1528732005534	18
19	6	16405	2018-06-11 23:47:05	40003	1528732025528	19
20	6	36885	2018-06-11 23:47:25	40003	1528732045529	20
21	6	57365	2018-06-11 23:47:45	40003	1528732065529	21
22	7	12309	2018-06-11 23:48:05	40003	1528732085529	22
23	7	32789	2018-06-11 23:48:25	40003	1528732105529	23
24	7	53269	2018-06-11 23:48:45	40003	1528732125525	24
25	8	8213	2018-06-11 23:49:05	40003	1528732145525	25
26	8	28693	2018-06-11 23:49:25	40003	1528732165526	26
27	8	49173	2018-06-11 23:49:45	40003	1528732185526	27
28	9	4117	2018-06-11 23:50:05	40003	1528732205526	28
29	9	24597	2018-06-11 23:50:25	40003	1528732225526	29
30	9	45077	2018-06-11 23:50:45	40003	1528732245526	30
31	10	21	2018-06-11 23:51:05	40003	1528732265526	31
32	10	20501	2018-06-11 23:51:25	40003	1528732285523	32
33	10	40981	2018-06-11 23:51:45	40003	1528732305523	33
34	10	61461	2018-06-11 23:52:05	40003	1528732325523	34
35	11	16405	2018-06-11 23:52:25	40003	1528732345523	35
36	11	36885	2018-06-11 23:52:45	40003	1528732365523	36
37	11	57365	2018-06-11 23:53:05	40003	1528732385523	37
38	12	12311	2018-06-11 23:53:25	40003	1528732405524	38
