nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
16	1	0	40993	2018-06-11 23:41:05	40016	1528731665897	1
21	1	0	41239	2018-06-11 23:41:06	40021	1528731666089	2
39	1	0	40290	2018-06-11 23:41:06	40039	1528731666565	3
44	1	0	39817	2018-06-11 23:41:06	40044	1528731666599	4
78	1	0	39279	2018-06-11 23:41:06	40078	1528731666667	5
131	1	0	39371	2018-06-11 23:41:06	40131	1528731666732	6
115	1	0	40432	2018-06-11 23:41:06	40115	1528731666765	7
121	1	0	39915	2018-06-11 23:41:06	40121	1528731666799	8
52	1	0	40085	2018-06-11 23:41:06	40052	1528731666899	9
132	1	0	39503	2018-06-11 23:41:07	40132	1528731667024	10
70	1	0	39460	2018-06-11 23:41:07	40070	1528731667091	11
11	1	0	40689	2018-06-11 23:41:07	40011	1528731667250	12
8	1	0	40696	2018-06-11 23:41:07	40008	1528731667283	13
67	1	0	39359	2018-06-11 23:41:07	40067	1528731667350	14
24	1	0	40859	2018-06-11 23:41:07	40024	1528731667431	15
26	1	0	40309	2018-06-11 23:41:07	40026	1528731667458	16
37	1	0	40415	2018-06-11 23:41:07	40037	1528731667492	17
139	1	0	39261	2018-06-11 23:41:07	40139	1528731667525	18
33	1	0	40402	2018-06-11 23:41:07	40033	1528731667659	19
43	1	0	39647	2018-06-11 23:41:07	40043	1528731667692	20
72	1	0	39449	2018-06-11 23:41:07	40072	1528731667759	21
135	1	0	39166	2018-06-11 23:41:07	40135	1528731667859	22
80	1	0	39287	2018-06-11 23:41:07	40080	1528731667892	23
56	1	0	40086	2018-06-11 23:41:07	40056	1528731667926	24
13	1	0	40912	2018-06-11 23:41:07	40013	1528731667959	25
32	1	0	40327	2018-06-11 23:41:07	40032	1528731667992	26
64	1	0	39305	2018-06-11 23:41:08	40064	1528731668126	27
17	1	0	40907	2018-06-11 23:41:08	40017	1528731668159	28
48	1	0	40183	2018-06-11 23:41:08	40048	1528731668260	29
12	1	0	40892	2018-06-11 23:41:08	40012	1528731668351	30
117	1	0	39149	2018-06-11 23:41:08	40117	1528731668452	31
9	1	0	40859	2018-06-11 23:41:08	40009	1528731668510	32
53	1	0	39606	2018-06-11 23:41:08	40053	1528731668543	33
75	1	0	39577	2018-06-11 23:41:08	40075	1528731668644	34
120	1	0	39849	2018-06-11 23:41:08	40120	1528731668710	35
122	1	0	40318	2018-06-11 23:41:08	40122	1528731668744	36
123	1	0	39496	2018-06-11 23:41:08	40123	1528731668777	37
40	1	0	40083	2018-06-11 23:41:08	40040	1528731668810	38
77	1	0	39794	2018-06-11 23:41:08	40077	1528731668844	39
38	1	0	40861	2018-06-11 23:41:08	40038	1528731668877	40
63	1	0	39773	2018-06-11 23:41:08	40063	1528731668911	41
50	1	0	39960	2018-06-11 23:41:08	40050	1528731668944	42
10	1	0	40836	2018-06-11 23:41:08	40010	1528731668977	43
66	1	0	39521	2018-06-11 23:41:09	40066	1528731669077	44
124	1	0	39268	2018-06-11 23:41:09	40124	1528731669144	45
127	1	0	39456	2018-06-11 23:41:09	40127	1528731669178	46
71	1	0	39258	2018-06-11 23:41:09	40071	1528731669211	47
129	1	0	39315	2018-06-11 23:41:09	40129	1528731669278	48
118	1	0	39403	2018-06-11 23:41:09	40118	1528731669311	49
47	1	0	40052	2018-06-11 23:41:09	40047	1528731669345	50
69	1	0	39282	2018-06-11 23:41:09	40069	1528731669378	51
20	1	0	40488	2018-06-11 23:41:09	40020	1528731669411	52
41	1	0	39890	2018-06-11 23:41:09	40041	1528731669445	53
119	1	0	39268	2018-06-11 23:41:09	40119	1528731669478	54
67	2	0	59798	2018-06-11 23:41:26	40067	1528731686313	55
12	2	0	61331	2018-06-11 23:41:26	40012	1528731686347	56
21	2	0	61768	2018-06-11 23:41:26	40021	1528731686380	57
16	2	0	61604	2018-06-11 23:41:26	40016	1528731686614	58
8	2	0	61124	2018-06-11 23:41:26	40008	1528731686781	59
11	2	0	61546	2018-06-11 23:41:26	40011	1528731686981	60
17	2	0	61323	2018-06-11 23:41:27	40017	1528731687181	61
118	2	0	60498	2018-06-11 23:41:27	40118	1528731687315	62
39	2	0	61283	2018-06-11 23:41:27	40039	1528731687540	63
117	2	0	60200	2018-06-11 23:41:27	40117	1528731687599	64
9	2	0	61348	2018-06-11 23:41:27	40009	1528731687701	65
72	2	0	60002	2018-06-11 23:41:27	40072	1528731687899	66
119	2	0	60240	2018-06-11 23:41:28	40119	1528731688066	67
121	2	0	60380	2018-06-11 23:41:28	40121	1528731688367	68
77	2	0	61267	2018-06-11 23:41:28	40077	1528731688500	69
75	2	0	60527	2018-06-11 23:41:28	40075	1528731688692	70
32	2	0	62063	2018-06-11 23:41:28	40032	1528731688726	71
123	2	0	60921	2018-06-11 23:41:28	40123	1528731688759	72
127	2	0	60439	2018-06-11 23:41:28	40127	1528731688828	73
63	2	0	60193	2018-06-11 23:41:28	40063	1528731688918	74
122	2	0	61273	2018-06-11 23:41:28	40122	1528731688984	75
71	2	0	60198	2018-06-11 23:41:29	40071	1528731689051	76
139	2	0	60279	2018-06-11 23:41:29	40139	1528731689185	77
64	2	0	60343	2018-06-11 23:41:29	40064	1528731689218	78
44	2	0	61351	2018-06-11 23:41:29	40044	1528731689285	79
38	2	0	62188	2018-06-11 23:41:29	40038	1528731689318	80
43	2	0	61025	2018-06-11 23:41:29	40043	1528731689385	81
69	2	0	60225	2018-06-11 23:41:29	40069	1528731689452	82
20	2	0	61448	2018-06-11 23:41:29	40020	1528731689552	83
