nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
12	0	3	0	21069	0	20571	2018-06-09 19:16:19	40012	1528542979633	1
17	0	3	0	21085	0	20742	2018-06-09 19:16:19	40017	1528542979797	2
13	0	3	0	21073	0	20951	2018-06-09 19:16:20	40013	1528542980001	3
21	0	13	0	21241	0	21161	2018-06-09 19:16:20	40021	1528542980060	4
11	0	3	0	21041	0	21015	2018-06-09 19:16:20	40011	1528542980126	5
10	0	3	0	21107	0	21088	2018-06-09 19:16:20	40010	1528542980159	6
80	0	17	0	19001	0	21540	2018-06-09 19:16:20	40080	1528542980251	7
9	0	13	0	21768	0	21982	2018-06-09 19:16:20	40009	1528542980901	8
37	0	13	0	20761	0	22062	2018-06-09 19:16:20	40037	1528542980993	9
8	0	13	0	21898	0	22102	2018-06-09 19:16:21	40008	1528542981060	10
56	0	37	0	20921	0	21521	2018-06-09 19:16:21	40056	1528542981741	11
39	0	37	0	21772	0	21639	2018-06-09 19:16:21	40039	1528542981861	12
44	26980	47	0	38474	0	38648	2018-06-09 19:16:38	40044	1528542998845	13
47	26980	11316	0	38635	13356	27692	2018-06-09 19:16:38	40047	1528542998953	14
56	26980	47	0	38520	0	38696	2018-06-09 19:16:38	40056	1528542998994	15
40	26980	47	0	39402	0	38838	2018-06-09 19:16:39	40040	1528542999061	16
52	26980	47	0	39357	0	39071	2018-06-09 19:16:39	40052	1528542999289	17
48	26980	47	0	39008	0	39202	2018-06-09 19:16:39	40048	1528542999379	18
11	1	3	0	41027	0	41001	2018-06-09 19:16:39	40011	1528542999578	19
10	1	3	0	41102	0	41083	2018-06-09 19:16:39	40010	1528542999624	20
80	1	10	0	39011	0	41226	2018-06-09 19:16:39	40080	1528542999756	21
43	26980	47	0	39576	0	39656	2018-06-09 19:16:39	40043	1528542999822	22
38	26980	43	0	40459	0	39951	2018-06-09 19:16:40	40038	1528543000229	23
12	1	10	0	42209	0	41719	2018-06-09 19:16:40	40012	1528543000262	24
17	1	10	0	42104	0	41769	2018-06-09 19:16:40	40017	1528543000295	25
63	26980	43	0	39568	0	40078	2018-06-09 19:16:40	40063	1528543000362	26
77	26980	43	0	40011	0	40305	2018-06-09 19:16:40	40077	1528543000547	27
41	26980	77	0	40394	0	40187	2018-06-09 19:16:40	40041	1528543000749	28
50	26980	41	0	40448	0	40446	2018-06-09 19:16:40	40050	1528543000817	29
39	26980	38	0	41438	0	41298	2018-06-09 19:16:41	40039	1528543001016	30
24	26980	41	0	41436	0	40692	2018-06-09 19:16:41	40024	1528543001046	31
37	26980	38	0	41488	0	41470	2018-06-09 19:16:41	40037	1528543001183	32
66	26980	77	0	40392	0	40626	2018-06-09 19:16:41	40066	1528543001213	33
13	26980	37	0	43248	0	41932	2018-06-09 19:16:41	40013	1528543001620	34
21	26980	13	0	43441	0	43367	2018-06-09 19:16:41	40021	1528543001741	35
9	26980	13	0	43510	0	43729	2018-06-09 19:16:42	40009	1528543002097	36
26	26980	37	0	42461	0	42454	2018-06-09 19:16:42	40026	1528543002155	37
33	26980	37	0	42465	0	42480	2018-06-09 19:16:42	40033	1528543002188	38
11	26980	13	0	44185	0	44276	2018-06-09 19:16:42	40011	1528543002628	39
20	26980	11	0	44330	0	44185	2018-06-09 19:16:42	40020	1528543002697	40
12	2	3	0	62152	0	61654	2018-06-09 19:16:59	40012	1528543019722	41
17	2	3	0	62088	0	61745	2018-06-09 19:16:59	40017	1528543019801	42
10	2	3	0	62155	0	62136	2018-06-09 19:17:00	40010	1528543020185	43
21	2	13	0	62361	0	62274	2018-06-09 19:17:00	40021	1528543020248	44
9	2	13	0	62149	0	62362	2018-06-09 19:17:00	40009	1528543020348	45
37	2	13	0	61188	0	62488	2018-06-09 19:17:00	40037	1528543020448	46
38	2	37	0	61219	0	61221	2018-06-09 19:17:00	40038	1528543020481	47
8	2	13	0	62339	0	62543	2018-06-09 19:17:00	40008	1528543020515	48
13	2	3	0	62274	0	62152	2018-06-09 19:17:00	40013	1528543020548	49
80	2	10	0	60189	0	62404	2018-06-09 19:17:00	40080	1528543020615	50
11	2	13	0	63140	0	63225	2018-06-09 19:17:01	40011	1528543021274	51
39	2	38	0	62194	0	62048	2018-06-09 19:17:01	40039	1528543021308	52
69	2	70	0	61038	0	62580	2018-06-09 19:17:01	40069	1528543021383	53
44	2	38	0	61314	0	61900	2018-06-09 19:17:01	40044	1528543021425	54
70	2	10	0	62212	0	62980	2018-06-09 19:17:01	40070	1528543021466	55
78	2	70	0	61327	0	62848	2018-06-09 19:17:01	40078	1528543021834	56
72	2	70	0	62690	0	63173	2018-06-09 19:17:02	40072	1528543022251	57
33	2	37	0	62153	0	62163	2018-06-09 19:17:02	40033	1528543022686	58
26	2	37	0	62168	0	62155	2018-06-09 19:17:02	40026	1528543022853	59
64	2	70	0	61131	0	62580	2018-06-09 19:17:02	40064	1528543022953	60
52	4608	16736	1	732	0	0	2018-06-09 19:17:05	40052	1528543025534	61
11	3	3	1	16554	1	16529	2018-06-09 19:17:19	40011	1528543039645	62
10	3	3	1	16609	1	16590	2018-06-09 19:17:19	40010	1528543039705	63
13	3	11	1	16726	1	16619	2018-06-09 19:17:19	40013	1528543039737	64
80	3	10	1	14730	1	16945	2018-06-09 19:17:20	40080	1528543040054	65
12	3	10	1	17636	1	17146	2018-06-09 19:17:20	40012	1528543040241	66
17	3	10	1	17629	1	17294	2018-06-09 19:17:20	40017	1528543040385	67
70	3	10	1	16645	1	17413	2018-06-09 19:17:20	40070	1528543040503	68
9	3	13	1	17321	1	17534	2018-06-09 19:17:20	40009	1528543040537	69
33	3	13	1	16292	1	17612	2018-06-09 19:17:20	40033	1528543040637	70
37	3	13	1	16388	1	17687	2018-06-09 19:17:20	40037	1528543040671	71
8	3	13	1	17511	1	17715	2018-06-09 19:17:20	40008	1528543040704	72
38	3	37	1	16442	1	16444	2018-06-09 19:17:20	40038	1528543040871	73
21	3	13	1	17846	1	17766	2018-06-09 19:17:20	40021	1528543040904	74
50	3	38	1	16459	1	17051	2018-06-09 19:17:21	40050	1528543041346	75
44	3	38	1	16582	1	17168	2018-06-09 19:17:21	40044	1528543041463	76
56	3	37	1	16657	1	17258	2018-06-09 19:17:21	40056	1528543041533	77
43	3	50	1	16780	1	16669	2018-06-09 19:17:21	40043	1528543041588	78
47	3	43	1	16904	1	16808	2018-06-09 19:17:21	40047	1528543041622	79
77	3	43	1	16547	1	16835	2018-06-09 19:17:21	40077	1528543041655	80
39	3	50	1	17409	1	16660	2018-06-09 19:17:21	40039	1528543041688	81
40	3	50	1	17438	1	16682	2018-06-09 19:17:21	40040	1528543041822	82
52	3	47	1	17304	1	17011	2018-06-09 19:17:21	40052	1528543041889	83
63	3	43	1	16531	1	17036	2018-06-09 19:17:21	40063	1528543041922	84
41	3	43	1	17355	1	17441	2018-06-09 19:17:22	40041	1528543042218	85
53	3	41	1	17402	1	17402	2018-06-09 19:17:22	40053	1528543042281	86
48	3	41	1	17634	1	17641	2018-06-09 19:17:22	40048	1528543042500	87
66	3	77	1	17330	1	17558	2018-06-09 19:17:22	40066	1528543042656	88
12	4	3	1	37603	1	37105	2018-06-09 19:17:39	40012	1528543059741	89
17	4	3	1	37586	1	37243	2018-06-09 19:17:39	40017	1528543059873	90
11	4	3	1	37587	1	37561	2018-06-09 19:17:40	40011	1528543060185	91
20	4	11	1	37741	1	37587	2018-06-09 19:17:40	40020	1528543060223	92
21	4	13	1	37831	1	37751	2018-06-09 19:17:40	40021	1528543060264	93
13	4	11	1	37734	1	37627	2018-06-09 19:17:40	40013	1528543060390	94
10	4	17	1	37798	1	38111	2018-06-09 19:17:40	40010	1528543060431	95
