nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
12	0	0	21052	2018-06-09 19:16:19	40012	1528542979667	1
21	0	0	21021	2018-06-09 19:16:20	40021	1528542980093	2
10	0	0	21054	2018-06-09 19:16:20	40010	1528542980217	3
80	0	0	18935	2018-06-09 19:16:20	40080	1528542980284	4
17	0	0	21039	2018-06-09 19:16:20	40017	1528542980804	5
9	0	0	21754	2018-06-09 19:16:20	40009	1528542980934	6
13	0	0	20990	2018-06-09 19:16:21	40013	1528542981026	7
11	0	0	21027	2018-06-09 19:16:21	40011	1528542981093	8
8	0	0	21883	2018-06-09 19:16:21	40008	1528542981126	9
56	0	0	20906	2018-06-09 19:16:21	40056	1528542981810	10
39	0	0	21754	2018-06-09 19:16:21	40039	1528542981893	11
37	0	0	20739	2018-06-09 19:16:21	40037	1528542981989	12
44	26980	0	38466	2018-06-09 19:16:38	40044	1528542998919	13
56	26980	0	38508	2018-06-09 19:16:39	40056	1528542999028	14
40	26980	0	39390	2018-06-09 19:16:39	40040	1528542999098	15
52	26980	0	39349	2018-06-09 19:16:39	40052	1528542999345	16
48	26980	0	38939	2018-06-09 19:16:39	40048	1528542999411	17
80	1	0	38936	2018-06-09 19:16:39	40080	1528542999787	18
47	26980	0	38619	2018-06-09 19:16:39	40047	1528542999862	19
12	1	0	42072	2018-06-09 19:16:40	40012	1528543000329	20
63	26980	0	39554	2018-06-09 19:16:40	40063	1528543000395	21
11	1	0	41012	2018-06-09 19:16:40	40011	1528543000604	22
10	1	0	41036	2018-06-09 19:16:40	40010	1528543000673	23
43	26980	0	39568	2018-06-09 19:16:40	40043	1528543000857	24
39	26980	0	41429	2018-06-09 19:16:41	40039	1528543001079	25
24	26980	0	41421	2018-06-09 19:16:41	40024	1528543001113	26
66	26980	0	40384	2018-06-09 19:16:41	40066	1528543001246	27
38	26980	0	40449	2018-06-09 19:16:41	40038	1528543001279	28
17	1	0	42090	2018-06-09 19:16:41	40017	1528543001328	29
77	26980	0	39970	2018-06-09 19:16:41	40077	1528543001579	30
41	26980	0	40384	2018-06-09 19:16:41	40041	1528543001772	31
21	26980	0	43426	2018-06-09 19:16:41	40021	1528543001805	32
50	26980	0	40439	2018-06-09 19:16:41	40050	1528543001863	33
9	26980	0	43495	2018-06-09 19:16:42	40009	1528543002222	34
33	26980	0	42454	2018-06-09 19:16:42	40033	1528543002255	35
37	26980	0	41480	2018-06-09 19:16:42	40037	1528543002289	36
13	26980	0	43240	2018-06-09 19:16:42	40013	1528543002664	37
20	26980	0	44313	2018-06-09 19:16:42	40020	1528543002730	38
26	26980	0	42454	2018-06-09 19:16:43	40026	1528543003182	39
11	26980	0	44177	2018-06-09 19:16:43	40011	1528543003677	40
12	2	0	62139	2018-06-09 19:16:59	40012	1528543019756	41
21	2	0	62343	2018-06-09 19:17:00	40021	1528543020381	42
9	2	0	62132	2018-06-09 19:17:00	40009	1528543020414	43
17	2	0	62075	2018-06-09 19:17:00	40017	1528543020890	44
13	2	0	62130	2018-06-09 19:17:01	40013	1528543021241	45
38	2	0	61202	2018-06-09 19:17:01	40038	1528543021550	46
69	2	0	60986	2018-06-09 19:17:01	40069	1528543021875	47
39	2	0	62129	2018-06-09 19:17:02	40039	1528543022126	48
10	2	0	62107	2018-06-09 19:17:02	40010	1528543022284	49
72	2	0	62666	2018-06-09 19:17:02	40072	1528543022419	50
11	2	0	63124	2018-06-09 19:17:02	40011	1528543022519	51
80	2	0	60060	2018-06-09 19:17:02	40080	1528543022586	52
44	2	0	61300	2018-06-09 19:17:02	40044	1528543022653	53
78	2	0	61284	2018-06-09 19:17:02	40078	1528543022719	54
8	2	0	62255	2018-06-09 19:17:02	40008	1528543022819	55
33	2	0	62140	2018-06-09 19:17:02	40033	1528543022886	56
37	2	0	61174	2018-06-09 19:17:02	40037	1528543022920	57
70	2	0	61968	2018-06-09 19:17:03	40070	1528543023120	58
64	2	0	61084	2018-06-09 19:17:03	40064	1528543023153	59
26	2	0	62150	2018-06-09 19:17:03	40026	1528543023187	60
52	4608	1	721	2018-06-09 19:17:05	40052	1528543025612	61
80	3	1	14685	2018-06-09 19:17:20	40080	1528543040114	62
12	3	1	17619	2018-06-09 19:17:20	40012	1528543040295	63
70	3	1	16593	2018-06-09 19:17:20	40070	1528543040570	64
9	3	1	17305	2018-06-09 19:17:20	40009	1528543040604	65
11	3	1	16529	2018-06-09 19:17:20	40011	1528543040737	66
13	3	1	16667	2018-06-09 19:17:20	40013	1528543040771	67
8	3	1	17495	2018-06-09 19:17:20	40008	1528543040804	68
10	3	1	16572	2018-06-09 19:17:20	40010	1528543040838	69
33	3	1	16274	2018-06-09 19:17:20	40033	1528543040938	70
21	3	1	17805	2018-06-09 19:17:20	40021	1528543040971	71
17	3	1	17556	2018-06-09 19:17:21	40017	1528543041433	72
44	3	1	16501	2018-06-09 19:17:21	40044	1528543041496	73
56	3	1	16644	2018-06-09 19:17:21	40056	1528543041722	74
37	3	1	16371	2018-06-09 19:17:21	40037	1528543041755	75
38	3	1	16428	2018-06-09 19:17:21	40038	1528543041788	76
39	3	1	17350	2018-06-09 19:17:21	40039	1528543041855	77
52	3	1	17284	2018-06-09 19:17:21	40052	1528543041955	78
40	3	1	17419	2018-06-09 19:17:21	40040	1528543041989	79
63	3	1	16514	2018-06-09 19:17:22	40063	1528543042022	80
50	3	1	16439	2018-06-09 19:17:22	40050	1528543042381	81
48	3	1	17591	2018-06-09 19:17:22	40048	1528543042531	82
43	3	1	16764	2018-06-09 19:17:22	40043	1528543042603	83
77	3	1	16506	2018-06-09 19:17:22	40077	1528543042689	84
66	3	1	17316	2018-06-09 19:17:22	40066	1528543042723	85
47	3	1	16882	2018-06-09 19:17:22	40047	1528543042756	86
41	3	1	17342	2018-06-09 19:17:23	40041	1528543043270	87
53	3	1	17362	2018-06-09 19:17:23	40053	1528543043426	88
12	4	1	37586	2018-06-09 19:17:39	40012	1528543059781	89
20	4	1	37716	2018-06-09 19:17:40	40020	1528543060306	90
21	4	1	37787	2018-06-09 19:17:40	40021	1528543060348	91
80	4	1	35756	2018-06-09 19:17:40	40080	1528543060640	92
9	4	1	38013	2018-06-09 19:17:40	40009	1528543060773	93
33	4	1	36986	2018-06-09 19:17:40	40033	1528543060848	94
17	4	1	37573	2018-06-09 19:17:40	40017	1528543060922	95
11	4	1	37565	2018-06-09 19:17:41	40011	1528543061229	96
13	4	1	37718	2018-06-09 19:17:41	40013	1528543061273	97
10	4	1	37623	2018-06-09 19:17:41	40010	1528543061449	98
