nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
52	26980	0	24656	2018-06-09 23:19:34	40052	1528557574631	1
44	26980	0	25238	2018-06-09 23:19:34	40044	1528557574798	2
47	26980	0	24747	2018-06-09 23:19:34	40047	1528557574932	3
39	26980	0	25678	2018-06-09 23:19:34	40039	1528557574965	4
53	26980	0	24811	2018-06-09 23:19:35	40053	1528557575099	5
24	26980	0	26188	2018-06-09 23:19:35	40024	1528557575132	6
32	26980	0	25659	2018-06-09 23:19:35	40032	1528557575224	7
38	26980	0	25965	2018-06-09 23:19:35	40038	1528557575291	8
78	26980	0	25660	2018-06-09 23:19:35	40078	1528557575625	9
121	26980	0	25871	2018-06-09 23:19:35	40121	1528557575692	10
117	26980	0	25743	2018-06-09 23:19:35	40117	1528557575758	11
77	26980	0	25165	2018-06-09 23:19:36	40077	1528557576025	12
132	26980	0	26056	2018-06-09 23:19:36	40132	1528557576059	13
72	26980	0	25769	2018-06-09 23:19:36	40072	1528557576126	14
123	26980	0	26243	2018-06-09 23:19:36	40123	1528557576199	15
41	26980	0	24645	2018-06-09 23:19:36	40041	1528557576234	16
75	26980	0	25746	2018-06-09 23:19:36	40075	1528557576268	17
37	26980	0	26246	2018-06-09 23:19:36	40037	1528557576301	18
120	26980	0	25700	2018-06-09 23:19:36	40120	1528557576368	19
50	26980	0	24745	2018-06-09 23:19:36	40050	1528557576401	20
63	26980	0	25277	2018-06-09 23:19:36	40063	1528557576434	21
80	26980	0	26181	2018-06-09 23:19:36	40080	1528557576493	22
13	26980	0	27445	2018-06-09 23:19:36	40013	1528557576526	23
8	26980	0	27830	2018-06-09 23:19:36	40008	1528557576710	24
33	26980	0	26189	2018-06-09 23:19:36	40033	1528557576743	25
135	26980	0	26207	2018-06-09 23:19:36	40135	1528557576777	26
69	26980	0	25711	2018-06-09 23:19:36	40069	1528557576843	27
40	26980	0	25768	2018-06-09 23:19:36	40040	1528557576944	28
11	26980	0	27896	2018-06-09 23:19:37	40011	1528557577044	29
122	26980	0	26220	2018-06-09 23:19:37	40122	1528557577178	30
9	26980	0	27768	2018-06-09 23:19:37	40009	1528557577278	31
12	26980	0	27831	2018-06-09 23:19:37	40012	1528557577311	32
48	26980	0	24801	2018-06-09 23:19:37	40048	1528557577378	33
131	26980	0	26338	2018-06-09 23:19:37	40131	1528557577419	34
21	26980	0	27904	2018-06-09 23:19:37	40021	1528557577461	35
56	26980	0	24783	2018-06-09 23:19:37	40056	1528557577503	36
10	26980	0	27816	2018-06-09 23:19:37	40010	1528557577545	37
43	26980	0	24650	2018-06-09 23:19:37	40043	1528557577586	38
71	26980	0	26303	2018-06-09 23:19:37	40071	1528557577628	39
129	26980	0	25907	2018-06-09 23:19:37	40129	1528557577670	40
119	26980	0	25837	2018-06-09 23:19:37	40119	1528557577712	41
66	26980	0	25711	2018-06-09 23:19:37	40066	1528557577862	42
70	26980	0	25417	2018-06-09 23:19:37	40070	1528557577903	43
17	26980	0	27850	2018-06-09 23:19:37	40017	1528557577962	44
3	26980	0	27989	2018-06-09 23:19:38	40003	1528557578003	45
124	26980	0	26368	2018-06-09 23:19:38	40124	1528557578045	46
115	26980	0	25831	2018-06-09 23:19:38	40115	1528557578087	47
139	26980	0	26359	2018-06-09 23:19:38	40139	1528557578212	48
127	26980	0	25861	2018-06-09 23:19:38	40127	1528557578254	49
67	26980	0	25788	2018-06-09 23:19:38	40067	1528557578295	50
118	26980	0	26267	2018-06-09 23:19:38	40118	1528557578329	51
26	26980	0	26180	2018-06-09 23:19:38	40026	1528557578362	52
64	26980	0	25775	2018-06-09 23:19:38	40064	1528557578396	53
17	1	0	40644	2018-06-09 23:19:48	40017	1528557588505	54
12	1	0	40634	2018-06-09 23:19:48	40012	1528557588605	55
21	1	0	41280	2018-06-09 23:19:48	40021	1528557588781	56
67	1	0	39385	2018-06-09 23:19:48	40067	1528557588981	57
16	1	0	41717	2018-06-09 23:19:49	40016	1528557589766	58
13	1	0	40820	2018-06-09 23:19:49	40013	1528557589799	59
11	1	0	41272	2018-06-09 23:19:49	40011	1528557589866	60
70	1	0	39281	2018-06-09 23:19:49	40070	1528557589899	61
64	1	0	39429	2018-06-09 23:19:49	40064	1528557589933	62
139	1	0	40605	2018-06-09 23:19:49	40139	1528557589966	63
127	1	0	40290	2018-06-09 23:19:50	40127	1528557590033	64
26	1	0	40305	2018-06-09 23:19:50	40026	1528557590066	65
10	1	0	40651	2018-06-09 23:19:50	40010	1528557590100	66
121	1	0	40079	2018-06-09 23:19:50	40121	1528557590133	67
37	1	0	40387	2018-06-09 23:19:50	40037	1528557590166	68
124	1	0	40298	2018-06-09 23:19:50	40124	1528557590200	69
56	1	0	39492	2018-06-09 23:19:50	40056	1528557590233	70
72	1	0	39740	2018-06-09 23:19:50	40072	1528557590266	71
131	1	0	39979	2018-06-09 23:19:50	40131	1528557590300	72
9	1	0	41366	2018-06-09 23:19:50	40009	1528557590367	73
20	1	0	41748	2018-06-09 23:19:50	40020	1528557590400	74
119	1	0	40026	2018-06-09 23:19:50	40119	1528557590525	75
41	1	0	39861	2018-06-09 23:19:50	40041	1528557590625	76
135	1	0	40105	2018-06-09 23:19:50	40135	1528557590659	77
63	1	0	39457	2018-06-09 23:19:50	40063	1528557590709	78
50	1	0	39719	2018-06-09 23:19:50	40050	1528557590776	79
115	1	0	39992	2018-06-09 23:19:50	40115	1528557590909	80
78	1	0	39786	2018-06-09 23:19:50	40078	1528557590943	81
123	1	0	40135	2018-06-09 23:19:51	40123	1528557591009	82
75	1	0	39668	2018-06-09 23:19:51	40075	1528557591043	83
122	1	0	40365	2018-06-09 23:19:51	40122	1528557591076	84
8	1	0	41445	2018-06-09 23:19:51	40008	1528557591143	85
39	1	0	40848	2018-06-09 23:19:51	40039	1528557591176	86
118	1	0	40432	2018-06-09 23:19:51	40118	1528557591210	87
71	1	0	40240	2018-06-09 23:19:51	40071	1528557591243	88
