nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
13	0	3	0	20932	0	20772	2018-06-10 21:53:59	40013	1528638839958	1
11	0	3	0	20929	0	20772	2018-06-10 21:53:59	40011	1528638839994	2
67	0	13	0	18863	0	20981	2018-06-10 21:54:00	40067	1528638840049	3
123	0	67	0	18949	0	18863	2018-06-10 21:54:00	40123	1528638840077	4
8	0	67	0	20963	0	18927	2018-06-10 21:54:00	40008	1528638840110	5
10	0	3	0	20908	0	20868	2018-06-10 21:54:00	40010	1528638840144	6
21	0	13	0	20919	0	21168	2018-06-10 21:54:00	40021	1528638840210	7
17	0	10	0	20912	0	20992	2018-06-10 21:54:00	40017	1528638840244	8
50	0	77	0	19287	0	19336	2018-06-10 21:54:00	40050	1528638840277	9
9	0	8	0	20966	0	21166	2018-06-10 21:54:00	40009	1528638840310	10
44	0	50	0	19320	0	19287	2018-06-10 21:54:00	40044	1528638840344	11
20	0	11	0	21516	0	21272	2018-06-10 21:54:00	40020	1528638840377	12
77	0	66	0	19315	0	19057	2018-06-10 21:54:00	40077	1528638840478	13
64	0	67	0	19454	0	19294	2018-06-10 21:54:00	40064	1528638840544	14
12	0	17	0	20985	0	21011	2018-06-10 21:54:00	40012	1528638840589	15
117	0	67	0	19957	0	19329	2018-06-10 21:54:00	40117	1528638840653	16
80	0	17	0	19294	0	21076	2018-06-10 21:54:00	40080	1528638840686	17
43	0	50	0	19491	0	19749	2018-06-10 21:54:00	40043	1528638840753	18
39	0	38	0	20440	0	20412	2018-06-10 21:54:00	40039	1528638840786	19
139	0	66	0	19501	0	19445	2018-06-10 21:54:00	40139	1528638840853	20
52	0	50	0	19384	0	19669	2018-06-10 21:54:00	40052	1528638840920	21
135	0	64	0	19676	0	19749	2018-06-10 21:54:00	40135	1528638840987	22
122	0	139	0	19932	0	19949	2018-06-10 21:54:01	40122	1528638841087	23
78	0	70	0	19950	0	19930	2018-06-10 21:54:01	40078	1528638841120	24
53	0	50	0	19354	0	19735	2018-06-10 21:54:01	40053	1528638841154	25
66	0	67	0	19035	0	19053	2018-06-10 21:54:01	40066	1528638841187	26
124	0	122	0	20525	0	20212	2018-06-10 21:54:01	40124	1528638841429	27
72	0	70	0	19941	0	19930	2018-06-10 21:54:01	40072	1528638841495	28
121	0	120	0	20089	0	20095	2018-06-10 21:54:01	40121	1528638841529	29
118	0	115	0	20494	0	20767	2018-06-10 21:54:01	40118	1528638841562	30
131	0	120	0	20511	0	20461	2018-06-10 21:54:01	40131	1528638841596	31
70	0	80	0	19519	0	19610	2018-06-10 21:54:01	40070	1528638841629	32
48	0	40	0	19865	0	20087	2018-06-10 21:54:01	40048	1528638841696	33
37	0	13	0	20172	0	21464	2018-06-10 21:54:01	40037	1528638841796	34
16	0	20	0	21502	0	21872	2018-06-10 21:54:02	40016	1528638842121	35
120	0	129	0	20070	0	20345	2018-06-10 21:54:02	40120	1528638842188	36
24	0	41	0	20958	0	19643	2018-06-10 21:54:02	40024	1528638842222	37
115	0	120	0	20476	0	20106	2018-06-10 21:54:02	40115	1528638842288	38
47	0	43	0	19921	0	19727	2018-06-10 21:54:02	40047	1528638842355	39
38	0	37	0	20190	0	20204	2018-06-10 21:54:02	40038	1528638842455	40
41	0	40	0	19470	0	19987	2018-06-10 21:54:02	40041	1528638842522	41
129	0	139	0	20252	0	19962	2018-06-10 21:54:02	40129	1528638842589	42
56	0	37	0	19441	0	20399	2018-06-10 21:54:02	40056	1528638842623	43
26	0	37	0	20430	0	20423	2018-06-10 21:54:02	40026	1528638842690	44
132	0	139	0	19845	0	19840	2018-06-10 21:54:02	40132	1528638842724	45
63	0	66	0	19386	0	19341	2018-06-10 21:54:02	40063	1528638842790	46
127	0	121	0	20207	0	20190	2018-06-10 21:54:03	40127	1528638843024	47
33	0	37	0	20458	0	20475	2018-06-10 21:54:03	40033	1528638843435	48
119	0	118	0	20831	0	20829	2018-06-10 21:54:03	40119	1528638843558	49
40	0	50	0	19965	0	19723	2018-06-10 21:54:03	40040	1528638843600	50
52	4608	47	0	22528	0	22732	2018-06-10 21:54:03	40052	1528638843767	51
3	4608	11	0	24779	0	24918	2018-06-10 21:54:03	40003	1528638843892	52
33	4608	38	0	23641	0	23638	2018-06-10 21:54:03	40033	1528638843934	53
37	4608	16736	0	23349	0	0	2018-06-10 21:54:03	40037	1528638843976	54
48	4608	47	0	23104	0	23014	2018-06-10 21:54:04	40048	1528638844017	55
39	4608	38	0	23582	0	23559	2018-06-10 21:54:04	40039	1528638844092	56
41	4608	38	0	22705	0	23638	2018-06-10 21:54:04	40041	1528638844126	57
40	4608	47	0	23240	0	22917	2018-06-10 21:54:04	40040	1528638844226	58
26	4608	37	0	23604	0	23602	2018-06-10 21:54:04	40026	1528638844259	59
24	4608	41	0	24125	0	22815	2018-06-10 21:54:04	40024	1528638844292	60
20	4608	11	0	25334	0	25094	2018-06-10 21:54:04	40020	1528638844393	61
70	4608	63	0	23348	0	23324	2018-06-10 21:54:04	40070	1528638844426	62
66	4608	77	0	23250	0	23491	2018-06-10 21:54:04	40066	1528638844459	63
43	4608	41	0	23184	0	23149	2018-06-10 21:54:04	40043	1528638844493	64
56	4608	47	0	22696	0	22907	2018-06-10 21:54:04	40056	1528638844560	65
63	4608	50	0	23083	0	23230	2018-06-10 21:54:04	40063	1528638844593	66
16	4608	20	0	25253	0	25627	2018-06-10 21:54:04	40016	1528638844627	67
132	4608	139	0	23618	0	23617	2018-06-10 21:54:04	40132	1528638844660	68
129	4608	118	0	23940	0	23724	2018-06-10 21:54:04	40129	1528638844693	69
80	4608	70	0	23792	0	23683	2018-06-10 21:54:04	40080	1528638844727	70
75	4608	69	0	23718	0	23675	2018-06-10 21:54:04	40075	1528638844760	71
38	4608	37	0	23405	0	23423	2018-06-10 21:54:04	40038	1528638844795	72
120	4608	118	0	23807	0	23876	2018-06-10 21:54:04	40120	1528638844860	73
72	4608	70	0	23605	0	23599	2018-06-10 21:54:04	40072	1528638844894	74
77	4608	41	0	23073	0	22705	2018-06-10 21:54:04	40077	1528638844930	75
21	4608	13	0	24648	0	24902	2018-06-10 21:54:04	40021	1528638844961	76
127	4608	121	0	23962	0	23949	2018-06-10 21:54:05	40127	1528638845027	77
135	4608	131	0	24010	0	23988	2018-06-10 21:54:05	40135	1528638845061	78
71	4608	69	0	24094	0	24067	2018-06-10 21:54:05	40071	1528638845094	79
