nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
17	0	61461	0	4518	2018-06-10 21:54:39	40017	1528638879780	1
10	0	61461	0	4665	2018-06-10 21:54:40	40010	1528638880674	2
37	0	61461	0	4113	2018-06-10 21:54:40	40037	1528638880841	3
39	0	61461	0	1098	2018-06-10 21:54:40	40039	1528638880908	4
33	0	61461	0	1170	2018-06-10 21:54:40	40033	1528638880974	5
11	0	61461	0	4523	2018-06-10 21:54:41	40011	1528638881375	6
40	0	61461	0	3956	2018-06-10 21:54:41	40040	1528638881475	7
75	0	61461	0	2539	2018-06-10 21:54:41	40075	1528638881542	8
139	0	61461	0	4512	2018-06-10 21:54:41	40139	1528638881609	9
66	0	61461	0	3998	2018-06-10 21:54:41	40066	1528638881676	10
21	0	61461	0	2570	2018-06-10 21:54:41	40021	1528638881742	11
77	0	61461	0	5174	2018-06-10 21:54:41	40077	1528638881776	12
64	0	61461	0	4016	2018-06-10 21:54:41	40064	1528638881809	13
53	0	61461	0	4309	2018-06-10 21:54:41	40053	1528638881843	14
70	0	61461	0	5379	2018-06-10 21:54:41	40070	1528638881879	15
50	0	61461	0	5145	2018-06-10 21:54:41	40050	1528638881943	16
121	0	61461	0	4142	2018-06-10 21:54:41	40121	1528638881976	17
135	0	61461	0	2255	2018-06-10 21:54:42	40135	1528638882043	18
48	0	61461	0	2451	2018-06-10 21:54:42	40048	1528638882110	19
44	0	61461	0	2471	2018-06-10 21:54:42	40044	1528638882143	20
38	0	61461	0	4504	2018-06-10 21:54:42	40038	1528638882176	21
131	0	61461	0	4138	2018-06-10 21:54:42	40131	1528638882210	22
76	0	61461	0	1187	2018-06-10 21:54:42	40076	1528638882243	23
26	0	61461	0	4049	2018-06-10 21:54:42	40026	1528638882310	24
127	0	61461	0	4300	2018-06-10 21:54:42	40127	1528638882343	25
52	0	61461	0	1121	2018-06-10 21:54:42	40052	1528638882377	26
117	0	61461	0	1466	2018-06-10 21:54:42	40117	1528638882477	27
13	0	61461	0	3883	2018-06-10 21:54:42	40013	1528638882544	28
115	0	61461	0	3996	2018-06-10 21:54:42	40115	1528638882610	29
122	0	61461	0	4009	2018-06-10 21:54:42	40122	1528638882678	30
20	0	61461	0	4559	2018-06-10 21:54:42	40020	1528638882836	31
9	0	61461	0	1104	2018-06-10 21:54:42	40009	1528638882969	32
24	0	61461	0	1433	2018-06-10 21:54:43	40024	1528638883003	33
78	0	61461	0	1210	2018-06-10 21:54:43	40078	1528638883103	34
72	0	61461	0	1200	2018-06-10 21:54:43	40072	1528638883203	35
124	0	61461	0	2857	2018-06-10 21:54:43	40124	1528638883303	36
120	0	61461	0	4177	2018-06-10 21:54:43	40120	1528638883337	37
69	0	61461	0	4715	2018-06-10 21:54:43	40069	1528638883437	38
16	0	61461	0	2416	2018-06-10 21:54:43	40016	1528638883504	39
8	0	61461	0	3245	2018-06-10 21:54:43	40008	1528638883537	40
63	0	61462	0	3864	2018-06-10 21:54:43	40063	1528638883570	41
41	0	61461	0	3985	2018-06-10 21:54:43	40041	1528638883604	42
47	0	61461	0	3886	2018-06-10 21:54:43	40047	1528638883637	43
12	0	61461	0	2453	2018-06-10 21:54:43	40012	1528638883670	44
80	0	61461	0	5152	2018-06-10 21:54:43	40080	1528638883771	45
56	0	61461	0	3982	2018-06-10 21:54:43	40056	1528638883829	46
67	0	61461	0	3917	2018-06-10 21:54:43	40067	1528638883862	47
132	0	61461	0	2471	2018-06-10 21:54:43	40132	1528638883929	48
43	0	61461	0	3822	2018-06-10 21:54:44	40043	1528638884221	49
123	0	61461	0	1858	2018-06-10 21:54:44	40123	1528638884255	50
3	0	61463	0	2301	2018-06-10 21:54:44	40003	1528638884288	51
118	0	61461	0	4079	2018-06-10 21:54:44	40118	1528638884355	52
119	0	61461	0	3861	2018-06-10 21:54:44	40119	1528638884455	53
71	0	61461	0	4543	2018-06-10 21:54:44	40071	1528638884522	54
129	0	61461	0	4087	2018-06-10 21:54:44	40129	1528638884555	55
32	0	61461	0	1082	2018-06-10 21:54:44	40032	1528638884622	56
20	1	57365	0	8566	2018-06-10 21:55:39	40020	1528638939304	57
11	1	57365	0	8545	2018-06-10 21:55:39	40011	1528638939532	58
13	1	57365	0	8414	2018-06-10 21:55:39	40013	1528638939567	59
8	1	57365	0	7035	2018-06-10 21:55:39	40008	1528638939632	60
10	1	57365	0	9823	2018-06-10 21:55:39	40010	1528638939667	61
16	1	57365	0	4911	2018-06-10 21:55:39	40016	1528638939768	62
17	1	57365	0	9531	2018-06-10 21:55:39	40017	1528638939834	63
3	1	57367	0	5804	2018-06-10 21:55:39	40003	1528638939868	64
37	1	57365	0	8357	2018-06-10 21:55:40	40037	1528638940819	65
76	1	57365	0	2389	2018-06-10 21:55:41	40076	1528638941587	66
69	1	57365	0	9414	2018-06-10 21:55:41	40069	1528638941629	67
132	1	57365	0	4937	2018-06-10 21:55:41	40132	1528638941712	68
121	1	57365	0	8241	2018-06-10 21:55:41	40121	1528638941795	69
117	1	57365	0	2989	2018-06-10 21:55:41	40117	1528638941971	70
71	1	57365	0	9360	2018-06-10 21:55:42	40071	1528638942038	71
72	1	57365	0	2676	2018-06-10 21:55:42	40072	1528638942071	72
70	1	57365	0	10066	2018-06-10 21:55:42	40070	1528638942104	73
41	1	57365	0	7990	2018-06-10 21:55:42	40041	1528638942204	74
9	1	57365	0	2273	2018-06-10 21:55:42	40009	1528638942238	75
21	1	57365	0	5136	2018-06-10 21:55:42	40021	1528638942305	76
67	1	57365	0	9284	2018-06-10 21:55:42	40067	1528638942338	77
44	1	57365	0	4544	2018-06-10 21:55:42	40044	1528638942405	78
26	1	57365	0	7957	2018-06-10 21:55:42	40026	1528638942605	79
77	1	57365	0	10672	2018-06-10 21:55:42	40077	1528638942839	80
75	1	57365	0	5211	2018-06-10 21:55:42	40075	1528638942872	81
63	1	57365	0	8202	2018-06-10 21:55:42	40063	1528638942939	82
119	1	57365	0	7798	2018-06-10 21:55:43	40119	1528638943206	83
32	1	57365	0	2169	2018-06-10 21:55:43	40032	1528638943239	84
43	1	57365	0	7780	2018-06-10 21:55:43	40043	1528638943340	85
124	1	57365	0	5719	2018-06-10 21:55:43	40124	1528638943373	86
39	1	57365	0	2184	2018-06-10 21:55:43	40039	1528638943473	87
122	1	57365	0	7819	2018-06-10 21:55:43	40122	1528638943507	88
120	1	57365	0	7933	2018-06-10 21:55:43	40120	1528638943573	89
66	1	57365	0	7883	2018-06-10 21:55:43	40066	1528638943640	90
78	1	57365	0	2446	2018-06-10 21:55:43	40078	1528638943673	91
47	1	57365	0	7939	2018-06-10 21:55:43	40047	1528638943707	92
33	1	57365	0	2257	2018-06-10 21:55:43	40033	1528638943774	93
115	1	57365	0	7973	2018-06-10 21:55:44	40115	1528638944034	94
131	1	57365	0	8291	2018-06-10 21:55:44	40131	1528638944067	95
118	1	57365	0	8061	2018-06-10 21:55:44	40118	1528638944100	96
123	1	57365	0	3770	2018-06-10 21:55:44	40123	1528638944167	97
12	1	57365	0	4945	2018-06-10 21:55:44	40012	1528638944234	98
38	1	57365	0	8498	2018-06-10 21:55:44	40038	1528638944334	99
80	1	57365	0	10145	2018-06-10 21:55:44	40080	1528638944367	100
24	1	57365	0	2642	2018-06-10 21:55:44	40024	1528638944401	101
53	1	57365	0	9471	2018-06-10 21:55:44	40053	1528638944468	102
139	1	57365	0	8952	2018-06-10 21:55:44	40139	1528638944534	103
40	1	57365	0	7753	2018-06-10 21:55:44	40040	1528638944568	104
50	1	57365	0	12389	2018-06-10 21:55:44	40050	1528638944635	105
64	1	57365	0	7918	2018-06-10 21:55:44	40064	1528638944701	106
56	1	57365	0	8084	2018-06-10 21:55:44	40056	1528638944768	107
48	1	57365	0	4887	2018-06-10 21:55:44	40048	1528638944801	108
127	1	57365	0	8787	2018-06-10 21:55:45	40127	1528638945094	109
52	1	57365	0	2211	2018-06-10 21:55:45	40052	1528638945194	110
135	1	57365	0	4603	2018-06-10 21:55:45	40135	1528638945252	111
129	1	57365	0	10086	2018-06-10 21:55:45	40129	1528638945319	112
20	2	53269	0	13130	2018-06-10 21:56:39	40020	1528638999305	113
13	2	53269	0	12140	2018-06-10 21:56:39	40013	1528638999529	114
11	2	53269	0	13032	2018-06-10 21:56:39	40011	1528638999564	115
8	2	53269	0	10323	2018-06-10 21:56:39	40008	1528638999629	116
10	2	53269	0	14366	2018-06-10 21:56:39	40010	1528638999664	117
16	2	53269	0	7451	2018-06-10 21:56:39	40016	1528638999697	118
17	2	53269	0	13918	2018-06-10 21:56:39	40017	1528638999764	119
21	2	53269	0	7658	2018-06-10 21:56:39	40021	1528638999798	120
12	2	53269	0	7379	2018-06-10 21:56:39	40012	1528638999831	121
3	2	53271	0	8621	2018-06-10 21:56:39	40003	1528638999923	122
9	2	53269	0	3444	2018-06-10 21:56:39	40009	1528638999989	123
24	2	53269	0	3945	2018-06-10 21:56:40	40024	1528639000482	124
38	2	53269	0	11209	2018-06-10 21:56:41	40038	1528639001176	125
77	2	53269	0	15262	2018-06-10 21:56:41	40077	1528639001410	126
26	2	53269	0	10706	2018-06-10 21:56:41	40026	1528639001476	127
76	2	53269	0	3706	2018-06-10 21:56:41	40076	1528639001577	128
132	2	53269	0	7609	2018-06-10 21:56:41	40132	1528639001610	129
64	2	53269	0	11352	2018-06-10 21:56:41	40064	1528639001777	130
80	2	53269	0	14778	2018-06-10 21:56:41	40080	1528639001944	131
115	2	53269	0	10849	2018-06-10 21:56:42	40115	1528639002144	132
67	2	53269	0	13118	2018-06-10 21:56:42	40067	1528639002211	133
118	2	53269	0	11636	2018-06-10 21:56:42	40118	1528639002244	134
78	2	53269	0	3592	2018-06-10 21:56:42	40078	1528639002311	135
