seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	0	20501	2018-06-10 21:53:59	40003	1528638839677	1
1	0	40981	2018-06-10 21:54:19	40003	1528638859676	2
2	0	61461	2018-06-10 21:54:42	40003	1528638882736	3
3	1	16405	2018-06-10 21:54:59	40003	1528638899676	4
4	1	36885	2018-06-10 21:55:19	40003	1528638919676	5
5	1	57365	2018-06-10 21:55:39	40003	1528638939701	6
6	2	12309	2018-06-10 21:55:59	40003	1528638959676	7
7	2	32789	2018-06-10 21:56:19	40003	1528638979672	8
8	2	53269	2018-06-10 21:56:39	40003	1528638999731	9
9	3	8213	2018-06-10 21:56:59	40003	1528639019673	10
10	3	28693	2018-06-10 21:57:19	40003	1528639039673	11
11	3	49173	2018-06-10 21:57:39	40003	1528639059695	12
12	4	4117	2018-06-10 21:57:59	40003	1528639079675	13
13	4	24597	2018-06-10 21:58:19	40003	1528639099673	14
14	4	45077	2018-06-10 21:58:41	40003	1528639121122	15
15	5	21	2018-06-10 21:58:59	40003	1528639139671	16
16	5	20501	2018-06-10 21:59:19	40003	1528639159670	17
17	5	40981	2018-06-10 21:59:39	40003	1528639179747	18
18	5	61461	2018-06-10 22:00:02	40003	1528639202746	19
19	6	16405	2018-06-10 22:00:19	40003	1528639219670	20
20	6	36885	2018-06-10 22:00:39	40003	1528639239687	21
21	6	57365	2018-06-10 22:00:59	40003	1528639259667	22
22	7	12309	2018-06-10 22:01:19	40003	1528639279667	23
23	7	32790	2018-06-10 22:01:39	40003	1528639299733	24
24	7	53269	2018-06-10 22:01:59	40003	1528639319667	25
25	8	8213	2018-06-10 22:02:19	40003	1528639339667	26
26	8	28693	2018-06-10 22:02:39	40003	1528639359688	27
27	8	49173	2018-06-10 22:02:59	40003	1528639379664	28
28	9	4117	2018-06-10 22:03:19	40003	1528639399664	29
29	9	24597	2018-06-10 22:03:39	40003	1528639419687	30
30	9	45077	2018-06-10 22:03:59	40003	1528639439664	31
31	10	21	2018-06-10 22:04:19	40003	1528639459664	32
32	10	20501	2018-06-10 22:04:39	40003	1528639479692	33
33	10	40981	2018-06-10 22:04:59	40003	1528639499665	34
34	10	61461	2018-06-10 22:05:19	40003	1528639519661	35
35	11	16405	2018-06-10 22:05:39	40003	1528639539714	36
36	11	36885	2018-06-10 22:05:59	40003	1528639559661	37
37	11	57365	2018-06-10 22:06:19	40003	1528639579661	38
38	12	12309	2018-06-10 22:06:39	40003	1528639599669	39
