nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
123	0	0	18931	2018-06-10 21:54:00	40123	1528638840177	1
9	0	0	20939	2018-06-10 21:54:00	40009	1528638840411	2
21	0	0	20901	2018-06-10 21:54:00	40021	1528638840444	3
67	0	0	18847	2018-06-10 21:54:00	40067	1528638840620	4
77	0	0	19294	2018-06-10 21:54:00	40077	1528638840820	5
20	0	0	21428	2018-06-10 21:54:00	40020	1528638840886	6
44	0	0	19292	2018-06-10 21:54:00	40044	1528638840953	7
64	0	0	19411	2018-06-10 21:54:01	40064	1528638841020	8
8	0	0	20950	2018-06-10 21:54:01	40008	1528638841053	9
43	0	0	19370	2018-06-10 21:54:01	40043	1528638841462	10
135	0	0	19659	2018-06-10 21:54:01	40135	1528638841662	11
11	0	0	20879	2018-06-10 21:54:01	40011	1528638841729	12
122	0	0	19905	2018-06-10 21:54:01	40122	1528638841829	13
124	0	0	20429	2018-06-10 21:54:01	40124	1528638841863	14
70	0	0	19405	2018-06-10 21:54:01	40070	1528638841900	15
39	0	0	20416	2018-06-10 21:54:01	40039	1528638841932	16
66	0	0	18847	2018-06-10 21:54:01	40066	1528638841963	17
139	0	0	19484	2018-06-10 21:54:02	40139	1528638842021	18
80	0	0	19251	2018-06-10 21:54:02	40080	1528638842055	19
118	0	0	20478	2018-06-10 21:54:02	40118	1528638842088	20
131	0	0	20442	2018-06-10 21:54:02	40131	1528638842155	21
48	0	0	19815	2018-06-10 21:54:02	40048	1528638842255	22
17	0	0	20894	2018-06-10 21:54:02	40017	1528638842322	23
13	0	0	20888	2018-06-10 21:54:02	40013	1528638842389	24
53	0	0	19281	2018-06-10 21:54:02	40053	1528638842422	25
78	0	0	19928	2018-06-10 21:54:02	40078	1528638842489	26
10	0	0	20891	2018-06-10 21:54:02	40010	1528638842555	27
117	0	0	19943	2018-06-10 21:54:02	40117	1528638842657	28
52	0	0	19370	2018-06-10 21:54:02	40052	1528638842757	29
41	0	0	19370	2018-06-10 21:54:02	40041	1528638842824	30
121	0	0	20072	2018-06-10 21:54:02	40121	1528638842857	31
72	0	0	19926	2018-06-10 21:54:02	40072	1528638842891	32
50	0	0	19273	2018-06-10 21:54:02	40050	1528638842924	33
63	0	0	19370	2018-06-10 21:54:02	40063	1528638842958	34
38	0	0	20176	2018-06-10 21:54:02	40038	1528638842991	35
56	0	0	19390	2018-06-10 21:54:03	40056	1528638843082	36
37	0	0	20146	2018-06-10 21:54:03	40037	1528638843116	37
12	0	0	20852	2018-06-10 21:54:03	40012	1528638843158	38
127	0	0	20186	2018-06-10 21:54:03	40127	1528638843199	39
129	0	0	19995	2018-06-10 21:54:03	40129	1528638843241	40
132	0	0	19827	2018-06-10 21:54:03	40132	1528638843308	41
26	0	0	20416	2018-06-10 21:54:03	40026	1528638843349	42
24	0	0	20939	2018-06-10 21:54:03	40024	1528638843391	43
120	0	0	19985	2018-06-10 21:54:03	40120	1528638843475	44
16	0	0	21427	2018-06-10 21:54:03	40016	1528638843516	45
47	0	0	19905	2018-06-10 21:54:03	40047	1528638843642	46
119	0	0	20448	2018-06-10 21:54:03	40119	1528638843683	47
40	0	0	19893	2018-06-10 21:54:03	40040	1528638843725	48
33	0	0	20416	2018-06-10 21:54:03	40033	1528638843808	49
115	0	0	20428	2018-06-10 21:54:03	40115	1528638843850	50
33	4608	0	23632	2018-06-10 21:54:04	40033	1528638844059	51
