nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
13	0	3	0	20552	0	20600	2018-06-11 20:10:19	40013	1528719019597	1
12	0	3	0	20448	0	20684	2018-06-11 20:10:19	40012	1528719019674	2
21	0	3	0	20873	0	20671	2018-06-11 20:10:19	40021	1528719019803	3
10	0	3	0	20955	0	20772	2018-06-11 20:10:19	40010	1528719019836	4
64	0	67	0	18828	0	18958	2018-06-11 20:10:19	40064	1528719019870	5
20	0	3	0	20984	0	20893	2018-06-11 20:10:19	40020	1528719019903	6
66	0	67	0	18898	0	19014	2018-06-11 20:10:19	40066	1528719019936	7
9	0	8	0	20451	0	20583	2018-06-11 20:10:19	40009	1528719019970	8
17	0	10	0	20953	0	21048	2018-06-11 20:10:20	40017	1528719020003	9
39	0	26	0	19910	0	19907	2018-06-11 20:10:20	40039	1528719020037	10
67	0	8	0	18867	0	20515	2018-06-11 20:10:20	40067	1528719020070	11
123	0	64	0	19481	0	18938	2018-06-11 20:10:20	40123	1528719020137	12
129	0	131	0	18829	0	19644	2018-06-11 20:10:20	40129	1528719020170	13
33	0	37	0	20063	0	20018	2018-06-11 20:10:20	40033	1528719020204	14
26	0	13	0	19666	0	20698	2018-06-11 20:10:20	40026	1528719020246	15
38	0	37	0	20029	0	20035	2018-06-11 20:10:20	40038	1528719020279	16
121	0	127	0	18996	0	19024	2018-06-11 20:10:20	40121	1528719020312	17
72	0	80	0	19438	0	19277	2018-06-11 20:10:20	40072	1528719020346	18
139	0	129	0	18883	0	18869	2018-06-11 20:10:20	40139	1528719020379	19
63	0	64	0	19338	0	19340	2018-06-11 20:10:20	40063	1528719020412	20
37	0	13	0	19986	0	21030	2018-06-11 20:10:20	40037	1528719020512	21
117	0	115	0	19824	0	19045	2018-06-11 20:10:20	40117	1528719020579	22
53	0	77	0	19853	0	19726	2018-06-11 20:10:20	40053	1528719020646	23
135	0	64	0	18830	0	19046	2018-06-11 20:10:20	40135	1528719020738	24
80	0	10	0	18891	0	21130	2018-06-11 20:10:20	40080	1528719020771	25
120	0	115	0	18970	0	18991	2018-06-11 20:10:20	40120	1528719020805	26
47	0	43	0	19461	0	20119	2018-06-11 20:10:20	40047	1528719020838	27
40	0	47	0	20734	0	19480	2018-06-11 20:10:20	40040	1528719020872	28
77	0	66	0	19383	0	19219	2018-06-11 20:10:20	40077	1528719020963	29
56	0	37	0	19042	0	20155	2018-06-11 20:10:20	40056	1528719020999	30
48	0	41	0	19678	0	19661	2018-06-11 20:10:21	40048	1528719021030	31
124	0	139	0	19996	0	19174	2018-06-11 20:10:21	40124	1528719021064	32
41	0	47	0	19480	0	19480	2018-06-11 20:10:21	40041	1528719021097	33
52	0	41	0	20088	0	19515	2018-06-11 20:10:21	40052	1528719021297	34
127	0	131	0	18923	0	19694	2018-06-11 20:10:21	40127	1528719021364	35
131	0	64	0	19602	0	19023	2018-06-11 20:10:21	40131	1528719021397	36
50	0	43	0	19430	0	20072	2018-06-11 20:10:21	40050	1528719021431	37
