nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
13	0	61461	0	3863	2018-06-12 13:12:00	40013	1528780320677	1
3	0	61463	0	3523	2018-06-12 13:12:00	40003	1528780320783	2
12	0	61461	0	1141	2018-06-12 13:12:00	40012	1528780320817	3
17	0	61461	0	2172	2018-06-12 13:12:00	40017	1528780320883	4
9	0	61461	0	2444	2018-06-12 13:12:00	40009	1528780320917	5
8	0	61461	0	5478	2018-06-12 13:12:00	40008	1528780320950	6
20	0	61461	0	2183	2018-06-12 13:12:00	40020	1528780320984	7
21	0	61462	0	1512	2018-06-12 13:12:01	40021	1528780321017	8
16	0	61469	0	1294	2018-06-12 13:12:01	40016	1528780321109	9
11	0	61461	0	3397	2018-06-12 13:12:01	40011	1528780321209	10
10	0	61461	0	2175	2018-06-12 13:12:01	40010	1528780321635	11
26	0	61461	0	2647	2018-06-12 13:12:02	40026	1528780322035	12
33	0	61461	0	2518	2018-06-12 13:12:02	40033	1528780322303	13
39	0	61461	0	1194	2018-06-12 13:12:02	40039	1528780322361	14
38	0	61461	0	2243	2018-06-12 13:12:02	40038	1528780322470	15
123	0	61461	0	2571	2018-06-12 13:12:02	40123	1528780322503	16
24	0	61461	0	1100	2018-06-12 13:12:02	40024	1528780322628	17
32	0	61461	0	1213	2018-06-12 13:12:02	40032	1528780322762	18
37	0	61461	0	3958	2018-06-12 13:12:02	40037	1528780322795	19
132	0	61461	0	1262	2018-06-12 13:12:03	40132	1528780323029	20
129	0	61461	0	2990	2018-06-12 13:12:03	40129	1528780323196	21
71	0	61461	0	4751	2018-06-12 13:12:03	40071	1528780323229	22
66	0	61461	0	2879	2018-06-12 13:12:03	40066	1528780323262	23
63	0	61461	0	4200	2018-06-12 13:12:03	40063	1528780323530	24
76	0	61461	0	3270	2018-06-12 13:12:03	40076	1528780323872	25
56	0	61461	0	3564	2018-06-12 13:12:03	40056	1528780323997	26
78	0	61461	0	1310	2018-06-12 13:12:04	40078	1528780324039	27
41	0	61461	0	2988	2018-06-12 13:12:04	40041	1528780324206	28
40	0	61461	0	2983	2018-06-12 13:12:04	40040	1528780324247	29
72	0	61461	0	1369	2018-06-12 13:12:04	40072	1528780324614	30
121	0	61461	0	4087	2018-06-12 13:12:04	40121	1528780324714	31
48	0	61461	0	1963	2018-06-12 13:12:04	40048	1528780324940	32
80	0	61461	0	2792	2018-06-12 13:12:04	40080	1528780324973	33
53	0	61461	0	3537	2018-06-12 13:12:05	40053	1528780325040	34
115	0	61461	0	2919	2018-06-12 13:12:05	40115	1528780325166	35
64	0	61461	0	4103	2018-06-12 13:12:05	40064	1528780325333	36
77	0	61461	0	2776	2018-06-12 13:12:05	40077	1528780325367	37
131	0	61461	0	4014	2018-06-12 13:12:05	40131	1528780325500	38
122	0	61461	0	2957	2018-06-12 13:12:05	40122	1528780325601	39
119	0	61461	0	3711	2018-06-12 13:12:05	40119	1528780325701	40
67	0	61461	0	2288	2018-06-12 13:12:05	40067	1528780325734	41
127	0	61461	0	4361	2018-06-12 13:12:05	40127	1528780325801	42
118	0	61461	0	4133	2018-06-12 13:12:05	40118	1528780325934	43
47	0	61461	0	3695	2018-06-12 13:12:05	40047	1528780325968	44
69	0	61461	0	2715	2018-06-12 13:12:06	40069	1528780326001	45
52	0	61461	0	2644	2018-06-12 13:12:06	40052	1528780326034	46
120	0	61461	0	3129	2018-06-12 13:12:06	40120	1528780326068	47
139	0	61461	0	2808	2018-06-12 13:12:06	40139	1528780326101	48
44	0	61461	0	1115	2018-06-12 13:12:06	40044	1528780326260	49
50	0	61461	0	2781	2018-06-12 13:12:06	40050	1528780326293	50
70	0	61461	0	10503	2018-06-12 13:12:06	40070	1528780326327	51
75	0	61461	0	2473	2018-06-12 13:12:06	40075	1528780326385	52
117	0	61461	0	2539	2018-06-12 13:12:06	40117	1528780326452	53
124	0	61461	0	1508	2018-06-12 13:12:06	40124	1528780326485	54
135	0	61461	0	2643	2018-06-12 13:12:06	40135	1528780326519	55
43	0	61461	0	3064	2018-06-12 13:12:06	40043	1528780326552	56
13	1	57365	0	8490	2018-06-12 13:13:00	40013	1528780380677	57
3	1	57367	0	7644	2018-06-12 13:13:00	40003	1528780380772	58
12	1	57365	0	2350	2018-06-12 13:13:00	40012	1528780380839	59
8	1	57365	0	9681	2018-06-12 13:13:00	40008	1528780380899	60
17	1	57365	0	4977	2018-06-12 13:13:00	40017	1528780380932	61
20	1	57365	0	5030	2018-06-12 13:13:00	40020	1528780380999	62
10	1	57365	0	4932	2018-06-12 13:13:01	40010	1528780381032	63
16	1	57365	0	2651	2018-06-12 13:13:01	40016	1528780381157	64
21	1	57365	0	3469	2018-06-12 13:13:01	40021	1528780381324	65
9	1	57365	0	4993	2018-06-12 13:13:01	40009	1528780381925	66
11	1	57365	0	7480	2018-06-12 13:13:02	40011	1528780382059	67
26	1	57365	0	5588	2018-06-12 13:13:02	40026	1528780382143	68
37	1	57365	0	8279	2018-06-12 13:13:02	40037	1528780382243	69
38	1	57365	0	5649	2018-06-12 13:13:02	40038	1528780382818	70
33	1	57365	0	5318	2018-06-12 13:13:02	40033	1528780382860	71
40	1	57365	0	5930	2018-06-12 13:13:02	40040	1528780382902	72
76	1	57365	0	6176	2018-06-12 13:13:02	40076	1528780382944	73
