seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	40981	2018-06-10 22:34:00	40003	1528641240836	1
2	0	61461	2018-06-10 22:34:20	40003	1528641260736	2
3	1	16405	2018-06-10 22:34:40	40003	1528641280736	3
4	1	36885	2018-06-10 22:35:00	40003	1528641300736	4
5	1	57365	2018-06-10 22:35:20	40003	1528641320736	5
6	2	12309	2018-06-10 22:35:40	40003	1528641340736	6
7	2	32790	2018-06-10 22:36:00	40003	1528641360737	7
8	2	53269	2018-06-10 22:36:20	40003	1528641380733	8
9	3	8213	2018-06-10 22:36:40	40003	1528641400733	9
10	3	28693	2018-06-10 22:37:00	40003	1528641420733	10
11	3	49173	2018-06-10 22:37:20	40003	1528641440733	11
12	4	4117	2018-06-10 22:37:40	40003	1528641460730	12
13	4	24597	2018-06-10 22:38:00	40003	1528641480730	13
14	4	45077	2018-06-10 22:38:20	40003	1528641500730	14
15	5	21	2018-06-10 22:38:40	40003	1528641520735	15
16	5	20501	2018-06-10 22:39:00	40003	1528641540730	16
17	5	40981	2018-06-10 22:39:20	40003	1528641560730	17
18	5	61461	2018-06-10 22:39:40	40003	1528641580730	18
19	6	16405	2018-06-10 22:40:00	40003	1528641600731	19
20	6	36886	2018-06-10 22:40:20	40003	1528641620731	20
21	6	57365	2018-06-10 22:40:40	40003	1528641640727	21
22	7	12309	2018-06-10 22:41:00	40003	1528641660727	22
23	7	32789	2018-06-10 22:41:20	40003	1528641680727	23
24	7	53269	2018-06-10 22:41:40	40003	1528641700729	24
25	8	8213	2018-06-10 22:42:00	40003	1528641720728	25
26	8	28693	2018-06-10 22:42:20	40003	1528641740729	26
27	8	49173	2018-06-10 22:42:40	40003	1528641760724	27
28	9	4117	2018-06-10 22:43:00	40003	1528641780724	28
29	9	24597	2018-06-10 22:43:20	40003	1528641800724	29
30	9	45077	2018-06-10 22:43:40	40003	1528641820724	30
31	10	21	2018-06-10 22:44:00	40003	1528641840725	31
32	10	20501	2018-06-10 22:44:20	40003	1528641860725	32
33	10	40981	2018-06-10 22:44:40	40003	1528641880725	33
34	10	61461	2018-06-10 22:45:00	40003	1528641900721	34
35	11	16405	2018-06-10 22:45:20	40003	1528641920721	35
36	11	36885	2018-06-10 22:45:40	40003	1528641940721	36
37	11	57365	2018-06-10 22:46:00	40003	1528641960722	37
38	12	12309	2018-06-10 22:46:20	40003	1528641980722	38
