nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	0	61463	0	2656	2018-06-08 16:43:29	40003	1528447409369	1
16	0	61461	0	3966	2018-06-08 16:43:29	40016	1528447409573	2
12	0	61461	0	2748	2018-06-08 16:43:29	40012	1528447409603	3
20	0	61461	0	4056	2018-06-08 16:43:29	40020	1528447409695	4
9	0	61461	0	1098	2018-06-08 16:43:29	40009	1528447409728	5
13	0	61461	0	3841	2018-06-08 16:43:29	40013	1528447409762	6
11	0	61461	0	4079	2018-06-08 16:43:29	40011	1528447409795	7
17	0	61461	0	4154	2018-06-08 16:43:29	40017	1528447409878	8
10	0	61461	0	4456	2018-06-08 16:43:29	40010	1528447409912	9
21	0	61461	0	2611	2018-06-08 16:43:29	40021	1528447409979	10
8	0	61461	0	2685	2018-06-08 16:43:30	40008	1528447410179	11
77	0	61461	0	2708	2018-06-08 16:43:31	40077	1528447411189	12
32	0	61461	0	1075	2018-06-08 16:43:31	40032	1528447411356	13
38	0	61461	0	3233	2018-06-08 16:43:31	40038	1528447411398	14
39	0	61461	0	1085	2018-06-08 16:43:31	40039	1528447411444	15
64	0	61461	0	3497	2018-06-08 16:43:31	40064	1528447411481	16
70	0	61461	0	5162	2018-06-08 16:43:31	40070	1528447411514	17
119	0	61461	0	2436	2018-06-08 16:43:31	40119	1528447411648	18
75	0	61461	0	2680	2018-06-08 16:43:31	40075	1528447411681	19
40	0	61461	0	2783	2018-06-08 16:43:31	40040	1528447411748	20
56	0	61461	0	2561	2018-06-08 16:43:31	40056	1528447411782	21
76	0	61461	0	1178	2018-06-08 16:43:31	40076	1528447411883	22
117	0	61461	0	1406	2018-06-08 16:43:31	40117	1528447411948	23
80	0	61461	0	4817	2018-06-08 16:43:31	40080	1528447411982	24
71	0	61461	0	4217	2018-06-08 16:43:32	40071	1528447412049	25
121	0	61461	0	4721	2018-06-08 16:43:32	40121	1528447412082	26
53	0	61461	0	1143	2018-06-08 16:43:32	40053	1528447412116	27
120	0	61461	0	1324	2018-06-08 16:43:32	40120	1528447412207	28
123	0	61461	0	1466	2018-06-08 16:43:32	40123	1528447412241	29
26	0	61461	0	2343	2018-06-08 16:43:32	40026	1528447412274	30
43	0	61461	0	2864	2018-06-08 16:43:32	40043	1528447412307	31
78	0	61461	0	1083	2018-06-08 16:43:32	40078	1528447412341	32
115	0	61461	0	3578	2018-06-08 16:43:32	40115	1528447412432	33
52	0	61461	0	1177	2018-06-08 16:43:32	40052	1528447412466	34
67	0	61461	0	3312	2018-06-08 16:43:32	40067	1528447412566	35
63	0	61461	0	1163	2018-06-08 16:43:32	40063	1528447412599	36
47	0	61461	0	3027	2018-06-08 16:43:32	40047	1528447412733	37
33	0	61461	0	1561	2018-06-08 16:43:32	40033	1528447412766	38
124	0	61461	0	4953	2018-06-08 16:43:32	40124	1528447412800	39
50	0	61461	0	2679	2018-06-08 16:43:32	40050	1528447412867	40
69	0	61461	0	2696	2018-06-08 16:43:33	40069	1528447413033	41
72	0	61461	0	2469	2018-06-08 16:43:33	40072	1528447413101	42
66	0	61461	0	1283	2018-06-08 16:43:33	40066	1528447413168	43
139	0	61461	0	4878	2018-06-08 16:43:33	40139	1528447413202	44
48	0	61461	0	2579	2018-06-08 16:43:33	40048	1528447413235	45
127	0	61461	0	1675	2018-06-08 16:43:33	40127	1528447413302	46
41	0	61461	0	2845	2018-06-08 16:43:33	40041	1528447413335	47
118	0	61461	0	3443	2018-06-08 16:43:33	40118	1528447413369	48
37	0	61461	0	3706	2018-06-08 16:43:33	40037	1528447413460	49
44	0	61461	0	3209	2018-06-08 16:43:33	40044	1528447413494	50
132	0	61464	0	2791	2018-06-08 16:43:33	40132	1528447413560	51
24	0	61461	0	1216	2018-06-08 16:43:33	40024	1528447413627	52
131	0	61461	0	3495	2018-06-08 16:43:33	40131	1528447413719	53
129	0	61461	0	1320	2018-06-08 16:43:33	40129	1528447413786	54
135	0	61461	0	1266	2018-06-08 16:43:33	40135	1528447413853	55
122	0	61461	0	2991	2018-06-08 16:43:33	40122	1528447413886	56
3	1	57367	0	6298	2018-06-08 16:44:29	40003	1528447469341	57
11	1	57365	0	8737	2018-06-08 16:44:29	40011	1528447469624	58
17	1	57365	0	9215	2018-06-08 16:44:29	40017	1528447469658	59
9	1	57365	0	2193	2018-06-08 16:44:29	40009	1528447469716	60
21	1	57365	0	5128	2018-06-08 16:44:29	40021	1528447469917	61
13	1	57365	0	8968	2018-06-08 16:44:29	40013	1528447469983	62
10	1	57365	0	9950	2018-06-08 16:44:30	40010	1528447470185	63
12	1	57365	0	5669	2018-06-08 16:44:30	40012	1528447470477	64
20	1	57365	0	7737	2018-06-08 16:44:30	40020	1528447470869	65
16	1	57365	0	7442	2018-06-08 16:44:31	40016	1528447471019	66
119	1	57365	0	5071	2018-06-08 16:44:31	40119	1528447471119	67
118	1	57365	0	6513	2018-06-08 16:44:31	40118	1528447471186	68
