nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
21	0	61461	0	3927	2018-06-09 14:36:09	40021	1528526169838	1
8	0	61461	0	1199	2018-06-09 14:36:09	40008	1528526169930	2
12	0	61461	0	2674	2018-06-09 14:36:09	40012	1528526169971	3
13	0	61461	0	3443	2018-06-09 14:36:10	40013	1528526170078	4
10	0	61461	0	4136	2018-06-09 14:36:10	40010	1528526170130	5
16	0	61461	0	2356	2018-06-09 14:36:10	40016	1528526170169	6
20	0	61461	0	2509	2018-06-09 14:36:10	40020	1528526170205	7
17	0	61461	0	3927	2018-06-09 14:36:10	40017	1528526170238	8
3	0	61463	0	2802	2018-06-09 14:36:10	40003	1528526170338	9
11	0	61461	0	4076	2018-06-09 14:36:10	40011	1528526170438	10
9	0	61461	0	1599	2018-06-09 14:36:10	40009	1528526170472	11
39	0	61461	0	1142	2018-06-09 14:36:11	40039	1528526171231	12
33	0	61461	0	2162	2018-06-09 14:36:11	40033	1528526171264	13
32	0	61461	0	1065	2018-06-09 14:36:11	40032	1528526171331	14
37	0	61461	0	2405	2018-06-09 14:36:11	40037	1528526171403	15
24	0	61461	0	1071	2018-06-09 14:36:11	40024	1528526171431	16
38	0	61461	0	2744	2018-06-09 14:36:11	40038	1528526171465	17
26	0	61461	0	2156	2018-06-09 14:36:11	40026	1528526171531	18
63	0	61461	0	2143	2018-06-09 14:36:11	40063	1528526171565	19
53	0	61461	0	1072	2018-06-09 14:36:11	40053	1528526171598	20
139	0	61461	0	2736	2018-06-09 14:36:11	40139	1528526171757	21
115	0	61461	0	2314	2018-06-09 14:36:11	40115	1528526171790	22
129	0	61461	0	2311	2018-06-09 14:36:11	40129	1528526171824	23
43	0	61461	0	2421	2018-06-09 14:36:11	40043	1528526171857	24
135	0	61461	0	3265	2018-06-09 14:36:11	40135	1528526171915	25
123	0	61461	0	3082	2018-06-09 14:36:11	40123	1528526171949	26
69	0	61461	0	3566	2018-06-09 14:36:12	40069	1528526172049	27
118	0	61461	0	2429	2018-06-09 14:36:12	40118	1528526172082	28
124	0	61461	0	2515	2018-06-09 14:36:12	40124	1528526172116	29
44	0	61461	0	1965	2018-06-09 14:36:12	40044	1528526172149	30
64	0	61461	0	1195	2018-06-09 14:36:12	40064	1528526172184	31
56	0	61461	0	1295	2018-06-09 14:36:12	40056	1528526172216	32
71	0	61461	0	2485	2018-06-09 14:36:12	40071	1528526172249	33
131	0	61461	0	1217	2018-06-09 14:36:12	40131	1528526172283	34
132	0	61461	0	3177	2018-06-09 14:36:12	40132	1528526172316	35
67	0	61461	0	1791	2018-06-09 14:36:12	40067	1528526172350	36
117	0	61461	0	2515	2018-06-09 14:36:12	40117	1528526172383	37
66	0	61461	0	2214	2018-06-09 14:36:12	40066	1528526172416	38
75	0	61461	0	3578	2018-06-09 14:36:12	40075	1528526172450	39
72	0	61462	0	1815	2018-06-09 14:36:12	40072	1528526172483	40
70	0	61461	0	4147	2018-06-09 14:36:12	40070	1528526172516	41
77	0	61461	0	3465	2018-06-09 14:36:12	40077	1528526172550	42
121	0	61461	0	3635	2018-06-09 14:36:12	40121	1528526172583	43
48	0	61461	0	2434	2018-06-09 14:36:12	40048	1528526172616	44
76	0	61461	0	1406	2018-06-09 14:36:12	40076	1528526172650	45
47	0	61461	0	1809	2018-06-09 14:36:12	40047	1528526172683	46
119	0	61461	0	2287	2018-06-09 14:36:12	40119	1528526172717	47
50	0	61461	0	2226	2018-06-09 14:36:12	40050	1528526172750	48
80	0	61461	0	2519	2018-06-09 14:36:12	40080	1528526172784	49
122	0	61461	0	1077	2018-06-09 14:36:12	40122	1528526172817	50
40	0	61461	0	1105	2018-06-09 14:36:12	40040	1528526172850	51
52	0	61461	0	1103	2018-06-09 14:36:12	40052	1528526172884	52
127	0	61461	0	2327	2018-06-09 14:36:12	40127	1528526172917	53
78	0	61461	0	2764	2018-06-09 14:36:12	40078	1528526172976	54
41	0	61461	0	2157	2018-06-09 14:36:13	40041	1528526173009	55
120	0	61461	0	2455	2018-06-09 14:36:13	40120	1528526173042	56
21	1	57365	0	8268	2018-06-09 14:37:09	40021	1528526229826	57
8	1	57365	0	2461	2018-06-09 14:37:09	40008	1528526229930	58
12	1	57365	0	5010	2018-06-09 14:37:09	40012	1528526229962	59
13	1	57365	0	7017	2018-06-09 14:37:10	40013	1528526230078	60
10	1	57365	0	8732	2018-06-09 14:37:10	40010	1528526230126	61
20	1	57365	0	4918	2018-06-09 14:37:10	40020	1528526230187	62
3	1	57367	0	6095	2018-06-09 14:37:10	40003	1528526230287	63
17	1	57365	0	8430	2018-06-09 14:37:10	40017	1528526230346	64
11	1	57365	0	7734	2018-06-09 14:37:10	40011	1528526230479	65
16	1	57365	0	4754	2018-06-09 14:37:10	40016	1528526230613	66
9	1	57365	0	4304	2018-06-09 14:37:10	40009	1528526230813	67
33	1	57365	0	4863	2018-06-09 14:37:11	40033	1528526231247	68
39	1	57365	0	2239	2018-06-09 14:37:11	40039	1528526231281	69
32	1	57365	0	2127	2018-06-09 14:37:11	40032	1528526231314	70
37	1	57365	0	5107	2018-06-09 14:37:11	40037	1528526231381	71
24	1	57365	0	2174	2018-06-09 14:37:11	40024	1528526231439	72
43	1	57365	0	5201	2018-06-09 14:37:11	40043	1528526231656	73
38	1	57365	0	5532	2018-06-09 14:37:11	40038	1528526231690	74
53	1	57365	0	2186	2018-06-09 14:37:11	40053	1528526231756	75
78	1	57365	0	4709	2018-06-09 14:37:11	40078	1528526231990	76
119	1	57366	0	4646	2018-06-09 14:37:12	40119	1528526232024	77
69	1	57365	0	6496	2018-06-09 14:37:12	40069	1528526232090	78
44	1	57365	0	3743	2018-06-09 14:37:12	40044	1528526232157	79
127	1	57365	0	3922	2018-06-09 14:37:12	40127	1528526232191	80
71	1	57365	0	4995	2018-06-09 14:37:12	40071	1528526232257	81
75	1	57365	0	6549	2018-06-09 14:37:12	40075	1528526232324	82
26	1	57365	0	5051	2018-06-09 14:37:12	40026	1528526232424	83
124	1	57365	0	4989	2018-06-09 14:37:12	40124	1528526232458	84
40	1	57365	0	2270	2018-06-09 14:37:12	40040	1528526232524	85
122	1	57365	0	2219	2018-06-09 14:37:12	40122	1528526232591	86
139	1	57365	0	6491	2018-06-09 14:37:12	40139	1528526232716	87
118	1	57365	0	5365	2018-06-09 14:37:12	40118	1528526232858	88
76	1	57365	0	2552	2018-06-09 14:37:13	40076	1528526233050	89
50	1	57365	0	5454	2018-06-09 14:37:13	40050	1528526233092	90
132	1	57365	0	7199	2018-06-09 14:37:13	40132	1528526233134	91
72	1	57365	0	4106	2018-06-09 14:37:13	40072	1528526233175	92
117	1	57365	0	5502	2018-06-09 14:37:13	40117	1528526233344	93
67	1	57365	0	5267	2018-06-09 14:37:13	40067	1528526233551	94
63	1	57365	0	5129	2018-06-09 14:37:13	40063	1528526233760	95
135	1	57365	0	6258	2018-06-09 14:37:13	40135	1528526233835	96
48	1	57365	0	4998	2018-06-09 14:37:13	40048	1528526233868	97
131	1	57365	0	2653	2018-06-09 14:37:14	40131	1528526234236	98
129	1	57366	0	5159	2018-06-09 14:37:14	40129	1528526234470	99
56	1	57365	0	2559	2018-06-09 14:37:14	40056	1528526234570	100
115	1	57365	0	5334	2018-06-09 14:37:14	40115	1528526234704	101
66	1	57365	0	4942	2018-06-09 14:37:14	40066	1528526234771	102
77	1	57365	0	7681	2018-06-09 14:37:14	40077	1528526234804	103
64	1	57365	0	2389	2018-06-09 14:37:14	40064	1528526234971	104
121	1	57365	0	7470	2018-06-09 14:37:15	40121	1528526235004	105
123	1	57365	0	5930	2018-06-09 14:37:15	40123	1528526235104	106
52	1	57365	0	2216	2018-06-09 14:37:15	40052	1528526235171	107
80	1	57365	0	5275	2018-06-09 14:37:15	40080	1528526235363	108
70	1	57365	0	8010	2018-06-09 14:37:15	40070	1528526235397	109
41	1	57365	0	5425	2018-06-09 14:37:15	40041	1528526235499	110
47	1	57365	0	3107	2018-06-09 14:37:15	40047	1528526235630	111
120	1	57365	0	5437	2018-06-09 14:37:15	40120	1528526235664	112
21	2	53269	0	14283	2018-06-09 14:38:09	40021	1528526289823	113
8	2	53269	0	3938	2018-06-09 14:38:09	40008	1528526289927	114
12	2	53269	0	7500	2018-06-09 14:38:09	40012	1528526289990	115
13	2	53269	0	12681	2018-06-09 14:38:10	40013	1528526290075	116
10	2	53269	0	15244	2018-06-09 14:38:10	40010	1528526290140	117
16	2	53269	0	7196	2018-06-09 14:38:10	40016	1528526290173	118
20	2	53269	0	7425	2018-06-09 14:38:10	40020	1528526290207	119
3	2	53271	0	11335	2018-06-09 14:38:10	40003	1528526290273	120
17	2	53269	0	14723	2018-06-09 14:38:10	40017	1528526290307	121
9	2	53269	0	9190	2018-06-09 14:38:10	40009	1528526290340	122
11	2	53269	0	13984	2018-06-09 14:38:10	40011	1528526290407	123
26	2	53269	0	10081	2018-06-09 14:38:11	40026	1528526291308	124
33	2	53269	0	9307	2018-06-09 14:38:11	40033	1528526291375	125
38	2	53271	0	10571	2018-06-09 14:38:11	40038	1528526291475	126
135	2	53278	0	12923	2018-06-09 14:38:11	40135	1528526291842	127
127	2	53269	0	6390	2018-06-09 14:38:11	40127	1528526291976	128
124	2	53269	0	7501	2018-06-09 14:38:12	40124	1528526292009	129
123	2	53269	0	12339	2018-06-09 14:38:12	40123	1528526292143	130
66	2	53269	0	10963	2018-06-09 14:38:12	40066	1528526292210	131
80	2	53269	0	8151	2018-06-09 14:38:12	40080	1528526292243	132
43	2	53269	0	10516	2018-06-09 14:38:12	40043	1528526292276	133
117	2	53269	0	11206	2018-06-09 14:38:12	40117	1528526292343	134
72	2	53269	0	5437	2018-06-09 14:38:12	40072	1528526292468	135
70	2	53269	0	13464	2018-06-09 14:38:12	40070	1528526292735	136
120	2	53269	0	11888	2018-06-09 14:38:12	40120	1528526292769	137
32	2	53269	0	3212	2018-06-09 14:38:12	40032	1528526292869	138
139	2	53269	0	12496	2018-06-09 14:38:12	40139	1528526292969	139
75	2	53269	0	11345	2018-06-09 14:38:13	40075	1528526293069	140
52	2	53269	0	3437	2018-06-09 14:38:13	40052	1528526293303	141
132	2	53269	0	12963	2018-06-09 14:38:13	40132	1528526293437	142
115	2	53269	0	10892	2018-06-09 14:38:13	40115	1528526293503	143
39	2	53269	0	3426	2018-06-09 14:38:13	40039	1528526293537	144
76	2	53269	0	4589	2018-06-09 14:38:13	40076	1528526293570	145
131	2	53269	0	4374	2018-06-09 14:38:13	40131	1528526293729	146
56	2	53269	0	4183	2018-06-09 14:38:13	40056	1528526293762	147
118	2	53269	0	10958	2018-06-09 14:38:13	40118	1528526293796	148
