nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
12	0	0	20874	2018-06-09 14:35:30	40012	1528526130416	1
8	0	0	20939	2018-06-09 14:35:30	40008	1528526130517	2
10	0	0	20858	2018-06-09 14:35:30	40010	1528526130583	3
20	0	0	20889	2018-06-09 14:35:30	40020	1528526130684	4
11	0	0	20348	2018-06-09 14:35:30	40011	1528526130802	5
80	0	0	19264	2018-06-09 14:35:31	40080	1528526131034	6
17	0	0	20867	2018-06-09 14:35:31	40017	1528526131150	7
12	1	0	41249	2018-06-09 14:35:50	40012	1528526150342	8
80	1	0	39598	2018-06-09 14:35:50	40080	1528526150859	9
17	1	0	41195	2018-06-09 14:35:51	40017	1528526151009	10
10	1	0	41286	2018-06-09 14:35:51	40010	1528526151109	11
64	1	0	39767	2018-06-09 14:35:51	40064	1528526151142	12
70	1	0	39629	2018-06-09 14:35:51	40070	1528526151569	13
122	1	0	40290	2018-06-09 14:35:51	40122	1528526151669	14
129	1	0	40357	2018-06-09 14:35:51	40129	1528526151739	15
115	1	0	40373	2018-06-09 14:35:51	40115	1528526151803	16
118	1	0	40455	2018-06-09 14:35:51	40118	1528526151836	17
120	1	0	40034	2018-06-09 14:35:51	40120	1528526151869	18
135	1	0	40447	2018-06-09 14:35:51	40135	1528526151970	19
123	1	0	40268	2018-06-09 14:35:52	40123	1528526152203	20
77	1	0	40112	2018-06-09 14:35:52	40077	1528526152237	21
119	1	0	40583	2018-06-09 14:35:52	40119	1528526152304	22
50	1	0	40290	2018-06-09 14:35:52	40050	1528526152337	23
38	1	0	41501	2018-06-09 14:35:52	40038	1528526152370	24
63	1	0	40813	2018-06-09 14:35:52	40063	1528526152404	25
41	1	0	40290	2018-06-09 14:35:52	40041	1528526152470	26
44	1	0	40644	2018-06-09 14:35:52	40044	1528526152504	27
43	1	0	41091	2018-06-09 14:35:52	40043	1528526152537	28
40	1	0	40290	2018-06-09 14:35:52	40040	1528526152571	29
53	1	0	41336	2018-06-09 14:35:52	40053	1528526152662	30
131	1	0	40380	2018-06-09 14:35:52	40131	1528526152696	31
48	1	0	40650	2018-06-09 14:35:52	40048	1528526152738	32
127	1	0	40677	2018-06-09 14:35:52	40127	1528526152879	33
117	1	0	40390	2018-06-09 14:35:52	40117	1528526152963	34
24	1	0	41336	2018-06-09 14:35:53	40024	1528526153088	35
8	1	0	43552	2018-06-09 14:35:53	40008	1528526153172	36
47	1	0	40437	2018-06-09 14:35:53	40047	1528526153255	37
39	1	0	41336	2018-06-09 14:35:53	40039	1528526153338	38
21	1	0	43813	2018-06-09 14:35:53	40021	1528526153380	39
121	1	0	40261	2018-06-09 14:35:53	40121	1528526153422	40
66	1	0	39767	2018-06-09 14:35:53	40066	1528526153505	41
52	1	0	40813	2018-06-09 14:35:53	40052	1528526153547	42
20	1	0	43969	2018-06-09 14:35:53	40020	1528526153589	43
37	1	0	42058	2018-06-09 14:35:53	40037	1528526153630	44
26	1	0	41859	2018-06-09 14:35:53	40026	1528526153664	45
13	1	0	43300	2018-06-09 14:35:53	40013	1528526153697	46
11	1	0	43428	2018-06-09 14:35:53	40011	1528526153764	47
33	1	0	42382	2018-06-09 14:35:53	40033	1528526153797	48
56	1	0	41450	2018-06-09 14:35:53	40056	1528526153831	49
33	4608	0	56012	2018-06-09 14:36:06	40033	1528526166448	50
43	4608	0	55772	2018-06-09 14:36:06	40043	1528526166482	51
63	4608	0	56015	2018-06-09 14:36:06	40063	1528526166673	52
8	4608	0	57684	2018-06-09 14:36:06	40008	1528526166740	53
41	4608	0	54977	2018-06-09 14:36:06	40041	1528526166774	54
77	4608	0	55137	2018-06-09 14:36:06	40077	1528526166832	55
21	4608	0	57748	2018-06-09 14:36:06	40021	1528526166932	56
11	4608	0	57380	2018-06-09 14:36:06	40011	1528526166999	57
24	4608	0	55988	2018-06-09 14:36:07	40024	1528526167133	58
123	4608	0	55818	2018-06-09 14:36:07	40123	1528526167166	59
131	4608	0	55588	2018-06-09 14:36:07	40131	1528526167199	60
17	4608	0	57767	2018-06-09 14:36:07	40017	1528526167233	61
56	4608	0	55106	2018-06-09 14:36:07	40056	1528526167266	62
9	4608	0	57026	2018-06-09 14:36:07	40009	1528526167366	63
67	4608	0	55610	2018-06-09 14:36:07	40067	1528526167466	64
48	4608	0	55185	2018-06-09 14:36:07	40048	1528526167500	65
44	4608	0	55190	2018-06-09 14:36:07	40044	1528526167667	66
69	4608	0	56294	2018-06-09 14:36:07	40069	1528526167800	67
13	4608	0	57212	2018-06-09 14:36:07	40013	1528526167994	68
32	4608	0	56503	2018-06-09 14:36:08	40032	1528526168151	69
20	4608	0	57850	2018-06-09 14:36:08	40020	1528526168184	70
124	4608	0	55764	2018-06-09 14:36:08	40124	1528526168218	71
80	4608	0	55629	2018-06-09 14:36:08	40080	1528526168251	72
115	4608	0	55621	2018-06-09 14:36:08	40115	1528526168352	73
129	4608	0	55612	2018-06-09 14:36:08	40129	1528526168419	74
12	4608	0	58047	2018-06-09 14:36:08	40012	1528526168452	75
71	4608	0	56300	2018-06-09 14:36:08	40071	1528526168486	76
72	4608	0	56158	2018-06-09 14:36:08	40072	1528526168553	77
38	4608	0	56000	2018-06-09 14:36:08	40038	1528526168586	78
64	4608	0	55596	2018-06-09 14:36:08	40064	1528526168619	79
75	4608	0	56171	2018-06-09 14:36:08	40075	1528526168653	80
132	4608	0	55813	2018-06-09 14:36:08	40132	1528526168720	81
70	4608	0	55786	2018-06-09 14:36:08	40070	1528526168753	82
78	4608	0	56562	2018-06-09 14:36:08	40078	1528526168786	83
120	4608	0	55808	2018-06-09 14:36:08	40120	1528526168820	84
119	4608	0	56014	2018-06-09 14:36:08	40119	1528526168853	85
3	4608	0	57742	2018-06-09 14:36:08	40003	1528526168887	86
40	4608	0	55494	2018-06-09 14:36:08	40040	1528526168920	87
47	4608	0	55113	2018-06-09 14:36:08	40047	1528526168962	88
37	4608	0	56281	2018-06-09 14:36:09	40037	1528526169003	89
26	4608	0	56539	2018-06-09 14:36:09	40026	1528526169045	90
52	4608	0	55468	2018-06-09 14:36:09	40052	1528526169087	91
10	4608	0	57502	2018-06-09 14:36:09	40010	1528526169154	92
139	4608	0	55727	2018-06-09 14:36:09	40139	1528526169195	93
135	4608	0	56009	2018-06-09 14:36:09	40135	1528526169237	94
39	4608	0	56521	2018-06-09 14:36:09	40039	1528526169421	95
66	4608	0	55499	2018-06-09 14:36:09	40066	1528526169462	96
117	4608	0	55838	2018-06-09 14:36:09	40117	1528526169504	97
118	4608	0	55739	2018-06-09 14:36:09	40118	1528526169546	98
50	4608	0	55498	2018-06-09 14:36:09	40050	1528526169587	99
127	4608	0	55742	2018-06-09 14:36:09	40127	1528526169629	100
