nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
20	0	61461	0	1517	2018-06-09 14:55:16	40020	1528527316297	1
3	0	61463	0	3734	2018-06-09 14:55:16	40003	1528527316330	2
8	0	61461	0	738	2018-06-09 14:55:16	40008	1528527316363	3
16	0	61461	0	1326	2018-06-09 14:55:16	40016	1528527316430	4
17	0	61461	0	3631	2018-06-09 14:55:16	40017	1528527316464	5
12	0	61461	0	1522	2018-06-09 14:55:16	40012	1528527316497	6
9	0	61461	0	3878	2018-06-09 14:55:16	40009	1528527316630	7
10	0	61461	0	4660	2018-06-09 14:55:16	40010	1528527316697	8
21	0	61461	0	4722	2018-06-09 14:55:16	40021	1528527316764	9
11	0	61461	0	4638	2018-06-09 14:55:16	40011	1528527316939	10
13	0	61461	0	4200	2018-06-09 14:55:16	40013	1528527316990	11
24	0	61461	0	549	2018-06-09 14:55:17	40024	1528527317440	12
32	0	61461	0	562	2018-06-09 14:55:17	40032	1528527317792	13
26	0	61461	0	4932	2018-06-09 14:55:17	40026	1528527317825	14
37	0	61461	0	3979	2018-06-09 14:55:17	40037	1528527317865	15
38	0	61461	0	3850	2018-06-09 14:55:17	40038	1528527317934	16
33	0	61461	0	3737	2018-06-09 14:55:18	40033	1528527318067	17
66	0	61461	0	4119	2018-06-09 14:55:18	40066	1528527318101	18
80	0	61461	0	1688	2018-06-09 14:55:18	40080	1528527318201	19
121	0	61461	0	4205	2018-06-09 14:55:18	40121	1528527318268	20
50	0	61461	0	4120	2018-06-09 14:55:18	40050	1528527318334	21
56	0	61461	0	676	2018-06-09 14:55:18	40056	1528527318401	22
53	0	61461	0	558	2018-06-09 14:55:18	40053	1528527318468	23
44	0	61461	0	978	2018-06-09 14:55:18	40044	1528527318660	24
115	0	61461	0	3861	2018-06-09 14:55:18	40115	1528527318793	25
129	0	61461	0	3969	2018-06-09 14:55:18	40129	1528527318994	26
70	0	61461	0	4941	2018-06-09 14:55:19	40070	1528527319027	27
63	0	61461	0	4330	2018-06-09 14:55:19	40063	1528527319094	28
120	0	61461	0	3836	2018-06-09 14:55:19	40120	1528527319127	29
135	0	61461	0	4097	2018-06-09 14:55:19	40135	1528527319261	30
122	0	61461	0	669	2018-06-09 14:55:19	40122	1528527319294	31
119	0	61461	0	1251	2018-06-09 14:55:19	40119	1528527319395	32
67	0	61461	0	3923	2018-06-09 14:55:19	40067	1528527319428	33
72	0	61461	0	1457	2018-06-09 14:55:19	40072	1528527319595	34
124	0	61461	0	1653	2018-06-09 14:55:19	40124	1528527319653	35
71	0	61461	0	1520	2018-06-09 14:55:19	40071	1528527319845	36
64	0	61461	0	804	2018-06-09 14:55:19	40064	1528527319979	37
41	0	61461	0	3767	2018-06-09 14:55:20	40041	1528527320046	38
76	0	61461	0	556	2018-06-09 14:55:20	40076	1528527320079	39
127	0	61461	0	1156	2018-06-09 14:55:20	40127	1528527320146	40
