seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	40981	2018-06-09 14:54:56	40003	1528527296273	1
2	0	61461	2018-06-09 14:55:16	40003	1528527316236	2
3	1	16405	2018-06-09 14:55:36	40003	1528527336236	3
4	1	36885	2018-06-09 14:55:56	40003	1528527356236	4
5	1	57365	2018-06-09 14:56:16	40003	1528527376232	5
6	2	12309	2018-06-09 14:56:36	40003	1528527396232	6
7	2	32789	2018-06-09 14:56:56	40003	1528527416233	7
8	2	53269	2018-06-09 14:57:16	40003	1528527436233	8
9	3	8213	2018-06-09 14:57:36	40003	1528527456233	9
10	3	28693	2018-06-09 14:57:56	40003	1528527476233	10
11	3	49173	2018-06-09 14:58:16	40003	1528527496233	11
12	4	4117	2018-06-09 14:58:36	40003	1528527516702	12
13	4	24597	2018-06-09 14:58:56	40003	1528527536231	13
14	4	45077	2018-06-09 14:59:16	40003	1528527556230	14
15	5	21	2018-06-09 14:59:36	40003	1528527576232	15
16	5	20501	2018-06-09 14:59:56	40003	1528527596230	16
17	5	40981	2018-06-09 15:00:16	40003	1528527616230	17
18	5	61461	2018-06-09 15:00:36	40003	1528527636230	18
19	6	16405	2018-06-09 15:00:56	40003	1528527656227	19
20	6	36885	2018-06-09 15:01:16	40003	1528527676227	20
21	6	57365	2018-06-09 15:01:36	40003	1528527696227	21
22	7	12309	2018-06-09 15:01:56	40003	1528527716227	22
23	7	32789	2018-06-09 15:02:16	40003	1528527736227	23
24	7	53269	2018-06-09 15:02:36	40003	1528527756227	24
25	8	8213	2018-06-09 15:02:56	40003	1528527776223	25
26	8	28693	2018-06-09 15:03:16	40003	1528527796224	26
27	8	49173	2018-06-09 15:03:36	40003	1528527816224	27
28	9	4117	2018-06-09 15:03:56	40003	1528527836224	28
29	9	24597	2018-06-09 15:04:16	40003	1528527856224	29
30	9	45077	2018-06-09 15:04:36	40003	1528527876224	30
31	10	21	2018-06-09 15:04:56	40003	1528527896224	31
32	10	20501	2018-06-09 15:05:16	40003	1528527916221	32
33	10	40981	2018-06-09 15:05:36	40003	1528527936221	33
34	10	61461	2018-06-09 15:05:56	40003	1528527956221	34
35	11	16405	2018-06-09 15:06:16	40003	1528527976221	35
36	11	36885	2018-06-09 15:06:36	40003	1528527996221	36
37	11	57365	2018-06-09 15:06:56	40003	1528528016222	37
38	12	12309	2018-06-09 15:07:16	40003	1528528036222	38
