seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	0	20501	2018-06-09 18:05:28	40003	1528538728930	1
1	0	40981	2018-06-09 18:05:48	40003	1528538748889	2
2	0	61461	2018-06-09 18:06:09	40003	1528538769822	3
3	1	16405	2018-06-09 18:06:28	40003	1528538788889	4
4	1	36885	2018-06-09 18:06:48	40003	1528538808885	5
5	1	57365	2018-06-09 18:07:09	40003	1528538829073	6
6	2	12309	2018-06-09 18:07:28	40003	1528538848885	7
7	2	32789	2018-06-09 18:07:48	40003	1528538868886	8
8	2	53269	2018-06-09 18:08:09	40003	1528538889166	9
9	3	8213	2018-06-09 18:08:28	40003	1528538908886	10
10	3	28693	2018-06-09 18:08:48	40003	1528538928886	11
11	3	49173	2018-06-09 18:09:10	40003	1528538950496	12
12	4	4117	2018-06-09 18:09:28	40003	1528538968882	13
13	4	24597	2018-06-09 18:09:48	40003	1528538988883	14
14	4	45077	2018-06-09 18:10:09	40003	1528539009119	15
15	5	21	2018-06-09 18:10:28	40003	1528539028883	16
16	5	20501	2018-06-09 18:10:48	40003	1528539048883	17
17	5	40981	2018-06-09 18:11:09	40003	1528539069193	18
18	5	61461	2018-06-09 18:11:28	40003	1528539088879	19
19	6	16405	2018-06-09 18:11:48	40003	1528539108880	20
20	6	36885	2018-06-09 18:12:09	40003	1528539129069	21
21	6	57365	2018-06-09 18:12:28	40003	1528539148880	22
22	7	12309	2018-06-09 18:12:48	40003	1528539168882	23
23	7	32789	2018-06-09 18:13:08	40003	1528539188887	24
24	7	53269	2018-06-09 18:13:28	40003	1528539208880	25
25	8	8213	2018-06-09 18:13:48	40003	1528539228877	26
26	8	28693	2018-06-09 18:14:09	40003	1528539249079	27
27	8	49173	2018-06-09 18:14:28	40003	1528539268878	28
28	9	4117	2018-06-09 18:14:48	40003	1528539288877	29
29	9	24597	2018-06-09 18:15:09	40003	1528539309071	30
30	9	45077	2018-06-09 18:15:28	40003	1528539328877	31
31	10	21	2018-06-09 18:15:49	40003	1528539349442	32
32	10	20501	2018-06-09 18:16:09	40003	1528539369062	33
33	10	40981	2018-06-09 18:16:28	40003	1528539388874	34
34	10	61461	2018-06-09 18:16:48	40003	1528539408874	35
35	11	16405	2018-06-09 18:17:11	40003	1528539431436	36
36	11	36885	2018-06-09 18:17:28	40003	1528539448874	37
37	11	57365	2018-06-09 18:17:48	40003	1528539468870	38
