nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
12	0	61461	0	2436	2018-06-10 00:12:52	40012	1528560772279	1
3	0	61463	0	2723	2018-06-10 00:12:52	40003	1528560772386	2
20	0	61461	0	2424	2018-06-10 00:12:52	40020	1528560772531	3
11	0	61461	0	5523	2018-06-10 00:12:52	40011	1528560772575	4
8	0	61461	0	1153	2018-06-10 00:12:52	40008	1528560772683	5
13	0	61461	0	5224	2018-06-10 00:12:52	40013	1528560772712	6
9	0	61461	0	1116	2018-06-10 00:12:52	40009	1528560772745	7
16	0	61461	0	2386	2018-06-10 00:12:52	40016	1528560772779	8
17	0	61461	0	5494	2018-06-10 00:12:52	40017	1528560772812	9
10	0	61461	0	5526	2018-06-10 00:12:52	40010	1528560772879	10
21	0	61461	0	2652	2018-06-10 00:12:53	40021	1528560773121	11
32	0	61461	0	1061	2018-06-10 00:12:54	40032	1528560774081	12
39	0	61461	0	1083	2018-06-10 00:12:54	40039	1528560774114	13
38	0	61461	0	4471	2018-06-10 00:12:54	40038	1528560774239	14
124	0	61461	0	3007	2018-06-10 00:12:54	40124	1528560774472	15
129	0	61461	0	4403	2018-06-10 00:12:54	40129	1528560774540	16
80	0	61465	0	2535	2018-06-10 00:12:54	40080	1528560774573	17
71	0	61461	0	5516	2018-06-10 00:12:54	40071	1528560774607	18
69	0	61461	0	5404	2018-06-10 00:12:54	40069	1528560774673	19
118	0	61461	0	4750	2018-06-10 00:12:54	40118	1528560774707	20
75	0	61461	0	2316	2018-06-10 00:12:54	40075	1528560774807	21
50	0	61461	0	5499	2018-06-10 00:12:54	40050	1528560774840	22
123	0	61461	0	2086	2018-06-10 00:12:55	40123	1528560775007	23
132	0	61461	0	2630	2018-06-10 00:12:55	40132	1528560775141	24
121	0	61461	0	4646	2018-06-10 00:12:55	40121	1528560775174	25
40	0	61461	0	1272	2018-06-10 00:12:55	40040	1528560775208	26
78	0	61461	0	1112	2018-06-10 00:12:55	40078	1528560775292	27
115	0	61461	0	4448	2018-06-10 00:12:55	40115	1528560775334	28
56	0	61461	0	1997	2018-06-10 00:12:55	40056	1528560775459	29
33	0	61461	0	1182	2018-06-10 00:12:55	40033	1528560775526	30
127	0	61461	0	4974	2018-06-10 00:12:55	40127	1528560775609	31
41	0	61461	0	4347	2018-06-10 00:12:55	40041	1528560775651	32
37	0	61461	0	4714	2018-06-10 00:12:55	40037	1528560775720	33
76	0	61461	0	1513	2018-06-10 00:12:55	40076	1528560775760	34
43	0	61461	0	4707	2018-06-10 00:12:55	40043	1528560775885	35
47	0	61461	0	4889	2018-06-10 00:12:55	40047	1528560775968	36
77	0	61461	0	5462	2018-06-10 00:12:56	40077	1528560776077	37
24	0	61461	0	1130	2018-06-10 00:12:56	40024	1528560776110	38
70	0	61461	0	6816	2018-06-10 00:12:56	40070	1528560776310	39
119	0	61461	0	4593	2018-06-10 00:12:56	40119	1528560776410	40
122	0	61461	0	4311	2018-06-10 00:12:56	40122	1528560776477	41
72	0	61461	0	2406	2018-06-10 00:12:56	40072	1528560776644	42
117	0	61461	0	1519	2018-06-10 00:12:56	40117	1528560776678	43
135	0	61461	0	2250	2018-06-10 00:12:56	40135	1528560776811	44
26	0	61461	0	4227	2018-06-10 00:12:57	40026	1528560777203	45
139	0	61461	0	4746	2018-06-10 00:12:57	40139	1528560777237	46
63	0	61461	0	4323	2018-06-10 00:12:57	40063	1528560777370	47
52	0	61461	0	1176	2018-06-10 00:12:57	40052	1528560777638	48
64	0	61461	0	1252	2018-06-10 00:12:57	40064	1528560777738	49
44	0	61461	0	1505	2018-06-10 00:12:57	40044	1528560777771	50
66	0	61461	0	4215	2018-06-10 00:12:57	40066	1528560777804	51
67	0	61461	0	5519	2018-06-10 00:12:57	40067	1528560777838	52
131	0	61461	0	4435	2018-06-10 00:12:57	40131	1528560777938	53
53	0	61461	0	5653	2018-06-10 00:12:58	40053	1528560778097	54
48	0	61461	0	2510	2018-06-10 00:12:58	40048	1528560778197	55
120	0	61461	0	1746	2018-06-10 00:12:58	40120	1528560778255	56
12	1	57365	0	5002	2018-06-10 00:13:52	40012	1528560832275	57
3	1	57367	0	5560	2018-06-10 00:13:52	40003	1528560832382	58
20	1	57365	0	4887	2018-06-10 00:13:52	40020	1528560832549	59
11	1	57365	0	13111	2018-06-10 00:13:52	40011	1528560832582	60
13	1	57365	0	12540	2018-06-10 00:13:52	40013	1528560832874	61
16	1	57365	0	4769	2018-06-10 00:13:52	40016	1528560832932	62
9	1	57365	0	2284	2018-06-10 00:13:52	40009	1528560832999	63
17	1	57365	0	13164	2018-06-10 00:13:53	40017	1528560833066	64
21	1	57365	0	5496	2018-06-10 00:13:53	40021	1528560833300	65
10	1	57365	0	13079	2018-06-10 00:13:53	40010	1528560833366	66
8	1	57365	0	2293	2018-06-10 00:13:53	40008	1528560833500	67
26	1	57365	0	10553	2018-06-10 00:13:53	40026	1528560833802	68
24	1	57365	0	2260	2018-06-10 00:13:53	40024	1528560833902	69
37	1	57365	0	11583	2018-06-10 00:13:53	40037	1528560833935	70
38	1	57365	0	11388	2018-06-10 00:13:54	40038	1528560834186	71
132	1	57365	0	5186	2018-06-10 00:13:54	40132	1528560834419	72
71	1	57365	0	12022	2018-06-10 00:13:54	40071	1528560834520	73
32	1	57365	0	2113	2018-06-10 00:13:54	40032	1528560834586	74
47	1	57365	0	11788	2018-06-10 00:13:54	40047	1528560834687	75
123	1	57365	0	4258	2018-06-10 00:13:54	40123	1528560834720	76
118	1	57365	0	11798	2018-06-10 00:13:54	40118	1528560834787	77
75	1	57365	0	4705	2018-06-10 00:13:54	40075	1528560834854	78
127	1	57365	0	11805	2018-06-10 00:13:54	40127	1528560834887	79
80	1	57365	0	5434	2018-06-10 00:13:54	40080	1528560834954	80
122	1	57365	0	10806	2018-06-10 00:13:55	40122	1528560835054	81
53	1	57365	0	13298	2018-06-10 00:13:55	40053	1528560835121	82
70	1	57365	0	13475	2018-06-10 00:13:55	40070	1528560835154	83
