nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
122	0	0	19893	2018-06-10 09:42:48	40122	1528594968835	1
121	0	0	19907	2018-06-10 09:42:49	40121	1528594969005	2
119	0	0	19911	2018-06-10 09:42:49	40119	1528594969053	3
70	0	0	19278	2018-06-10 09:42:49	40070	1528594969161	4
52	26980	0	35855	2018-06-10 09:43:03	40052	1528594983471	5
48	4608	0	37093	2018-06-10 09:43:04	40048	1528594984646	6
40	4608	0	38025	2018-06-10 09:43:04	40040	1528594984779	7
44	4608	0	37404	2018-06-10 09:43:04	40044	1528594984913	8
52	4608	0	37445	2018-06-10 09:43:05	40052	1528594985013	9
56	4608	0	37365	2018-06-10 09:43:05	40056	1528594985138	10
39	4608	0	38281	2018-06-10 09:43:05	40039	1528594985171	11
24	4608	0	38207	2018-06-10 09:43:05	40024	1528594985205	12
80	4608	0	38751	2018-06-10 09:43:06	40080	1528594986056	13
132	4608	0	38685	2018-06-10 09:43:06	40132	1528594986098	14
41	4608	0	37260	2018-06-10 09:43:06	40041	1528594986143	15
3	4608	0	40914	2018-06-10 09:43:06	40003	1528594986181	16
47	4608	0	37009	2018-06-10 09:43:06	40047	1528594986373	17
124	4608	0	38625	2018-06-10 09:43:06	40124	1528594986440	18
78	4608	0	38748	2018-06-10 09:43:06	40078	1528594986507	19
123	4608	0	38863	2018-06-10 09:43:06	40123	1528594986573	20
72	4608	0	39138	2018-06-10 09:43:06	40072	1528594986640	21
50	4608	0	37470	2018-06-10 09:43:06	40050	1528594986674	22
43	4608	0	38240	2018-06-10 09:43:06	40043	1528594986740	23
53	4608	0	37522	2018-06-10 09:43:06	40053	1528594986874	24
38	4608	0	38736	2018-06-10 09:43:06	40038	1528594986907	25
70	4608	0	37964	2018-06-10 09:43:06	40070	1528594986974	26
10	4608	0	40212	2018-06-10 09:43:07	40010	1528594987007	27
12	4608	0	40338	2018-06-10 09:43:07	40012	1528594987041	28
9	4608	0	40849	2018-06-10 09:43:07	40009	1528594987074	29
63	4608	0	38910	2018-06-10 09:43:07	40063	1528594987141	30
118	4608	0	38842	2018-06-10 09:43:07	40118	1528594987174	31
139	4608	0	38578	2018-06-10 09:43:07	40139	1528594987308	32
129	4608	0	38358	2018-06-10 09:43:07	40129	1528594987375	33
117	4608	0	38806	2018-06-10 09:43:07	40117	1528594987408	34
37	4608	0	39223	2018-06-10 09:43:07	40037	1528594987475	35
121	4608	0	38842	2018-06-10 09:43:07	40121	1528594987575	36
17	4608	0	40655	2018-06-10 09:43:07	40017	1528594987634	37
127	4608	0	39357	2018-06-10 09:43:07	40127	1528594987700	38
69	4608	0	39116	2018-06-10 09:43:07	40069	1528594987734	39
26	4608	0	39779	2018-06-10 09:43:07	40026	1528594987767	40
12	1	0	41937	2018-06-10 09:43:07	40012	1528594987825	41
131	4608	0	38857	2018-06-10 09:43:07	40131	1528594987859	42
120	4608	0	38758	2018-06-10 09:43:07	40120	1528594987892	43
75	4608	0	39099	2018-06-10 09:43:07	40075	1528594987926	44
11	1	0	41211	2018-06-10 09:43:07	40011	1528594987959	45
67	4608	0	40014	2018-06-10 09:43:07	40067	1528594987992	46
77	4608	0	37396	2018-06-10 09:43:08	40077	1528594988026	47
119	4608	0	38857	2018-06-10 09:43:08	40119	1528594988059	48
71	4608	0	39038	2018-06-10 09:43:08	40071	1528594988093	49
122	4608	0	38737	2018-06-10 09:43:08	40122	1528594988193	50
13	4608	0	40656	2018-06-10 09:43:08	40013	1528594988226	51
66	4608	0	39261	2018-06-10 09:43:08	40066	1528594988260	52
64	4608	0	38228	2018-06-10 09:43:08	40064	1528594988293	53
8	4608	0	41397	2018-06-10 09:43:08	40008	1528594988326	54
135	4608	0	38692	2018-06-10 09:43:08	40135	1528594988360	55
21	4608	0	40997	2018-06-10 09:43:08	40021	1528594988426	56
33	4608	0	39810	2018-06-10 09:43:08	40033	1528594988460	57
20	1	0	42185	2018-06-10 09:43:08	40020	1528594988493	58
115	4608	0	38461	2018-06-10 09:43:08	40115	1528594988560	59
40	26980	0	57946	2018-06-10 09:43:24	40040	1528595004135	60
12	2	0	61207	2018-06-10 09:43:26	40012	1528595006161	61
72	2	0	60211	2018-06-10 09:43:26	40072	1528595006729	62
78	2	0	60199	2018-06-10 09:43:26	40078	1528595006795	63
40	2	0	61084	2018-06-10 09:43:27	40040	1528595007254	64
11	2	0	61548	2018-06-10 09:43:27	40011	1528595007830	65
16	2	0	62148	2018-06-10 09:43:27	40016	1528595007897	66
8	2	0	62389	2018-06-10 09:43:27	40008	1528595007997	67
20	2	0	62058	2018-06-10 09:43:28	40020	1528595008031	68
70	2	0	59497	2018-06-10 09:43:28	40070	1528595008131	69
21	2	0	61874	2018-06-10 09:43:28	40021	1528595008198	70
17	2	0	61464	2018-06-10 09:43:28	40017	1528595008264	71
80	2	0	60249	2018-06-10 09:43:28	40080	1528595008365	72
33	2	0	60771	2018-06-10 09:43:28	40033	1528595008398	73
39	2	0	60807	2018-06-10 09:43:28	40039	1528595008531	74
77	2	0	59968	2018-06-10 09:43:28	40077	1528595008799	75
56	2	0	60109	2018-06-10 09:43:28	40056	1528595008899	76
9	2	0	61780	2018-06-10 09:43:28	40009	1528595008932	77
53	2	0	60478	2018-06-10 09:43:29	40053	1528595009066	78
135	2	0	60769	2018-06-10 09:43:29	40135	1528595009166	79
