nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
13	4608	37	0	34779	0	33454	2018-06-10 10:05:04	40013	1528596304477	1
41	4608	16736	0	33595	0	0	2018-06-10 10:05:04	40041	1528596304557	2
40	4608	41	0	33005	0	33620	2018-06-10 10:05:04	40040	1528596304598	3
21	4608	13	0	35004	0	34937	2018-06-10 10:05:04	40021	1528596304640	4
44	4608	16736	0	32725	0	0	2018-06-10 10:05:04	40044	1528596304682	5
24	4608	41	0	33511	0	33789	2018-06-10 10:05:04	40024	1528596304723	6
43	4608	77	0	33038	0	33041	2018-06-10 10:05:04	40043	1528596304765	7
66	4608	77	0	33016	0	33061	2018-06-10 10:05:04	40066	1528596304807	8
48	4608	41	0	33316	0	33932	2018-06-10 10:05:04	40048	1528596304848	9
52	4608	41	0	33639	0	33898	2018-06-10 10:05:04	40052	1528596304890	10
67	4608	13	0	33198	0	35219	2018-06-10 10:05:05	40067	1528596305015	11
50	4608	43	0	33204	0	33191	2018-06-10 10:05:05	40050	1528596305057	12
26	4608	37	0	33540	0	33706	2018-06-10 10:05:05	40026	1528596305099	13
38	4608	37	0	33750	0	33928	2018-06-10 10:05:05	40038	1528596305141	14
20	4608	11	0	35336	0	34975	2018-06-10 10:05:05	40020	1528596305233	15
37	4608	16736	0	33428	0	0	2018-06-10 10:05:05	40037	1528596305274	16
3	4608	11	0	35396	0	34756	2018-06-10 10:05:05	40003	1528596305399	17
53	4608	50	0	33277	0	33274	2018-06-10 10:05:05	40053	1528596305433	18
33	4608	37	0	33644	0	33719	2018-06-10 10:05:05	40033	1528596305501	19
77	4608	41	0	32909	0	33681	2018-06-10 10:05:05	40077	1528596305601	20
63	4608	50	0	33532	0	33519	2018-06-10 10:05:05	40063	1528596305634	21
70	4608	63	0	33878	0	33960	2018-06-10 10:05:05	40070	1528596305701	22
121	4608	115	0	34540	0	34225	2018-06-10 10:05:05	40121	1528596305834	23
131	4608	118	0	33766	0	34881	2018-06-10 10:05:05	40131	1528596305901	24
122	4608	139	0	33543	0	33556	2018-06-10 10:05:05	40122	1528596305968	25
139	4608	66	0	33451	0	33812	2018-06-10 10:05:06	40139	1528596306001	26
71	4608	69	0	34360	0	34295	2018-06-10 10:05:06	40071	1528596306068	27
47	4608	41	0	33843	0	33871	2018-06-10 10:05:06	40047	1528596306102	28
115	4608	129	0	34134	0	33693	2018-06-10 10:05:06	40115	1528596306135	29
75	4608	69	0	34356	0	34295	2018-06-10 10:05:06	40075	1528596306202	30
80	4608	70	0	34094	0	34076	2018-06-10 10:05:06	40080	1528596306235	31
69	4608	70	0	34295	0	34248	2018-06-10 10:05:06	40069	1528596306269	32
123	4608	67	0	33280	0	33688	2018-06-10 10:05:06	40123	1528596306477	33
78	4608	70	0	34046	0	33957	2018-06-10 10:05:06	40078	1528596306784	34
124	4608	122	0	34017	0	33983	2018-06-10 10:05:06	40124	1528596306877	35
119	4608	121	0	34263	0	34759	2018-06-10 10:05:06	40119	1528596306978	36
8	4608	13	0	34627	0	34899	2018-06-10 10:05:07	40008	1528596307013	37
9	4608	13	0	34562	0	34956	2018-06-10 10:05:07	40009	1528596307078	38
10	4608	70	0	36219	0	34287	2018-06-10 10:05:07	40010	1528596307111	39
129	4608	139	0	33692	0	33628	2018-06-10 10:05:07	40129	1528596307145	40
56	4608	37	0	32933	0	33652	2018-06-10 10:05:07	40056	1528596307345	41
