nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
9	0	61461	0	3664	2018-06-11 21:04:13	40009	1528722253778	1
12	0	61461	0	1156	2018-06-11 21:04:13	40012	1528722253866	2
8	0	61461	0	3658	2018-06-11 21:04:14	40008	1528722254014	3
21	0	61461	0	2957	2018-06-11 21:04:14	40021	1528722254122	4
13	0	61461	0	4149	2018-06-11 21:04:14	40013	1528722254295	5
17	0	61461	0	2205	2018-06-11 21:04:14	40017	1528722254362	6
3	0	61463	0	2695	2018-06-11 21:04:14	40003	1528722254395	7
11	0	61461	0	3657	2018-06-11 21:04:14	40011	1528722254429	8
10	0	61461	0	2167	2018-06-11 21:04:14	40010	1528722254462	9
20	0	61461	0	2261	2018-06-11 21:04:14	40020	1528722254596	10
16	0	61461	0	1758	2018-06-11 21:04:14	40016	1528722254662	11
37	0	61461	0	3761	2018-06-11 21:04:15	40037	1528722255581	12
24	0	61461	0	1197	2018-06-11 21:04:15	40024	1528722255948	13
64	0	61461	0	4275	2018-06-11 21:04:16	40064	1528722256148	14
75	0	61461	0	3421	2018-06-11 21:04:16	40075	1528722256186	15
38	0	61461	0	2589	2018-06-11 21:04:16	40038	1528722256316	16
66	0	61461	0	3815	2018-06-11 21:04:16	40066	1528722256416	17
135	0	61461	0	4213	2018-06-11 21:04:16	40135	1528722256482	18
40	0	61461	0	2765	2018-06-11 21:04:16	40040	1528722256583	19
120	0	61461	0	2777	2018-06-11 21:04:16	40120	1528722256774	20
132	0	61461	0	1145	2018-06-11 21:04:16	40132	1528722256966	21
39	0	61461	0	2272	2018-06-11 21:04:17	40039	1528722257000	22
70	0	61461	0	4951	2018-06-11 21:04:17	40070	1528722257067	23
67	0	61461	0	2208	2018-06-11 21:04:17	40067	1528722257167	24
50	0	61461	0	3800	2018-06-11 21:04:17	40050	1528722257234	25
26	0	61461	0	3030	2018-06-11 21:04:17	40026	1528722257267	26
33	0	61461	0	3646	2018-06-11 21:04:17	40033	1528722257300	27
80	0	61461	0	2218	2018-06-11 21:04:17	40080	1528722257400	28
121	0	61461	0	2744	2018-06-11 21:04:17	40121	1528722257434	29
76	0	61461	0	3994	2018-06-11 21:04:17	40076	1528722257467	30
118	0	61461	0	2709	2018-06-11 21:04:17	40118	1528722257534	31
124	0	61461	0	1179	2018-06-11 21:04:17	40124	1528722257601	32
63	0	61469	0	4331	2018-06-11 21:04:17	40063	1528722257634	33
43	0	61461	0	4045	2018-06-11 21:04:18	40043	1528722258161	34
77	0	61461	0	2768	2018-06-11 21:04:18	40077	1528722258286	35
48	0	61461	0	1579	2018-06-11 21:04:18	40048	1528722258328	36
72	0	61461	0	1296	2018-06-11 21:04:18	40072	1528722258453	37
69	0	61461	0	2178	2018-06-11 21:04:18	40069	1528722258670	38
56	0	61461	0	3446	2018-06-11 21:04:18	40056	1528722258704	39
117	0	61461	0	3963	2018-06-11 21:04:18	40117	1528722258837	40
78	0	61461	0	1724	2018-06-11 21:04:18	40078	1528722258871	41
71	0	61461	0	1152	2018-06-11 21:04:18	40071	1528722258904	42
44	0	61461	0	1277	2018-06-11 21:04:18	40044	1528722258937	43
129	0	61461	0	3993	2018-06-11 21:04:19	40129	1528722259004	44
139	0	61461	0	2712	2018-06-11 21:04:19	40139	1528722259071	45
122	0	61461	0	2779	2018-06-11 21:04:19	40122	1528722259104	46
115	0	61461	0	2835	2018-06-11 21:04:19	40115	1528722259229	47
53	0	61461	0	2537	2018-06-11 21:04:19	40053	1528722259263	48
32	0	61461	0	1164	2018-06-11 21:04:19	40032	1528722259296	49
127	0	61461	0	2300	2018-06-11 21:04:19	40127	1528722259330	50
47	0	61461	0	2503	2018-06-11 21:04:19	40047	1528722259421	51
41	0	61461	0	3065	2018-06-11 21:04:19	40041	1528722259455	52
119	0	61466	0	2827	2018-06-11 21:04:19	40119	1528722259555	53
123	0	61461	0	2436	2018-06-11 21:04:19	40123	1528722259622	54
131	0	61461	0	4122	2018-06-11 21:04:19	40131	1528722259655	55
52	0	61461	0	2304	2018-06-11 21:04:19	40052	1528722259689	56
9	1	57365	0	7655	2018-06-11 21:05:13	40009	1528722313778	57
12	1	57365	0	2311	2018-06-11 21:05:13	40012	1528722313869	58
8	1	57365	0	7714	2018-06-11 21:05:14	40008	1528722314010	59
21	1	57365	0	5962	2018-06-11 21:05:14	40021	1528722314122	60
10	1	57365	0	6900	2018-06-11 21:05:14	40010	1528722314219	61
20	1	57365	0	5065	2018-06-11 21:05:14	40020	1528722314319	62
11	1	57365	0	7744	2018-06-11 21:05:14	40011	1528722314353	63
3	1	57367	0	6344	2018-06-11 21:05:14	40003	1528722314453	64
