seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	40981	2018-06-11 21:25:16	40003	1528723516894	1
2	0	61461	2018-06-11 21:25:36	40003	1528723536935	2
3	1	16405	2018-06-11 21:25:56	40003	1528723556893	3
4	1	36885	2018-06-11 21:26:16	40003	1528723576893	4
5	1	57365	2018-06-11 21:26:36	40003	1528723596971	5
6	2	12309	2018-06-11 21:26:56	40003	1528723616889	6
7	2	32789	2018-06-11 21:27:16	40003	1528723636889	7
8	2	53269	2018-06-11 21:27:36	40003	1528723656962	8
9	3	8213	2018-06-11 21:27:56	40003	1528723676890	9
10	3	28693	2018-06-11 21:28:16	40003	1528723696890	10
11	3	49173	2018-06-11 21:28:36	40003	1528723716926	11
12	4	4117	2018-06-11 21:28:56	40003	1528723736886	12
13	4	24597	2018-06-11 21:29:16	40003	1528723756886	13
14	4	45077	2018-06-11 21:29:36	40003	1528723776934	14
15	5	21	2018-06-11 21:29:56	40003	1528723796890	15
16	5	20501	2018-06-11 21:30:16	40003	1528723816887	16
17	5	40981	2018-06-11 21:30:36	40003	1528723836949	17
18	5	61461	2018-06-11 21:30:56	40003	1528723856883	18
19	6	16405	2018-06-11 21:31:16	40003	1528723876885	19
20	6	36885	2018-06-11 21:31:36	40003	1528723896924	20
21	6	57365	2018-06-11 21:31:56	40003	1528723916884	21
22	7	12309	2018-06-11 21:32:16	40003	1528723936884	22
23	7	32789	2018-06-11 21:32:36	40003	1528723956973	23
24	7	53269	2018-06-11 21:32:56	40003	1528723976880	24
25	8	8213	2018-06-11 21:33:16	40003	1528723996880	25
26	8	28693	2018-06-11 21:33:36	40003	1528724016922	26
27	8	49173	2018-06-11 21:33:56	40003	1528724036881	27
28	9	4117	2018-06-11 21:34:16	40003	1528724056881	28
29	9	24597	2018-06-11 21:34:36	40003	1528724076912	29
30	9	45077	2018-06-11 21:34:56	40003	1528724096883	30
31	10	21	2018-06-11 21:35:16	40003	1528724116881	31
32	10	20501	2018-06-11 21:35:36	40003	1528724136944	32
33	10	40981	2018-06-11 21:35:56	40003	1528724156878	33
34	10	61461	2018-06-11 21:36:16	40003	1528724176878	34
35	11	16405	2018-06-11 21:36:36	40003	1528724196918	35
36	11	36885	2018-06-11 21:36:56	40003	1528724216878	36
37	11	57365	2018-06-11 21:37:16	40003	1528724236880	37
38	12	12309	2018-06-11 21:37:36	40003	1528724256916	38
