nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
43	26980	11316	0	18501	13356	27692	2018-06-08 18:02:14	40043	1528452134191	1
52	26980	41	0	18553	0	18535	2018-06-08 18:02:14	40052	1528452134291	2
47	26980	41	0	18547	0	18555	2018-06-08 18:02:14	40047	1528452134357	3
41	26980	43	0	18517	0	18527	2018-06-08 18:02:14	40041	1528452134391	4
56	26980	41	0	19569	0	18725	2018-06-08 18:02:14	40056	1528452134432	5
17	0	3	0	20966	0	20665	2018-06-08 18:02:14	40017	1528452134474	6
80	0	17	0	19348	0	21025	2018-06-08 18:02:14	40080	1528452134516	7
120	26980	129	0	18998	0	19108	2018-06-08 18:02:14	40120	1528452134582	8
131	26980	117	0	19030	0	19547	2018-06-08 18:02:14	40131	1528452134624	9
10	0	17	0	20918	0	21082	2018-06-08 18:02:14	40010	1528452134666	10
24	26980	44	0	19941	0	19635	2018-06-08 18:02:14	40024	1528452134708	11
20	0	11	0	20883	0	20991	2018-06-08 18:02:14	40020	1528452134749	12
77	26980	41	0	18566	0	18568	2018-06-08 18:02:14	40077	1528452134791	13
8	26980	64	0	21091	0	19111	2018-06-08 18:02:14	40008	1528452134875	14
9	26980	8	0	21011	0	21163	2018-06-08 18:02:14	40009	1528452134925	15
121	26980	129	0	19404	0	19252	2018-06-08 18:02:15	40121	1528452135117	16
48	26980	41	0	18796	0	18785	2018-06-08 18:02:15	40048	1528452135225	17
38	26980	44	0	19881	0	19596	2018-06-08 18:02:15	40038	1528452135308	18
129	26980	63	0	19054	0	19088	2018-06-08 18:02:15	40129	1528452135342	19
26	26980	37	0	20041	0	20171	2018-06-08 18:02:15	40026	1528452135375	20
3	26980	11	0	21663	0	21646	2018-06-08 18:02:15	40003	1528452135475	21
17	26980	21	0	22100	0	21648	2018-06-08 18:02:15	40017	1528452135509	22
127	26980	117	0	19249	0	19747	2018-06-08 18:02:15	40127	1528452135544	23
132	26980	122	0	19885	0	19891	2018-06-08 18:02:15	40132	1528452135642	24
64	26980	131	0	18932	0	19065	2018-06-08 18:02:15	40064	1528452135676	25
124	26980	132	0	19928	0	19896	2018-06-08 18:02:15	40124	1528452135709	26
11	0	3	0	20912	0	20913	2018-06-08 18:02:15	40011	1528452135776	27
