nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
47	26980	0	18537	2018-06-08 18:02:14	40047	1528452134833	1
56	26980	0	19560	2018-06-08 18:02:14	40056	1528452134966	2
52	26980	0	18539	2018-06-08 18:02:15	40052	1528452135033	3
17	0	0	20947	2018-06-08 18:02:15	40017	1528452135075	4
77	26980	0	18555	2018-06-08 18:02:15	40077	1528452135158	5
10	0	0	20872	2018-06-08 18:02:15	40010	1528452135267	6
9	26980	0	21003	2018-06-08 18:02:15	40009	1528452135409	7
24	26980	0	19930	2018-06-08 18:02:15	40024	1528452135442	8
48	26980	0	18787	2018-06-08 18:02:15	40048	1528452135576	9
41	26980	0	18500	2018-06-08 18:02:15	40041	1528452135609	10
43	26980	0	18488	2018-06-08 18:02:15	40043	1528452135743	11
64	26980	0	18896	2018-06-08 18:02:15	40064	1528452135909	12
124	26980	0	19856	2018-06-08 18:02:15	40124	1528452135976	13
129	26980	0	19040	2018-06-08 18:02:16	40129	1528452136043	14
50	26980	0	18888	2018-06-08 18:02:16	40050	1528452136081	15
120	26980	0	18986	2018-06-08 18:02:16	40120	1528452136177	16
131	26980	0	19021	2018-06-08 18:02:16	40131	1528452136210	17
3	26980	0	21569	2018-06-08 18:02:16	40003	1528452136277	18
71	26980	0	20014	2018-06-08 18:02:16	40071	1528452136444	19
118	26980	0	19120	2018-06-08 18:02:16	40118	1528452136544	20
69	26980	0	19888	2018-06-08 18:02:16	40069	1528452136644	21
8	26980	0	21079	2018-06-08 18:02:16	40008	1528452136711	22
80	0	0	19299	2018-06-08 18:02:16	40080	1528452136777	23
10	26980	0	21966	2018-06-08 18:02:16	40010	1528452136811	24
39	26980	0	20126	2018-06-08 18:02:16	40039	1528452136878	25
26	26980	0	20003	2018-06-08 18:02:16	40026	1528452136978	26
40	26980	0	19633	2018-06-08 18:02:17	40040	1528452137011	27
17	26980	0	22029	2018-06-08 18:02:17	40017	1528452137045	28
13	26980	0	21362	2018-06-08 18:02:17	40013	1528452137111	29
127	26980	0	19187	2018-06-08 18:02:17	40127	1528452137212	30
132	26980	0	19851	2018-06-08 18:02:17	40132	1528452137278	31
139	26980	0	19271	2018-06-08 18:02:17	40139	1528452137378	32
38	26980	0	19842	2018-06-08 18:02:17	40038	1528452137412	33
33	26980	0	20507	2018-06-08 18:02:17	40033	1528452137445	34
121	26980	0	19300	2018-06-08 18:02:17	40121	1528452137479	35
67	26980	0	18925	2018-06-08 18:02:17	40067	1528452137512	36
80	26980	0	20937	2018-06-08 18:02:17	40080	1528452137570	37
119	26980	0	19206	2018-06-08 18:02:17	40119	1528452137604	38
115	26980	0	19558	2018-06-08 18:02:17	40115	1528452137637	39
20	0	0	20868	2018-06-08 18:02:17	40020	1528452137671	40
117	26980	0	19497	2018-06-08 18:02:17	40117	1528452137704	41
63	26980	0	19080	2018-06-08 18:02:17	40063	1528452137762	42
53	26980	0	19371	2018-06-08 18:02:17	40053	1528452137796	43
44	26980	0	19253	2018-06-08 18:02:17	40044	1528452137829	44
66	26980	0	19008	2018-06-08 18:02:17	40066	1528452137896	45
11	26980	0	20887	2018-06-08 18:02:17	40011	1528452137929	46
70	26980	0	18866	2018-06-08 18:02:17	40070	1528452137963	47
21	26980	0	21568	2018-06-08 18:02:17	40021	1528452137996	48
123	26980	0	19635	2018-06-08 18:02:18	40123	1528452138096	49
12	0	0	20878	2018-06-08 18:02:18	40012	1528452138130	50
75	26980	0	20010	2018-06-08 18:02:18	40075	1528452138163	51
135	26980	0	19599	2018-06-08 18:02:18	40135	1528452138196	52
32	26980	0	19899	2018-06-08 18:02:18	40032	1528452138230	53
37	26980	0	20072	2018-06-08 18:02:18	40037	1528452138297	54
12	26980	0	21979	2018-06-08 18:02:18	40012	1528452138363	55
122	26980	0	19542	2018-06-08 18:02:18	40122	1528452138430	56
20	26980	0	21398	2018-06-08 18:02:18	40020	1528452138464	57
10	1	0	41242	2018-06-08 18:02:34	40010	1528452154848	58
17	1	0	41374	2018-06-08 18:02:35	40017	1528452155057	59
44	1	0	40465	2018-06-08 18:02:35	40044	1528452155541	60
122	1	0	40010	2018-06-08 18:02:35	40122	1528452155608	61
11	1	0	41262	2018-06-08 18:02:35	40011	1528452155641	62
33	1	0	40442	2018-06-08 18:02:35	40033	1528452155675	63
118	1	0	40129	2018-06-08 18:02:35	40118	1528452155741	64
12	1	0	41247	2018-06-08 18:02:35	40012	1528452155875	65
39	1	0	40555	2018-06-08 18:02:36	40039	1528452156008	66
67	1	0	39349	2018-06-08 18:02:36	40067	1528452156075	67
139	1	0	40163	2018-06-08 18:02:36	40139	1528452156209	68
24	1	0	41451	2018-06-08 18:02:36	40024	1528452156242	69
129	1	0	40064	2018-06-08 18:02:36	40129	1528452156276	70
115	1	0	40568	2018-06-08 18:02:36	40115	1528452156309	71
52	1	0	40702	2018-06-08 18:02:36	40052	1528452156342	72
43	1	0	40023	2018-06-08 18:02:36	40043	1528452156409	73
38	1	0	40457	2018-06-08 18:02:36	40038	1528452156509	74
77	1	0	40544	2018-06-08 18:02:36	40077	1528452156610	75
119	1	0	40023	2018-06-08 18:02:36	40119	1528452156676	76
64	1	0	39862	2018-06-08 18:02:36	40064	1528452156810	77
80	1	0	40161	2018-06-08 18:02:36	40080	1528452156935	78
47	1	0	40113	2018-06-08 18:02:36	40047	1528452156968	79
9	1	0	41420	2018-06-08 18:02:37	40009	1528452157002	80
123	1	0	40119	2018-06-08 18:02:37	40123	1528452157035	81
40	1	0	40768	2018-06-08 18:02:37	40040	1528452157069	82
131	1	0	40023	2018-06-08 18:02:37	40131	1528452157102	83
127	1	0	40320	2018-06-08 18:02:37	40127	1528452157135	84
135	1	0	40567	2018-06-08 18:02:37	40135	1528452157169	85
41	1	0	40127	2018-06-08 18:02:37	40041	1528452157235	86
120	1	0	40012	2018-06-08 18:02:37	40120	1528452157336	87
26	1	0	40459	2018-06-08 18:02:37	40026	1528452157369	88
48	1	0	40226	2018-06-08 18:02:37	40048	1528452157402	89
121	1	0	40331	2018-06-08 18:02:37	40121	1528452157436	90
132	1	0	40280	2018-06-08 18:02:37	40132	1528452157469	91
56	1	0	40583	2018-06-08 18:02:37	40056	1528452157502	92
66	1	0	40630	2018-06-08 18:02:37	40066	1528452157569	93
50	1	0	39985	2018-06-08 18:02:37	40050	1528452157603	94
8	1	0	41523	2018-06-08 18:02:37	40008	1528452157636	95
63	1	0	40577	2018-06-08 18:02:37	40063	1528452157669	96
13	1	0	41069	2018-06-08 18:02:37	40013	1528452157703	97
37	1	0	40166	2018-06-08 18:02:37	40037	1528452157736	98
69	1	0	40792	2018-06-08 18:02:37	40069	1528452157770	99
71	1	0	40496	2018-06-08 18:02:37	40071	1528452157803	100
32	1	0	40849	2018-06-08 18:02:37	40032	1528452157837	101
70	1	0	40356	2018-06-08 18:02:37	40070	1528452157870	102
124	1	0	40285	2018-06-08 18:02:37	40124	1528452157928	103
75	1	0	40439	2018-06-08 18:02:37	40075	1528452157962	104
117	1	0	40493	2018-06-08 18:02:37	40117	1528452157995	105
80	2	0	60222	2018-06-08 18:02:54	40080	1528452174537	106
10	2	0	62003	2018-06-08 18:02:54	40010	1528452174712	107
12	2	0	61574	2018-06-08 18:02:54	40012	1528452174781	108
20	2	0	62160	2018-06-08 18:02:55	40020	1528452175104	109
17	2	0	62230	2018-06-08 18:02:55	40017	1528452175296	110
21	2	0	61886	2018-06-08 18:02:55	40021	1528452175538	111
52	4608	1	7755	2018-06-08 18:03:07	40052	1528452187858	112
40	4608	1	8437	2018-06-08 18:03:07	40040	1528452187925	113
24	4608	1	8435	2018-06-08 18:03:07	40024	1528452187959	114
33	4608	1	8417	2018-06-08 18:03:08	40033	1528452188092	115
44	4608	1	8127	2018-06-08 18:03:08	40044	1528452188126	116
39	4608	1	8542	2018-06-08 18:03:08	40039	1528452188192	117
43	4608	1	7724	2018-06-08 18:03:08	40043	1528452188259	118
38	4608	1	8588	2018-06-08 18:03:08	40038	1528452188360	119
37	4608	1	8441	2018-06-08 18:03:08	40037	1528452188485	120
32	4608	1	8349	2018-06-08 18:03:08	40032	1528452188620	121
129	4608	1	8148	2018-06-08 18:03:08	40129	1528452188677	122
77	4608	1	8183	2018-06-08 18:03:08	40077	1528452188743	123
122	4608	1	8503	2018-06-08 18:03:08	40122	1528452188843	124
41	4608	1	7931	2018-06-08 18:03:08	40041	1528452188877	125
119	4608	1	8185	2018-06-08 18:03:08	40119	1528452188947	126
26	4608	1	8480	2018-06-08 18:03:08	40026	1528452188977	127
9	4608	1	9940	2018-06-08 18:03:09	40009	1528452189077	128
50	4608	1	8153	2018-06-08 18:03:09	40050	1528452189178	129
131	4608	1	8162	2018-06-08 18:03:09	40131	1528452189378	130
121	4608	1	8569	2018-06-08 18:03:09	40121	1528452189411	131
67	4608	1	8074	2018-06-08 18:03:09	40067	1528452189478	132
118	4608	1	8201	2018-06-08 18:03:09	40118	1528452189545	133
66	4608	1	8075	2018-06-08 18:03:09	40066	1528452189578	134
69	4608	1	9001	2018-06-08 18:03:09	40069	1528452189611	135
10	4608	1	10425	2018-06-08 18:03:09	40010	1528452189645	136
21	4608	1	9821	2018-06-08 18:03:09	40021	1528452189803	137
80	4608	1	9137	2018-06-08 18:03:09	40080	1528452189904	138
11	4608	1	10439	2018-06-08 18:03:09	40011	1528452189962	139
127	4608	1	8544	2018-06-08 18:03:09	40127	1528452189995	140
13	4608	1	9946	2018-06-08 18:03:10	40013	1528452190029	141
