nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
21	0	12	0	21746	0	21588	2018-06-09 14:02:49	40021	1528524169083	1
39	0	38	0	20436	0	20429	2018-06-09 14:02:49	40039	1528524169141	2
123	0	120	0	19987	0	20155	2018-06-09 14:02:49	40123	1528524169199	3
32	0	33	0	20464	0	20404	2018-06-09 14:02:49	40032	1528524169232	4
131	0	123	0	19992	0	20032	2018-06-09 14:02:49	40131	1528524169266	5
50	0	43	0	19940	0	20177	2018-06-09 14:02:49	40050	1528524169299	6
117	0	131	0	20083	0	20062	2018-06-09 14:02:49	40117	1528524169332	7
63	0	66	0	19939	0	20094	2018-06-09 14:02:49	40063	1528524169366	8
52	0	43	0	19837	0	20058	2018-06-09 14:02:49	40052	1528524169399	9
20	0	21	0	22117	0	22114	2018-06-09 14:02:49	40020	1528524169433	10
66	0	70	0	19909	0	19664	2018-06-09 14:02:49	40066	1528524169466	11
48	0	52	0	20237	0	19837	2018-06-09 14:02:49	40048	1528524169499	12
64	0	63	0	19967	0	19963	2018-06-09 14:02:49	40064	1528524169566	13
40	0	41	0	20469	0	20117	2018-06-09 14:02:49	40040	1528524169633	14
41	0	52	0	19936	0	19955	2018-06-09 14:02:49	40041	1528524169741	15
127	0	123	0	20117	0	20015	2018-06-09 14:02:49	40127	1528524169875	16
118	0	117	0	20549	0	20152	2018-06-09 14:02:49	40118	1528524169975	17
129	0	120	0	19969	0	20155	2018-06-09 14:02:50	40129	1528524170134	18
119	0	127	0	20367	0	20394	2018-06-09 14:02:50	40119	1528524170167	19
122	0	129	0	20430	0	20431	2018-06-09 14:02:50	40122	1528524170234	20
67	0	8	0	20072	0	21922	2018-06-09 14:02:50	40067	1528524170328	21
69	0	71	0	20993	0	21003	2018-06-09 14:02:50	40069	1528524170359	22
135	0	123	0	20492	0	20303	2018-06-09 14:02:50	40135	1528524170526	23
71	0	132	0	20886	0	21223	2018-06-09 14:02:50	40071	1528524170660	24
53	0	50	0	20445	0	20433	2018-06-09 14:02:50	40053	1528524170726	25
139	0	122	0	20527	0	20517	2018-06-09 14:02:50	40139	1528524170827	26
44	0	43	0	19684	0	19912	2018-06-09 14:02:50	40044	1528524170927	27
124	0	132	0	21032	0	21216	2018-06-09 14:02:50	40124	1528524170960	28
24	0	41	0	21103	0	20146	2018-06-09 14:02:50	40024	1528524170994	29
121	0	119	0	20401	0	20470	2018-06-09 14:02:51	40121	1528524171027	30
132	0	139	0	21045	0	20831	2018-06-09 14:02:51	40132	1528524171094	31
77	0	41	0	20574	0	20261	2018-06-09 14:02:51	40077	1528524171127	32
47	0	43	0	19968	0	19991	2018-06-09 14:02:51	40047	1528524171160	33
115	0	120	0	20487	0	20282	2018-06-09 14:02:51	40115	1528524171194	34
75	0	69	0	21520	0	21374	2018-06-09 14:02:51	40075	1528524171477	35
43	0	38	0	19912	0	20319	2018-06-09 14:02:51	40043	1528524171920	36
13	1	3	0	41305	0	41086	2018-06-09 14:03:08	40013	1528524188157	37
11	1	3	0	41273	0	41086	2018-06-09 14:03:08	40011	1528524188186	38
17	1	3	0	41277	0	41070	2018-06-09 14:03:08	40017	1528524188253	39
56	4608	16736	0	39364	0	0	2018-06-09 14:03:08	40056	1528524188287	40
32	4608	56	0	40117	0	39417	2018-06-09 14:03:08	40032	1528524188320	41
80	1	17	0	39419	0	41448	2018-06-09 14:03:08	40080	1528524188353	42
10	1	17	0	41410	0	41481	2018-06-09 14:03:08	40010	1528524188387	43
12	1	10	0	41432	0	41448	2018-06-09 14:03:08	40012	1528524188453	44
44	4608	47	0	39582	0	39787	2018-06-09 14:03:08	40044	1528524188487	45
37	4608	56	0	40098	0	39364	2018-06-09 14:03:08	40037	1528524188520	46
48	4608	47	0	39976	0	39787	2018-06-09 14:03:08	40048	1528524188554	47
41	4608	47	0	39556	0	39772	2018-06-09 14:03:08	40041	1528524188587	48
26	4608	37	0	40344	0	40232	2018-06-09 14:03:08	40026	1528524188620	49
78	1	70	0	39748	0	39693	2018-06-09 14:03:08	40078	1528524188654	50
70	1	10	0	39693	0	41668	2018-06-09 14:03:08	40070	1528524188687	51
64	1	63	0	39879	0	39876	2018-06-09 14:03:08	40064	1528524188755	52
131	1	120	0	39982	0	40201	2018-06-09 14:03:08	40131	1528524188822	53
119	1	120	0	40184	0	40298	2018-06-09 14:03:08	40119	1528524188855	54
121	1	119	0	40139	0	40207	2018-06-09 14:03:08	40121	1528524188889	55
