seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	40981	2018-06-09 14:03:08	40003	1528524188045	1
2	0	61461	2018-06-09 14:03:28	40003	1528524208051	2
3	1	16405	2018-06-09 14:03:48	40003	1528524228041	3
4	1	36885	2018-06-09 14:04:12	40003	1528524252253	4
5	1	57368	2018-06-09 14:04:28	40003	1528524268072	5
6	2	12309	2018-06-09 14:04:48	40003	1528524288042	6
7	2	32790	2018-06-09 14:05:09	40003	1528524309371	7
8	3	8213	2018-06-09 14:05:48	40003	1528524348042	8
9	3	28693	2018-06-09 14:06:12	40003	1528524372258	9
10	3	49173	2018-06-09 14:06:28	40003	1528524388044	10
11	4	4117	2018-06-09 14:06:48	40003	1528524408039	11
12	4	45077	2018-06-09 14:07:28	40003	1528524448041	12
13	5	21	2018-06-09 14:07:48	40003	1528524468039	13
14	5	20501	2018-06-09 14:08:10	40003	1528524490332	14
15	5	40981	2018-06-09 14:08:28	40003	1528524508132	15
16	5	61461	2018-06-09 14:08:48	40003	1528524528036	16
17	6	16405	2018-06-09 14:09:13	40003	1528524553697	17
18	6	36885	2018-06-09 14:09:28	40003	1528524568234	18
19	6	57365	2018-06-09 14:09:48	40003	1528524588036	19
20	7	12309	2018-06-09 14:10:13	40003	1528524613488	20
21	7	32789	2018-06-09 14:10:31	40003	1528524631014	21
22	7	53269	2018-06-09 14:10:48	40003	1528524648033	22
23	8	8213	2018-06-09 14:11:08	40003	1528524668186	23
24	8	28693	2018-06-09 14:11:28	40003	1528524688074	24
25	8	49173	2018-06-09 14:11:48	40003	1528524708033	25
26	9	4117	2018-06-09 14:12:12	40003	1528524732493	26
27	9	24597	2018-06-09 14:12:28	40003	1528524748070	27
28	9	45077	2018-06-09 14:12:48	40003	1528524768034	28
29	10	21	2018-06-09 14:13:08	40003	1528524788030	29
30	10	20501	2018-06-09 14:13:28	40003	1528524808068	30
31	10	40981	2018-06-09 14:13:48	40003	1528524828127	31
32	10	61461	2018-06-09 14:14:12	40003	1528524852580	32
33	11	16405	2018-06-09 14:14:28	40003	1528524868274	33
34	11	36885	2018-06-09 14:14:48	40003	1528524888031	34
35	11	57365	2018-06-09 14:15:12	40003	1528524912885	35
36	12	12309	2018-06-09 14:15:28	40003	1528524928080	36
