nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	0	61463	0	2936	2018-06-09 15:12:51	40003	1528528371757	1
20	0	61461	0	2460	2018-06-09 15:12:51	40020	1528528371797	2
17	0	61461	0	4552	2018-06-09 15:12:51	40017	1528528371832	3
12	0	61461	0	4006	2018-06-09 15:12:51	40012	1528528371932	4
13	0	61461	0	3588	2018-06-09 15:12:52	40013	1528528372036	5
21	0	61461	0	4115	2018-06-09 15:12:52	40021	1528528372133	6
8	0	61461	0	2742	2018-06-09 15:12:52	40008	1528528372784	7
11	0	61461	0	4005	2018-06-09 15:12:52	40011	1528528372984	8
38	0	61461	0	4358	2018-06-09 15:12:53	40038	1528528373285	9
26	0	61461	0	3616	2018-06-09 15:12:53	40026	1528528373418	10
16	0	61461	0	2362	2018-06-09 15:12:53	40016	1528528373652	11
132	0	61461	0	4572	2018-06-09 15:12:53	40132	1528528373944	12
121	0	61461	0	4782	2018-06-09 15:12:54	40121	1528528374069	13
69	0	61461	0	4120	2018-06-09 15:12:54	40069	1528528374103	14
37	0	61461	0	4244	2018-06-09 15:12:54	40037	1528528374151	15
115	0	61461	0	1523	2018-06-09 15:12:54	40115	1528528374320	16
120	0	61461	0	3132	2018-06-09 15:12:54	40120	1528528374361	17
78	0	61461	0	3134	2018-06-09 15:12:54	40078	1528528374737	18
32	0	61461	0	2861	2018-06-09 15:12:54	40032	1528528374820	19
77	0	61461	0	40542	2018-06-09 15:12:54	40077	1528528374945	20
64	0	61461	0	3292	2018-06-09 15:12:55	40064	1528528375087	21
47	0	61461	0	3354	2018-06-09 15:12:55	40047	1528528375187	22
71	0	61461	0	4035	2018-06-09 15:12:55	40071	1528528375283	23
10	0	61461	0	4047	2018-06-09 15:12:55	40010	1528528375314	24
52	0	61461	0	3271	2018-06-09 15:12:55	40052	1528528375347	25
41	0	61461	0	3283	2018-06-09 15:12:55	40041	1528528375414	26
50	0	61461	0	3946	2018-06-09 15:12:55	40050	1528528375547	27
33	0	61461	0	3344	2018-06-09 15:12:55	40033	1528528375648	28
124	0	61461	0	4783	2018-06-09 15:12:55	40124	1528528375681	29
24	0	61461	0	2819	2018-06-09 15:12:55	40024	1528528375848	30
76	0	61461	0	1359	2018-06-09 15:12:55	40076	1528528375881	31
43	0	61461	0	3399	2018-06-09 15:12:56	40043	1528528376082	32
48	0	61461	0	4608	2018-06-09 15:12:56	40048	1528528376115	33
66	0	61461	0	3324	2018-06-09 15:12:56	40066	1528528376215	34
122	0	61461	0	3431	2018-06-09 15:12:56	40122	1528528376249	35
123	0	61461	0	3643	2018-06-09 15:12:56	40123	1528528376282	36
40	0	61461	0	1236	2018-06-09 15:12:56	40040	1528528376374	37
139	0	61461	0	4402	2018-06-09 15:12:56	40139	1528528376407	38
72	0	61461	0	4155	2018-06-09 15:12:56	40072	1528528376441	39
75	0	61461	0	2494	2018-06-09 15:12:56	40075	1528528376532	40
