nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
12	0	0	20366	2018-06-09 15:12:12	40012	1528528332336	1
10	0	0	20356	2018-06-09 15:12:12	40010	1528528332488	2
11	0	0	20409	2018-06-09 15:12:12	40011	1528528332578	3
80	0	0	18794	2018-06-09 15:12:12	40080	1528528332679	4
33	0	0	19396	2018-06-09 15:12:12	40033	1528528332745	5
17	0	0	20851	2018-06-09 15:12:12	40017	1528528332954	6
8	0	0	20460	2018-06-09 15:12:13	40008	1528528333012	7
21	0	0	20890	2018-06-09 15:12:13	40021	1528528333239	8
37	0	0	19481	2018-06-09 15:12:13	40037	1528528333456	9
67	0	0	18908	2018-06-09 15:12:13	40067	1528528333498	10
117	0	0	19510	2018-06-09 15:12:13	40117	1528528333581	11
48	0	0	19307	2018-06-09 15:12:13	40048	1528528333656	12
43	0	0	19489	2018-06-09 15:12:13	40043	1528528333756	13
63	0	0	19408	2018-06-09 15:12:13	40063	1528528333823	14
32	0	0	20497	2018-06-09 15:12:13	40032	1528528333861	15
40	0	0	19471	2018-06-09 15:12:13	40040	1528528333890	16
47	0	0	19432	2018-06-09 15:12:13	40047	1528528333923	17
119	0	0	19874	2018-06-09 15:12:13	40119	1528528333990	18
132	0	0	19893	2018-06-09 15:12:14	40132	1528528334023	19
127	0	0	20150	2018-06-09 15:12:14	40127	1528528334057	20
64	0	0	18877	2018-06-09 15:12:14	40064	1528528334157	21
120	0	0	19539	2018-06-09 15:12:14	40120	1528528334224	22
115	0	0	19474	2018-06-09 15:12:14	40115	1528528334291	23
139	0	0	19716	2018-06-09 15:12:14	40139	1528528334324	24
123	0	0	19454	2018-06-09 15:12:14	40123	1528528334391	25
56	0	0	18458	2018-06-09 15:12:14	40056	1528528334424	26
129	0	0	19946	2018-06-09 15:12:14	40129	1528528334483	27
39	0	0	19617	2018-06-09 15:12:14	40039	1528528334516	28
52	0	0	19415	2018-06-09 15:12:14	40052	1528528334549	29
44	0	0	19807	2018-06-09 15:12:14	40044	1528528334683	30
121	0	0	19990	2018-06-09 15:12:14	40121	1528528334783	31
20	0	0	21661	2018-06-09 15:12:14	40020	1528528334816	32
66	0	0	19412	2018-06-09 15:12:14	40066	1528528334883	33
9	0	0	20975	2018-06-09 15:12:14	40009	1528528334950	34
118	0	0	19998	2018-06-09 15:12:14	40118	1528528334983	35
122	0	0	20468	2018-06-09 15:12:15	40122	1528528335017	36
26	0	0	20024	2018-06-09 15:12:15	40026	1528528335050	37
38	0	0	19750	2018-06-09 15:12:15	40038	1528528335083	38
24	0	0	20478	2018-06-09 15:12:15	40024	1528528335117	39
13	0	0	20524	2018-06-09 15:12:15	40013	1528528335184	40
