seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	40981	2018-06-10 18:48:22	40003	1528627702645	1
2	0	61461	2018-06-10 18:48:42	40003	1528627722835	2
3	1	16405	2018-06-10 18:49:02	40003	1528627742646	3
4	1	36885	2018-06-10 18:49:22	40003	1528627762646	4
5	1	57365	2018-06-10 18:49:42	40003	1528627782671	5
6	2	12309	2018-06-10 18:50:02	40003	1528627802646	6
7	2	32789	2018-06-10 18:50:22	40003	1528627822646	7
8	2	53269	2018-06-10 18:50:42	40003	1528627842667	8
9	3	8213	2018-06-10 18:51:02	40003	1528627862643	9
10	3	28693	2018-06-10 18:51:22	40003	1528627882643	10
11	3	49173	2018-06-10 18:51:42	40003	1528627902797	11
12	4	4117	2018-06-10 18:52:02	40003	1528627922643	12
13	4	24597	2018-06-10 18:52:22	40003	1528627942643	13
14	4	45077	2018-06-10 18:52:42	40003	1528627962879	14
15	5	21	2018-06-10 18:53:02	40003	1528627982642	15
16	5	20501	2018-06-10 18:53:22	40003	1528628002640	16
17	5	40981	2018-06-10 18:53:42	40003	1528628022679	17
18	5	61461	2018-06-10 18:54:02	40003	1528628042640	18
19	6	16405	2018-06-10 18:54:22	40003	1528628062640	19
20	6	36885	2018-06-10 18:54:42	40003	1528628082662	20
21	6	57365	2018-06-10 18:55:02	40003	1528628102637	21
22	7	12309	2018-06-10 18:55:22	40003	1528628122637	22
23	7	32789	2018-06-10 18:55:42	40003	1528628142658	23
24	7	53269	2018-06-10 18:56:02	40003	1528628162637	24
25	8	8213	2018-06-10 18:56:22	40003	1528628182637	25
26	8	28693	2018-06-10 18:56:42	40003	1528628202658	26
27	8	49179	2018-06-10 18:57:02	40003	1528628222642	27
28	9	4117	2018-06-10 18:57:22	40003	1528628242636	28
29	9	24597	2018-06-10 18:57:42	40003	1528628262761	29
30	9	45077	2018-06-10 18:58:02	40003	1528628282634	30
31	10	21	2018-06-10 18:58:22	40003	1528628302634	31
32	10	20501	2018-06-10 18:58:42	40003	1528628322757	32
33	10	40981	2018-06-10 18:59:02	40003	1528628342635	33
34	10	61461	2018-06-10 18:59:22	40003	1528628362631	34
35	11	16405	2018-06-10 18:59:42	40003	1528628382694	35
36	11	36893	2018-06-10 19:00:02	40003	1528628402639	36
37	11	57365	2018-06-10 19:00:22	40003	1528628422631	37
38	12	12309	2018-06-10 19:00:42	40003	1528628442665	38
