nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
20	0	21	0	20460	0	20604	2018-06-10 20:07:05	40020	1528632425865	1
13	0	3	0	20856	0	20826	2018-06-10 20:07:05	40013	1528632425927	2
37	0	13	0	19425	0	20936	2018-06-10 20:07:05	40037	1528632425985	3
38	0	37	0	19443	0	19425	2018-06-10 20:07:06	40038	1528632426043	4
26	0	37	0	19517	0	19490	2018-06-10 20:07:06	40026	1528632426081	5
80	0	10	0	18766	0	20730	2018-06-10 20:07:06	40080	1528632426110	6
70	0	80	0	18781	0	18766	2018-06-10 20:07:06	40070	1528632426177	7
16	0	20	0	20941	0	20831	2018-06-10 20:07:06	40016	1528632426244	8
41	0	63	0	18432	0	18936	2018-06-10 20:07:06	40041	1528632426277	9
63	0	70	0	18904	0	18898	2018-06-10 20:07:06	40063	1528632426310	10
8	0	13	0	20985	0	21198	2018-06-10 20:07:06	40008	1528632426352	11
120	0	70	0	19057	0	19075	2018-06-10 20:07:06	40120	1528632426394	12
129	0	64	0	18948	0	19079	2018-06-10 20:07:06	40129	1528632426477	13
118	0	115	0	18981	0	18963	2018-06-10 20:07:06	40118	1528632426519	14
48	0	41	0	18769	0	18733	2018-06-10 20:07:06	40048	1528632426608	15
78	0	70	0	18905	0	18910	2018-06-10 20:07:06	40078	1528632426644	16
115	0	129	0	18929	0	18985	2018-06-10 20:07:06	40115	1528632426686	17
119	0	121	0	19497	0	19186	2018-06-10 20:07:06	40119	1528632426727	18
67	0	8	0	19501	0	21271	2018-06-10 20:07:06	40067	1528632426769	19
39	0	37	0	19948	0	19871	2018-06-10 20:07:06	40039	1528632426811	20
127	0	119	0	19304	0	19559	2018-06-10 20:07:06	40127	1528632426895	21
53	0	50	0	18864	0	19077	2018-06-10 20:07:06	40053	1528632426961	22
44	0	38	0	18371	0	19643	2018-06-10 20:07:07	40044	1528632427037	23
47	0	56	0	18965	0	18975	2018-06-10 20:07:07	40047	1528632427171	24
32	0	56	0	20439	0	19185	2018-06-10 20:07:07	40032	1528632427238	25
66	0	70	0	18897	0	18910	2018-06-10 20:07:07	40066	1528632427338	26
77	0	50	0	19553	0	19218	2018-06-10 20:07:07	40077	1528632427371	27
131	0	120	0	19200	0	19365	2018-06-10 20:07:07	40131	1528632427405	28
124	0	122	0	19991	0	19833	2018-06-10 20:07:07	40124	1528632427505	29
40	0	41	0	18981	0	18944	2018-06-10 20:07:07	40040	1528632427538	30
33	0	37	0	19973	0	19760	2018-06-10 20:07:07	40033	1528632427680	31
132	0	122	0	19573	0	19565	2018-06-10 20:07:07	40132	1528632427814	32
24	0	41	0	19918	0	18595	2018-06-10 20:07:07	40024	1528632427847	33
64	0	70	0	18937	0	18910	2018-06-10 20:07:07	40064	1528632427881	34
50	0	41	0	19019	0	18797	2018-06-10 20:07:07	40050	1528632427914	35
72	0	70	0	18925	0	18825	2018-06-10 20:07:07	40072	1528632427947	36
121	0	120	0	18921	0	19118	2018-06-10 20:07:07	40121	1528632427981	37
139	0	122	0	19869	0	19863	2018-06-10 20:07:08	40139	1528632428181	38
122	0	129	0	19446	0	19423	2018-06-10 20:07:08	40122	1528632428239	39
123	0	64	0	18944	0	19079	2018-06-10 20:07:08	40123	1528632428465	40
135	0	117	0	19630	0	19692	2018-06-10 20:07:08	40135	1528632428498	41
43	0	50	0	18889	0	19040	2018-06-10 20:07:08	40043	1528632428732	42
9	0	13	0	20976	0	21370	2018-06-10 20:07:08	40009	1528632428765	43
117	0	118	0	19614	0	19457	2018-06-10 20:07:08	40117	1528632428832	44
52	0	41	0	18939	0	18935	2018-06-10 20:07:08	40052	1528632428899	45
56	0	41	0	18932	0	18902	2018-06-10 20:07:09	40056	1528632429066	46
77	26980	11316	0	37244	13356	27692	2018-06-10 20:07:24	40077	1528632444093	47
52	26980	43	0	36730	0	36781	2018-06-10 20:07:24	40052	1528632444166	48
64	26980	66	0	37328	0	37279	2018-06-10 20:07:24	40064	1528632444199	49
41	26980	43	0	36817	0	36860	2018-06-10 20:07:24	40041	1528632444233	50
135	26980	64	0	37229	0	37351	2018-06-10 20:07:24	40135	1528632444266	51
129	26980	135	0	37299	0	37309	2018-06-10 20:07:24	40129	1528632444299	52
50	26980	77	0	37202	0	37521	2018-06-10 20:07:24	40050	1528632444366	53
48	26980	43	0	36988	0	37007	2018-06-10 20:07:24	40048	1528632444400	54
121	26980	117	0	37323	0	37515	2018-06-10 20:07:24	40121	1528632444433	55
139	26980	129	0	37463	0	37450	2018-06-10 20:07:24	40139	1528632444466	56
117	26980	135	0	37469	0	37391	2018-06-10 20:07:24	40117	1528632444500	57
70	26980	64	0	37635	0	37645	2018-06-10 20:07:24	40070	1528632444533	58
115	26980	135	0	37362	0	37439	2018-06-10 20:07:24	40115	1528632444567	59
44	26980	43	0	37221	0	37265	2018-06-10 20:07:24	40044	1528632444600	60
63	26980	64	0	37746	0	37762	2018-06-10 20:07:24	40063	1528632444633	61
40	26980	77	0	36809	0	37313	2018-06-10 20:07:24	40040	1528632444667	62
118	26980	117	0	37465	0	37606	2018-06-10 20:07:24	40118	1528632444700	63
119	26980	117	0	37941	0	37833	2018-06-10 20:07:24	40119	1528632444734	64
66	26980	77	0	37279	0	37313	2018-06-10 20:07:24	40066	1528632444792	65
53	26980	40	0	37191	0	37225	2018-06-10 20:07:24	40053	1528632444826	66
39	26980	50	0	38814	0	37670	2018-06-10 20:07:24	40039	1528632444859	67
9	26980	8	0	39841	0	40016	2018-06-10 20:07:24	40009	1528632444892	68
37	26980	38	0	38839	0	38834	2018-06-10 20:07:24	40037	1528632444926	69
32	26980	33	0	38745	0	38962	2018-06-10 20:07:25	40032	1528632445017	70
17	26980	80	0	40235	0	38098	2018-06-10 20:07:25	40017	1528632445051	71
78	26980	70	0	37803	0	37814	2018-06-10 20:07:25	40078	1528632445159	72
20	26980	11	0	40264	0	40540	2018-06-10 20:07:25	40020	1528632445284	73
71	26980	69	0	38513	0	38618	2018-06-10 20:07:25	40071	1528632445393	74
127	26980	131	0	37642	0	37633	2018-06-10 20:07:25	40127	1528632445518	75
132	26980	139	0	37739	0	37731	2018-06-10 20:07:25	40132	1528632445560	76
16	26980	20	0	40799	0	40694	2018-06-10 20:07:25	40016	1528632445602	77
47	26980	41	0	36878	0	36875	2018-06-10 20:07:25	40047	1528632445643	78
56	26980	41	0	37306	0	37282	2018-06-10 20:07:25	40056	1528632445727	79
10	26980	70	0	39691	0	37708	2018-06-10 20:07:25	40010	1528632445771	80
3	26980	10	0	40051	0	39758	2018-06-10 20:07:25	40003	1528632445810	81
8	26980	3	0	39865	0	40064	2018-06-10 20:07:25	40008	1528632445977	82
