addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	7	8	10	11	12	13	17	21	0	0	0	0	0	0	0	4	10	5	10	5	10	7	0	0	0	0	0	0	0	2018-06-10 20:47:11	40003	1528634831911	1
12	5	3	10	17	21	80	0	0	0	0	0	0	0	0	0	10	10	7	8	9	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:11	40012	1528634831965	2
16	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:12	40016	1528634832018	3
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	9	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:12	40008	1528634832078	4
10	6	3	12	17	21	70	80	0	0	0	0	0	0	0	0	8	9	7	7	7	9	0	0	0	0	0	0	0	0	2018-06-10 20:47:12	40010	1528634832314	5
11	4	3	13	16	20	0	0	0	0	0	0	0	0	0	0	8	8	4	8	0	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:12	40011	1528634832349	6
17	5	3	10	12	21	80	0	0	0	0	0	0	0	0	0	8	10	9	10	9	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:12	40017	1528634832382	7
13	9	3	8	9	11	21	26	33	37	67	0	0	0	0	0	5	7	7	6	9	1	7	10	6	0	0	0	0	0	2018-06-10 20:47:12	40013	1528634832416	8
9	3	8	13	67	0	0	0	0	0	0	0	0	0	0	0	10	10	10	0	0	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:12	40009	1528634832449	9
20	3	11	16	21	0	0	0	0	0	0	0	0	0	0	0	5	10	8	0	0	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:12	40020	1528634832483	10
21	6	3	10	12	13	17	20	0	0	0	0	0	0	0	0	3	3	3	6	9	6	0	0	0	0	0	0	0	0	2018-06-10 20:47:12	40021	1528634832516	11
24	7	32	33	41	43	44	52	56	0	0	0	0	0	0	0	10	1	10	3	10	7	7	0	0	0	0	0	0	0	2018-06-10 20:47:13	40024	1528634833284	12
26	3	13	37	38	0	0	0	0	0	0	0	0	0	0	0	9	10	2	0	0	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:13	40026	1528634833437	13
32	3	33	52	56	0	0	0	0	0	0	0	0	0	0	0	10	9	10	0	0	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:13	40032	1528634833478	14
33	5	13	32	37	38	56	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:13	40033	1528634833551	15
37	6	13	26	33	38	39	56	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	0	0	0	0	0	0	0	2018-06-10 20:47:13	40037	1528634833583	16
39	4	37	38	44	50	0	0	0	0	0	0	0	0	0	0	10	10	5	10	0	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:13	40039	1528634833616	17
38	7	33	37	39	41	43	44	50	0	0	0	0	0	0	0	4	10	10	6	10	10	10	0	0	0	0	0	0	0	2018-06-10 20:47:13	40038	1528634833649	18
64	9	8	63	66	67	70	123	129	131	135	0	0	0	0	0	10	10	10	10	10	10	10	10	9	0	0	0	0	0	2018-06-10 20:47:13	40064	1528634833761	19
63	9	40	41	43	50	52	64	66	70	129	0	0	0	0	0	9	7	10	10	3	10	10	10	7	0	0	0	0	0	2018-06-10 20:47:13	40063	1528634833801	20
48	5	40	41	43	47	52	0	0	0	0	0	0	0	0	0	7	9	8	9	9	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:13	40048	1528634833858	21
52	9	32	40	41	43	47	48	50	56	63	0	0	0	0	0	10	10	10	10	10	10	10	9	2	0	0	0	0	0	2018-06-10 20:47:13	40052	1528634833891	22
50	10	38	39	40	41	43	44	52	53	63	77	0	0	0	0	9	8	9	9	10	6	8	10	9	9	0	0	0	0	2018-06-10 20:47:13	40050	1528634833925	23
66	6	63	64	67	70	77	139	0	0	0	0	0	0	0	0	10	10	7	10	10	10	0	0	0	0	0	0	0	0	2018-06-10 20:47:13	40066	1528634833958	24
124	5	71	118	122	132	139	0	0	0	0	0	0	0	0	0	4	6	7	10	7	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:13	40124	1528634833993	25
40	11	41	43	44	47	48	50	52	53	56	63	77	0	0	0	10	10	10	10	10	10	10	10	5	8	10	0	0	0	2018-06-10 20:47:14	40040	1528634834051	26
53	4	40	41	50	77	0	0	0	0	0	0	0	0	0	0	9	9	7	8	0	0	0	0	0	0	0	0	0	0	2018-06-10 20:47:14	40053	1528634834084	27
121	9	80	115	117	118	119	120	123	127	129	0	0	0	0	0	8	10	10	10	10	9	9	9	7	0	0	0	0	0	2018-06-10 20:47:14	40121	1528634834118	28
122	6	115	124	129	131	132	139	0	0	0	0	0	0	0	0	4	10	10	1	10	10	0	0	0	0	0	0	0	0	2018-06-10 20:47:14	40122	1528634834151	29
118	13	70	115	117	119	120	121	122	123	124	129	131	135	139	0	2	10	10	9	10	9	6	10	10	10	10	10	10	0	2018-06-10 20:47:14	40118	1528634834185	30
139	6	66	118	122	124	129	132	0	0	0	0	0	0	0	0	10	7	10	7	7	10	0	0	0	0	0	0	0	0	2018-06-10 20:47:14	40139	1528634834218	31
