id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	33	0	3	0	5	1	2018-06-10 20:54:43	40003	1528635283093	1
8	25	33	3	11	3	1	2018-06-10 20:54:55	40008	1528635295205	2
11	62	33	3	12	0	0	2018-06-10 20:54:56	40011	1528635296445	3
10	111	33	3	12	0	0	2018-06-10 20:55:04	40010	1528635304470	4
17	55	33	3	12	1	1	2018-06-10 20:55:10	40017	1528635310534	5
12	62	33	3	10	1	1	2018-06-10 20:55:13	40012	1528635313106	6
63	37	73	64	31	3	1	2018-06-10 20:55:18	40063	1528635318901	7
119	25	107	117	42	0	0	2018-06-10 20:55:19	40119	1528635319486	8
64	15	58	8	21	7	1	2018-06-10 20:55:19	40064	1528635319917	9
117	18	89	67	32	1	1	2018-06-10 20:55:20	40117	1528635320553	10
9	100	58	8	21	0	0	2018-06-10 20:55:21	40009	1528635321575	11
20	100	89	21	35	1	1	2018-06-10 20:55:22	40020	1528635322618	12
80	125	95	12	21	0	0	2018-06-10 20:55:23	40080	1528635323396	13
121	62	93	123	43	0	0	2018-06-10 20:55:25	40121	1528635325101	14
66	50	73	64	31	2	1	2018-06-10 20:55:26	40066	1528635326104	15
13	100	89	21	34	1	1	2018-06-10 20:55:26	40013	1528635326518	16
70	50	73	64	32	3	1	2018-06-10 20:55:26	40070	1528635326685	17
115	55	90	129	42	0	0	2018-06-10 20:55:27	40115	1528635327158	18
120	37	90	129	42	0	0	2018-06-10 20:55:30	40120	1528635330429	19
139	100	123	66	41	1	1	2018-06-10 20:55:31	40139	1528635331106	20
44	100	124	40	54	0	0	2018-06-10 20:55:31	40044	1528635331496	21
21	1	88	17	23	2	1	2018-06-10 20:55:32	40021	1528635332646	22
16	1	189	20	47	0	0	2018-06-10 20:55:33	40016	1528635333186	23
135	25	73	64	32	0	0	2018-06-10 20:55:36	40135	1528635336437	24
118	27	90	129	42	0	0	2018-06-10 20:55:38	40118	1528635338024	25
67	31	58	8	21	1	1	2018-06-10 20:55:38	40067	1528635338640	26
50	20	110	63	42	1	1	2018-06-10 20:55:38	40050	1528635338978	27
39	100	130	50	52	0	0	2018-06-10 20:55:39	40039	1528635339682	28
38	50	128	43	52	2	1	2018-06-10 20:55:40	40038	1528635340689	29
32	100	161	52	64	0	0	2018-06-10 20:55:41	40032	1528635341618	30
40	14	110	63	43	5	1	2018-06-10 20:55:42	40040	1528635342120	31
56	55	161	52	65	0	0	2018-06-10 20:55:42	40056	1528635342391	32
72	100	123	70	42	0	0	2018-06-10 20:55:42	40072	1528635342622	33
43	18	110	63	42	2	1	2018-06-10 20:55:43	40043	1528635343470	34
37	100	178	38	62	0	0	2018-06-10 20:55:43	40037	1528635343648	35
33	100	178	38	62	0	0	2018-06-10 20:55:45	40033	1528635345684	36
26	1	189	13	45	0	0	2018-06-10 20:55:46	40026	1528635346593	37
53	111	124	40	54	0	0	2018-06-10 20:55:47	40053	1528635347080	38
129	17	73	64	32	4	1	2018-06-10 20:55:47	40129	1528635347482	39
127	100	93	123	42	0	0	2018-06-10 20:55:47	40127	1528635347559	40
48	111	128	43	54	0	0	2018-06-10 20:55:49	40048	1528635349015	41
122	33	90	129	42	0	0	2018-06-10 20:55:49	40122	1528635349078	42
24	100	179	41	63	0	0	2018-06-10 20:55:49	40024	1528635349395	43
69	50	123	70	44	2	1	2018-06-10 20:55:49	40069	1528635349690	44
47	55	124	40	53	0	0	2018-06-10 20:55:50	40047	1528635350496	45
41	55	124	40	53	0	0	2018-06-10 20:55:52	40041	1528635352507	46
52	37	124	40	53	2	1	2018-06-10 20:55:53	40052	1528635353004	47
131	20	73	64	32	0	0	2018-06-10 20:55:53	40131	1528635353276	48
77	111	123	66	43	0	0	2018-06-10 20:55:53	40077	1528635353633	49
124	1	323	132	61	0	0	2018-06-10 20:55:54	40124	1528635354079	50
132	100	223	139	51	1	1	2018-06-10 20:55:57	40132	1528635357106	51
71	125	173	69	55	0	0	2018-06-10 20:55:57	40071	1528635357587	52
78	100	123	70	42	0	0	2018-06-10 20:55:59	40078	1528635359353	53
123	20	73	64	32	2	1	2018-06-10 20:56:01	40123	1528635361506	54
75	100	173	69	55	0	0	2018-06-10 20:56:20	40075	1528635380628	55
