nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
21	0	61461	0	3764	2018-06-09 15:54:59	40021	1528530899198	1
13	0	61461	0	3579	2018-06-09 15:54:59	40013	1528530899264	2
11	0	61461	0	3622	2018-06-09 15:54:59	40011	1528530899394	3
16	0	61461	0	1526	2018-06-09 15:54:59	40016	1528530899456	4
10	0	61461	0	2708	2018-06-09 15:54:59	40010	1528530899598	5
12	0	61461	0	3541	2018-06-09 15:54:59	40012	1528530899664	6
8	0	61461	0	2861	2018-06-09 15:54:59	40008	1528530899706	7
3	0	61463	0	3109	2018-06-09 15:54:59	40003	1528530899782	8
9	0	61461	0	2682	2018-06-09 15:54:59	40009	1528530899816	9
17	0	61461	0	3622	2018-06-09 15:54:59	40017	1528530899849	10
20	0	61461	0	1573	2018-06-09 15:54:59	40020	1528530899882	11
43	0	61461	0	2798	2018-06-09 15:55:00	40043	1528530900283	12
77	0	61461	0	3658	2018-06-09 15:55:00	40077	1528530900399	13
24	0	61461	0	1602	2018-06-09 15:55:00	40024	1528530900533	14
26	0	61461	0	4781	2018-06-09 15:55:00	40026	1528530900607	15
33	0	61461	0	2656	2018-06-09 15:55:00	40033	1528530900667	16
32	0	61461	0	581	2018-06-09 15:55:00	40032	1528530900733	17
37	0	61461	0	2970	2018-06-09 15:55:00	40037	1528530900800	18
117	0	61461	0	2895	2018-06-09 15:55:00	40117	1528530900900	19
118	0	61461	0	2821	2018-06-09 15:55:00	40118	1528530900967	20
121	0	61461	0	3377	2018-06-09 15:55:01	40121	1528530901034	21
115	0	61461	0	638	2018-06-09 15:55:01	40115	1528530901067	22
39	0	61461	0	2906	2018-06-09 15:55:01	40039	1528530901100	23
80	0	61461	0	1733	2018-06-09 15:55:01	40080	1528530901134	24
135	0	61461	0	1167	2018-06-09 15:55:01	40135	1528530901201	25
119	0	61461	0	3223	2018-06-09 15:55:01	40119	1528530901301	26
131	0	61461	0	2741	2018-06-09 15:55:01	40131	1528530901334	27
69	0	61461	0	2635	2018-06-09 15:55:01	40069	1528530901401	28
38	0	61461	0	2971	2018-06-09 15:55:01	40038	1528530901468	29
75	0	61461	0	1459	2018-06-09 15:55:01	40075	1528530901501	30
56	0	61461	0	2791	2018-06-09 15:55:01	40056	1528530901535	31
40	0	61461	0	790	2018-06-09 15:55:01	40040	1528530901568	32
132	0	61461	0	3542	2018-06-09 15:55:01	40132	1528530901735	33
48	0	61461	0	3489	2018-06-09 15:55:01	40048	1528530901768	34
63	0	61461	0	3188	2018-06-09 15:55:01	40063	1528530901802	35
122	0	61461	0	2702	2018-06-09 15:55:01	40122	1528530901835	36
41	0	61461	0	2808	2018-06-09 15:55:01	40041	1528530901869	37
52	0	61461	0	2972	2018-06-09 15:55:01	40052	1528530901960	38
44	0	61461	0	3254	2018-06-09 15:55:01	40044	1528530901994	39
71	0	61461	0	3684	2018-06-09 15:55:02	40071	1528530902152	40
124	0	61461	0	3635	2018-06-09 15:55:02	40124	1528530902253	41
72	0	61461	0	3559	2018-06-09 15:55:02	40072	1528530902321	42
127	0	61461	0	3225	2018-06-09 15:55:02	40127	1528530902386	43
78	0	61461	0	2686	2018-06-09 15:55:02	40078	1528530902419	44
123	0	61461	0	2906	2018-06-09 15:55:02	40123	1528530902486	45
64	0	61461	0	2659	2018-06-09 15:55:02	40064	1528530902620	46
66	0	61461	0	2694	2018-06-09 15:55:02	40066	1528530902787	47
129	0	61461	0	2760	2018-06-09 15:55:02	40129	1528530902962	48
47	0	61461	0	2811	2018-06-09 15:55:03	40047	1528530903154	49
139	0	61461	0	3425	2018-06-09 15:55:03	40139	1528530903212	50
53	0	61461	0	573	2018-06-09 15:55:04	40053	1528530904072	51
120	0	61461	0	2799	2018-06-09 15:55:04	40120	1528530904272	52
70	0	61461	0	3759	2018-06-09 15:55:04	40070	1528530904439	53
76	0	61461	0	667	2018-06-09 15:55:05	40076	1528530905073	54
67	0	61461	0	2710	2018-06-09 15:55:05	40067	1528530905107	55
50	0	61461	0	3051	2018-06-09 15:55:05	40050	1528530905210	56
21	1	57365	0	11759	2018-06-09 15:55:59	40021	1528530959194	57
13	1	57365	0	11328	2018-06-09 15:55:59	40013	1528530959259	58
16	1	57365	0	2937	2018-06-09 15:55:59	40016	1528530959378	59
11	1	57365	0	7256	2018-06-09 15:55:59	40011	1528530959409	60
10	1	57365	0	10286	2018-06-09 15:55:59	40010	1528530959594	61
12	1	57365	0	11167	2018-06-09 15:55:59	40012	1528530959651	62
8	1	57365	0	9826	2018-06-09 15:55:59	40008	1528530959684	63
9	1	57365	0	9558	2018-06-09 15:55:59	40009	1528530959718	64
17	1	57365	0	11356	2018-06-09 15:55:59	40017	1528530959785	65
3	1	57367	0	10365	2018-06-09 15:55:59	40003	1528530959818	66
20	1	57365	0	3238	2018-06-09 15:55:59	40020	1528530959878	67
43	1	57365	0	10203	2018-06-09 15:56:00	40043	1528530960283	68
77	1	57365	0	11421	2018-06-09 15:56:00	40077	1528530960387	69
24	1	57365	0	8527	2018-06-09 15:56:00	40024	1528530960520	70
26	1	57365	0	13882	2018-06-09 15:56:00	40026	1528530960589	71
32	1	57365	0	2267	2018-06-09 15:56:00	40032	1528530960629	72
39	1	57365	0	9974	2018-06-09 15:56:00	40039	1528530960670	73
63	1	57365	0	10153	2018-06-09 15:56:00	40063	1528530960711	74
37	1	57365	0	10114	2018-06-09 15:56:00	40037	1528530960778	75
