seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
1	0	40981	2018-06-09 15:54:39	40003	1528530879725	1
2	0	61461	2018-06-09 15:54:59	40003	1528530899748	2
3	1	16405	2018-06-09 15:55:19	40003	1528530919932	3
4	1	36885	2018-06-09 15:55:39	40003	1528530939720	4
5	1	57365	2018-06-09 15:55:59	40003	1528530959751	5
6	2	12309	2018-06-09 15:56:19	40003	1528530979719	6
7	2	32789	2018-06-09 15:56:39	40003	1528530999719	7
8	2	53269	2018-06-09 15:56:59	40003	1528531019760	8
9	3	8213	2018-06-09 15:57:19	40003	1528531039719	9
10	3	28693	2018-06-09 15:57:39	40003	1528531059715	10
11	3	49173	2018-06-09 15:57:59	40003	1528531079724	11
12	4	4117	2018-06-09 15:58:19	40003	1528531099716	12
13	4	24597	2018-06-09 15:58:39	40003	1528531119716	13
14	4	45077	2018-06-09 15:58:59	40003	1528531139754	14
15	5	21	2018-06-09 15:59:19	40003	1528531159718	15
16	5	20501	2018-06-09 15:59:39	40003	1528531179717	16
17	5	40981	2018-06-09 15:59:59	40003	1528531199725	17
18	5	61461	2018-06-09 16:00:19	40003	1528531219725	18
19	6	16405	2018-06-09 16:00:39	40003	1528531239713	19
20	6	36885	2018-06-09 16:00:59	40003	1528531259717	20
21	6	57365	2018-06-09 16:01:19	40003	1528531279713	21
22	7	12309	2018-06-09 16:01:39	40003	1528531299713	22
23	7	32789	2018-06-09 16:01:59	40003	1528531319750	23
24	7	53269	2018-06-09 16:02:19	40003	1528531339710	24
25	8	8213	2018-06-09 16:02:39	40003	1528531359710	25
26	8	28693	2018-06-09 16:02:59	40003	1528531379796	26
27	8	49173	2018-06-09 16:03:19	40003	1528531399710	27
28	9	4117	2018-06-09 16:03:39	40003	1528531419710	28
29	9	24597	2018-06-09 16:03:59	40003	1528531439769	29
30	9	45077	2018-06-09 16:04:19	40003	1528531459711	30
31	10	21	2018-06-09 16:04:39	40003	1528531479707	31
32	10	20501	2018-06-09 16:04:59	40003	1528531499783	32
33	10	40981	2018-06-09 16:05:19	40003	1528531519707	33
34	10	61461	2018-06-09 16:05:39	40003	1528531539707	34
35	11	16405	2018-06-09 16:05:59	40003	1528531559788	35
36	11	57365	2018-06-09 16:06:39	40003	1528531599704	36
37	12	12309	2018-06-09 16:06:59	40003	1528531619735	37
