nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
50	0	63	0	19445	0	19991	2018-06-09 22:26:44	40050	1528554404547	1
43	0	41	0	20060	0	20004	2018-06-09 22:26:44	40043	1528554404610	2
52	0	41	0	19414	0	20004	2018-06-09 22:26:44	40052	1528554404666	3
75	0	69	0	19488	0	19657	2018-06-09 22:26:44	40075	1528554404757	4
32	0	33	0	20436	0	20472	2018-06-09 22:26:44	40032	1528554404792	5
135	0	117	0	19972	0	19870	2018-06-09 22:26:44	40135	1528554404826	6
20	0	21	0	21337	0	21606	2018-06-09 22:26:44	40020	1528554404895	7
121	0	119	0	19737	0	19810	2018-06-09 22:26:44	40121	1528554404967	8
39	0	37	0	20475	0	20338	2018-06-09 22:26:45	40039	1528554405009	9
26	0	37	0	20434	0	20326	2018-06-09 22:26:45	40026	1528554405092	10
24	0	41	0	20958	0	20580	2018-06-09 22:26:45	40024	1528554405176	11
53	0	50	0	20063	0	20075	2018-06-09 22:26:45	40053	1528554405510	12
40	0	43	0	20430	0	20353	2018-06-09 22:26:45	40040	1528554405551	13
115	0	118	0	20634	0	20180	2018-06-09 22:26:45	40115	1528554405802	14
132	0	139	0	20997	0	20934	2018-06-09 22:26:45	40132	1528554405868	15
48	0	47	0	19954	0	20507	2018-06-09 22:26:46	40048	1528554406069	16
44	0	43	0	20580	0	20377	2018-06-09 22:26:46	40044	1528554406236	17
139	0	122	0	20244	0	20259	2018-06-09 22:26:46	40139	1528554406536	18
77	0	43	0	19409	0	20097	2018-06-09 22:26:46	40077	1528554406703	19
122	0	129	0	19909	0	19874	2018-06-09 22:26:46	40122	1528554406770	20
124	0	122	0	20597	0	20640	2018-06-09 22:26:46	40124	1528554406870	21
118	0	117	0	20003	0	19856	2018-06-09 22:26:46	40118	1528554406970	22
53	26980	11316	0	23802	13356	27692	2018-06-09 22:26:48	40053	1528554408822	23
43	26980	11316	0	35027	13356	27692	2018-06-09 22:26:59	40043	1528554419162	24
38	26980	50	0	35283	0	34473	2018-06-09 22:26:59	40038	1528554419229	25
44	26980	43	0	35319	0	35122	2018-06-09 22:26:59	40044	1528554419262	26
41	26980	43	0	35103	0	35143	2018-06-09 22:26:59	40041	1528554419295	27
40	26980	11316	0	35097	13356	27692	2018-06-09 22:26:59	40040	1528554419362	28
50	26980	43	0	34436	0	35040	2018-06-09 22:26:59	40050	1528554419395	29
77	26980	43	0	34363	0	35057	2018-06-09 22:26:59	40077	1528554419429	30
39	26980	50	0	35667	0	34714	2018-06-09 22:26:59	40039	1528554419462	31
24	26980	41	0	35635	0	35263	2018-06-09 22:26:59	40024	1528554419496	32
63	26980	50	0	35093	0	34531	2018-06-09 22:26:59	40063	1528554419562	33
48	26980	40	0	34475	0	35151	2018-06-09 22:26:59	40048	1528554419596	34
52	26980	41	0	34620	0	35216	2018-06-09 22:26:59	40052	1528554419629	35
37	26980	38	0	35691	0	35669	2018-06-09 22:26:59	40037	1528554419663	36
47	26980	41	0	35412	0	35413	2018-06-09 22:26:59	40047	1528554419696	37
56	26980	41	0	34937	0	35519	2018-06-09 22:26:59	40056	1528554419755	38
122	26980	139	0	35105	0	35075	2018-06-09 22:26:59	40122	1528554419788	39
118	26980	122	0	35318	0	35147	2018-06-09 22:26:59	40118	1528554419821	40
70	26980	80	0	34973	0	34975	2018-06-09 22:26:59	40070	1528554419855	41
121	26980	118	0	35231	0	35416	2018-06-09 22:26:59	40121	1528554419888	42
64	26980	129	0	35636	0	35210	2018-06-09 22:26:59	40064	1528554419921	43
117	26980	129	0	35396	0	35336	2018-06-09 22:26:59	40117	1528554419980	44
119	26980	120	0	35521	0	35506	2018-06-09 22:27:00	40119	1528554420013	45
115	26980	135	0	35904	0	35406	2018-06-09 22:27:00	40115	1528554420047	46
135	26980	64	0	35406	0	35676	2018-06-09 22:27:00	40135	1528554420080	47
66	26980	77	0	35632	0	34658	2018-06-09 22:27:00	40066	1528554420113	48
13	26980	37	0	36942	0	36023	2018-06-09 22:27:00	40013	1528554420147	49
72	26980	70	0	35352	0	35323	2018-06-09 22:27:00	40072	1528554420180	50
127	26980	119	0	35683	0	35755	2018-06-09 22:27:00	40127	1528554420247	51
131	26980	135	0	35812	0	35839	2018-06-09 22:27:00	40131	1528554420280	52
9	26980	8	0	37228	0	37537	2018-06-09 22:27:00	40009	1528554420347	53
132	26980	122	0	35406	0	35374	2018-06-09 22:27:00	40132	1528554420381	54
78	26980	70	0	35098	0	34990	2018-06-09 22:27:00	40078	1528554420481	55
