nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
17	0	10	0	20504	0	20670	2018-06-11 22:06:20	40017	1528725980557	1
8	0	3	0	20944	0	20804	2018-06-11 22:06:20	40008	1528725980606	2
80	0	10	0	18880	0	20780	2018-06-11 22:06:20	40080	1528725980667	3
21	0	17	0	20720	0	20615	2018-06-11 22:06:20	40021	1528725980714	4
121	0	80	0	18876	0	18910	2018-06-11 22:06:20	40121	1528725980747	5
16	0	11	0	21133	0	20793	2018-06-11 22:06:20	40016	1528725980829	6
13	0	11	0	20837	0	20891	2018-06-11 22:06:20	40013	1528725980897	7
127	0	121	0	19154	0	19035	2018-06-11 22:06:20	40127	1528725980930	8
70	0	80	0	19404	0	19114	2018-06-11 22:06:20	40070	1528725980964	9
131	0	123	0	19811	0	19312	2018-06-11 22:06:21	40131	1528725981031	10
37	0	13	0	19879	0	20997	2018-06-11 22:06:21	40037	1528725981064	11
50	0	70	0	18715	0	19494	2018-06-11 22:06:21	40050	1528725981131	12
120	0	121	0	19387	0	19311	2018-06-11 22:06:21	40120	1528725981189	13
72	0	70	0	19424	0	19664	2018-06-11 22:06:21	40072	1528725981222	14
71	0	70	0	19914	0	19657	2018-06-11 22:06:21	40071	1528725981264	15
47	0	41	0	18981	0	18952	2018-06-11 22:06:21	40047	1528725981390	16
26	0	37	0	20453	0	20238	2018-06-11 22:06:21	40026	1528725981431	17
66	0	70	0	19200	0	19470	2018-06-11 22:06:21	40066	1528725981473	18
56	0	37	0	19265	0	20381	2018-06-11 22:06:21	40056	1528725981615	19
118	0	121	0	19509	0	19288	2018-06-11 22:06:21	40118	1528725981656	20
64	0	123	0	19291	0	19362	2018-06-11 22:06:21	40064	1528725981698	21
67	0	64	0	19415	0	19415	2018-06-11 22:06:21	40067	1528725981740	22
53	0	50	0	18845	0	18899	2018-06-11 22:06:21	40053	1528725981784	23
43	0	40	0	20489	0	19218	2018-06-11 22:06:21	40043	1528725981823	24
117	0	127	0	19311	0	19232	2018-06-11 22:06:21	40117	1528725981907	25
139	0	122	0	20009	0	19675	2018-06-11 22:06:21	40139	1528725981949	26
78	0	70	0	19422	0	19771	2018-06-11 22:06:22	40078	1528725982074	27
77	0	66	0	19388	0	19200	2018-06-11 22:06:22	40077	1528725982115	28
135	0	131	0	19340	0	19914	2018-06-11 22:06:22	40135	1528725982282	29
32	0	33	0	19926	0	19900	2018-06-11 22:06:22	40032	1528725982317	30
52	0	41	0	19349	0	19333	2018-06-11 22:06:22	40052	1528725982417	31
63	0	66	0	19870	0	19325	2018-06-11 22:06:22	40063	1528725982450	32
132	0	122	0	19494	0	19453	2018-06-11 22:06:22	40132	1528725982517	33
124	0	75	0	20013	0	19933	2018-06-11 22:06:22	40124	1528725982584	34
40	0	47	0	19002	0	18982	2018-06-11 22:06:22	40040	1528725982676	35
39	0	9	0	20040	0	21545	2018-06-11 22:06:22	40039	1528725982709	36
