nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
10	0	0	20416	2018-06-11 22:06:20	40010	1528725980864	1
12	0	0	20416	2018-06-11 22:06:20	40012	1528725980997	2
17	0	0	20428	2018-06-11 22:06:21	40017	1528725981097	3
11	0	0	20377	2018-06-11 22:06:21	40011	1528725981298	4
16	0	0	21079	2018-06-11 22:06:21	40016	1528725981331	5
121	0	0	18862	2018-06-11 22:06:21	40121	1528725981515	6
50	0	0	18581	2018-06-11 22:06:21	40050	1528725981556	7
67	0	0	19398	2018-06-11 22:06:21	40067	1528725981865	8
37	0	0	19859	2018-06-11 22:06:21	40037	1528725981990	9
47	0	0	18964	2018-06-11 22:06:22	40047	1528725982032	10
118	0	0	19386	2018-06-11 22:06:22	40118	1528725982157	11
117	0	0	19295	2018-06-11 22:06:22	40117	1528725982199	12
53	0	0	18788	2018-06-11 22:06:22	40053	1528725982241	13
139	0	0	19893	2018-06-11 22:06:22	40139	1528725982350	14
56	0	0	19252	2018-06-11 22:06:22	40056	1528725982387	15
127	0	0	19130	2018-06-11 22:06:22	40127	1528725982484	16
71	0	0	19893	2018-06-11 22:06:22	40071	1528725982551	17
132	0	0	19403	2018-06-11 22:06:22	40132	1528725982618	18
72	0	0	19404	2018-06-11 22:06:22	40072	1528725982776	19
26	0	0	20315	2018-06-11 22:06:22	40026	1528725982868	20
13	0	0	20456	2018-06-11 22:06:23	40013	1528725983001	21
32	0	0	19907	2018-06-11 22:06:23	40032	1528725983035	22
66	0	0	19150	2018-06-11 22:06:23	40066	1528725983135	23
120	0	0	19370	2018-06-11 22:06:23	40120	1528725983168	24
115	0	0	19429	2018-06-11 22:06:23	40115	1528725983202	25
52	0	0	19172	2018-06-11 22:06:23	40052	1528725983268	26
70	0	0	19305	2018-06-11 22:06:23	40070	1528725983302	27
64	0	0	19271	2018-06-11 22:06:23	40064	1528725983335	28
131	0	0	19798	2018-06-11 22:06:23	40131	1528725983368	29
41	0	0	18939	2018-06-11 22:06:23	40041	1528725983435	30
33	0	0	19832	2018-06-11 22:06:23	40033	1528725983469	31
123	0	0	19268	2018-06-11 22:06:23	40123	1528725983502	32
63	0	0	19851	2018-06-11 22:06:23	40063	1528725983535	33
38	0	0	20354	2018-06-11 22:06:23	40038	1528725983569	34
80	0	0	18861	2018-06-11 22:06:23	40080	1528725983602	35
129	0	0	19271	2018-06-11 22:06:23	40129	1528725983636	36
9	0	0	21425	2018-06-11 22:06:23	40009	1528725983669	37
75	0	0	19822	2018-06-11 22:06:23	40075	1528725983769	38
43	0	0	20337	2018-06-11 22:06:23	40043	1528725983836	39
119	0	0	19416	2018-06-11 22:06:23	40119	1528725983869	40
78	0	0	19402	2018-06-11 22:06:23	40078	1528725983928	41
44	0	0	18885	2018-06-11 22:06:23	40044	1528725983961	42
40	0	0	18954	2018-06-11 22:06:23	40040	1528725983995	43
20	0	0	21104	2018-06-11 22:06:24	40020	1528725984028	44
135	0	0	19321	2018-06-11 22:06:24	40135	1528725984061	45
124	0	0	19925	2018-06-11 22:06:24	40124	1528725984095	46
8	0	0	20854	2018-06-11 22:06:24	40008	1528725984186	47
77	0	0	19370	2018-06-11 22:06:24	40077	1528725984220	48
21	0	0	20361	2018-06-11 22:06:24	40021	1528725984255	49
39	0	0	19893	2018-06-11 22:06:24	40039	1528725984287	50
69	0	0	19893	2018-06-11 22:06:24	40069	1528725984320	51
122	0	0	19370	2018-06-11 22:06:24	40122	1528725984387	52
48	0	0	19507	2018-06-11 22:06:24	40048	1528725984420	53
20	1	0	41087	2018-06-11 22:06:41	40020	1528726001159	54
120	1	0	39396	2018-06-11 22:06:41	40120	1528726001292	55
80	1	0	39300	2018-06-11 22:06:41	40080	1528726001326	56
119	1	0	39328	2018-06-11 22:06:41	40119	1528726001392	57
139	1	0	39917	2018-06-11 22:06:41	40139	1528726001459	58
75	1	0	39610	2018-06-11 22:06:41	40075	1528726001526	59
70	1	0	39571	2018-06-11 22:06:41	40070	1528726001593	60
10	1	0	41382	2018-06-11 22:06:41	40010	1528726001626	61
131	1	0	40100	2018-06-11 22:06:41	40131	1528726001751	62
118	1	0	39559	2018-06-11 22:06:41	40118	1528726001818	63
71	1	0	40340	2018-06-11 22:06:41	40071	1528726001885	64
72	1	0	39819	2018-06-11 22:06:41	40072	1528726001943	65
8	1	0	41223	2018-06-11 22:06:41	40008	1528726001977	66
52	1	0	39583	2018-06-11 22:06:42	40052	1528726002043	67
16	1	0	41149	2018-06-11 22:06:42	40016	1528726002110	68
124	1	0	39943	2018-06-11 22:06:42	40124	1528726002144	69
32	1	0	40903	2018-06-11 22:06:42	40032	1528726002244	70
122	1	0	39810	2018-06-11 22:06:42	40122	1528726002277	71
66	1	0	39519	2018-06-11 22:06:42	40066	1528726002377	72
63	1	0	40274	2018-06-11 22:06:42	40063	1528726002411	73
132	1	0	39923	2018-06-11 22:06:42	40132	1528726002444	74
43	1	0	40814	2018-06-11 22:06:42	40043	1528726002478	75
39	1	0	40457	2018-06-11 22:06:42	40039	1528726002544	76
9	1	0	41801	2018-06-11 22:06:42	40009	1528726002611	77
47	1	0	39475	2018-06-11 22:06:42	40047	1528726002678	78
64	1	0	39599	2018-06-11 22:06:42	40064	1528726002745	79
21	1	0	41040	2018-06-11 22:06:42	40021	1528726002778	80
127	1	0	39780	2018-06-11 22:06:42	40127	1528726002811	81
67	1	0	39326	2018-06-11 22:06:42	40067	1528726002845	82
56	1	0	39573	2018-06-11 22:06:42	40056	1528726002878	83
24	1	0	40949	2018-06-11 22:06:42	40024	1528726002945	84
135	1	0	39736	2018-06-11 22:06:43	40135	1528726003003	85
50	1	0	39506	2018-06-11 22:06:43	40050	1528726003037	86
38	1	0	40552	2018-06-11 22:06:43	40038	1528726003070	87
33	1	0	40802	2018-06-11 22:06:43	40033	1528726003287	88
129	1	0	39735	2018-06-11 22:06:43	40129	1528726003387	89
40	1	0	39549	2018-06-11 22:06:43	40040	1528726003421	90
123	1	0	39612	2018-06-11 22:06:43	40123	1528726003464	91
26	1	0	40744	2018-06-11 22:06:43	40026	1528726003547	92
44	1	0	39534	2018-06-11 22:06:43	40044	1528726003589	93
121	1	0	39817	2018-06-11 22:06:43	40121	1528726003714	94
69	1	0	39805	2018-06-11 22:06:43	40069	1528726003756	95
41	1	0	39440	2018-06-11 22:06:43	40041	1528726003839	96
77	1	0	39806	2018-06-11 22:06:43	40077	1528726003881	97
115	1	0	39450	2018-06-11 22:06:43	40115	1528726003923	98
13	1	0	40701	2018-06-11 22:06:43	40013	1528726003964	99
17	1	0	40924	2018-06-11 22:06:43	40017	1528726003998	100
37	1	0	40272	2018-06-11 22:06:44	40037	1528726004031	101
53	1	0	39223	2018-06-11 22:06:44	40053	1528726004098	102
11	1	0	41214	2018-06-11 22:06:44	40011	1528726004131	103
48	1	0	40049	2018-06-11 22:06:44	40048	1528726004165	104
117	1	0	39715	2018-06-11 22:06:44	40117	1528726004198	105
12	1	0	41410	2018-06-11 22:06:44	40012	1528726004256	106
11	2	0	61544	2018-06-11 22:07:01	40011	1528726021007	107
21	2	0	61463	2018-06-11 22:07:01	40021	1528726021041	108
121	2	0	59828	2018-06-11 22:07:01	40121	1528726021274	109
80	2	0	59736	2018-06-11 22:07:01	40080	1528726021308	110
123	2	0	60135	2018-06-11 22:07:01	40123	1528726021709	111
39	2	0	60906	2018-06-11 22:07:01	40039	1528726021742	112
64	2	0	60028	2018-06-11 22:07:01	40064	1528726021809	113
8	2	0	61718	2018-06-11 22:07:01	40008	1528726021842	114
117	2	0	60110	2018-06-11 22:07:01	40117	1528726021976	115
12	2	0	61328	2018-06-11 22:07:02	40012	1528726022101	116
16	2	0	61799	2018-06-11 22:07:02	40016	1528726022168	117
50	2	0	60300	2018-06-11 22:07:02	40050	1528726022259	118
135	2	0	60171	2018-06-11 22:07:02	40135	1528726022293	119
67	2	0	59958	2018-06-11 22:07:02	40067	1528726022426	120
118	2	0	60512	2018-06-11 22:07:02	40118	1528726022560	121
127	2	0	60040	2018-06-11 22:07:02	40127	1528726022660	122
13	2	0	61681	2018-06-11 22:07:02	40013	1528726022727	123
20	2	0	61611	2018-06-11 22:07:02	40020	1528726022760	124
120	2	0	60411	2018-06-11 22:07:02	40120	1528726022794	125
75	2	0	60472	2018-06-11 22:07:02	40075	1528726022994	126
129	2	0	60110	2018-06-11 22:07:03	40129	1528726023027	127
78	2	0	60262	2018-06-11 22:07:03	40078	1528726023061	128
132	2	0	60378	2018-06-11 22:07:03	40132	1528726023094	129
71	2	0	60774	2018-06-11 22:07:03	40071	1528726023161	130
47	2	0	59994	2018-06-11 22:07:03	40047	1528726023228	131
124	2	0	60412	2018-06-11 22:07:03	40124	1528726023261	132
72	2	0	59786	2018-06-11 22:07:03	40072	1528726023311	133
131	2	0	60529	2018-06-11 22:07:03	40131	1528726023562	134
32	2	0	60929	2018-06-11 22:07:03	40032	1528726023662	135
119	2	0	59797	2018-06-11 22:07:03	40119	1528726023728	136
70	2	0	60295	2018-06-11 22:07:03	40070	1528726023762	137
37	2	0	60877	2018-06-11 22:07:03	40037	1528726023954	138
53	2	0	60234	2018-06-11 22:07:03	40053	1528726023996	139
48	2	0	60045	2018-06-11 22:07:04	40048	1528726024037	140
139	2	0	60880	2018-06-11 22:07:04	40139	1528726024079	141
17	2	0	61365	2018-06-11 22:07:04	40017	1528726024114	142
69	2	0	60840	2018-06-11 22:07:04	40069	1528726024314	143
44	2	0	60025	2018-06-11 22:07:04	40044	1528726024381	144
9	2	0	62175	2018-06-11 22:07:04	40009	1528726024639	145
10	2	0	61688	2018-06-11 22:07:04	40010	1528726024673	146
41	2	0	59919	2018-06-11 22:07:04	40041	1528726024706	147
77	2	0	60885	2018-06-11 22:07:04	40077	1528726024740	148
122	2	0	60331	2018-06-11 22:07:04	40122	1528726024831	149
63	2	0	60708	2018-06-11 22:07:04	40063	1528726024898	150
33	2	0	60852	2018-06-11 22:07:05	40033	1528726025065	151
24	2	0	61540	2018-06-11 22:07:05	40024	1528726025165	152
