seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	0	20501	2018-06-08 00:04:05	40003	1528387445327	1
1	0	40981	2018-06-08 00:04:25	40003	1528387465283	2
2	0	61461	2018-06-08 00:04:45	40003	1528387485295	3
3	1	16405	2018-06-08 00:05:05	40003	1528387505284	4
4	1	36885	2018-06-08 00:05:25	40003	1528387525284	5
5	1	57365	2018-06-08 00:05:45	40003	1528387545292	6
6	2	12309	2018-06-08 00:06:05	40003	1528387565284	7
7	2	32789	2018-06-08 00:06:25	40003	1528387585284	8
8	2	53269	2018-06-08 00:06:45	40003	1528387605323	9
9	3	8213	2018-06-08 00:07:05	40003	1528387625281	10
10	3	28693	2018-06-08 00:07:25	40003	1528387645346	11
11	3	49173	2018-06-08 00:07:45	40003	1528387665295	12
12	4	4117	2018-06-08 00:08:05	40003	1528387685281	13
13	4	24597	2018-06-08 00:08:25	40003	1528387705281	14
14	4	45077	2018-06-08 00:08:45	40003	1528387725295	15
15	5	21	2018-06-08 00:09:05	40003	1528387745278	16
16	5	20501	2018-06-08 00:09:25	40003	1528387765278	17
17	5	40981	2018-06-08 00:09:45	40003	1528387785289	18
18	5	61461	2018-06-08 00:10:05	40003	1528387805280	19
19	6	16405	2018-06-08 00:10:25	40003	1528387825278	20
20	6	36885	2018-06-08 00:10:45	40003	1528387845313	21
21	6	57365	2018-06-08 00:11:05	40003	1528387865275	22
22	7	12309	2018-06-08 00:11:25	40003	1528387885275	23
23	7	32789	2018-06-08 00:11:45	40003	1528387905287	24
24	7	53269	2018-06-08 00:12:05	40003	1528387925275	25
25	8	8213	2018-06-08 00:12:25	40003	1528387945275	26
26	8	28693	2018-06-08 00:12:45	40003	1528387965326	27
27	8	49173	2018-06-08 00:13:05	40003	1528387985276	28
28	9	4117	2018-06-08 00:13:29	40003	1528388009815	29
29	9	24597	2018-06-08 00:13:45	40003	1528388025293	30
30	9	45077	2018-06-08 00:14:05	40003	1528388045272	31
31	10	21	2018-06-08 00:14:25	40003	1528388065272	32
32	10	20501	2018-06-08 00:14:45	40003	1528388085289	33
33	10	40981	2018-06-08 00:15:05	40003	1528388105273	34
34	10	61461	2018-06-08 00:15:25	40003	1528388125273	35
35	11	16405	2018-06-08 00:15:45	40003	1528388145307	36
36	11	36885	2018-06-08 00:16:05	40003	1528388165271	37
37	11	57365	2018-06-08 00:16:25	40003	1528388185269	38
38	12	12316	2018-06-08 00:16:45	40003	1528388205285	39
