seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	0	40981	2018-06-08 16:25:11	40003	1528446311723	1
1	0	61461	2018-06-08 16:25:31	40003	1528446331799	2
2	1	16405	2018-06-08 16:25:51	40003	1528446351724	3
3	1	36885	2018-06-08 16:26:11	40003	1528446371740	4
4	1	57365	2018-06-08 16:26:31	40003	1528446391836	5
5	2	12309	2018-06-08 16:26:51	40003	1528446411724	6
6	2	32789	2018-06-08 16:27:11	40003	1528446431720	7
7	2	53269	2018-06-08 16:27:32	40003	1528446452009	8
8	3	8213	2018-06-08 16:27:51	40003	1528446471721	9
9	3	28693	2018-06-08 16:28:11	40003	1528446491721	10
10	3	49173	2018-06-08 16:28:31	40003	1528446511740	11
11	4	4117	2018-06-08 16:28:52	40003	1528446532015	12
12	4	24597	2018-06-08 16:29:11	40003	1528446551771	13
13	4	45077	2018-06-08 16:29:31	40003	1528446571945	14
14	5	21	2018-06-08 16:29:51	40003	1528446591722	15
15	5	20501	2018-06-08 16:30:14	40003	1528446614484	16
16	5	40981	2018-06-08 16:30:32	40003	1528446632011	17
17	5	61461	2018-06-08 16:30:51	40003	1528446651718	18
18	6	16405	2018-06-08 16:31:11	40003	1528446671718	19
19	6	36885	2018-06-08 16:31:31	40003	1528446691819	20
20	6	57365	2018-06-08 16:31:51	40003	1528446711715	21
21	7	12309	2018-06-08 16:32:11	40003	1528446731715	22
22	7	32789	2018-06-08 16:32:31	40003	1528446751908	23
23	7	53269	2018-06-08 16:32:51	40003	1528446771715	24
24	8	8213	2018-06-08 16:33:11	40003	1528446791715	25
25	8	28693	2018-06-08 16:33:31	40003	1528446811772	26
26	8	49173	2018-06-08 16:33:51	40003	1528446831712	27
27	9	4117	2018-06-08 16:34:12	40003	1528446852710	28
28	9	24597	2018-06-08 16:34:31	40003	1528446871834	29
29	9	45077	2018-06-08 16:34:52	40003	1528446892174	30
30	10	21	2018-06-08 16:35:11	40003	1528446911712	31
31	10	20501	2018-06-08 16:35:31	40003	1528446931839	32
32	10	40981	2018-06-08 16:35:51	40003	1528446951713	33
33	10	61461	2018-06-08 16:36:11	40003	1528446971709	34
34	11	16405	2018-06-08 16:36:31	40003	1528446991888	35
35	11	36885	2018-06-08 16:36:51	40003	1528447011709	36
36	11	57365	2018-06-08 16:37:11	40003	1528447031709	37
37	12	12309	2018-06-08 16:37:31	40003	1528447051796	38
